Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Starter,Fuel control,Ignition,Gearbox,Transmission type,Clutch,Frame type,Rake (fork angle),Front suspension,Rear suspension,Diameter,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Electrical,Comments,Engine details,Lubrication system,Overall height,Overall length,Overall width,0-100 km/h (0-62 mph),Torque,Instruments,"Weight incl. oil, gas, etc",Driveline,Fuel consumption,Greenhouse gases,Valves per cylinder,Oil capacity,Alternate seat height,Carrying capacity,Exhaust system
Norton 650SS,1966,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6800 RPM,185.0 km/h (115.0 mph),8.9:1,68.0 x 89.0 mm (2.7 x 3.5 inches),Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,Overhead Valves (OHV),,,Chain   (final drive),,Duplex steel cradle,,Telescopic,Dual chocks,,,,,,,,,,,,,,,,,196.9 kg (434.0 pounds),,,,2,,,,
Enfield Interceptor ,1966,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,,,Air,,,,,Spoked,Dual ,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,190.0 kg (418.9 pounds),,,,,,,,
Kawasaki W1 SS,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,180.0 km/h (111.8 mph),8.7:1,74.0 x 72.6 mm (2.9 x 2.9 inches),Carburettor. Two,Air,3.25-19 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,Pushrods,Battery,4-speed,Chain   (final drive),,,,Telescopic,Swingarm ,,,,1415 mm (55.7 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Matchless G3 350,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Chain   (final drive),Wet multiplate,,,Telescopic,Two schock,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1966,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,,Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 160 Monza Junior,1966,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",156.0 ccm (9.52 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 6000 RPM,,8.2:1,61.0 x 52.0 mm (2.4 x 2.0 inches),,Air,2.75-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,121.0 kg (266.8 pounds),0.1074 HP/kg,,Overhead Cams (OHC),Six volt coil,,Chain   (final drive),Wet multiplate,Steel single cradle,,Telescopic fork,Pivoted trolled by spring hydraulic adjustment,136 mm (5.4 inches),,,1295 mm (51.0 inches),13.00 litres (3.43 US gallons),,,,,Dry sump,,,,,,,,,,,2,,,,Dry sump
Zündapp 514-320 KS 100,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",8.1 HP (5.9  kW)) @ 6300 RPM,,9.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor. Bing,Air,2.75-16 ,2.75-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,90.0 kg (198.4 pounds),0.0894 HP/kg,Kick,,,,Chain   (final drive),,,,Telescopic fork,Swingarm ,,,,,11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,
Bultaco Metralla ,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri 50 S,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.3 HP (3.1  kW)) @ 6500 RPM,,10.3:1,40.0 x 39.0 mm (1.6 x 1.5 inches),Carburettor. DellÓrto,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Chain   (final drive),,,,,Swingarm ,,,,,,,,,Garelli,,,,,,,,,,,,,,,,
Hercules R 200,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",10.2 HP (7.4  kW)) @ 5250 RPM,98.0 km/h (60.9 mph),,65.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor,Air,,,,,,Dual ,144.0 kg (317.5 pounds),0.0708 HP/kg,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 8500 RPM,170.0 km/h (105.6 mph),,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto ,Air,2.50-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,110.0 kg (242.5 pounds),0.2255 HP/kg,Kick,,,4-speed,Chain   (final drive),Wet multiplate,,,Hydralic telescopic forks,Swingarm,180 mm (7.1 inches),,,,17.00 litres (4.49 US gallons),,,,,,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),,,,,,,,,,,,
