Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Starter,Fuel control,Ignition,Gearbox,Transmission type,Clutch,Frame type,Rake (fork angle),Front suspension,Rear suspension,Diameter,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Electrical,Comments,Engine details,Lubrication system,Overall height,Overall length,Overall width,0-100 km/h (0-62 mph),Torque,Instruments,"Weight incl. oil, gas, etc",Driveline,Fuel consumption,Greenhouse gases,Valves per cylinder,Oil capacity,Alternate seat height,Carrying capacity,Exhaust system
Kawasaki W1,1966,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",52.3 HP (38.2  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),8.7:1,74.0 x 72.6 mm (2.9 x 2.9 inches),Carburettor. Mikuni,Air,3.25-19 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,181.0 kg (399.0 pounds),0.2890 HP/kg,Kick,Overhead Valves (OHV),,4-speed,Shaft drive (cardan)   (final drive),,"Tubular steel, twin cradle",,Telescopic fork,Swingarm,,,,,15.00 litres (3.96 US gallons),,,,,Dry sump,,,,,54.9 Nm (5.6 kgf-m or 40.5 ft.lbs) @ 5500 RPM,,,,,,,,,,
BSA Super Rocket,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,,,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,186.0 kg (410.1 pounds),,,Overhead Valves (OHV),,,Chain   (final drive),,,,Hydralic telescopic forks,Twin shock,,,,1391 mm (54.8 inches),,,,,,Wet sump ,,,,,,,,,,,,,,,
Vincent Mighty Mouse,1966,Speedway,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,257.0 km/h (159.7 mph),,,Carburettor,,,,,,,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120R Roadster,1966,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal Monoblock carburettor,Air,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,"Dual seat, black and gray",165.0 kg (363.8 pounds),0.2788 HP/kg,Kick,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, full-cradle, single downtube",26.0°,"Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",178 mm (7.0 inches),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),1403 mm (55.2 inches),9.46 litres (2.50 US gallons),White/red,12-volt electrical system,,,,,,,,,Smiths Magnetic gauges,,,,,,,,,
Zündapp Roller Super,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,39.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor. Bing,Air,2.50-10 ,2.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,83.5 kg (184.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 277,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,,,,,Chain   (final drive),,Tubular steel,,Telescopic,Swingarm-coil springs-dampers,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph 6TP,1966,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Twin, two-stroke",,160.0 km/h (99.4 mph),,,Carburettor,,,,,,Spoked,Dual ,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph 3TA,1966,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,,,,Carburettor. Amal,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,156.5 kg (345.0 pounds),,,,,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,,,,,,,Dry sump,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1966,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6300 RPM,185.1 km/h (115.0 mph),9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),Carburettor. NA,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,,,,,,45-degree V-twin,,,,,,,,218.0 kg (480.6 pounds),,,,,,,,
Husqvarna Racer,1966,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,3.00-19 ,3.00-18 ,,,,Single seat,94.4 kg (208.0 pounds),,,,,,Chain   (final drive),,Chrome-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120TT,1966,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),11.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Air,3.50-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Dual seat,165.0 kg (363.8 pounds),0.3152 HP/kg,Kick,Overhead Valves (OHV),AC energy transfer (ET) ,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, full-cradle, single downtube",28.0°,"Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",178 mm (7.0 inches),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Red/white,"Lucas RM19 alternator, 12-volt electrics",,,,,,,,,,,"Constant-mesh, right-foot shift",,,,,,,
Lambretta TV 175 Series 3,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 5300 RPM,96.6 km/h (60.0 mph),8.0:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Single disc,Expanding brake (drum brake),Chromed wheel rims,Dual ,109.8 kg (242.0 pounds),0.0797 HP/kg,Kick,,,,Chain   (final drive),,,,,,,,,,,Ivory,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1966,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),0.1059 HP/kg,,Overhead Valves (OHV),Magneto,4-speed,Chain   (final drive),Wet multiplate,Single cradle-steel,,Catrigde,Two shock,,,,1422 mm (56.0 inches),,,,,,Wet sump ,,2190 mm (86.2 inches),710 mm (28.0 inches),,,,,,,,,,,,
BMW R50 2,1966,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Air,3.50-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,Kick,Overhead Valves (OHV),Magneto,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,,Cartridge,Twin shock-Swingarm,200 mm (7.9 inches),,,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),,,,,Wet sump ,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),,,,195.0 kg (429.9 pounds),,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,
Lambretta LI 150 Golden Special,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.0  kW)) @ 5300 RPM,85.3 km/h (53.0 mph),7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,105.0 kg (231.5 pounds),0.0786 HP/kg,Kick,,,,,,,,,,,,,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),,,,,,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,,,,,,,,,,,
AJS Model 31 650 Swift,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",31.4 HP (22.9  kW)) @ 6000 RPM,,7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,176.0 kg (388.0 pounds),0.1784 HP/kg,,Overhead Valves (OHV),Magneto,,Chain   (final drive),Wet multiplate,Doble cradle,,Hydraulic telescopic,Twin shock Girling,,,,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 160,1966,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",161.0 ccm (9.82 cubic inches),"Twin, four-stroke",16.5 HP (12.0  kW)) @ 10000 RPM,,,,,,,,,,,Dual seat,294.0 kg (648.2 pounds),0.0561 HP/kg,,Overhead Valves (OHV),,,,,Stamped steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi H-D Wisconsin ,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Air,2.50-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,115.0 kg (253.5 pounds),0.1391 HP/kg,Kick,,Bobine,,Chain   (final drive),Wet multiplate,Single cradle,,Telescopic,Two shock,,,,,,,,,,,980 mm (38.6 inches),1970 mm (77.6 inches),700 mm (27.6 inches),,,,,,,,,,,,
Hercules K 103 GS,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,95.0 km/h (59.0 mph),,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,Air,3.50-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,99.0 kg (218.3 pounds),0.0828 HP/kg,Kick,,,,Chain   (final drive),,Single cradle,,,Swingarm ,,,,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,
Lambretta SX 150,1966,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 5600 RPM,96.6 km/h (60.0 mph),7.0:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,109.8 kg (242.0 pounds),0.0797 HP/kg,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 600 Turismo,1966,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",52.3 HP (38.2  kW)) @ 8000 RPM,185.0 km/h (115.0 mph),9.3:1,58.0 x 56.0 mm (2.3 x 2.2 inches),Carburettor. Dell´Orto,Air,3.50-18 ,4.00-18 ,Single disc,Expanding brake (drum brake),,,,,,Double Overhead Cams/Twin Cam (DOHC),Coil,5-speed,Shaft drive (cardan)   (final drive),,Half Duplex,,Telehydraulic,Swingarm with Hydraulic Dampers,200 mm (7.9 inches),,,1390 mm (54.7 inches),20.00 litres (5.28 US gallons),Black,,,,,,,,,,,221.0 kg (487.2 pounds),,,,2,,,,
Triumph Tina,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,72.0 km/h (44.7 mph),7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,,3.50-8 ,3.50-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,65.0 kg (143.3 pounds),,,Overhead Cams (OHC),,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki W2,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"In-line four, four-stroke",53.0 HP (38.7  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),9.0:1,,Carburettor. Two,Air,3.25-19 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,Overhead Valves (OHV),Battery,4-speed,Chain   (final drive),,Duplex steel cradle,,Telescopic,Swingarm ,,,,1415 mm (55.7 inches),15.00 litres (3.96 US gallons),,,,,,1060 mm (41.7 inches),2126 mm (83.7 inches),880 mm (34.6 inches),,,,,,,,,3.20 litres (3.38 US quarts),,,
Norton Atlas,1966,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 6800 RPM,,8.9:1,73.0 x 89.0 mm (2.9 x 3.5 inches),Carburettor,Air,,,Expanding brake (drum brake). 203mm,Expanding brake (drum brake). 178mm,Spoked,Dual ,,,Kick,,Electric,,Chain   (final drive),,,,Telescopic,Dual chocks,,,,,,,,,,,,,,,,,185.0 kg (407.9 pounds),,,,2,,,,
BMW R 60 2,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Air,3.25-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,Single seat,195.0 kg (429.9 pounds),0.1541 HP/kg,Kick,Overhead Valves (OHV),,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,200 mm (7.9 inches),,,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),,,Price in 1969 for the bike was DM 3315.,,Wet sump ,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),,,,,,,,,,,,
Lambretta LI 150 Silver Special,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.0  kW)) @ 5300 RPM,85.3 km/h (53.0 mph),7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,105.0 kg (231.5 pounds),0.0786 HP/kg,Kick,,,,,,,,,,,,,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),,,,,,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,,,,,,,,,,,
BSA A65 Star,1966,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 4500 RPM,,,,Carburettor. Amal,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1966,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,,,Carburettor,,,,Expanding brake (drum brake),,,Single seat,,,,Overhead Valves (OHV),Magneto,,Chain   (final drive),Single speed,,,,,,,,,,Multicolored white/blue/red,,,,,,,,,,,,,,,,,,,
Yamaha YDS 3,1966,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,132.0 km/h (82.0 mph),7.5:1,50.0 x 56.0 mm (2.0 x 2.2 inches),,Air,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,156.0 kg (343.9 pounds),0.1538 HP/kg,Kick,,,,Chain   (final drive),Wet multiplate,,,Telescopic-Hydraulic damping,Swingarm-two shocks,,,,1318 mm (51.9 inches),11.36 litres (3.00 US gallons),,,,,,,,,,,,,,,,,,,,
Bultaco TSS,1966,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,13.5:1,,Carburettor,,2.75-18 ,2.75-18 ,,,Spoked,Single Seat,,,,,,,Chain   (final drive),Wet multiplate,,,Telescopic,,,,,,,,,,,,,,,,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,
BSA A 50 Royal Star,1966,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",500.0 ccm (30.51 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 5800 RPM,,7.5:1,65.5 x 74.0 mm (2.6 x 2.9 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,Overhead Valves (OHV),,,Chain   (final drive),Wet multiplate,Single cradle,,Hydralic telescopic forks,Twin shock,,,,1391 mm (54.8 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),0.1701 HP/kg,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Rigid-optional sprung hub,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G2 CSR,1966,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,121.0 km/h (75.2 mph),10.5:1,70.0 x 65.0 mm (2.8 x 2.6 inches),Carburettor,Air,3-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Chain   (final drive),Wet multiplate,Single cradle,,Telescopic,Swinging arm-shocks-coil springs,,,,,14.80 litres (3.91 US gallons),,,,,Dry sump,,,,,,,,,,,,,,,
BMW R27,1966,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7400 RPM,130.0 km/h (80.8 mph),8.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Air,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,Overhead Valves (OHV),Battery,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel twin looped,,Cartridge,Twin shock-Swingarm,160 mm (6.3 inches),,105 mm (4.1 inches),965 mm (38.0 inches),15.00 litres (3.96 US gallons),,,,,Wet sump ,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),,,,162.0 kg (357.1 pounds),,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,
Lambretta LI 125 Series 3,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,69.2 km/h (43.0 mph),7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,103.9 kg (229.0 pounds),0.0501 HP/kg,Kick,,,,,,,,,,,,,1290 mm (50.8 inches),,,,,,,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,,,,,,,,,,,
Harley-Davidson Crtt 250,1966,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,161.0 km/h (100.0 mph),,72.0 x 61.0 mm (2.8 x 2.4 inches),Carburettor,,,,,,,Single Seat,,,,Overhead Valves (OHV),,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1966,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5100 RPM,109.0 km/h (67.7 mph),,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocette Venom,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,160.9 km/h (100.0 mph),,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,177.0 kg (390.2 pounds),0.1921 HP/kg,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,,,
MZ ES 250,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",17.5 HP (12.8  kW)) @ 5300 RPM,,8.1:1,65.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,Air,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,162.0 kg (357.1 pounds),0.1080 HP/kg,Kick,,,,Chain   (final drive),Wet multiplate,,,Telescopic,,,,,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Triumph T100C,1966,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,,,,Carburettor. Amal,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,152.0 kg (335.0 pounds),0.2698 HP/kg,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,,,,,,,,,,,,,,168.3 kg (371.0 pounds),,,,,,,,
BMW R69S,1966,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.5:1,,Carburettor. Bing,Air,,3.5-18 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),Spoked,,,,Kick,Overhead Valves (OHV),Magneto,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel-doble cradle,,Cartridge,Twin shock-swingarm,200 mm (7.9 inches),,,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),,,,,Forced feed,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),,,,202.0 kg (445.3 pounds),,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,360,
Honda Dream 305,1966,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, four-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,138.4 km/h (86.0 mph),,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,159.0 kg (350.5 pounds),0.1447 HP/kg,,Overhead Cams (OHC),,,Chain   (final drive),,,,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,,6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,86.2 kg (190.0 pounds),0.0673 HP/kg,,Overhead Valves (OHV),,,Chain   (final drive),,,,Telescopic,Swingarm with coil-over shocks,,,,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Pannonia T 5,1966,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,110.0 km/h (68.4 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,122.0 kg (269.0 pounds),,,,Magneto,4-speed,Chain   (final drive),Wet multiplate,,,Telescopic,,,,,,,,,,,,,,,,,,,,,,,,,,
