Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Ignition,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Lubrication system,Gearbox,Frame type,Front tire,Rear tire,Power/weight ratio,Starter,Fuel control,Front suspension,Rear suspension,Compression,Wheelbase,Fuel capacity,Oil capacity,Electrical,Seat height,Overall height,Overall length,Overall width,Diameter,Modifications compared to previous model,Engine details,Driveline,"Weight incl. oil, gas, etc",Ground clearance,Color options,Carrying capacity,Comments,0-100 km/h (0-62 mph),Torque,Exhaust system,Reserve fuel capacity,Valves per cylinder,Light,Rake (fork angle)
NSU Supermax,1958,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",126.0 km/h (78.3 mph),Carburettor. Bing HD 2/26,,Air,Chain   (final drive),Dry multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,174.0 kg (383.6 pounds),18.0 HP (13.1  kW)) @ 6500 RPM,69.0 x 66.0 mm (2.7 x 2.6 inches),,4-speed,Steel,3.25-19 ,3.25-19 ,0.1034 HP/kg,Kick,,,Swingarm ,,,14.00 litres (3.70 US gallons),,,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,
Hercules A 175,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",90.0 km/h (55.9 mph),Carburettor. Bing 24mm,Bobine,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,140.0 kg (308.6 pounds),9.3 HP (6.8  kW)) @ 5250 RPM,62.0 x 58.0 mm (2.4 x 2.3 inches),,4-speed,,3.25-16 ,3.50-16 ,0.0664 HP/kg,Kick,,Telescopic,Swingarm ,,,11.50 litres (3.04 US gallons),,,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,
Ariel LH 200 Colt,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor. Amal Monobloc carburetter with air cleaner. ,,Air,Chain   (final drive),Two-plate clutch,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Dual seat,123.0 kg (271.2 pounds),10.0 HP (7.3  kW)) @ 5600 RPM,60.0 x 70.0 mm (2.4 x 2.8 inches),Double gear pump,4-speed,Semi double cradle,2.75-19 ,2.75-19 ,0.0813 HP/kg,Kick,Overhead Valves (OHV),Telescopic hydraulic fork,Plungers,7.5:1,,11.00 litres (2.91 US gallons),,6 Volt system,,,2030 mm (79.9 inches),640 mm (25.2 inches),,,,,,,Brown,,,,,1-into-1 pipes,,2,,
Puch SRA 150,1958,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,145.0 ccm (8.85 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,102.0 kg (224.9 pounds),6.0 HP (4.4  kW)) @ 5500 RPM,,,3-speed,Single cradle,,,0.0588 HP/kg,Electric,,,,6.5:1,,7.00 litres (1.85 US gallons),,,,,,,,,,,,,Two coloured in blue,,,,,,,,,
Lambretta LI 150 Series 1,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",80.5 km/h (50.0 mph),Carburettor. DellÓrto,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,105.0 kg (231.5 pounds),6.5 HP (4.7  kW)) @ 5300 RPM,57.0 x 58.0 mm (2.2 x 2.3 inches),,,,3.50-10 ,3.50-10 ,0.0619 HP/kg,Kick,,,,7.0:1,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),,,,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,,,,,,,,,,,,,,,
Dürkopp Diana,1958,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,,,,,,,,,Kick,,,,,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,
Norton Manx,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",210.0 km/h (130.5 mph),Carburettor. NA,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,140.0 kg (308.6 pounds),47.0 HP (34.3  kW)) @ 6500 RPM,,,,Steel,,,0.3357 HP/kg,,Double Overhead Cams/Twin Cam (DOHC),Telescopic fork,Swingarm ,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,,
BSA Bantam D5 Super,1958,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Chain   (final drive),Multi plate ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,3-speed,,,,,Kick,,Telescopic fork,Swingarm,,,8.10 litres (2.14 US gallons),,,,,,,,,,,,,,,,,,,,,,
Ariel MK2 Square Four,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,Tubular single loop,3.25-19 ,4-18 ,,,Overhead Valves (OHV),,,,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,,,,2100 mm (82.7 inches),,,,,,,,,,,,,,,,,
DKW RT 200 VS,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",110.0 km/h (68.4 mph),Carburettor. Bing ,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,131.0 kg (288.8 pounds),11.0 HP (8.0  kW)) @ 5000 RPM,66.0 x 58.0 mm (2.6 x 2.3 inches),,4-speed,,,,0.0840 HP/kg,,,Telescopic ,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III ,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",84.0 km/h (52.2 mph),Carburettor. Bing,Magneto ,Air,Shaft drive (cardan)   (final drive),,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,131.0 kg (288.8 pounds),7.7 HP (5.6  kW)) @ 5200 RPM,57.0 x 57.6 mm (2.2 x 2.3 inches),,4-speed,Tubular,3.50-10 ,3.50-10 ,0.0588 HP/kg,Electric,,,,6.5:1,,12.00 litres (3.17 US gallons),,,,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,,,,,,,,,,,,,,,
James Comet,1958,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,Carburettor,Magneto,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,75.0 kg (165.3 pounds),,47.0 x 57.0 mm (1.9 x 2.2 inches),Wet sump ,,Single cradle,,,,,,Hydralic telescopic forks,,,,10.20 litres (2.69 US gallons),,,,,,,,,,,,,,,,,,,,,,
NSU Prima D,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),Carburettor. Bing AJ,Battery,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,123.0 kg (271.2 pounds),6.2 HP (4.5  kW)) @ 5200 RPM,57.0 x 58.0 mm (2.2 x 2.3 inches),,3-speed,,4-8 ,4-8 ,0.0504 HP/kg,Electric,,Telescopic,Swingarm ,6.0:1,,7.30 litres (1.93 US gallons),,,,950 mm (37.4 inches),1910 mm (75.2 inches),680 mm (26.8 inches),,,,,,,,,,,,,,,,
Ardie BZ 350,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",125.0 km/h (77.7 mph),Carburettor,Magneto,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,161.0 kg (354.9 pounds),,60.0 x 61.0 mm (2.4 x 2.4 inches),,,Doble cradle,3.25-19 ,3.25-19 ,,Kick,,Hydraulic telescopic,Twin shock,6.8:1,,15.00 litres (3.96 US gallons),,,,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,
Ardie BZ 350 D,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",130.0 km/h (80.8 mph),Carburettor,Magneto,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,161.0 kg (354.9 pounds),,60.0 x 61.0 mm (2.4 x 2.4 inches),,4-speed,Doble cradle,3.25-19 ,3.25-19 ,,Kick,,Hydraulic telescopic,Twin shock,6.8:1,,15.00 litres (3.96 US gallons),,,,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1958,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",193.1 km/h (120.0 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,50.0 HP (36.5  kW)) @ 6300 RPM,,,,,,,,,Overhead Valves (OHV),Telescopic,Swingarm with coil-over shocks,,,,,,,,,,,,45-degree V-twin,,205.0 kg (451.9 pounds),,,,,,,,,,,
Gilera Saturno Cross,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",,Carburettor. DellÓrto SS38,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,125.0 kg (275.6 pounds),38.0 HP (27.7  kW)),84.0 x 90.0 mm (3.3 x 3.5 inches),,4-speed,,3-21 ,4-18 ,0.3040 HP/kg,,Overhead Valves (OHV),,,7.1:1,1400 mm (55.1 inches),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1958,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",132.8 km/h (82.5 mph),Carburettor. Amal monoblock,,Air,Chain   (final drive),Dry,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Dual seat,,26.0 HP (19.0  kW)) @ 6000 RPM,81.0 x 95.0 mm (3.2 x 3.7 inches),Dry sump with dual plunger pumps,4-speed,Semi double cradle,3.25-20 ,3.25-19 ,,Kick,Overhead Valves (OHV),Grider forks,Twin shocks,6.8:1,1422 mm (56.0 inches),17.03 litres (4.50 US gallons),3.40 litres (3.59 US quarts),,,,2180 mm (85.8 inches),640 mm (25.2 inches),178 mm (7.0 inches),,,Burman,170.1 kg (375.0 pounds),140 mm (5.5 inches),,,,,,,,,,
Norton Dominator 88,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",163.0 km/h (101.3 mph),Carburettor. Amal,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,31.0 HP (22.6  kW)) @ 6500 RPM,68.0 x 82.0 mm (2.7 x 3.2 inches),,,,,,,Kick,Overhead Valves (OHV),Telescopic,Swingarm -two plungers,7.4:1,,,,,,,,,,,,,,,,,,,,,,,,
James Colonel 225,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,9.6 HP (7.0  kW)) @ 4500 RPM,63.0 x 72.0 mm (2.5 x 2.8 inches),,4-speed,Single cradle,3-18 ,3-18 ,,Kick,,Hydraulic telescopic,,7.0:1,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,Carburettor. Amal,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,27.0 HP (19.7  kW)) @ 6300 RPM,,Dry sump,,,,,,,Overhead Valves (OHV),Telescopic,Swingarm with coil-over shocks,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,,
DKW RT 200 S,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",98.0 km/h (60.9 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,131.0 kg (288.8 pounds),11.0 HP (8.0  kW)) @ 5000 RPM,68.0 x 58.0 mm (2.7 x 2.3 inches),,,,3-18 ,3-18 ,0.0840 HP/kg,,,Telescopic ,Swingarm ,6.3:1,,,,,,,,,,,,,,,,,,,,,,,,
