Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Ignition,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Lubrication system,Gearbox,Frame type,Front tire,Rear tire,Power/weight ratio,Starter,Fuel control,Front suspension,Rear suspension,Compression,Wheelbase,Fuel capacity,Oil capacity,Electrical,Seat height,Overall height,Overall length,Overall width,Diameter,Modifications compared to previous model,Engine details,Driveline,"Weight incl. oil, gas, etc",Ground clearance,Color options,Carrying capacity,Comments,0-100 km/h (0-62 mph),Torque,Exhaust system,Reserve fuel capacity,Valves per cylinder,Light,Rake (fork angle)
Maico Maicoletta,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Chain   (final drive),Enclosed ,,,"Expanding brake (drum brake). 6,5inches",Expanding brake (drum brake),Spoked,Dual ,,,61.0 x 59.5 mm (2.4 x 2.3 inches),,,Tubular steel,,,,,,Telescopic,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 175 VS,1958,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",101.0 km/h (62.8 mph),Carburettor. Bing ,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,9.6 HP (7.0  kW)) @ 5000 RPM,62.0 x 58.0 mm (2.4 x 2.3 inches),,4-speed,,3-18 ,3-18 ,,,,Telescopic ,Swingarm ,6.5:1,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Bergmeister,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,345.0 ccm (21.05 cubic inches),"V2, four-stroke",,Carburettor,,Air,Shaft drive (cardan)   (final drive),Dry plate,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,21.0 HP (15.3  kW)) @ 6300 RPM,64.0 x 54.0 mm (2.5 x 2.1 inches),,,Duplex cradle,,,,,,Hydralic telescopic forks,Twin shock,7.5:1,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G3 350,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",129.0 km/h (80.2 mph),Carburettor. Amal,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,18.0 HP (13.1  kW)) @ 5750 RPM,69.0 x 93.0 mm (2.7 x 3.7 inches),Dry sump,4-speed,,3.25-19 ,3.50-19 ,,Kick,,Telescopic,Two schock,6.5:1,,19.00 litres (5.02 US gallons),,,,,,,178 mm (7.0 inches),,,,179.0 kg (394.6 pounds),,,,,,,,,,,
BSA Golden Flash,1958,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,190.0 kg (418.9 pounds),35.0 HP (25.5  kW)) @ 4500 RPM,70.0 x 84.0 mm (2.8 x 3.3 inches),,,,3.25-19 ,3.25-19 ,0.1842 HP/kg,,,Hydralic telescopic forks,Twin shock,,,19.00 litres (5.02 US gallons),,,,,2130 mm (83.9 inches),,,,,,,,,,,,,,,,,
Norton International Model 30,1958,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",150.0 km/h (93.2 mph),Carburettor,,Air,Chain   (final drive),,,,,,Spoked,Single spring-mounted,,,79.0 x 100.0 mm (3.1 x 3.9 inches),,,,,,,,Overhead Cams (OHC),,,7.2:1,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",135.0 km/h (83.9 mph),Carburettor. DellÓrto,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,170.0 kg (374.8 pounds),23.0 HP (16.8  kW)) @ 4500 RPM,88.0 x 82.0 mm (3.5 x 3.2 inches),,4-speed,,3.25-19 ,3.25-19 ,0.1353 HP/kg,,,Telescopic,,,,17.00 litres (4.49 US gallons),,,,,,,200 mm (7.9 inches),,,,,,,,,,,,,,,
MV Agusta Pullmann 125,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Orto MA18,,Air,Chain   (final drive),,,,Single disc,Expanding brake,Pirelli,,80.0 kg (176.4 pounds),,53.0 x 56.0 mm (2.1 x 2.2 inches),,5-speed,,3.50-15 ,3.50-15 ,,,Overhead Valves (OHV),,,9.0:1,,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,2,,
Peugeot S157,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",89.0 km/h (55.3 mph),,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,6.6 HP (4.8  kW)) @ 4500 RPM,56.0 x 60.0 mm (2.2 x 2.4 inches),,,Tubular,,,,,,Traveling link,Swingarm ,6.5:1,,,,,,,,,,,,,,,,,,,,,,,,
Ariel NH 350 Red Hunter,1958,Allround," 2.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",117.0 km/h (72.7 mph),Carburettor. Amal monoblock carburettor,Lucas manual ignition control,Air,Chain   (final drive),"Dry, multiplate",,,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Dual seat,160.0 kg (352.7 pounds),19.0 HP (13.9  kW)) @ 5600 RPM,72.0 x 85.0 mm (2.8 x 3.3 inches),Dual oil pumps,4-speed,Semi-double cradle,3.25-19 ,3.25-19 ,0.1188 HP/kg,Kick,Overhead Valves (OHV),Telescopic fork,Plungers,7.0:1,1422 mm (56.0 inches),12.00 litres (3.17 US gallons),3.40 litres (3.59 US quarts),6V system.,"787 mm (31.0 inches) If adjustable, lowest setting.",,2180 mm (85.8 inches),640 mm (25.2 inches),178 mm (7.0 inches),,,,,,,,,,,1-into-1 pipes,,,7.5 inch headlamp,
KTM Mirabell 125,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),Carburettor,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),7.0 HP (5.1  kW)) @ 4500 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Double  loop ,3.25-12 ,3.25-12 ,0.0560 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,Carburettor,Bobine,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),18.0 HP (13.1  kW)) @ 5750 RPM,69.0 x 93.0 mm (2.7 x 3.7 inches),Wet sump ,4-speed,Duplex steel cradle,3.25-19 ,3.25-19 ,0.1059 HP/kg,Kick,Overhead Valves (OHV),Catrigde,Two shock,6.5:1,1422 mm (56.0 inches),13.50 litres (3.57 US gallons),,,,,2190 mm (86.2 inches),710 mm (28.0 inches),,,,,,,,,,,,,,,,
James Colonel,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",,Carburettor. Villers,Magneto,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,63.0 x 72.0 mm (2.5 x 2.8 inches),Wet sump ,,Single downtube ,3.25-18 ,3.25-18 ,,Kick,,Hydralic telescopic forks,,7.0:1,,,,,,,2002 mm (78.8 inches),860 mm (33.9 inches),,,,,,,,,,,,,,,,
BMW R50,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",140.0 km/h (87.0 mph),Carburettor. 24mm Bing,Magneto,Air,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,26.0 HP (19.0  kW)) @ 5800 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Wet sump ,4-speed,Steel doble loop tubular,3.50-18 ,3.50-18 ,,Kick,Overhead Valves (OHV),Cartridge,Twin shock-Swingarm,6.8:1,1380 mm (54.3 inches),,,,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),200 mm (7.9 inches),,,,195.0 kg (429.9 pounds),,,360kg,,,,,,,,
James Commodore 250,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,Carburettor. Amal,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,66.0 x 73.0 mm (2.6 x 2.9 inches),,4-speed,,3.25-18 ,3.25-18 ,,,,Hydraulic telescopic,Swingarm-two shocks,,,,,,,,,,,,,,,,,,,,,,,,,
