Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Oil capacity,Gearbox,Front tire,Rear tire,Wheels,Seat,Starter,Ignition,Overall height,Overall length,Overall width,Frame type,Front suspension,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Color options,Comments,Torque,Diameter,Electrical,Driveline,"Weight incl. oil, gas, etc",Carrying capacity,Valves per cylinder,Light,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Instruments,Rake (fork angle)
Cushman Eagle,1956,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,84.0 km/h (52.2 mph),,,Carburettor,,,,Belt   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Single spring-mounted,,,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model KH,1956,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,833.0 ccm (50.83 cubic inches),"V2, four-stroke",Flathead 45 degree engine,38.0 HP (27.7  kW)) @ 5200 RPM,152.9 km/h (95.0 mph),,,Carburettor,Sidevalves,,Air,Chain   (final drive),,"Swing-arm, twin hydraulic shocks",Expanding brake (drum brake),Expanding brake (drum brake),181.4 kg (400.0 pounds),0.2094 HP/kg,1435 mm (56.5 inches),17.00 litres (4.49 US gallons),2.80 litres (2.96 US quarts),4-speed,3.25-19 ,3.25-19 ,Wire spoked,,Kick,,,,,Steel single downtube,Hydraulic telescopic fork,,,,,,,,,,6 Volt,,,,,,,,,,,
Ardie BZ 350,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",,20.0 HP (14.6  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),161.0 kg (354.9 pounds),0.1242 HP/kg,,15.00 litres (3.96 US gallons),,4-speed,3.25-19 ,3.25-19 ,Spoked,Single ,Kick,Magneto,1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),Doble cradle,Hydraulic telescopic,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,
Ariel LH 200 Colt,1956,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",,10.0 HP (7.3  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),7.5:1,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),Dry multiplate,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),123.0 kg (271.2 pounds),0.0813 HP/kg,,11.00 litres (2.91 US gallons),,4-speed,2.75-19 ,2.75-19 ,Wire spoked,Dual seat,Kick,Battery/coil,,2030 mm (79.9 inches),640 mm (25.2 inches),Semi double cradle,Telescopic hydraulic fork,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,1-into-1 pipes,,,,,,,6 Volt system,,,,,,,,,,,
NSU Delphin III,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.7 ccm (30.43 cubic inches),"Twin, four-stroke",,110.0 HP (80.3  kW)) @ 8500 RPM,339.0 km/h (210.6 mph),,63.0 x 80.0 mm (2.5 x 3.1 inches),Carburettor,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),273.0 kg (601.9 pounds),0.4029 HP/kg,,,,,3.25-18 ,3.50-20 ,,Single ,,,1100 mm (43.3 inches),3700 mm (145.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,,,,,,,,,,,
Horex Imperator ,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,18.9 HP (13.8  kW)) @ 6790 RPM,135.0 km/h (83.9 mph),7.5:1,,Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),196.0 kg (432.1 pounds),0.0964 HP/kg,,17.00 litres (4.49 US gallons),,,,,,Dual seat,,,990 mm (39.0 inches),2140 mm (84.3 inches),660 mm (26.0 inches),Duplex cradle,,,,,,,,,,190 mm (7.5 inches),,,,,,,,,,,,
Dürkopp MD 176,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,10.5 HP (7.7  kW)) @ 5600 RPM,,7.0:1,61.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,Two shock,Expanding brake (drum brake),Expanding brake (drum brake),124.0 kg (273.4 pounds),0.0847 HP/kg,,13.50 litres (3.57 US gallons),,4-speed,1.85-19 ,1.85-19 ,Spoked,,,Magneto,980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),Single cradle,Hydraulic telescopic,,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,,
James Comet,1956,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,,,47.0 x 57.0 mm (1.9 x 2.2 inches),Carburettor,,Wet sump ,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),75.0 kg (165.3 pounds),,,10.20 litres (2.69 US gallons),,,2.75-19 ,2.75-19 ,,,,Magneto,,1940 mm (76.4 inches),660 mm (26.0 inches),Single cradle,Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",360 degree paprallel,27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,Overhead Valves (OHV),,,Chain   (final drive),,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),158.8 kg (350.0 pounds),0.1701 HP/kg,1400 mm (55.1 inches),,,,,,,,,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Lambretta 150D Series 3,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,6.0 HP (4.4  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto ,,6%,Air,,3 speed- hand changed,,Expanding brake (drum brake),Expanding brake (drum brake),74.8 kg (165.0 pounds),0.0802 HP/kg,,,,3-speed,4-8 ,4-8 ,,Dual seat,Electric,Contact breaker  and  points,,,,Tubular steel,,,,,,,,,,,,,,,,,,,,,,
Zündapp Bella R154,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",,7.3 HP (5.3  kW)) @ 4700 RPM,75.0 km/h (46.6 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Bing 20mm,,,Air,,,,,,137.0 kg (302.0 pounds),0.0533 HP/kg,,8.50 litres (2.25 US gallons),,4-speed,3-12 ,3.5-12 ,Spoked,Dual ,,,,,,,,,,,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
BSA Golden Flash,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,35.0 HP (25.5  kW)) @ 4500 RPM,,,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor,,,Air,Chain   (final drive),,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),190.0 kg (418.9 pounds),0.1842 HP/kg,,19.00 litres (5.02 US gallons),,,3.25-19 ,3.25-19 ,,Dual seat,,,,2130 mm (83.9 inches),,,Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,
NSU Superfox,1956,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",,8.8 HP (6.4  kW)) @ 6500 RPM,,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing,Overhead Cams (OHC),,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),116.0 kg (255.7 pounds),0.0759 HP/kg,,,,,2.75-19 ,2.75-19 ,Spoked,Dual ,Kick,,950 mm (37.4 inches),1987 mm (78.2 inches),645 mm (25.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1956,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Overhead Valves (OHV),Dry sump with dual plunger pumps,Air,Chain   (final drive),Dry,Twin shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),3.40 litres (3.59 US quarts),4-speed,3.00-20 ,3.25-19 ,Dunlop tyres.,Dual seat,Kick,,,2180 mm (85.8 inches),640 mm (25.2 inches),Semi double cradle,Telescopic fork,,,,,140 mm (5.5 inches),,,,178 mm (7.0 inches),,Burman,170.1 kg (375.0 pounds),,,,,,,,,
BMW R50,1956,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",,26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),6.8:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Wet sump ,Air,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Twin shock-Swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,,1380 mm (54.3 inches),,,4-speed,3.50-18 ,3.50-18 ,,Single seat,Kick,Magneto,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),Steel doble loop tubular,Cartridge,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,200 mm (7.9 inches),,,195.0 kg (429.9 pounds),360kg,,,,,,,,
Triumph Speed Twin 5T,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,Overhead Valves (OHV),Dry sump,,Chain   (final drive),,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,1400 mm (55.1 inches),,,,,,,Dual seat,,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1956,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,Air,Chain   (final drive),Wet multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,5-speed,,,Spoked,Dual ,Kick,,,,,Chrom,Hydealic shock absorbers,,,,,,,,,,,,,,,,,,,,,
Peugeot S157,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",,6.6 HP (4.8  kW)) @ 4500 RPM,89.0 km/h (55.3 mph),6.5:1,56.0 x 60.0 mm (2.2 x 2.4 inches),,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,1270 mm (50.0 inches),6.25 litres (1.65 US gallons),,,,,,Two single seats,,,,,,Tubular,Traveling link,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson S-125,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,,Chain   (final drive),,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),90.7 kg (200.0 pounds),,,,,,,,,,,,,,,,Girder fork coil spring,,,,,,,,,,,,,,,,,,,,,
Hercules 319,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,9.0 HP (6.6  kW)) @ 5250 RPM,90.0 km/h (55.9 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),116.0 kg (255.7 pounds),0.0776 HP/kg,,,,,3-19 ,3-19 ,Spoked,Two seats,,,,,,Single cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
DKW RT 200 S,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5000 RPM,98.0 km/h (60.9 mph),6.3:1,68.0 x 58.0 mm (2.7 x 2.3 inches),Carburettor,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),131.0 kg (288.8 pounds),0.0840 HP/kg,,,,,3-18 ,3-18 ,Spoked,Dual ,,,,,,,Telescopic ,,,,,,,,,,,,,,,,,,,,,
Sparta NL200,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, two-stroke",,,,,,Carburettor,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,13.00 litres (3.43 US gallons),,,3-19 ,3-19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,,61.0 x 59.5 mm (2.4 x 2.3 inches),Carburettor,,,,Chain   (final drive),Enclosed ,Swingarm ,"Expanding brake (drum brake). 6,5inches",Expanding brake (drum brake),,,,,,,,,Spoked,Dual ,,,,,,Tubular steel,Telescopic,,,,,,,,,,,,,,,,,,,,,
Horex Regina,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,17.0 HP (12.4  kW)) @ 6640 RPM,120.0 km/h (74.6 mph),6.4:1,,Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,Twin shock-swingarm,Expanding brake (drum brake),Expanding brake (drum brake),196.0 kg (432.1 pounds),0.0867 HP/kg,,13.00 litres (3.43 US gallons),,,3.25-19 ,3.25-19 ,,Single seat,Kick,,,,,Single cradle,Hydralic telescopic forks,,,,,,,,,150 mm (5.9 inches),,,,,,,,,,,,
DKW RT 125 2,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.7 HP (4.2  kW)) @ 5000 RPM,,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,None,Expanding brake (drum brake),Expanding brake (drum brake),86.0 kg (189.6 pounds),0.0663 HP/kg,,9.50 litres (2.51 US gallons),,3-speed,,,Spoked,Single spring-mounted,Kick,Magneto,660 mm (26.0 inches),1959 mm (77.1 inches),660 mm (26.0 inches),Single cradle,Telescopic fork,,,,,,,,,,,,,,,,,,,,,
AJS Model 20 500,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,20.0 HP (14.6  kW)) @ 6800 RPM,137.0 km/h (85.1 mph),7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),178.0 kg (392.4 pounds),0.1124 HP/kg,,13.50 litres (3.57 US gallons),,4-speed,3.25-19 ,3.25-19 ,Spoked,Dual ,Kick,Magneto,,,,Single cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
Aermacchi HD 125 Zeffiro,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.0 HP (3.6  kW)) @ 4500 RPM,78.0 km/h (48.5 mph),5.7:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,Air,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),92.0 kg (202.8 pounds),0.0543 HP/kg,,6.50 litres (1.72 US gallons),,3-speed,2.25-17 ,2.25-17 ,,Two single seats,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Lambretta LD 150 series 1,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,6.0 HP (4.4  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,,3 speed- hand changed,,Expanding brake (drum brake),Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0682 HP/kg,,,,3-speed,,,,Dual seat,,Contact breaker  and  points,,,,Tubular steel,,,,,,,,,,,,,,,,,,,,,,
Ariel MK2 Square Four,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor,Overhead Valves (OHV),,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,,3.25-19 ,4-18 ,Spoked,Dual ,,,,2100 mm (82.7 inches),,Tubular single loop,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL Hydra Glide,1956,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.0 ccm (73.96 cubic inches),"V2, four-stroke",Knucklehead V-twin engine,55.0 HP (40.1  kW)) @ 4800 RPM,160.9 km/h (100.0 mph),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,Hardtail,Expanding brake (drum brake),Expanding brake (drum brake),267.0 kg (588.6 pounds),0.2060 HP/kg,1510 mm (59.4 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),4-speed,5.00-16 ,5.00-16 ,Laced wheels with whitewall tires,Solo seat,,,,,,Steel double downtube,Hydraulic telescopic forks ,,,,,,"Black, red, blue",,,,6 Volt battery.,,,Soft saddlebags,,,,,,,,
NSU Prima V,1956,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,9.5 HP (6.9  kW)) @ 5200 RPM,90.0 km/h (55.9 mph),6.4:1,62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor. Bing,,,Air,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),138.0 kg (304.2 pounds),0.0688 HP/kg,,12.00 litres (3.17 US gallons),,4-speed,3.50-10 ,3.50-10 ,Spoked,Two single seats,Electric,Battery,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),Tubular,Telescopic,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350 Spectre,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,,9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),Wet multiplate,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),171.0 kg (377.0 pounds),,,17.00 litres (4.49 US gallons),,4-speed,3.25-18 ,3.25-18 ,Spoked,Dual ,Kick,Magneto,,,,Single cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
Horex Resident,1956,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,17.5 HP (12.8  kW)) @ 6250 RPM,130.0 km/h (80.8 mph),7.1:1,,Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),150.0 kg (330.7 pounds),0.1167 HP/kg,,16.00 litres (4.23 US gallons),,,3.50-18 ,3.5-18 ,,,Kick,,980 mm (38.6 inches),2000 mm (78.7 inches),860 mm (33.9 inches),,Hydralic telescopic forks,,,,,,,,,150 mm (5.9 inches),,,,,,,,,,,,
Hercules 322,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",,15.1 HP (11.0  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing 24mm,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),159.0 kg (350.5 pounds),0.0950 HP/kg,,,,,,,Spoked,Dual ,,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
Ariel 4G Square Four Mark II,1956,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,Double twin cylinder arranged as a square. ,45.0 HP (32.8  kW)) @ 5500 RPM,160.0 km/h (99.4 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor with air cleaner,Overhead Valves (OHV),Dry sump with dual oil pump.,Air,Chain   (final drive),,Plunger-link spring,Expanding brake (drum brake),Expanding brake (drum brake),193.0 kg (425.5 pounds),0.2332 HP/kg,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),3.40 litres (3.59 US quarts),4-speed,3.25-19 ,4.00-18 ,Wire spoked. Dunlop tyres.,,Kick,,,2184 mm (86.0 inches),686 mm (27.0 inches),Full cradle,Oil damped telescopic fork,,,,,140 mm (5.5 inches),Red/chrome,"Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold.",,203 mm (8.0 inches),,,,,2,"7.5 inch, 30 Watt headlamp.",,,,,,
Maico Blizzard 277,1956,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,Air,Chain   (final drive),Wet multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,5-speed,,,Alloy-spoked,Dual ,Kick,,,,,Chrom,Hydealic shock absorbers,,,,,,,,,,,,,,,,,,,,,
Zündapp Bella 151,1956,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",,7.3 HP (5.3  kW)) @ 4700 RPM,,,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,,,,,,,,141.0 kg (310.9 pounds),0.0518 HP/kg,,,,,3.50-12 ,3.50-12 ,Spoked,Dual ,,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
NSU Supermax,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 6500 RPM,126.0 km/h (78.3 mph),,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing HD 2/26,,,Air,Chain   (final drive),Dry multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),174.0 kg (383.6 pounds),0.1034 HP/kg,,14.00 litres (3.70 US gallons),,4-speed,3.25-19 ,3.25-19 ,,Single ,Kick,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),Steel,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 88,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,31.0 HP (22.6  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor. Amal,Overhead Valves (OHV),,Air,Chain   (final drive),,Swingarm -two plungers,Expanding brake (drum brake),Expanding brake (drum brake),179.0 kg (394.6 pounds),0.1732 HP/kg,,,,4-speed,,,Spoked,Dual ,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
DKW RT 200 VS,1956,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),,66.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. Bing ,,,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),131.0 kg (288.8 pounds),0.0840 HP/kg,,,,4-speed,3-18 ,3-18 ,Spoked,Dual ,,,,,,,Telescopic ,,,,,,,,,,,,,,,,,,,,,
Laverda 98 Sport,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor,,,Air,,,Twin shock-swingarm,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Spoked,Dual seat,Kick,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,
James Colonel,1956,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",,,,7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor. Villers,,Wet sump ,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),125.0 kg (275.6 pounds),,,12.50 litres (3.30 US gallons),,,3-18 ,3-18 ,,,Kick,Magneto,,2002 mm (78.8 inches),860 mm (33.9 inches),Single downtube ,Hydralic telescopic forks,,,,,,,,,,,,,,,,,,,,,
Norton Manx,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,47.0 HP (34.3  kW)) @ 6500 RPM,210.0 km/h (130.5 mph),,,Carburettor. NA,Double Overhead Cams/Twin Cam (DOHC),,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),0.3357 HP/kg,1400 mm (55.1 inches),,,,,,,,,,,,,Steel,Telescopic fork,,,,,,,,,,,,,,,,,,,,,
