Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Engine details,Valves per cylinder,Fuel system,Fuel control,Lubrication system,Gearbox,Front tire,Rear tire,Diameter,Wheels,Overall length,Oil capacity,Color options,Starter,Light,Comments,Clutch,Torque,Ignition,Overall width,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Overall height,Electrical,Carrying capacity,"Weight incl. oil, gas, etc",Driveline,Rake (fork angle)
Douglas Dragonfly,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,,,,,Chain   (final drive),Tubular  duplex cradle,Leading link,Hydraulic shock absorber,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,166.0 kg (366.0 pounds),0.1024 HP/kg,,25.00 litres (6.61 US gallons),,,Carburettor,Overhead Valves (OHV),,,,,,Spoked,,,,,,,,,Coil,,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,
DKW RT 200 2,1955,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 4200 RPM,98.0 km/h (60.9 mph),6.3:1,66.0 x 58.0 mm (2.6 x 2.3 inches),Air,Chain   (final drive),,Telescopic ,None,Expanding brake (drum brake),Expanding brake (drum brake),Single ,124.0 kg (273.4 pounds),0.0887 HP/kg,,13.00 litres (3.43 US gallons),,,Carburettor,,,,3-19 ,3-19 ,,Spoked,,,,,,,,,,,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,
Ariel VH 500 Red Hunter,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Air,Chain   (final drive),Semi double cradle,Grider forks,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),,,Carburettor. Amal monoblock,Overhead Valves (OHV),Dry sump with dual plunger pumps,4-speed,3.00-20 ,3.25-19 ,178 mm (7.0 inches),Dunlop tyres.,2180 mm (85.8 inches),3.40 litres (3.59 US quarts),"Dark red with gold stripes, black",Kick,,,Dry,,,640 mm (25.2 inches),,,,,140 mm (5.5 inches),,,,170.1 kg (375.0 pounds),Burman,
BMW R67 3,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",28.0 HP (20.4  kW)) @ 5600 RPM,145.0 km/h (90.1 mph),6.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Air,Shaft drive (cardan)   (final drive),Steel-single cradle,Cartridge,Telscopic,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Single seat,,,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),,,Carburettor. Bing 24mm,Overhead Valves (OHV),Wet sump ,4-speed,3.50-19 ,3.5-19 ,200 mm (7.9 inches),,2130 mm (83.9 inches),,,Kick,,,Dry-single plate-cable operated,,Magneto,790 mm (31.1 inches),4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,985 mm (38.8 inches),,355,192.0 kg (423.3 pounds),,
Velocette Venom,1955,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,161.0 km/h (100.0 mph),8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,177.0 kg (390.2 pounds),0.1921 HP/kg,1391 mm (54.8 inches),13.60 litres (3.59 US gallons),,,Carburettor. Amal ,Overhead Valves (OHV),Wet sump ,,3.25-19 ,3.25-19 ,,,,,Black with gold pin striping,Kick,,It was produced 5721 units of this bike.,Dry-three plate,,Belt driven dynamo,,,,Single,,,,,,,,27.0°
Adler M 100,1955,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,70.0 km/h (43.5 mph),7.2:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Air,Chain   (final drive),Doble cradle,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,70.0 kg (154.3 pounds),,,,,,Carburettor,,,3-speed,,,125 mm (4.9 inches),Spoked,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Air,Chain   (final drive),,Telescopic fork ,Plunger rear suspension,Expanding brake (drum brake),Expanding brake (drum brake),,96.2 kg (212.0 pounds),0.1040 HP/kg,1245 mm (49.0 inches),11.36 litres (3.00 US gallons),Amal monobloc carburettor,,Carburettor,Overhead Valves (OHV),Dry sumpy,4-speed,3.00-19 ,3.00-19 ,112 mm (4.4 inches),,,2.40 litres (2.54 US quarts),"Silver, red/white, blue/white",,,Made at Triumph´s Meriden factory.,Wet multiplate,,,,,,,,,,,,,,
Motobi Imperiale Sport,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,120.7 km/h (75.0 mph),6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,93.0 kg (205.0 pounds),0.0624 HP/kg,,15.00 litres (3.96 US gallons),,,Carburettor. DellÓrto,Overhead Valves (OHV),,,,,,,,,,Kick,,,,,,,,,,,,,,,,,
Maico Maicoletta 277,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,71.0 x 70.0 mm (2.8 x 2.8 inches),,Chain   (final drive),Tubular steel,Telescopic,Swingarm-coil springs-dampers,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Dual ,146.0 kg (321.9 pounds),,,,,,Carburettor,,,,,,,Spoked,2100 mm (82.7 inches),,,Electric,,,,,,640 mm (25.2 inches),,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,970 mm (38.2 inches),,,,,
Harley-Davidson Servi-Car GE,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,Leading link-Springer type,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,Sidevalves,,,5.10-16 ,5.10-16 ,,Spoked,2540 mm (100.0 inches),,,,,,,,,1219 mm (48.0 inches),,,,,,,,,,,
