Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Engine details,Valves per cylinder,Fuel system,Fuel control,Lubrication system,Gearbox,Front tire,Rear tire,Diameter,Wheels,Overall length,Oil capacity,Color options,Starter,Light,Comments,Clutch,Torque,Ignition,Overall width,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Overall height,Electrical,Carrying capacity,"Weight incl. oil, gas, etc",Driveline,Rake (fork angle)
Horex Regina,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6640 RPM,120.0 km/h (74.6 mph),6.4:1,,Air,Chain   (final drive),Single cradle,Hydralic telescopic forks,Twin shock-swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,140.0 kg (308.6 pounds),0.1214 HP/kg,,13.00 litres (3.43 US gallons),,,Carburettor,Overhead Valves (OHV),,,3.25-19 ,3.25-19 ,150 mm (5.9 inches),,,,,Kick,,,,,,,,,,,,,,,,,
Hercules 322,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",15.1 HP (11.0  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),,52.0 x 58.0 mm (2.0 x 2.3 inches),Air,Chain   (final drive),,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,159.0 kg (350.5 pounds),0.0950 HP/kg,,,,,Carburettor. Bing 24mm,,,,3.25-19 ,3.25-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Zündapp DB 255 Elastic 250,1955,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5200 RPM,100.0 km/h (62.1 mph),,67.0 x 70.0 mm (2.6 x 2.8 inches),,,,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,147.0 kg (324.1 pounds),0.0884 HP/kg,,,,,Carburettor,,,,3.25-19 ,3.25-19 ,,,,,,,,,,,,,,,,,,,,,,,
Ardie BD 201,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 5900 RPM,,6.9:1,64.0 x 61.0 mm (2.5 x 2.4 inches),Air,Chain   (final drive),Single cradle,Hydraulic telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,131.0 kg (288.8 pounds),0.0916 HP/kg,,13.50 litres (3.57 US gallons),,,Carburettor,,,,3-19 ,3-19 ,180 mm (7.1 inches),Spoked,2030 mm (79.9 inches),,,,,,,,Magneto,670 mm (26.4 inches),,,,,,980 mm (38.6 inches),,,,,
Ariel NH 350 Red Hunter,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Air,Chain   (final drive),Semi-double cradle,Telescopic fork,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,160.0 kg (352.7 pounds),0.1219 HP/kg,,12.00 litres (3.17 US gallons),,,Carburettor. Amal monoblock carburettor,Overhead Valves (OHV),Dual oil pumps,4-speed,3.00-20 ,3.25-19 ,178 mm (7.0 inches),Dunlop tyres,2180 mm (85.8 inches),3.40 litres (3.59 US quarts),Dark red,Kick,7.5 inch headlamp,,"Dry, multiplate",,Lucas manual ignition control,640 mm (25.2 inches),,,1-into-1 pipes,,,,6V system.,,,,
Zündapp Bella 201,1955,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5200 RPM,90.0 km/h (55.9 mph),,64.0 x 62.0 mm (2.5 x 2.4 inches),,,,Telescopic,,,,Dual ,146.0 kg (321.9 pounds),0.0685 HP/kg,,,,,Carburettor. Bing,,,,3.50-12 ,3.50-12 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Motobi Catria Lusso,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 6800 RPM,120.7 km/h (75.0 mph),,67.0 x 57.0 mm (2.6 x 2.2 inches),Air,Chain   (final drive),,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,97.5 kg (215.0 pounds),0.0872 HP/kg,,,,,Carburettor. DellÓrto,Overhead Valves (OHV),,,,,,Spoked,,,,,,,,,Magneto ,,,,,,,,,,,,
Zündapp Bella 151,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",7.3 HP (5.3  kW)) @ 4700 RPM,80.0 km/h (49.7 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),,,,Telescopic,,,,Dual ,141.0 kg (310.9 pounds),0.0518 HP/kg,,,,,Carburettor,,,,3.50-12 ,3.50-12 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Panther 65 Springer,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,,6.5:1,60.0 x 88.0 mm (2.4 x 3.5 inches),Air,Chain   (final drive),Single cradle,Hydraulic telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,Carburettor,,,4-speed,3.25-19 ,3.25-19 ,,,,,,Kick,,,Dry multiplate,,Magneto,,,,,,,,,,,,
DKW RT 175 S,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,94.0 km/h (58.4 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),Air,Chain   (final drive),,Telescopic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,130.0 kg (286.6 pounds),,,,,,Carburettor,,,4-speed,3-18 ,3-18 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 65 Turismo,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",,56.0 km/h (34.8 mph),5.5:1,42.0 x 46.0 mm (1.7 x 1.8 inches),Air,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,55.0 kg (121.3 pounds),,,,,,Carburettor. DellÓrto,,,,2.25-20 ,2.25-20 ,,Spoked,1900 mm (74.8 inches),,,Kick,,,,,,700 mm (27.6 inches),,,,,,910 mm (35.8 inches),,,,,
NSU Max ,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,126.0 km/h (78.3 mph),,69.0 x 66.0 mm (2.7 x 2.6 inches),Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,155.0 kg (341.7 pounds),0.1097 HP/kg,,,,,Carburettor. Bing,,,4-speed,3.25-19 ,3.25-19 ,,Spoked,2030 mm (79.9 inches),,,Kick,,,,,,670 mm (26.4 inches),,,,,,990 mm (39.0 inches),,,,,
