Model,Year,Category,Rating,Displacement,Engine type,Fuel control,Gearbox,Front suspension,Seat,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Rear suspension,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Wheelbase,Starter,Engine details,Valves per cylinder,Exhaust system,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Fuel capacity,Color options,Comments,Lubrication system,Clutch,Driveline,Overall width,Ground clearance,Oil capacity,Electrical,Fuel consumption,Greenhouse gases,Carrying capacity,Ignition,Modifications compared to previous model,Seat height,Instruments
Velocette Mac ,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Hydralic telescopic forks,Dual seat,18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Air,Chain   (final drive),,Swingarm,3.25-19 ,3.50-19 ,,161.0 kg (354.9 pounds),0.1118 HP/kg,1276 mm (50.2 inches),Kick,,,,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,,11.00 litres (2.91 US gallons),,,,Wet multiplate,,,,,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",
Whizzer Luxembourg,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,Coil-spring front fork,,1.4 HP (1.0  kW)),,,,Carburettor,Air,Chain   (final drive),,,,,,,,1118 mm (44.0 inches),Kick,,,,Expanding brake (drum brake),,,,,,Green,US engine and bike manufacturer. This model was built in Europe.,,,,,,,,,,,,,,
Moto Guzzi Dondolino,1947,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, two-stroke",Overhead Valves (OHV),,,Single ,33.0 HP (24.1  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),8.5:1,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto SSM,,Chain   (final drive),,,,,Spoked,127.0 kg (280.0 pounds),0.2598 HP/kg,1470 mm (57.9 inches),,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,Magneto,,,
Ariel NH 350 Red Hunter,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Telescopic fork,Two-person seat,19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Air,Chain   (final drive),Semi-double cradle,Plungers,3.00-20 ,3.25-19 ,,159.0 kg (350.5 pounds),0.1226 HP/kg,,Kick,,,1-into-1 pipes,Expanding brake (drum brake),,Expanding brake (drum brake),,2180 mm (85.8 inches),11.00 litres (2.91 US gallons),Dark red,,,"Dry, multiplate",,640 mm (25.2 inches),,,6V system.,,,,Flywheel,,,
Triumph 500 Grand Prix,1947,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",Overhead Valves (OHV),,,Single ,40.0 HP (29.2  kW)) @ 7200 RPM,,,63.0 x 80.0 mm (2.5 x 3.1 inches),,Air,Chain   (final drive),,,,,Spoked,142.0 kg (313.1 pounds),0.2817 HP/kg,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,
Ariel VB 600,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",,4-speed,,,15.6 HP (11.4  kW)) @ 4400 RPM,,5.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,Air,Chain   (final drive),,,3.25-19 ,3.50-19 ,Wire spokes,,,1422 mm (56.0 inches),Kick,Sidevalve,,1-into-1,Expanding brake (drum brake),,Expanding brake (drum brake),166.0 kg (366.0 pounds),2184 mm (86.0 inches),15.90 litres (4.20 US gallons),Black,,Dry sump,"Dry, multiplate",,686 mm (27.0 inches),127 mm (5.0 inches),,6V battery.,,,,,,,Tank mounted.
Velocette KTT Mk VIII,1947,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),,,Dual ,35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,Air,Chain   (final drive),Single cradle,,,,Spoked,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,Multicolored. Black with gold pin striping,,Dry sump,Wet multiplate,,,,,,,,,,,,
Gilera Saturno Turismo,1947,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Girder forks,Dual ,18.0 HP (13.1  kW)),,6.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto RDF28,Air,Chain   (final drive),,,3.25-19 ,3.25-19 ,Spoked,168.0 kg (370.4 pounds),0.1071 HP/kg,1470 mm (57.9 inches),,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,
Vincent HRD Series B Rapide,1947,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",Overhead Valves (OHV),,Gilder fork with coil over shock,Feridax Dunopillo Dualseat,45.0 HP (32.8  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,,Chain   (final drive),,Triangulated swingarm with coil over shocks,,,,,,1410 mm (55.5 inches),,50degree V-twin,,,Expanding brake (drum brake),,Expanding brake (drum brake),206.4 kg (455.0 pounds),,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1947,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",Overhead Valves (OHV),,Telescopic,Dual seat,27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,,Chain   (final drive),,Swingarm with coil-over shocks,,,,,,1400 mm (55.1 inches),,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,Dry sump,,,,,,,,,,Battery/ coil,,,
Rikuo RT 2,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",Sidevalves,4-speed,Telescopic,Spring-mounted seat,22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Air,,,,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,,,,,,,,Four speed ,,,,,,,,,Generator and battery,,,
Harley-Davidson Servi-Car GE,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",Sidevalves,,Leading link-Springer type,Single spring-mounted,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,5.10-16 ,5.10-16 ,Spoked,,,1549 mm (61.0 inches),Electric,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,2540 mm (100.0 inches),12.87 litres (3.40 US gallons),,,,,,1219 mm (48.0 inches),,,,,,,,,,
Lambretta 125M,1947,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,3-speed,,Dual seat,4.1 HP (3.0  kW)) @ 4500 RPM,67.6 km/h (42.0 mph),6.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,Air,,Tubular steel,,3.5-7 ,"3,5-7 ",,54.9 kg (121.0 pounds),0.0747 HP/kg,,Electric,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,5%,3 speed- hand changed,,,,,,,,,Contact breaker  and  points,,,
Triumph Speed Twin ,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",Overhead Valves (OHV),,Telescopic,,27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,,Chain   (final drive),,Rigid-optional sprung hub,,,,158.8 kg (350.0 pounds),0.1701 HP/kg,1400 mm (55.1 inches),,360 degree paprallel,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,Lucas altrnator,,,
