Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Max RPM,Fuel system,Starter,Torque,Lubrication system,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Color options,Ignition,Clutch,Exhaust system,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Front wheel travel,Rear wheel travel,Overall height,Overall width,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,Instruments,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Sprockets,Belt teeth,Belt width,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Alternate seat height,Ground clearance,Comments,Trail,Coolant,Chain size,Chain links
Maico GS 490,1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5600 RPM,13.5:1,86.5 x 83.0 mm (3.4 x 3.3 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750 (reduced effect #2),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200 (reduced effect),1992,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1179.0 ccm (71.94 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9250 RPM,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,267.0 kg (588.6 pounds),25.00 litres (6.61 US gallons),241.0 km/h (149.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1992,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7750 RPM,9.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Single disc,Single disc,191.0 kg (421.1 pounds),17.00 litres (4.49 US gallons),208.0 km/h (129.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet,1992,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,6.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),14.50 litres (3.83 US gallons),123.0 km/h (76.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30,1992,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",112.0 HP (81.8  kW)) @ 11000 RPM,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,244.0 kg (537.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California III C Injection,1992,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,9.5:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,,Single disc,267.0 kg (588.6 pounds),26.00 litres (6.87 US gallons),186.0 km/h (115.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/80-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),22.00 litres (5.81 US gallons),218.0 km/h (135.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Standard,1992,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),149.0 km/h (92.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 400 Vulcan,1992,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,,70.0 x 51.3 mm (2.8 x 2.0 inches),,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake (drum brake),,10.00 litres (2.64 US gallons),150.0 km/h (93.2 mph),,Carburettor. Keihin,Electric,,Wet Sump,,,,182.0 kg (401.2 pounds),0.2473 HP/kg,,,,Black / Blue,Coil,Wet Plate,Double,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent entry level cruiser though systems are a little dated,,,,
Harley-Davidson Tour Glide Ultra Classic (reduced effect),1992,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,366.0 kg (806.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
