Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Comments,Top speed,Compression,Bore x stroke,Clutch,Frame type,Front tire,Rear tire,Diameter,Wheels,Seat,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Ignition,Gearbox,Modifications compared to previous model,0-100 km/h (0-62 mph),Lubrication system,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Carrying capacity,Seat height,Ground clearance,Color options,Electrical,Driveline,Exhaust system,Engine details,Alternate seat height,Valves per cylinder,Torque,Max RPM,Reserve fuel capacity,Oil capacity,Rake (fork angle)
Bultaco TSS,1961,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,13.5:1,,Wet multiplate,Tubular,2.75-18 ,2.75-18 ,,Spoked,Single Seat,,,,,,,,,,,,,,,,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,
NSU Quickly S2 23,1961,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,43.0 km/h (26.7 mph),,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Series 2,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,Carburettor,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),103.9 kg (229.0 pounds),0.0501 HP/kg,,69.2 km/h (43.0 mph),7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,3.50-10 ,3.50-10 ,,,Two single seats,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 6500 RPM,Carburettor,,Chain   (final drive),Telescopic fork,,Expanding brake (drum brake),Expanding brake (drum brake),109.0 kg (240.3 pounds),0.1009 HP/kg,,110.0 km/h (68.4 mph),,,Wet multiplate,,2.50-18 ,3.00-19 ,,,Dual seat,,,,,12.00 litres (3.17 US gallons),,,,4-speed,,,,,,,,,,,,,,,,,,,,,
Zündapp 250 S Trophy,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",14.5 HP (10.6  kW)) @ 5500 RPM,Carburettor,Air,Chain   (final drive),,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),136.0 kg (299.8 pounds),0.1066 HP/kg,,,,67.0 x 70.0 mm (2.6 x 2.8 inches),Wet multiplate,,3.25-16 ,3.25-16 ,,,Dual ,,,,,,,,,4-speed,,,,,,,,,,,,,,,,,,,,,
Dürkopp Diana TS,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",10.8 HP (7.9  kW)),Carburettor. Bing ,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,95.0 km/h (59.0 mph),,,,,,,,,Dual ,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Vespa VBB Sportique,1961,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,,,,,,80.0 km/h (49.7 mph),,,,,,,,Spoked,Two single seats,,,,,,,,,4-speed,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350 Spectre,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,Carburettor,Air,Chain   (final drive),Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),171.0 kg (377.0 pounds),,,,9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Wet multiplate,Single cradle,3.25-18 ,3.25-18 ,,,Dual ,,,,,17.00 litres (4.49 US gallons),Kick,Overhead Valves (OHV),Magneto,4-speed,,,,,,,,,,,,,,,,,,,,,
Matchless G50,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",51.0 HP (37.2  kW)) @ 7200 RPM,Carburettor,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,150.0 kg (330.7 pounds),0.3400 HP/kg,,,,,,BSA,,,,,Single seat,,,,,,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,
Vespa Allstate Cruisaire,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,76.0 km/h (47.2 mph),,,,,,,,Spoked,Dual ,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Chain   (final drive),Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,61.0 x 59.5 mm (2.4 x 2.3 inches),Enclosed ,Tubular steel,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III ,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",7.7 HP (5.6  kW)) @ 5200 RPM,Carburettor. Bing,Air,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),131.0 kg (288.8 pounds),0.0588 HP/kg,,84.0 km/h (52.2 mph),6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),,,3.50-10 ,3.50-10 ,,Spoked,Two single seats,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,12.00 litres (3.17 US gallons),Kick,,Magneto ,4-speed,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),93.0 kg (205.0 pounds),0.0624 HP/kg,,,6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,,,,,,,,,,15.00 litres (3.96 US gallons),,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,
NSU Supermax,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 6500 RPM,Carburettor. Bing HD 2/26,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),174.0 kg (383.6 pounds),0.1034 HP/kg,,126.0 km/h (78.3 mph),,69.0 x 66.0 mm (2.7 x 2.6 inches),Dry multiplate,Steel,3.25-19 ,3.25-19 ,,Spoked,Single ,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,14.00 litres (3.70 US gallons),Kick,,,4-speed,,,,,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,Carburettor. Villiers,,Chain   (final drive),,,,,,,,113.0 km/h (70.2 mph),8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T120 C Bonneville,1961,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,Carburettor. Amal monobloc carburettor,Air,Chain   (final drive),"Telescopic fork, hydraulic damping.","Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",Expanding brake (drum brake),Expanding brake (drum brake),178.0 kg (392.4 pounds),0.2584 HP/kg,Export competition model with high-level exhaust pipes.,185.0 km/h (115.0 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),"Multi-plate, wet",Duplex frame,3.25-18 ,4.00-18 ,178 mm (7.0 inches),,Dual seat,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,4-speed,,,,,,,,"770 mm (30.3 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Sky Blue/Silver Sheen/Gold Pinstripe,AC Alternator,,,,,,,,,,
Aermacchi H-D Wisconsin ,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,Carburettor,Air,Chain   (final drive),Telescopic,Two shock,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,115.0 kg (253.5 pounds),0.1391 HP/kg,,130.0 km/h (80.8 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Wet multiplate,Single cradle,2.50-17 ,3-17 ,180 mm (7.1 inches),Spoked,Dual ,980 mm (38.6 inches),1970 mm (77.6 inches),700 mm (27.6 inches),,14.00 litres (3.70 US gallons),Kick,,Bobine,4-speed,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1961,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Chain   (final drive),Hydealic shock absorbers,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,115.0 km/h (71.5 mph),,,,Chrom,,,,Spoked,Dual ,,,,,,Kick,,,5-speed,,,,,,,,,,,,,,,,,,,,,
AJS Model 14 250,1961,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7250 RPM,Carburettor,Air,Chain   (final drive),Telescopic,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),149.0 kg (328.5 pounds),0.1141 HP/kg,,,7.8:1,69.9 x 64.9 mm (2.8 x 2.6 inches),Wet multiplate,Open tubular steel,3.25-17 ,3.25-17 ,152 mm (6.0 inches),Spoked,Dual ,,,,1345 mm (53.0 inches),12.50 litres (3.30 US gallons),Kick,Overhead Valves (OHV),,4-speed,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),"Blue, black",,,,,,,,,,,
Ducati 250 Diana ,1961,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 7750 RPM,Carburettor. DellÓrto 29mm carbs,Air,Chain   (final drive),Hydralic telescopic forks,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),135.0 kg (297.6 pounds),0.1407 HP/kg,,150.0 km/h (93.2 mph),8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,,2.75-18 ,3.00-18 ,160 mm (6.3 inches),,Dual seat,,,,,13.00 litres (3.43 US gallons),Kick,Desmodromic valve control,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri 50,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",1.3 HP (1.0  kW)) @ 5500 RPM,Carburettor,Air,Chain   (final drive),,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),67.0 kg (147.7 pounds),0.0200 HP/kg,,,,38.0 x 42.0 mm (1.5 x 1.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sachs,,,,,,,
Panther M 120,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,Carburettor,Air,Chain   (final drive),Telescopic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),209.1 kg (461.0 pounds),0.1291 HP/kg,,,6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),,,3-19 ,3-19 ,,Spoked,Dual ,,,,1500 mm (59.1 inches),,,Overhead Valves (OHV),,,,,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,"710 mm (28.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,
NSU Prima V,1961,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 5200 RPM,Carburettor. Bing,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),138.0 kg (304.2 pounds),0.0688 HP/kg,,,,62.0 x 57.6 mm (2.4 x 2.3 inches),,,3.50-10 ,3.50-10 ,,Spoked,Two single seats,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,12.00 litres (3.17 US gallons),Electric,,Battery,4-speed,,,,,,,,,,,,,,,,,,,,,
Hercules R 200,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",10.2 HP (7.4  kW)) @ 5250 RPM,Carburettor. Bing 24mm,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),144.0 kg (317.5 pounds),0.0708 HP/kg,,98.0 km/h (60.9 mph),,65.0 x 58.0 mm (2.6 x 2.3 inches),,,,,,,Dual ,,,,,,Electric,,,4-speed,,,,,,,,,,,,,,,,,,,,,
BSA Golden Flash,1961,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 4500 RPM,Carburettor,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),190.0 kg (418.9 pounds),0.1842 HP/kg,,,,70.0 x 84.0 mm (2.8 x 3.3 inches),,,,,,,,,2130 mm (83.9 inches),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp Bella 175S,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5400 RPM,Carburettor. Bing 24mm,Air,,,,,,146.0 kg (321.9 pounds),0.0753 HP/kg,,90.0 km/h (55.9 mph),,60.0 x 62.0 mm (2.4 x 2.4 inches),,Tubular,,,,Spoked,Dual ,,,,,8.50 litres (2.25 US gallons),,,,4-speed,,,,,,,,,,,,,,,"730 mm (28.7 inches) If adjustable, highest setting.",,,,,,
Norton Dominator 99SS,1961,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,Carburettor,,Chain   (final drive),Telescopic,Swingarm -two plungers,Expanding brake (drum brake),Expanding brake (drum brake),,,,163.0 km/h (101.3 mph),7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),,Down tube-single,,,,Spoked,Dual ,,,,1410 mm (55.5 inches),16.00 litres (4.23 US gallons),Kick,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,
Aermacchi H-D 250 Ala Azzurra,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",13.7 HP (10.0  kW)) @ 6500 RPM,Carburettor,Air,Chain   (final drive),Telescopic ,Swingarm-two shocks,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,114.0 kg (251.3 pounds),0.1202 HP/kg,,125.0 km/h (77.7 mph),7.0:1,,Wet multiplate,Single cradle,2.50-17 ,3-17 ,160 mm (6.3 inches),Spoked,Dual ,950 mm (37.4 inches),1920 mm (75.6 inches),700 mm (27.6 inches),,18.00 litres (4.76 US gallons),Kick,,,4-speed,,,Bobine,,,,,,,,,,,,,,,,,,
Agrati Capri,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,80.0 ccm (4.88 cubic inches),"Single cylinder, two-stroke",3.8 HP (2.7  kW)) @ 6500 RPM,Carburettor. DellÓrto,,,,Swingarm with three shoks,,,75.0 kg (165.3 pounds),0.0500 HP/kg,,70.0 km/h (43.5 mph),6.5:1,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,Minarelli,,,,,,,
BSA A7 Shoting Star,1961,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",19.7 HP (14.4  kW)) @ 6000 RPM,Carburettor,Air,,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,,,168.0 km/h (104.4 mph),6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Wet multiplate,Single cradle,3.25-19 ,3.25-19 ,,,,,,,1391 mm (54.8 inches),,Kick,,Lucas magneto,,,,,,,,,,,,,,,,,,,,,,
Hercules A 175,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",9.3 HP (6.8  kW)) @ 5250 RPM,Carburettor. Bing 24mm,,Chain   (final drive),Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),0.0664 HP/kg,,90.0 km/h (55.9 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),,,3.25-16 ,3.50-16 ,150 mm (5.9 inches),Spoked,Dual ,,,,,11.50 litres (3.04 US gallons),Kick,,,4-speed,,,,,,,,,,,,,,,,,,,,,
BSA Bantam D7,1961,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,Spoked,Dual ,,,,,9.00 litres (2.38 US gallons),,,,3-speed,,92.00 seconds,,,,,,,,Shades red or blue-chrome highlights,WicoPacy,,,,,,,,,,
Zündapp Bella R203,1961,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5200 RPM,Carburettor. Bing 22mm,Air,,,,,,147.0 kg (324.1 pounds),0.0680 HP/kg,,90.0 km/h (55.9 mph),,64.0 x 62.0 mm (2.5 x 2.4 inches),,Tubular,3.50-12 ,3.50-12 ,,Spoked,Dual ,,,,,8.50 litres (2.25 US gallons),Electric,,,4-speed,,,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,"730 mm (28.7 inches) If adjustable, highest setting.",,,,,,
NSU Maxi 175,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",12.3 HP (9.0  kW)) @ 6500 RPM,Carburettor. Bing HD 2/22,Air,Chain   (final drive),,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),124.0 kg (273.4 pounds),0.0992 HP/kg,,110.0 km/h (68.4 mph),7.8:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Dry multiplate,,3.25-18 ,3.25-18 ,,,,1018 mm (40.1 inches),1997 mm (78.6 inches),655 mm (25.8 inches),,10.80 litres (2.85 US gallons),Kick,,,4-speed,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 277,1961,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Chain   (final drive),Hydealic shock absorbers,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,Wet multiplate,Chrom,,,,Spoked,Dual ,,,,,,Kick,,,5-speed,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),137.0 kg (302.0 pounds),,,,,,Multiplate,,2.75-17 ,3-17 ,,Spoked,Single ,,,,,,Kick,Overhead Valves (OHV),,4-speed,,,,,,,,,,,,,,,,,,,,,
James L25 Commodore,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,66.0 x 73.0 mm (2.6 x 2.9 inches),,,,,,,,,,,,,,,,,,105.00 seconds,,,,,,,,,,,,,,,,,,,
Mustang Thoroughbred,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,320.0 ccm (19.53 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,,Swingarm ,,,,,,97.0 km/h (60.3 mph),,,,,,,,Spoked,Dual ,,,,,,,Sidevalves,,4-speed,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 4300 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1059 HP/kg,,135.0 km/h (83.9 mph),,88.0 x 82.0 mm (3.5 x 3.2 inches),Wet multiplate,,3.25-19 ,3.25-19 ,,Spoked,,,,,,17.00 litres (4.49 US gallons),,,,4-speed,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson AH Topper-Scooter,1961,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Leading link,Swingarm with two extension springs,Expanding brake (drum brake),Expanding brake (drum brake),,,,74.0 km/h (46.0 mph),8.0:1,60.0 x 58.0 mm (2.4 x 2.3 inches),,,4-12 ,4-12 ,,,Dual ,,,,,6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5100 RPM,Carburettor,,Chain   (final drive),Telescopic,Swingarm ,Expanding brake (drum brake). 6.5mm,Expanding brake (drum brake),,,,109.0 km/h (67.7 mph),,67.0 x 70.0 mm (2.6 x 2.8 inches),Enclosed ,,,,,Spoked,Dual ,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala Bianca 175,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.2 ccm (10.63 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 6500 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic ,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake). Simplex,110.0 kg (242.5 pounds),0.0855 HP/kg,,,,60.0 x 61.0 mm (2.4 x 2.4 inches),Wet multiplate,Single cradle,2.50-17 ,2.75-17 ,,Spoked,Dual ,,,,,17.00 litres (4.49 US gallons),Kick,,,4-speed,,,Bobine,,,,,,,,,,,,,,,,,,
Velocette Valiant,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",12.0 HP (8.8  kW)) @ 6000 RPM,Carburettor,Air,Shaft drive (cardan)   (final drive),Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),116.0 kg (255.7 pounds),0.1034 HP/kg,,110.0 km/h (68.4 mph),8.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),,,,,130 mm (5.1 inches),,Dual seat,,,,,12.00 litres (3.17 US gallons),,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1961,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6300 RPM,Carburettor,Air,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,193.1 km/h (120.0 mph),,,,,,,,,Single seat,,,,,,,Overhead Valves (OHV),,,,,,,,205.0 kg (451.9 pounds),,,,,,,,45-degree V-twin,,,,,,,
Raleigh Supermatic RM5,1961,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Leading link,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,48.0 km/h (29.8 mph),,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB77,1961,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",28.2 HP (20.6  kW)) @ 9000 RPM,Carburettor,Air,Chain   (final drive),Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),159.0 kg (350.5 pounds),0.1771 HP/kg,,168.3 km/h (104.6 mph),8.1:1,60.0 x 54.0 mm (2.4 x 2.1 inches),Wet Plate,Tubular Steel,2.75-18 ,3-18 ,,,,,,,1300 mm (51.2 inches),14.00 litres (3.70 US gallons),Electric & kick,Overhead Cams (OHC),Battery and Coil,4-speed,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,Black,,,,,,2,,,,,
Puch 250 SGS 67,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,Carburettor,,Chain   (final drive),Telescopic,Swingarm,,,150.0 kg (330.7 pounds),0.1100 HP/kg,,110.0 km/h (68.4 mph),6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),,,3-16 ,3.50-16 ,,Spoked,Dual ,,,,,13.00 litres (3.43 US gallons),,,,4-speed,,,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,
