Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Power,Top speed,Power/weight ratio,Diameter,Overall height,Overall length,Overall width,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Reserve fuel capacity,Oil capacity,Color options,Electrical,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Carrying capacity,0-100 km/h (0-62 mph),Valves per cylinder,Comments,Torque,Light
James Comet,1957,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,47.0 x 57.0 mm (1.9 x 2.2 inches),Carburettor,,Magneto,Air,,Chain   (final drive),,Single cradle,Hydralic telescopic forks,,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,75.0 kg (165.3 pounds),10.20 litres (2.69 US gallons),,,,,,,,,Wet sump ,,,,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers 25mm,,,,,Chain   (final drive),,,,,,,,,Spoked,Dual ,122.5 kg (270.0 pounds),,,17.0 HP (12.4  kW)) @ 5250 RPM,113.0 km/h (70.2 mph),0.1388 HP/kg,,,,,,,180 degree,,,,,,,,,,,,,,,,,,
Ariel NH 350 Red Hunter,1957,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Amal monoblock carburettor,Overhead Valves (OHV),Lucas manual ignition control,Air,4-speed,Chain   (final drive),"Dry, multiplate",Semi-double cradle,Telescopic fork,Plungers,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Dual seat,160.0 kg (352.7 pounds),12.00 litres (3.17 US gallons),Kick,19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),0.1219 HP/kg,178 mm (7.0 inches),,2180 mm (85.8 inches),640 mm (25.2 inches),Dual oil pumps,,,1-into-1 pipes,,,,,3.40 litres (3.59 US quarts),,6V system.,,,,,,,,,,7.5 inch headlamp
Lambretta LD150 series 3,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,Contact breaker  and  points,Air,3-speed,,3 speed- hand changed,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,89.8 kg (198.0 pounds),,,6.0 HP (4.4  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),0.0668 HP/kg,,,,,6%,,,,,,,,,,,,,,,,,,,,
MZ RE125,1957,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,,,,,,Spoked,Single ,,,,,193.0 km/h (119.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Nomad 600,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,597.0 ccm (36.43 cubic inches),"Twin, two-stroke",,,Carburettor,,,Air,,Chain   (final drive),,Steel,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,153.0 km/h (95.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Simson Eskorte,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,Magneto,Air,,Shaft drive (cardan)   (final drive),,,Telescopic,Swingarm ,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,157.0 kg (346.1 pounds),16.00 litres (4.23 US gallons),,23.0 HP (16.8  kW)) @ 6000 RPM,130.0 km/h (80.8 mph),0.1465 HP/kg,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Lambretta 125LD Series 3,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",6.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,,Contact breaker  and  points,Air,3-speed,,3 speed- hand changed,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,88.0 kg (194.0 pounds),,,5.0 HP (3.6  kW)) @ 4600 RPM,74.0 km/h (46.0 mph),0.0568 HP/kg,,,,,6%,,,,,,,,,,,,,,,,,,,,
KTM Mirabell 125,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,,,Chain   (final drive),,Double  loop ,,,3.25-12 ,3.25-12 ,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),,,7.0 HP (5.1  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),0.0560 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel LH 200 Colt,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",7.5:1,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Amal Monobloc carburetter with air cleaner. ,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),Two-plate clutch,Semi double cradle,Telescopic hydraulic fork,Plungers,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Dual seat,123.0 kg (271.2 pounds),11.00 litres (2.91 US gallons),Kick,10.0 HP (7.3  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),0.0813 HP/kg,,,2030 mm (79.9 inches),640 mm (25.2 inches),,,,1-into-1 pipes,,,,,,Brown,6 Volt system,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Lambretta TV 175 Series 1,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,170.0 ccm (10.37 cubic inches),"Single cylinder, two-stroke",8.0:1,60.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Chromed wheel rims,Dual ,114.8 kg (253.0 pounds),,Kick,8.6 HP (6.3  kW)) @ 6000 RPM,103.0 km/h (64.0 mph),0.0749 HP/kg,,,,,,,,,,,,,,Ivory,,,,,,,,,,,
Motobi Catria Lusso,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. DellÓrto,Overhead Valves (OHV),Magneto ,Air,,Chain   (final drive),,,Telescopic,Two schock,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,97.5 kg (215.0 pounds),,,8.5 HP (6.2  kW)) @ 6800 RPM,120.7 km/h (75.0 mph),0.0872 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel KH 500 Fieldmaster,1957,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",6.8:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Overhead Valves (OHV),Lucas,Air,4-speed,Chain   (final drive),Dry plate,Duplex loop,Telescopic forks,Rigid,3.00-20 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Solo seat with springs,177.0 kg (390.2 pounds),17.00 litres (4.49 US gallons),Kick,28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),0.1584 HP/kg,,,2184 mm (86.0 inches),686 mm (27.0 inches),Dry sump,1422 mm (56.0 inches),,2-into-2 pipes,,"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),,,Red,,,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Ariel was bought by BSA in 1944.,,
Hercules 313 Starr,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,,Air,,Chain   (final drive),,,Telescopic,Rigid,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,90.0 kg (198.4 pounds),,,6.5 HP (4.7  kW)) @ 4700 RPM,85.0 km/h (52.8 mph),0.0722 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Sparta NL200,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, two-stroke",,,Carburettor,,,Air,,Chain   (final drive),,,,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardie BZ 350 D,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Doble cradle,Hydraulic telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,161.0 kg (354.9 pounds),15.00 litres (3.96 US gallons),Kick,,130.0 km/h (80.8 mph),,180 mm (7.1 inches),1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),,,,,,,,,,,,,,,,,,,,,
Sparta SL 250,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,Magneto,Air,,,,,Telescopic,Twin shock-Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,16.00 litres (4.23 US gallons),Kick,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,12.87 litres (3.40 US gallons),,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,1549 mm (61.0 inches),,,,,,,,,,,,,,,,,,,
Ardie BZ 350,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Twin, two-stroke",6.8:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,Magneto,Air,,Chain   (final drive),Wet multiplate,Doble cradle,Hydraulic telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,161.0 kg (354.9 pounds),15.00 litres (3.96 US gallons),Kick,20.0 HP (14.6  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),0.1242 HP/kg,180 mm (7.1 inches),1015 mm (40.0 inches),2090 mm (82.3 inches),680 mm (26.8 inches),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1957,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",,,Carburettor. Single Tilloston,Sidevalves,Magneto Fairbanks-Morse,Air,4-speed,,,,Telescopic,Rigid,,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),,,46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),0.2817 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala Bianca 175,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.2 ccm (10.63 cubic inches),"Single cylinder, four-stroke",,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic ,Swingarm-two shocks,2.50-17 ,2.75-17 ,Expanding brake (drum brake),Expanding brake (drum brake). Simplex,Spoked,Dual ,110.0 kg (242.5 pounds),17.00 litres (4.49 US gallons),Kick,9.4 HP (6.9  kW)) @ 6500 RPM,100.0 km/h (62.1 mph),0.0855 HP/kg,,880 mm (34.6 inches),1970 mm (77.6 inches),600 mm (23.6 inches),Bobine,1270 mm (50.0 inches),,,,,,,,,,,,,,,,,,,
Aermacchi HD 150 Zeffiro,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,3-speed,Chain   (final drive),Wet multiplate,,Telescopic,,3-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,,Kick,6.0 HP (4.4  kW)) @ 4500 RPM,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 200 S,1957,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,132.0 kg (291.0 pounds),,,12.0 HP (8.8  kW)) @ 5400 RPM,,0.0909 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Simson 425 T,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,,Magneto,Air,,Shaft drive (cardan)   (final drive),,Steel,Telescopic,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,140.0 kg (308.6 pounds),12.00 litres (3.17 US gallons),,12.0 HP (8.8  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),0.0857 HP/kg,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
BSA A7 Shoting Star,1957,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,,Lucas magneto,Air,,,Wet multiplate,Single cradle,Hydralic telescopic forks,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,193.0 kg (425.5 pounds),19.00 litres (5.02 US gallons),Kick,19.7 HP (14.4  kW)) @ 6000 RPM,168.0 km/h (104.4 mph),0.1021 HP/kg,,,2180 mm (85.8 inches),,,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,
DKW RT 200 VS,1957,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,66.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. Bing ,,,Air,4-speed,Chain   (final drive),,,Telescopic ,Swingarm ,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,131.0 kg (288.8 pounds),,,11.0 HP (8.0  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),0.0840 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 20 500,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,,Magneto,Air,,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,178.0 kg (392.4 pounds),13.50 litres (3.57 US gallons),Kick,20.0 HP (14.6  kW)) @ 6800 RPM,137.0 km/h (85.1 mph),0.1124 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Adler M 100,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",7.2:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,Air,3-speed,Chain   (final drive),,Doble cradle,,,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,70.0 kg (154.3 pounds),7.00 litres (1.85 US gallons),,,70.0 km/h (43.5 mph),,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 201S,1957,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,62.0 x 62.0 mm (2.4 x 2.4 inches),Carburettor. Bing ,,,Air,,,,Tubular,Telescopic,,3.25-16 ,3.26-16 ,,,Spoked,Dual ,136.0 kg (299.8 pounds),,Kick,12.0 HP (8.8  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),0.0882 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 73,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,73.0 ccm (4.45 cubic inches),"Single cylinder, two-stroke",,42.0 x 46.0 mm (1.7 x 1.8 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),Wet multiplate,,Telescopic,,2.25-20 ,2.25-20 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single seat,55.0 kg (121.3 pounds),,Kick,,70.0 km/h (43.5 mph),,,,,,,1200 mm (47.2 inches),,,,,,,,,,,,,,,,,,,
BMW R50,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",6.8:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble loop tubular,Cartridge,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake),,Single seat,,,Kick,26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),,200 mm (7.9 inches),980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),Wet sump ,1380 mm (54.3 inches),,,195.0 kg (429.9 pounds),,,,,,,,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,360kg,,,,,
