Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Power,Top speed,Power/weight ratio,Diameter,Overall height,Overall length,Overall width,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Reserve fuel capacity,Oil capacity,Color options,Electrical,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Carrying capacity,0-100 km/h (0-62 mph),Valves per cylinder,Comments,Torque,Light
Ariel 4G Square Four Mark II,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor with air cleaner,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Full cradle,Oil damped telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,18.93 litres (5.00 US gallons),Kick,45.0 HP (32.8  kW)) @ 5500 RPM,160.0 km/h (99.4 mph),,203 mm (8.0 inches),,2184 mm (86.0 inches),686 mm (27.0 inches),Dry sump with dual oil pump.,1422 mm (56.0 inches),Double twin cylinder arranged as a square. ,,197.3 kg (435.0 pounds),,140 mm (5.5 inches),,3.40 litres (3.59 US quarts),Red/chrome,,,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,2,"Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold.",,"7.5 inch, 30 Watt headlamp."
Harley-Davidson Sportster XL Ironhead,1957,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",7.0:1,,Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Steel single downtube,Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,224.5 kg (495.0 pounds),16.60 litres (4.39 US gallons),Kick,40.0 HP (29.2  kW)) @ 5500 RPM,152.9 km/h (95.0 mph),0.1781 HP/kg,,,,,,1448 mm (57.0 inches),,,,,,,2.80 litres (2.96 US quarts),,12 Volt system,,,,,,,,,,
NSU Prima III ,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor. Bing,,Magneto ,Air,4-speed,Shaft drive (cardan)   (final drive),,Tubular,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,131.0 kg (288.8 pounds),12.00 litres (3.17 US gallons),Electric,7.7 HP (5.6  kW)) @ 5200 RPM,84.0 km/h (52.2 mph),0.0588 HP/kg,,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,,,,,,,,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
NSU Prima V,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",6.4:1,62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor. Bing,,Battery,Air,4-speed,Shaft drive (cardan)   (final drive),,Tubular,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,138.0 kg (304.2 pounds),12.00 litres (3.17 US gallons),Electric,9.5 HP (6.9  kW)) @ 5200 RPM,90.0 km/h (55.9 mph),0.0688 HP/kg,,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,,4-speed,Chain   (final drive),Multiplate,,Telescopic,,2.75-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,120.0 kg (264.6 pounds),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Bergmeister,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"V2, four-stroke",7.5:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Carburettor,,,Air,,Shaft drive (cardan)   (final drive),Dry plate,Duplex cradle,Hydralic telescopic forks,Twin shock,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,21.0 HP (15.3  kW)) @ 6300 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R69,1957,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate-saucer spring-dry,Steel-doble cradle,Cartridge,Twin shock-swingarm,,3.5-18 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Spoked,Dual seat,,17.00 litres (4.49 US gallons),Kick,35.0 HP (25.5  kW)) @ 6800 RPM,175.0 km/h (108.7 mph),,200 mm (7.9 inches),980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),Forced feed,1365 mm (53.7 inches),,,202.0 kg (445.3 pounds),,,,,,,,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,360,,,Carrying capacity with orginal sidecar 600kg,,
NSU Maxi 175,1957,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",7.8:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing HD 2/22,,,Air,4-speed,Chain   (final drive),Dry multiplate,Steel,,Two schock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,124.0 kg (273.4 pounds),10.80 litres (2.85 US gallons),Kick,12.3 HP (9.0  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),0.0992 HP/kg,,1018 mm (40.1 inches),1997 mm (78.6 inches),655 mm (25.8 inches),,,,,,,,,,,,,,,,,,,,,
Aermacchi HD 125 Zeffiro,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.7:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,Air,3-speed,Chain   (final drive),Wet multiplate,,Telescopic,,2.25-17 ,2.25-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,92.0 kg (202.8 pounds),6.50 litres (1.72 US gallons),Kick,5.0 HP (3.6  kW)) @ 4500 RPM,78.0 km/h (48.5 mph),0.0543 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson S-125,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,Chain   (final drive),,,Girder fork coil spring,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,,90.7 kg (200.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp Diana,1957,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,12.00 litres (3.17 US gallons),Kick,,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
