Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Wheels,Seat,Color options,Starter,Comments,Clutch,Frame type,Dry weight,Power/weight ratio,Overall width
Ariel De Dion Tricycle,1898,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",De Dion rear mounted engine,2.3 HP (1.6  kW)),Carburettor,Air,Belt   (final drive),None,None,Expanding brake (drum brake),Expanding brake (drum brake),"Two rear wheels, wire spoked",Single seat with springs,Black,Kick,Two rear wheels.,,,,,
De Dion-Bouton Tricycle,1898,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, four-stroke",,1.5 HP (1.1  kW)) @ 1500 RPM,Carburettor. Surface carburator,Air,,,,,,Two rear wheels. Michelin pneumatic tires.,,,,French made motorbike.,Direct drive  via a pair of gears from the motor directly to the rear axle,"Decauville, steel",80.0 kg (176.4 pounds),0.0188 HP/kg,920 mm (36.2 inches)
