Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Fuel control,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Cooling system,Gearbox,Front suspension,Rear suspension,Front tire,Rear tire,Ignition,Diameter,Power/weight ratio,Wheelbase,Fuel capacity,Starter,Fuel consumption,Greenhouse gases,Frame type,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Carrying capacity,Exhaust system,Light,Modifications compared to previous model,Oil capacity
BMW R39,1927,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor. 20mm BMW Spezial,Overhead Valves (OHV),Shaft drive (cardan)   (final drive),Expanding brake (drum brake),,,,,6.0 HP (4.4  kW)) @ 4000 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Air,3-speed,Leading link ,Rigid,3.5-27 ,3.5-27 ,,,,,,,,,Steel doble cradle,6.1:1,Wet sump ,Dry-single plate-cable operated,110.0 kg (242.5 pounds),950 mm (37.4 inches),2050 mm (80.7 inches),800 mm (31.5 inches),,,,,
BMW R42,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",95.0 km/h (59.0 mph),Carburettor. 20mm BMW Spezial,Overhead Valves (OHV),Shaft drive (cardan)   (final drive),Expanding brake (drum brake),,,Single seat,,12.0 HP (8.7  kW)) @ 3400 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Air,3-speed,Leading link ,Rigid,3.5-26 ,3.5-26 ,,150 mm (5.9 inches),,1410 mm (55.5 inches),,Kick,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,4.9:1,Wet sump ,Dry-single plate-cable operated,126.0 kg (277.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),,,,,
BMW R47,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",95.0 km/h (59.0 mph),Carburettor. 20mm BMW Spezial,Overhead Valves (OHV),Shaft drive (cardan)   (final drive),Expanding brake (drum brake),,,Single seat,,12.0 HP (8.7  kW)) @ 3400 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Air,3-speed,Leading link ,Rigid,3.5-26 ,3.5-26 ,,150 mm (5.9 inches),,1410 mm (55.5 inches),,Kick,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,4.9:1,Wet sump ,Dry-single plate-cable operated,126.0 kg (277.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),188kg,,,,
Harley-Davidson Eight-valve racer,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",193.0 km/h (119.9 mph),Carburettor. Schebler,Overhead Valves (OHV),Chain   (final drive),,,Spoked,Single ,,,,Liquid,1-speed,,,,,,,,,,,,,,,,,,,,,,No pipes,,,
Harley-Davidson Model S,1927,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, two-stroke",137.0 km/h (85.1 mph),Carburettor,Overhead Valves (OHV),Chain   (final drive),,,Spoked,Single ,,,,,,,,2.5-28 ,2.5-28 ,,,,,,,,,,,,,,,,,,No pipes,,,
Sunbeam 95L Special,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,Carburettor,Overhead Valves (OHV),Chain   (final drive),,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coventry Eagle Coventry Eagle,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",,Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,175.0 kg (385.8 pounds),85.5 HP (62.4  kW)),,Air,,Open tubular,Girder fork,,,Magneto Lucas,,0.4886 HP/kg,,,,,,,6.5:1,,,,,,,,,,,
Indian Prince,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,106.0 kg (233.7 pounds),,70.0 x 78.0 mm (2.8 x 3.1 inches),,,,,2.5-26 ,2.5-26 ,Magneto,,,,,,,,,,Mechanical pump,,,,,,,,,,
Indian BGE,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"V2, four-stroke",,Carburettor,,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,145.0 kg (319.7 pounds),,69.0 x 77.0 mm (2.7 x 3.0 inches),,,,,3.85-25 ,3.85-25 ,Magneto,,,,,,,,,,,,,,,,,,,,
AJS G6 Bigport,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",,Carburettor. Binks,Overhead Valves (OHV),Chain   (final drive),,,Spoked,Single ,,,74.0 x 81.0 mm (2.9 x 3.2 inches),,3-speed,,,,,Lucas Magneto,,,,,,,,,,,,,,,,,,,,
NSU 8PS,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"Twin, four-stroke",,Carburettor,,Chain   (final drive),,,Balloon tire,Single ,,16.0 HP (11.7  kW)) @ 3500 RPM,80.0 x 99.0 mm (3.1 x 3.9 inches),Air,3-speed,,,3-28 ,3-28 ,,,,1490 mm (58.7 inches),,,,,Steel,,,,,760 mm (29.9 inches),2320 mm (91.3 inches),880 mm (34.6 inches),,,,,
Indian Chief,1927,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,Carburettor. Linkert,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,Telescopic,Plungertype with coil springs,,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,,
Indian LE,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Single ,122.0 kg (269.0 pounds),,68.0 x 90.0 mm (2.7 x 3.5 inches),,,,,3.30-25 ,3.30-25 ,Magneto,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model B,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.7 ccm (21.09 cubic inches),"Single cylinder, four-stroke",,,Sidevalves,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,113.0 kg (249.1 pounds),,73.0 x 82.6 mm (2.9 x 3.3 inches),,,,,3-26 ,3-26 ,,,,,,,,,,,,,,,,,,,,,
NSU 6PS,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"Twin, four-stroke",90.0 km/h (55.9 mph),Carburettor,,,,,Spoked,Single ,155.0 kg (341.7 pounds),,72.5 x 90.0 mm (2.9 x 3.5 inches),Air,,,,3-26 ,3-26 ,Magneto,,,1455 mm (57.3 inches),,,,,Steel,,,,,720 mm (28.3 inches),2240 mm (88.2 inches),880 mm (34.6 inches),,,,,
Harley-Davidson Model BA,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,Carburettor. Schebler,Sidevalves,Chain   (final drive),,,,Spring-mounted seat,,,,,,Leading link -coil springs,Rigid-,,,,,,,,,,,Steel -high carbon,,,,,,,,,,Headlights electric,An improvement was a muffler that reduced back pressure and increased performance.,
Cleveland Master Four,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,Carburettor,,Chain   (final drive),,,Spoked,Single spring-mounted,213.0 kg (469.6 pounds),,57.0 x 71.0 mm (2.2 x 2.8 inches),,3-speed,,,3.5-27 ,3.5-27 ,Magneto,,,,,,,,,,,,,,,,,,,,
Scott Super Squirrel,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,,Chain   (final drive),,,,Solo seat with springs,,,,,3-speed,,,,,,,,,,,,,,,,Two-speed foot shift,,,,,,,Actylene head and tail,,
NSU 501T,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor. Amac OJ 15,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,158.0 kg (348.3 pounds),11.0 HP (8.0  kW)) @ 4000 RPM,80.0 x 99.0 mm (3.1 x 3.9 inches),Air,3-speed,,,3.50-26 ,3.50-26 ,Magneto,,0.0696 HP/kg,1390 mm (54.7 inches),12.00 litres (3.17 US gallons),Kick,,,Double steel,,,,,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),,,,,2.00 litres (2.11 US quarts)
