Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Seat,Engine details,Torque,Bore x stroke,Valves per cylinder,Dry weight,Power/weight ratio,Electrical,Comments,Color options,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Instruments,Light,Rake (fork angle),Ground clearance,Oil capacity,0-100 km/h (0-62 mph),Max RPM,Reserve fuel capacity,Driveline,Alternate seat height
Ducati 125 s,1967,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"V8, four-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Interceptor ,1967,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,,Overhead Valves (OHV),,,Air,,,,,,,,,,,,,,Spoked,,,,,,,,Dual ,,,,,,,,,,,190.0 kg (418.9 pounds),,,,,,,,,,,
Moto Guzzi V7 Polizia Stradale,1967,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",703.0 ccm (42.90 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 5000 RPM,,,Carburettor,,,,Air,,Shaft drive (cardan)   (final drive),Dry multiplate,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Single Seat,,,,,,,,,,,,,,,,,,,,,,
Lambretta SX 150,1967,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 5600 RPM,96.6 km/h (60.0 mph),7.0:1,Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,Kick,,Dual ,,,57.0 x 58.0 mm (2.2 x 2.3 inches),,109.8 kg (242.0 pounds),0.0797 HP/kg,,,,,,,,,,,,,,,,
Agrati Capri 50 S,1967,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.3 HP (3.1  kW)) @ 6500 RPM,,10.3:1,Carburettor. DellÓrto,,,,Air,,Chain   (final drive),,,,,,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,Garelli,,40.0 x 39.0 mm (1.6 x 1.5 inches),,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1967,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Single seat,,,,,,,,,,,,,,,,,,,,,,
Laverda Super Sport,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, four-stroke",,,9.1:1,Carburettor,,Magneto,,Air,,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,15.00 litres (3.96 US gallons),,,Dual ,,,52.0 x 47.0 mm (2.0 x 1.9 inches),,,,,,,,,,,,,,,,,,,
Hercules K 103 S,1967,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,95.0 km/h (59.0 mph),,Carburettor. Bing 22mm,,,,Air,,Chain   (final drive),,,,Single cradle,,Swingarm ,2.75-21 ,2.75-21 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,,Dual ,,,48.0 x 54.0 mm (1.9 x 2.1 inches),,99.0 kg (218.3 pounds),0.0828 HP/kg,,,,,,,,,,,,,,,,
Kawasaki W2,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"In-line four, four-stroke",53.0 HP (38.7  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),9.0:1,Carburettor. Two,Overhead Valves (OHV),Battery,,Air,4-speed,Chain   (final drive),,,,Duplex steel cradle,Telescopic,Swingarm ,3.25-19 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,1060 mm (41.7 inches),2126 mm (83.7 inches),880 mm (34.6 inches),1415 mm (55.7 inches),15.00 litres (3.96 US gallons),,,Dual ,,,,,,,,,,,,,,,,,3.20 litres (3.38 US quarts),,,,,
Triumph Tina,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,72.0 km/h (44.7 mph),7.0:1,Carburettor,Overhead Cams (OHC),,,,,Belt   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Dual ,,,50.0 x 50.0 mm (2.0 x 2.0 inches),,65.0 kg (143.3 pounds),,,,,,,,,,,,,,,,,
Ducati 250 Diana ,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 7750 RPM,150.0 km/h (93.2 mph),8.0:1,Carburettor. DellÓrto 29mm carbs,Desmodromic valve control,,,Air,,Chain   (final drive),,,,,Hydralic telescopic forks,Dual choks,2.75-18 ,3.00-18 ,Expanding brake (drum brake),160 mm (6.3 inches),Expanding brake (drum brake),,,,,,,,,Dual seat,,,74.0 x 57.8 mm (2.9 x 2.3 inches),,135.0 kg (297.6 pounds),0.1407 HP/kg,,,,,,,,,,,,,,,,
Zündapp C 50 Sport,1967,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,40.0 km/h (24.9 mph),,,,,,,,,,,,,,,"2,75-21 ","2,75-21 ",Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,11.00 litres (2.91 US gallons),,,Dual ,,,39.0 x 41.0 mm (1.5 x 1.6 inches),,80.0 kg (176.4 pounds),,,,,,,,,,,,,,,,,
Aermacchi H-D Wisconsin ,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),8.5:1,Carburettor,,Bobine,,Air,,Chain   (final drive),Wet multiplate,,,Single cradle,Telescopic,Two shock,2.50-17 ,3-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,980 mm (38.6 inches),1970 mm (77.6 inches),700 mm (27.6 inches),,,Kick,,,,,66.0 x 72.0 mm (2.6 x 2.8 inches),,,,,,,,,,,,,,,,,,,
Pannonia P20,1967,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 7500 RPM,130.0 km/h (80.8 mph),11.5:1,Carburettor,,,,Air,5-speed,Chain   (final drive),Wet type,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel,,,3.00-18 ,3.25-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,2010 mm (79.1 inches),615 mm (24.2 inches),1300 mm (51.2 inches),16.50 litres (4.36 US gallons),Kick,,,,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,56.0 x 50.0 mm (2.2 x 2.0 inches),,142.0 kg (313.1 pounds),0.1549 HP/kg,,,Black,,156.0 kg (343.9 pounds),,,,,,,10.00 seconds,8000,3.00 litres (0.79 US gallons),,
Lambretta TV 175 Series 3,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 5300 RPM,96.6 km/h (60.0 mph),8.0:1,Carburettor. DellÓrto,,,,Air,,Chain   (final drive),,,,,,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),Chromed wheel rims,,,,,,Kick,,Dual ,,,62.0 x 58.0 mm (2.4 x 2.3 inches),,109.8 kg (242.0 pounds),0.0797 HP/kg,,,Ivory,,,,,,,,,,,,,
Vespa 180 Supersport,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,181.1 ccm (11.05 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6250 RPM,106.5 km/h (66.2 mph),7.7:1,Carburettor,Rotary valves,,,Air,4-speed,Chain   (final drive),,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1230 mm (48.4 inches),,,,,,,,,116.0 kg (255.7 pounds),0.0862 HP/kg,,,,,,,,,,,,,,,,
BMW R50 2,1967,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),7.5:1,Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,Dual seat,,,68.0 x 68.0 mm (2.7 x 2.7 inches),,,,,,,,195.0 kg (429.9 pounds),,,,,,,,,,,
Harley-Davidson Servi-Car GE,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,Carburettor,Sidevalves,,,,,,,,,,,,5.10-16 ,5.10-16 ,Single disc,,Single disc,Spoked,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),Electric,,Single spring-mounted,,,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 700,1967,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,700.0 ccm (42.71 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,164.0 km/h (101.9 mph),9.0:1,Carburettor. DellÓrto,,,,Air,,Shaft drive (cardan)   (final drive),Dry multiplate,,,,Telescopic,,4-18 ,4-18 ,Expanding brake (drum brake). Duplex,200 mm (7.9 inches),Expanding brake (drum brake). Simplex,,1050 mm (41.3 inches),2245 mm (88.4 inches),795 mm (31.3 inches),1470 mm (57.9 inches),20.00 litres (5.28 US gallons),,,Dual ,,,80.0 x 70.0 mm (3.1 x 2.8 inches),,206.0 kg (454.2 pounds),0.2427 HP/kg,,,,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,
BMW R60US,1967,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),,Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,Spoked,980 mm (38.6 inches),2137 mm (84.1 inches),860 mm (33.9 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,360kg,Dual seat,,,72.0 x 73.0 mm (2.8 x 2.9 inches),,,,,,,,195.0 kg (429.9 pounds),,,,,,,,,,,
Triumph Bonneville T120TT,1967,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),11.0:1,Carburettor. Amal Concentric 30mm,Overhead Valves (OHV),AC energy transfer (ET) ,,Air,4-speed,Chain   (final drive),"Multi-plate, wet",,,"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",3.50-19 ,4.00-18 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,,1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Kick,,Dual seat,,,71.0 x 82.0 mm (2.8 x 3.2 inches),,165.0 kg (363.8 pounds),0.3152 HP/kg,12-volt electrics,,"Deep red/white, deep red/gold",,,"775 mm (30.5 inches) If adjustable, lowest setting.",,,28.0°,127 mm (5.0 inches),,,,,"Constant-mesh, right-foot shift",
BSA A65 Star,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 4500 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,Dual seat,,,,,,,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1967,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,Carburettor,,,,,4-speed,Chain   (final drive),,,,,Telescopic,Swingarm,3-16 ,3.50-16 ,,,,,,,,,,,,Dual ,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,78.0 x 45.0 mm (3.1 x 1.8 inches),,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Series 3,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,69.2 km/h (43.0 mph),7.0:1,Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),1290 mm (50.8 inches),,Kick,,Two single seats,,,52.0 x 58.0 mm (2.0 x 2.3 inches),,103.9 kg (229.0 pounds),0.0501 HP/kg,,,,,,,,,,,,,,,,
MZ ES 250,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",17.5 HP (12.8  kW)) @ 5300 RPM,,8.1:1,Carburettor,,,,Air,,Chain   (final drive),Wet multiplate,,,,Telescopic,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,15.00 litres (3.96 US gallons),Kick,,Dual ,,,65.0 x 70.0 mm (2.6 x 2.8 inches),,162.0 kg (357.1 pounds),0.1080 HP/kg,,,,,,,,,,,,,,,,
Velocette Thruxton,1967,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,9.1:1,Carburettor,Overhead Valves (OHV),Magneto,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Hydralic telescopic forks,Twin shock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),,17.00 litres (4.49 US gallons),,,,,,86.0 x 86.0 mm (3.4 x 3.4 inches),,170.0 kg (374.8 pounds),,,,,,,,,,,,,,,,,
Matchless G3 350,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,Carburettor,,,,Air,,Chain   (final drive),Wet multiplate,,,,Telescopic,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,Dual ,,,69.0 x 93.0 mm (2.7 x 3.7 inches),,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120C Street Scrambler,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),8.5:1,"Carburettor. Amal concentric carburettor, 30 mm.",Overhead Valves (OHV),Lucas K2F auto-advance Magneto,,Air,4-speed,Chain   (final drive),"Multi-plate, wet",,,"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",3.25-19 ,4.00-18 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),"Wire spoked, grey and black",,,,1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Kick,,Dual seat,,,71.0 x 82.0 mm (2.8 x 3.2 inches),,165.0 kg (363.8 pounds),0.2788 HP/kg,12-volt electrics,Street Scrambler with high exhaust pipes.,"Deep red/white, Deep red/gold",,,"775 mm (30.5 inches) If adjustable, lowest setting.",,,26.0°,127 mm (5.0 inches),,,,,,
Triumph T100C,1967,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Dual seat,,,,,,,,,,,168.3 kg (371.0 pounds),,,,,,,,,,,
Bultaco TSS,1967,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,13.5:1,,,,,,,Chain   (final drive),,,,,Telescopic,,2.75-18 ,2.75-18 ,,,,Spoked,,,,,,,,Single Seat,,,,,,,,,,,,,,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting."
Kawasaki A1 Samurai,1967,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",31.0 HP (22.6  kW)) @ 8000 RPM,,,Carburettor,Rotary valves,,,Air,5-speed,Chain   (final drive),,,,,Telescopic,Swingarm ,3-18 ,3.25-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,13.50 litres (3.57 US gallons),,,Dual ,,,,,145.0 kg (319.7 pounds),0.2138 HP/kg,,,,,,,,,,,,,,,,
Gilera Ekstra 4,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,125.0 km/h (77.7 mph),,Carburettor. DellÓrto ,,,,Air,,,,,,,Hydralic telescopic forks,Twin shock,,,,150 mm (5.9 inches),,,970 mm (38.2 inches),2030 mm (79.9 inches),650 mm (25.6 inches),1330 mm (52.4 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,
