Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Seat,Engine details,Torque,Bore x stroke,Valves per cylinder,Dry weight,Power/weight ratio,Electrical,Comments,Color options,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Instruments,Light,Rake (fork angle),Ground clearance,Oil capacity,0-100 km/h (0-62 mph),Max RPM,Reserve fuel capacity,Driveline,Alternate seat height
Matchless G2 CSR,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,121.0 km/h (75.2 mph),10.5:1,Carburettor,,,Dry sump,Air,,Chain   (final drive),Wet multiplate,,,Single cradle,Telescopic,Swinging arm-shocks-coil springs,3-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,Dual ,,,70.0 x 65.0 mm (2.8 x 2.6 inches),,,,,,,,,,,,,,,,,,,
Jawa Californian 350,1967,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",28.0 HP (20.4  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),,Carburettor,,,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm,3.25-19 ,3.25-19 ,,,,Spoked,,,,,,,,Dual ,,,58.0 x 65.0 mm (2.3 x 2.6 inches),,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1967,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 4300 RPM,,,Carburettor,,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,88.0 x 82.0 mm (3.5 x 3.2 inches),,,,,,,,,,,,,,,,,,,
Lambretta SX 200,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5500 RPM,96.6 km/h (60.0 mph),8.0:1,Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,,Dual ,,,66.0 x 58.0 mm (2.6 x 2.3 inches),,109.8 kg (242.0 pounds),0.1002 HP/kg,,,,,,,,,,,,,,,,
Zündapp 514-320 KS 100,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",8.1 HP (5.9  kW)) @ 6300 RPM,,9.0:1,Carburettor. Bing,,,,Air,,Chain   (final drive),,,,,Telescopic fork,Swingarm ,2.75-16 ,2.75-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,11.50 litres (3.04 US gallons),Kick,,,,,50.0 x 50.0 mm (2.0 x 2.0 inches),,90.0 kg (198.4 pounds),0.0894 HP/kg,,,,,,,,,,,,,,,,
Zündapp Roller Super,1967,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Bing,,,,Air,,,,,,,,,2.50-10 ,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Dual ,,,39.0 x 42.0 mm (1.5 x 1.7 inches),,83.5 kg (184.1 pounds),,,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 8500 RPM,170.0 km/h (105.6 mph),,Carburettor. DellÓrto ,,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Hydralic telescopic forks,Swingarm,2.50-18 ,2.75-18 ,Expanding brake (drum brake),180 mm (7.1 inches),Expanding brake (drum brake),,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),,17.00 litres (4.49 US gallons),Kick,,,,,66.0 x 72.0 mm (2.6 x 2.8 inches),,110.0 kg (242.5 pounds),0.2255 HP/kg,,,,,,,,,,,,,,,,
Hercules K 103 GS,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,95.0 km/h (59.0 mph),,Carburettor. Bing 22mm,,,,Air,,Chain   (final drive),,,,Single cradle,,Swingarm ,3.50-18 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,13.00 litres (3.43 US gallons),Kick,,Dual ,,,48.0 x 54.0 mm (1.9 x 2.1 inches),,99.0 kg (218.3 pounds),0.0828 HP/kg,,,,,,,,,,,,,,,,
BSA B25  Starfire,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",25.5 HP (18.6  kW)) @ 7250 RPM,201.2 km/h (125.0 mph),10.0:1,,Overhead Valves (OHV),,,Air,,Chain   (final drive),"Wet, multiplate",,,Single Cradle,Telescopic,Swingarm ,3.25-18 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,2108 mm (83.0 inches),,1346 mm (53.0 inches),,,,,,,67.0 x 70.0 mm (2.6 x 2.8 inches),,142.9 kg (315.0 pounds),0.1783 HP/kg,,,Sapphire Blue/Ivory,,,"813 mm (32.0 inches) If adjustable, lowest setting.",,,,203 mm (8.0 inches),,,,,,
BMW R 60 2,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),7.5:1,Carburettor. 24mm Bing,Overhead Valves (OHV),,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.25-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,Single seat,,,72.0 x 73.0 mm (2.8 x 2.9 inches),,,,,Price in 1969 for the bike was DM 3315.,,,,,,,,,,,,,,
