Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,Cooling system,Top speed,Fuel control,Transmission type,Fuel capacity,Fuel system,Wheelbase,Lubrication system,Front suspension,Rear suspension,Front tire,Rear tire,Comments,Max RPM,Compression,Bore x stroke,Ignition,Clutch,Exhaust system,Rake (fork angle),Diameter,0-100 km/h (0-62 mph),Frame type,Color options,"Weight incl. oil, gas, etc",Overall length,Overall width,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Fuel consumption,Greenhouse gases,Ground clearance,Front wheel travel,Rear wheel travel,Overall height,Reserve fuel capacity,Oil filter,Battery,Chain size,Chain links,Sprockets,Engine details,Trail,Modifications compared to previous model,1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Wheels
Kawasaki ZX 6 R,1995,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 12500 RPM,63.7 Nm (6.5 kgf-m or 47.0 ft.lbs) @ 10000 RPM,4,6-speed,Dual disc,Single disc,182.0 kg (401.2 pounds),0.5769 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S,1995,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8250 RPM,77.5 Nm (7.9 kgf-m or 57.2 ft.lbs) @ 7000 RPM,2,5-speed,Dual disc,Single disc,239.0 kg (526.9 pounds),0.3724 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 350 Elduro,1995,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)),,4,6-speed,Single disc,Single disc,106.0 kg (233.7 pounds),0.3868 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona Super III,1995,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,87.3 Nm (8.9 kgf-m or 64.4 ft.lbs) @ 8500 RPM,5,6-speed,Dual disc,Single disc,211.0 kg (465.2 pounds),0.5450 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago,1995,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,20.6 Nm (2.1 kgf-m or 15.2 ft.lbs) @ 6500 RPM,2,5-speed,Single disc,Expanding brake,137.0 kg (302.0 pounds),0.1533 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Country 500,1995,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 6000 RPM,4,5-speed,Single disc,Expanding brake,147.0 kg (324.1 pounds),0.2313 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Sport 660,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,55.9 Nm (5.7 kgf-m or 41.2 ft.lbs) @ 5250 RPM,5,5-speed,Single disc,Single disc,170.0 kg (374.8 pounds),0.2824 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Vulcan,1995,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 3300 RPM,4,5-speed,Single disc,Expanding brake,225.0 kg (496.0 pounds),0.2444 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850,1995,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,75.5 Nm (7.7 kgf-m or 55.7 ft.lbs) @ 5500 RPM,2,5-speed,Dual disc,Single disc,217.0 kg (478.4 pounds),0.3226 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Black Style,1995,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.5 HP (17.2  kW)) @ 5250 RPM,31.4 Nm (3.2 kgf-m or 23.2 ft.lbs) @ 4750 RPM,,4-speed,Single disc,Expanding brake,150.0 kg (330.7 pounds),0.1567 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Air,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
