Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,Cooling system,Top speed,Fuel control,Transmission type,Fuel capacity,Fuel system,Wheelbase,Lubrication system,Front suspension,Rear suspension,Front tire,Rear tire,Comments,Max RPM,Compression,Bore x stroke,Ignition,Clutch,Exhaust system,Rake (fork angle),Diameter,0-100 km/h (0-62 mph),Frame type,Color options,"Weight incl. oil, gas, etc",Overall length,Overall width,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Fuel consumption,Greenhouse gases,Ground clearance,Front wheel travel,Rear wheel travel,Overall height,Reserve fuel capacity,Oil filter,Battery,Chain size,Chain links,Sprockets,Engine details,Trail,Modifications compared to previous model,1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Wheels
Honda GL 1500 SE Gold Wing,1995,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 4000 RPM,2,5-speed,Dual disc,Single disc,368.0 kg (811.3 pounds),0.2717 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voskhod 3M-01,1995,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",173.7 ccm (10.60 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 5250 RPM,,4-speed,Expanding brake (drum brake),Expanding brake (drum brake),121.0 kg (266.8 pounds),0.1157 HP/kg,,,,105.0 km/h (65.2 mph),,Chain   (final drive),14.00 litres (3.70 US gallons),Carburettor. 26 mm,1300 mm (51.2 inches),,Telescopic fork,Swing arm with dual coil over shocks,3.25-16 ,3.25-16 ,,,9.5:1,,,,,,,,,,136.0 kg (299.8 pounds),2000 mm (78.7 inches),,,,,,,,,,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,125 mm (4.9 inches),,,,,,,,,,,,,,,
BMW R 100 R Mystik,1995,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,5-speed,Dual disc,Expanding brake,197.0 kg (434.3 pounds),0.3046 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 F,1995,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1128.0 ccm (68.83 cubic inches),"In-line four, four-stroke",136.0 HP (99.3  kW)) @ 9500 RPM,107.9 Nm (11.0 kgf-m or 79.6 ft.lbs) @ 7000 RPM,4,5-speed,Dual disc,Single disc,244.0 kg (537.9 pounds),0.5574 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 750 R,1995,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 12000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 9500 RPM,5,6-speed,Dual disc,Single disc,196.0 kg (432.1 pounds),0.6378 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM SXR 50,1995,"Minibike, sport"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,Air,,,Chain   (final drive),,Carburettor,,,inverted forks,,,,,,,,,centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan European,1995,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,293.0 kg (646.0 pounds),0.3413 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 600 N,1995,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,,2,5-speed,Single disc,Single disc,172.0 kg (379.2 pounds),0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 180,1995,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,176.0 ccm (10.74 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5500 RPM,,,4-speed,Single disc,Expanding brake,128.0 kg (282.2 pounds),0.1016 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100,1995,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,91.2 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 5000 RPM,2,5-speed,Dual disc,Single disc,245.0 kg (540.1 pounds),0.3061 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Softail Springer,1995,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,284.0 kg (626.1 pounds),0.1690 HP/kg,"663 mm (26.1 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1000 F,1995,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,84.3 Nm (8.6 kgf-m or 62.2 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,236.0 kg (520.3 pounds),0.4153 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 Gold Wing Aspencade,1995,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 4000 RPM,2,5-speed,Dual disc,Single disc,366.0 kg (806.9 pounds),0.2732 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Quota 1000,1995,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",950.0 ccm (57.97 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 6600 RPM,84.3 Nm (8.6 kgf-m or 62.2 ft.lbs) @ 5400 RPM,2,5-speed,Dual disc,Single disc,248.0 kg (546.7 pounds),0.2823 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 11000 RPM,76.5 Nm (7.8 kgf-m or 56.4 ft.lbs) @ 10000 RPM,4,6-speed,Dual disc,Single disc,205.0 kg (451.9 pounds),0.5902 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Softail Fat Boy,1995,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,295.0 kg (650.4 pounds),0.1627 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Heritage Softail Special,1995,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,322.0 kg (709.9 pounds),0.1491 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Silver Star Classic 500,1995,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 6000 RPM,4,5-speed,Single disc,Expanding brake,146.0 kg (321.9 pounds),0.2329 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 R,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 11500 RPM,65.7 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,185.0 kg (407.9 pounds),0.5297 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 180 Roland,1995,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",176.0 ccm (10.74 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5500 RPM,,,4-speed,Single disc,Expanding brake,130.0 kg (286.6 pounds),0.1000 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Vulcan,1995,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 4300 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 3300 RPM,4,4-speed,Single disc,Single disc,257.0 kg (566.6 pounds),0.2374 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 660 Ténéré,1995,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.9 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,5,5-speed,Single disc,Single disc,171.0 kg (377.0 pounds),0.2807 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 S,1995,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 8750 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 6200 RPM,2,6-speed,Single disc,Single disc,118.0 kg (260.1 pounds),0.2542 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",Kick,Air,130.0 km/h (80.8 mph),Overhead Cams (OHC),Chain   (final drive),9.00 litres (2.38 US gallons),Carburettor. Mikuni BST 33 SS,1435 mm (56.5 inches),,Telescopic fork,Monoshock,80/100-21  51P ,110/90-18  61P ,,,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),Digital CDI,Wet plates,,28.0°,220 mm (8.7 inches),,"Diamond, steel ",,,2235 mm (88.0 inches),885 mm (34.8 inches),2.10 litres (2.22 US quarts),,,,,,,,,,290 mm (11.4 inches),280 mm (11.0 inches),254 mm (10.0 inches),1245 mm (49.0 inches),1.50 litres (0.40 US gallons),,,,,,,,,,,
Harley-Davidson 1340 Dyna Convertible,1995,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Dual disc,Single disc,282.0 kg (621.7 pounds),0.1702 HP/kg,"699 mm (27.5 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Electra Glide Ultra Classic,1995,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5500 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 3600 RPM,2,5-speed,Dual disc,Single disc,347.0 kg (765.0 pounds),0.1729 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Dyna Wide Glide,1995,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,272.0 kg (599.7 pounds),0.1765 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Solo,1995,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",23.5 HP (17.2  kW)) @ 5800 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 5100 RPM,2,4-speed,Expanding brake,Expanding brake,182.0 kg (401.2 pounds),0.1291 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800,1995,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 6500 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Single disc,213.0 kg (469.6 pounds),0.2958 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1995,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",23.5 HP (17.2  kW)) @ 6000 RPM,36.3 Nm (3.7 kgf-m or 26.8 ft.lbs) @ 3500 RPM,2,5-speed,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),0.1382 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Kick,Air,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Classic,1995,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",23.5 HP (17.2  kW)) @ 5800 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 5100 RPM,2,4-speed,Expanding brake,Expanding brake,310.0 kg (683.4 pounds),0.0758 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,Comes with sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 ABS,1995,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9000 RPM,107.9 Nm (11.0 kgf-m or 79.6 ft.lbs) @ 7500 RPM,4,5-speed,Dual disc,Single disc,248.0 kg (546.7 pounds),0.5040 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200,1995,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9000 RPM,107.9 Nm (11.0 kgf-m or 79.6 ft.lbs) @ 7500 RPM,,5-speed,Double disc,Single disc,245.0 kg (540.1 pounds),0.5102 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Oil & air,244.3 km/h (151.8 mph),Overhead Cams (OHC),,22.00 litres (5.81 US gallons),"Carburettor. Mikuni, 36 mm",1490 mm (58.7 inches),Wet sump,Telescopic with 3-way preload and damping adjustment,Monocross monoshock 5-way preload and 5-way damping  	adjustment,120/70-17 ,150/80-16 ,,,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),TCI (Transistor Controlled Ignition),"Wet, multiple discs, hydraulic operated",,,282 mm (11.1 inches),,"Steel, twin spar","Blue/white, red/white",259.0 kg (571.0 pounds),,,4.20 litres (4.44 US quarts),SAE 20W-40,DOT 4,"NGK DPR8EA-9, NGK DPR8EIX-9",950-1050  RPM,33 PSI (2.3 Bar or 230 kPa),38 PSI (2.6 Bar or 260 kPa),,6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),,,,,K & N  KN-401,YB14L-A2,530,110,17/40 (front/rear),,,,,,
Kawasaki KLR 650,1995,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,46.1 Nm (4.7 kgf-m or 34.0 ft.lbs) @ 5000 RPM,4,5-speed,Single disc,Single disc,168.0 kg (370.4 pounds),0.2500 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Sport 1100,1995,Sport," 2.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,96.1 Nm (9.8 kgf-m or 70.9 ft.lbs) @ 6000 RPM,2,5-speed,Dual disc,Single disc,200.0 kg (440.9 pounds),0.4500 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",Electric,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 6,1995,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",156.0 HP (113.9  kW)) @ 10000 RPM,126.5 Nm (12.9 kgf-m or 93.3 ft.lbs) @ 9000 RPM,,5-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),0.7256 HP/kg,,Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 900 C,1995,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 6400 RPM,2,6-speed,Dual disc,Single disc,186.0 kg (410.1 pounds),0.4301 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXC 300,1995,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",297.0 ccm (18.12 cubic inches),"Single cylinder, two-stroke",,,,,,Single disc. Single piston caliper,112.0 kg (246.9 pounds),,"945 mm (37.2 inches) If adjustable, lowest setting.",,Liquid,,,Chain   (final drive),,Carburettor. Keihin PWK 39,1480 mm (58.3 inches),,,Monoshock,90/90-21 ,140/80-18 ,,,,69.5 x 73.0 mm (2.7 x 2.9 inches),SEM K11,Wet Plate,,27.5°,220 mm (8.7 inches),,CrMo steel,,,,,,,,,,,,,,,385 mm (15.2 inches),300 mm (11.8 inches),320 mm (12.6 inches),,,,,,,,,,,,,
Kawasaki GPZ 1100,1995,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,98.1 Nm (10.0 kgf-m or 72.4 ft.lbs) @ 7000 RPM,4,6-speed,Dual disc,Single disc,242.0 kg (533.5 pounds),0.5372 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,1995,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),0.5128 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,1995,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,70.6 Nm (7.2 kgf-m or 52.1 ft.lbs) @ 4800 RPM,4,5-speed,Single disc,Single disc,220.0 kg (485.0 pounds),0.3182 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 883 Sportster Hugger,1995,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 5600 RPM,58.8 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 4400 RPM,2,5-speed,Single disc,Single disc,220.0 kg (485.0 pounds),0.1909 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 250 R,1995,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",59.0 HP (43.1  kW)) @ 8500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 8000 RPM,2,5-speed,Single disc. 2 piston calliper,Single disc. Single piston,96.4 kg (212.5 pounds),0.6120 HP/kg,"952 mm (37.5 inches) If adjustable, lowest setting.",Kick,Liquid,140.0 km/h (87.0 mph),,Chain   (final drive),10.00 litres (2.64 US gallons),Carburettor. Keihin 38mm Flatside PWK Carburator,1482 mm (58.3 inches),,Kayaba inverted forks,Pro LInk showa  single shock,80/100-21 ,110/90-19 ,,8500,8.5:1,66.4 x 72.0 mm (2.6 x 2.8 inches),CDI,Wet Multiple Plate,,26.5°,240 mm (9.4 inches),,Crome Molly,"Red/White/Purple, Black/Red/White",,2173 mm (85.6 inches),823 mm (32.4 inches),,Honda GN4 10W-40,,,,,,,,,345 mm (13.6 inches),315 mm (12.4 inches),320 mm (12.6 inches),1263 mm (49.7 inches),,,,520,110,14/49 (front/rear),Reed valve. ,107 mm (4.2 inches),,,,
