Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Fuel control,Front suspension,"Weight incl. oil, gas, etc",Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Diameter,Wheelbase,Carrying capacity,Valves per cylinder,Oil capacity,Color options,Electrical,Comments,Exhaust system,Ground clearance,Rake (fork angle),Seat height,Light,Torque,0-100 km/h (0-62 mph),Modifications compared to previous model,Driveline,Instruments,Front wheel travel
Ariel HT5 500 Trials,1959,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.9 HP (18.2  kW)) @ 6000 RPM,,,,Carburettor,Air,4-speed,Chain   (final drive),,Single cradle,"Swing arm, hydraulic dampers",2.75-21 ,4.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Single seat,132.0 kg (291.0 pounds),0.1889 HP/kg,,,,,Kick,,Overhead Valves (OHV),Telescopic fork,,,,,,152 mm (6.0 inches),,,,,,,,1-into-1 pipe,220 mm (8.7 inches),,,,,,,,,
Harley-Davidson KR 750,1959,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,,Carburettor. Single Tilloston,Air,4-speed,,,,Rigid,,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,,Sidevalves,Telescopic,,Magneto Fairbanks-Morse,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL Duo Glide,1959,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7200 RPM,,7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Air,4-speed,Chain   (final drive),,Tubular cradle,Swingarm. Dual coil-over-shocks.,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,304.0 kg (670.2 pounds),0.1809 HP/kg,,,,14.19 litres (3.75 US gallons),Kick,Panhead V-twin engine,Overhead Valves (OHV),Hydraulic telescopic forks ,,,,,,,1500 mm (59.1 inches),Optional soft saddlebags,,3.80 litres (4.02 US quarts),"Black, red, blue, turquoise",6 Volt battery.,Windscreen,,,,,,,,,,,
Velocette Venom,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,161.0 km/h (100.0 mph),8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Air,,Chain   (final drive),Dry-three plate,,Swingarm with coil-over shocks,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,177.0 kg (390.2 pounds),0.1921 HP/kg,,,,13.60 litres (3.59 US gallons),Kick,,Overhead Valves (OHV),Telescopic,,Belt driven dynamo,Wet sump ,,,,1391 mm (54.8 inches),,,,,,,,,27.0°,,,,,,,,
Maico Maicoletta 277,1959,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,,,Chain   (final drive),,Tubular steel,Swingarm-coil springs-dampers,,,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Spoked,Dual ,146.0 kg (321.9 pounds),,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,Electric,,,Telescopic,,,,,,,,,,,,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,
Ariel 4G Square Four Mark II,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,45.0 HP (32.8  kW)) @ 5500 RPM,160.0 km/h (99.4 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor with air cleaner,Air,4-speed,Chain   (final drive),"Dry, 3-plate",Full cradle,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,,,2184 mm (86.0 inches),686 mm (27.0 inches),18.93 litres (5.00 US gallons),Kick,Double twin cylinder arranged as a square. ,Overhead Valves (OHV),Oil damped telescopic fork,197.3 kg (435.0 pounds),,Dry sump with dual oil pump.,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,203 mm (8.0 inches),1422 mm (56.0 inches),,2,3.40 litres (3.59 US quarts),"Claret, Red/black, Black",6 Volt,"Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold. Sidecar option.",,140 mm (5.5 inches),,,"7.5 inch, 30 Watt headlamp.",,,,,,
Lambretta LI 125 Series 1,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,69.2 km/h (43.0 mph),7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,Air,4-speed,,Constant mesh,,,3.50-10 ,3.50-1+ ,,,,Dual seat,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III K,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",7.7 HP (5.6  kW)) @ 5200 RPM,84.0 km/h (52.2 mph),6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor,Air,4-speed,Shaft drive (cardan)   (final drive),,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,131.0 kg (288.8 pounds),0.0588 HP/kg,965 mm (38.0 inches),1780 mm (70.1 inches),650 mm (25.6 inches),12.00 litres (3.17 US gallons),Kick,,,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
Triumph Tigress 250,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,90.0 km/h (55.9 mph),,,Carburettor,Air,,Chain   (final drive),Enclosed ,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,110.0 kg (242.5 pounds),,,,,,,,,,,Two coils,,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
Puch Alpine SR ,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,145.0 ccm (8.85 cubic inches),"Single cylinder, two-stroke",6.0 HP (4.4  kW)) @ 5500 RPM,,6.5:1,,Carburettor,Air,3-speed,Chain   (final drive),Wet multiplate,Single cradle,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,102.0 kg (224.9 pounds),0.0588 HP/kg,,,,7.00 litres (1.85 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Leader,1959,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 6400 RPM,110.0 km/h (68.4 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,4-speed,Chain   (final drive),,"Backbone, steel",Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,150.0 kg (330.7 pounds),0.1067 HP/kg,,,,9.00 litres (2.38 US gallons),Kick,,Overhead Valves (OHV),Trailing link oil-damped,,,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,152 mm (6.0 inches),1295 mm (51.0 inches),Saddle bags,,,Black/white,,Windscreen,,,,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,,,
Dürkopp Diana TS,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",10.8 HP (7.9  kW)),95.0 km/h (59.0 mph),,,Carburettor. Bing ,Air,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,,,,,Kick,,,,,,,,,,,,,,"Brown, black,ivory,green",,,,,,,,,,,,,
Ariel Arrow,1959,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 6400 RPM,132.0 km/h (82.0 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Amal monobloc 375,Air,4-speed,Chain   (final drive),,"Backbone, steel",Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,150.0 kg (330.7 pounds),0.1067 HP/kg,,,,9.00 litres (2.38 US gallons),Kick,,Overhead Valves (OHV),"Trailing link, oil-damped",,,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,152 mm (6.0 inches),1295 mm (51.0 inches),Rear rack,,,White/gold,,Designed by Val Page.,,,,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,,,
Norton Manx,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 6500 RPM,210.0 km/h (130.5 mph),,,Carburettor. NA,Air,,Chain   (final drive),,Steel,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),,,140.0 kg (308.6 pounds),0.3357 HP/kg,,,,,,,Double Overhead Cams/Twin Cam (DOHC),Telescopic fork,,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,
BMW R50,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),6.8:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble loop tubular,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),,Kick,,Overhead Valves (OHV),Cartridge,195.0 kg (429.9 pounds),Magneto,Wet sump ,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,200 mm (7.9 inches),1380 mm (54.3 inches),360kg,,,,,,,,,,,,,,,,
AJS Model 31 650 Swift,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",31.4 HP (22.9  kW)) @ 6000 RPM,,7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Doble cradle,Twin shock Girling,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,176.0 kg (388.0 pounds),0.1784 HP/kg,,,,16.00 litres (4.23 US gallons),Kick,,Overhead Valves (OHV),Hydraulic telescopic,,Bobine,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 247,1959,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,115.0 km/h (71.5 mph),,,Carburettor,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Kick,,,Hydealic shock absorbers,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T120 Bonneville,1959,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6700 RPM,185.0 km/h (115.0 mph),,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Air,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, rigid","Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,183.0 kg (403.4 pounds),0.2514 HP/kg,,,,15.14 litres (4.00 US gallons),,,Overhead Valves (OHV),Telescopic fork.,,Lucas magneto,,,,178 mm (7.0 inches),1400 mm (55.1 inches),,,,Pearl Grey/Tangerine Orange,,,,127 mm (5.0 inches),,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,
Triumph Tiger Cub T 20,1959,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Air,,Chain   (final drive),Wet multiplate,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,113.4 kg (250.0 pounds),0.0882 HP/kg,,,,,,Amal monobloc carburettor,Overhead Valves (OHV),,,,Dry sumpy,,,,1245 mm (49.0 inches),,,,,,,,,,,,,,,,,
BMW R26,1959,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 6400 RPM,128.0 km/h (79.5 mph),7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel loop-welded,Twin shock-Swingarm,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),15.00 litres (3.96 US gallons),Kick,,Overhead Valves (OHV),Cartridge,158.0 kg (348.3 pounds),Battery,Wet sump ,,,160 mm (6.3 inches),975 mm (38.4 inches),325kg,,,,,90Kph is the top speed with original sidecar.,,105 mm (4.1 inches),,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,
Horex Resident,1959,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",17.5 HP (12.8  kW)) @ 6250 RPM,130.0 km/h (80.8 mph),7.1:1,,Carburettor,Air,,Chain   (final drive),,,Twin shock,3.50-18 ,3.5-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Kick,,Overhead Valves (OHV),Hydralic telescopic forks,,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1959,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),,,Carburettor. DellÓrto,,4-speed,Chain   (final drive),Wet multiplate,,,2.50-18 ,3.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,109.0 kg (240.3 pounds),0.1009 HP/kg,,,,12.00 litres (3.17 US gallons),,,,Telescopic fork,,,,,,,1314 mm (51.7 inches),,,,,,,,,,,,,,,,,
Triumph T100C,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,,,,Carburettor. Amal,Air,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,152.0 kg (335.0 pounds),0.2698 HP/kg,,,,,,,Overhead Valves (OHV),Telescopic,168.3 kg (371.0 pounds),,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 99SS,1959,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,163.0 km/h (101.3 mph),7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor. Amal,,,Chain   (final drive),,Down tube-single,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,16.00 litres (4.23 US gallons),Kick,,Overhead Valves (OHV),Telescopic,,,,,,,1410 mm (55.5 inches),,,,,,,,,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,,
Harley-Davidson Servi-Car GE,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,,Sidevalves,,,,,,,,1549 mm (61.0 inches),,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1959,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,4-speed,Chain   (final drive),,,Swingarm,3-16 ,3.50-16 ,,,Spoked,Dual ,150.0 kg (330.7 pounds),0.1100 HP/kg,,,,13.00 litres (3.43 US gallons),,,,Telescopic,,,,,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,
Ariel NH 350 Red Hunter,1959,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 5600 RPM,124.7 km/h (77.5 mph),7.0:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Amal monoblock carburettor,Air,4-speed,Chain   (final drive),"Dry, multiplate",Semi-double cradle,Plungers,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Dual seat,160.0 kg (352.7 pounds),0.1188 HP/kg,,2180 mm (85.8 inches),640 mm (25.2 inches),17.03 litres (4.50 US gallons),Kick,,Overhead Valves (OHV),Telescopic fork,,Lucas manual ignition control,Dual oil pumps,2.69 litres/100 km (37.2 km/l or 87.44 mpg),62.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,178 mm (7.0 inches),1422 mm (56.0 inches),,,3.40 litres (3.59 US quarts),Dark red,6V system.,,1-into-1 pipes,140 mm (5.5 inches),,"787 mm (31.0 inches) If adjustable, lowest setting.",7.5 inch headlamp,,,,,,
Harley-Davidson Hummer,1959,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,80.5 km/h (50.0 mph),6.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,,,,,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,77.1 kg (170.0 pounds),,,,,6.60 litres (1.74 US gallons),,,,Girder-rubber springs,,,,,,,1300 mm (51.2 inches),,,,,,,,,,,,,,,,,
James L25 Commodore,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor,Air,,Chain   (final drive),,,,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.00 seconds,,,,
Maico Maicoletta,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,,61.0 x 59.5 mm (2.4 x 2.3 inches),Carburettor,,,Chain   (final drive),Enclosed ,Tubular steel,Swingarm ,,,"Expanding brake (drum brake). 6,5inches",Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp Diana,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",,80.0 km/h (49.7 mph),,,Carburettor,Air,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,,,,,,12.00 litres (3.17 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta TV 175 Series 2,1959,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",8.6 HP (6.3  kW)) @ 6000 RPM,90.1 km/h (56.0 mph),8.0:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. DellÓrto,Air,,Chain   (final drive),,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Chromed wheel rims,Dual ,109.8 kg (242.0 pounds),0.0783 HP/kg,,,,,Kick,,,,,,,,,,,,,,Ivory,,,,,,,,,,,,,
Triumph 3TA,1959,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,,,,Carburettor. Amal,,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,156.5 kg (345.0 pounds),,,,,,,,,Telescopic,,,Dry sump,,,,,,,,,,,,,,,,,,,,,
MZ RE125,1959,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,193.0 km/h (119.9 mph),,,,,,,,,,,,,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 88,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,163.0 km/h (101.3 mph),7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor. Amal,Air,,,,,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Kick,,Overhead Valves (OHV),Telescopic,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 277,1959,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Alloy-spoked,Dual ,,,,,,,Kick,,,Hydealic shock absorbers,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Allstate Cruisaire,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, two-stroke",,76.0 km/h (47.2 mph),,,Carburettor,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1959,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,113.0 km/h (70.2 mph),8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers 25mm,,,Chain   (final drive),,,,,,,,Spoked,Dual ,122.5 kg (270.0 pounds),0.1388 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Catria Lusso,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 6800 RPM,120.7 km/h (75.0 mph),,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. DellÓrto,Air,,Chain   (final drive),,,Two schock,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,97.5 kg (215.0 pounds),0.0872 HP/kg,,,,,,,Overhead Valves (OHV),Telescopic,,Magneto ,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Series 1,1959,Scooter," 2.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 5300 RPM,80.5 km/h (50.0 mph),7.0:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,Air,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,105.0 kg (231.5 pounds),0.0619 HP/kg,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),7.19 litres (1.90 US gallons),Kick,,,,,,,,,,1290 mm (50.8 inches),,,,,,,,,,,,,,,,,
Aermacchi Chimera 175,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,110.0 km/h (68.4 mph),7.0:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,,2.50-17 ,2.50-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,122.0 kg (269.0 pounds),,,,,,Kick,,,Telescopic,,Bobine,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,,,Chain   (final drive),,,Rigid-optional sprung hub,,,Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),0.1701 HP/kg,,,,,,360 degree paprallel,Overhead Valves (OHV),Telescopic,,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,Overhead Valves (OHV),Telescopic,,,Dry sump,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,
