Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Seat,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Wheels,Dry weight,Power/weight ratio,Color options,Engine details,Oil capacity,Electrical,Driveline,Carrying capacity,Exhaust system,Comments,Valves per cylinder,Modifications compared to previous model,Light
Norton Manx Daytona Racer,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5750 RPM,173.8 km/h (108.0 mph),,,,Double Overhead Cams/Twin Cam (DOHC),,,Air,,,,,,,,,,,,,,Single seat,,,,,,,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,
NSU 125ZB,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5000 RPM,75.0 km/h (46.6 mph),6.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing,,,,Air,,Chain   (final drive),,,,Pressed steel,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,900 mm (35.4 inches),1910 mm (75.2 inches),690 mm (27.2 inches),,,8.00 litres (2.11 US gallons),Kick,Spoked,,,,,,,,,,,,,
Ariel MK1 Square Four,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 5800 RPM,,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,Tubular single loop,,,3.25-19 ,4-18 ,Expanding brake (drum brake),203 mm (8.0 inches),Expanding brake (drum brake),Dual ,,,,2100 mm (82.7 inches),,,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,Spoked,193.0 kg (425.5 pounds),0.2073 HP/kg,,,,,,,,,,,
Rikuo RT 2,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Sidevalves,Generator and battery,,Air,4-speed,,Four speed ,,,,Telescopic,,,,,,,Spring-mounted seat,,,,,,,,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,,,,
BMW R51 2,1951,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",24.1 HP (17.6  kW)) @ 5600 RPM,135.0 km/h (83.9 mph),6.4:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing 22mm,Overhead Valves (OHV),Battery,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel single cradle,Cartridge,Twin shock-Swingarm,3.50-19.00 ,3.50-19.00 ,Expanding brake (drum brake). Half hub,200 mm (7.9 inches),Expanding brake (drum brake). Half hub,,185.0 kg (407.9 pounds),,720 mm (28.3 inches),2130 mm (83.9 inches),815 mm (32.1 inches),120 mm (4.7 inches),1400 mm (55.1 inches),14.00 litres (3.70 US gallons),Kick,,,,,,,,,210kg,,,,,
Sunbeam S8 500,1951,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,120.0 km/h (74.6 mph),6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Single Overhead Cams (SOHC),,Wet sump,Oil & air,,Shaft drive (cardan)   (final drive),Dry singleplate,,,Twin cradle,Telescopic,Plungers,4.50-16 ,4.50-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,,1400 mm (55.1 inches),,Kick,Spoked,187.0 kg (412.3 pounds),0.1283 HP/kg,,,,,,,,,,,
Harley-Davidson EL,1951,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,7.0:1,88.9 x 83.8 mm (3.5 x 3.3 inches),Carburettor,Overhead Valves (OHV),,Ciculation pressure system,Air,3-speed,Chain   (final drive),"Mulitplate, dry",,,Steel double loop,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,1511 mm (59.5 inches),14.19 litres (3.75 US gallons),,Wire spoked. Firestome or Goodyear tyres.,250.0 kg (551.2 pounds),,,Knucklehead V-twin engine. Hydraulic valve lifters. Aluminium cyliner heads.,3.80 litres (4.02 US quarts),"22 Ah, 6 Volt battery.",,,,Optional 4-speed transmission.,,,
Horex Regina 400,1951,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",16.2 HP (11.8  kW)) @ 5750 RPM,130.0 km/h (80.8 mph),,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Hydralic telescopic forks,,,,Expanding brake (drum brake). Single,,Expanding brake (drum brake). Simplex ,Single seat,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,Kick,,150.0 kg (330.7 pounds),0.1080 HP/kg,,,,,,,,,,,
Ariel NH 350 Red Hunter,1951,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Overhead Valves (OHV),Flywheel,,Air,4-speed,Chain   (final drive),"Dry, multiplate",,,Semi-double cradle,Telescopic fork,Plungers,3.00-20 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Dual seat,,,,2180 mm (85.8 inches),640 mm (25.2 inches),,,12.00 litres (3.17 US gallons),Kick,Dunlop tyres,159.0 kg (350.5 pounds),0.1226 HP/kg,Red,,2.00 litres (2.11 US quarts),6V system.,,,1-into-1 pipes,,,,
Triumph Speed Twin ,1951,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,Overhead Valves (OHV),Lucas altrnator,,,,Chain   (final drive),,,,,Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,1400 mm (55.1 inches),,,,158.8 kg (350.0 pounds),0.1701 HP/kg,,360 degree paprallel,,,,,,,,,
Simplex Automatic,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,Overhead Valves (OHV),Magneto,,,,Belt   (final drive),,,,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,Solo seat with springs,,,,,,,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,61.2 kg (135.0 pounds),0.0653 HP/kg,,,,,,,,,,This year has direct drive with clutch.,
NSU Konsul 1,1951,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,110.0 km/h (68.4 mph),6.3:1,79.0 x 79.0 mm (3.1 x 3.1 inches),Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Hydraulic,3.50-19 ,4-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,1000 mm (39.4 inches),2185 mm (86.0 inches),820 mm (32.3 inches),,,15.20 litres (4.02 US gallons),,Spoked,190.0 kg (418.9 pounds),0.0947 HP/kg,,,,,,,,,,,
AJS Model 16 350MS,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Bobine,Wet sump ,Air,4-speed,Chain   (final drive),Wet multiplate,,,Duplex steel cradle,Catrigde,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,2190 mm (86.2 inches),710 mm (28.0 inches),,1422 mm (56.0 inches),13.50 litres (3.57 US gallons),Kick,,170.0 kg (374.8 pounds),0.1059 HP/kg,,,,,,,,,,,
Ariel VB 600,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",15.6 HP (11.4  kW)) @ 4400 RPM,,5.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,,,Dry sump,Air,4-speed,Chain   (final drive),"Dry, multiplate",,,,Telescopic fork,Dual shocks,3.25-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single seat,166.0 kg (366.0 pounds),,,2184 mm (86.0 inches),686 mm (27.0 inches),127 mm (5.0 inches),1422 mm (56.0 inches),15.90 litres (4.20 US gallons),Kick,Wire spoked. Dunlop tyres.,,,,Sidevalve,3.40 litres (3.59 US quarts),6Volt.,,,,,,,
Norton Dominator Model 7,1951,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)),,6.7:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,Overhead Valves (OHV),Magneto,,Air,,Chain   (final drive),Wet multiplate,,,,,,3-21 ,3-21 ,Expanding brake (drum brake),,Expanding brake (drum brake),Solo seat with springs,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,200.0 kg (440.9 pounds),0.1300 HP/kg,,,,,,,,,,,
Triumph Speed Twin 5T,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,Overhead Valves (OHV),Battery/ coil,Dry sump,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),Dual seat,,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,
NSU Max ,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 5800 RPM,115.0 km/h (71.5 mph),,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing,,,,Air,4-speed,Chain   (final drive),,,,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,Kick,Spoked,150.0 kg (330.7 pounds),0.1000 HP/kg,,,,,,,,,,,
Gilera Saturno Corsa,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)),119.0 km/h (73.9 mph),7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SSF3M,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,Spoked,,,,,,,,,,,,,
Zündapp DB 201,1951,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",7.5 HP (5.5  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing 20mm,,,,Air,4-speed,,,,,,Telescopic,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Two single seats,,,,,,,,12.00 litres (3.17 US gallons),Kick,Spoked,121.0 kg (266.8 pounds),0.0620 HP/kg,,,,,,,,,,,
NSU Lux,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5250 RPM,95.0 km/h (59.0 mph),6.0:1,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing,,Battery,,Air,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,3-19 ,3-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,11.50 litres (3.04 US gallons),Kick,Spoked,135.0 kg (297.6 pounds),0.0815 HP/kg,,,,,,,,,,,
Hercules 316,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4000 RPM,60.0 km/h (37.3 mph),6.1:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,Magneto Bosch,,,,Chain   (final drive),,,,,,Rigid,2.50-19 ,2.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,11.00 litres (2.91 US gallons),Kick,,74.0 kg (163.1 pounds),0.0405 HP/kg,,,,,,,,,,,
NSU 101 OSB,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,85.0 km/h (52.8 mph),7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,,Air,,Chain   (final drive),,,,Pressed steel,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,,,,,8.00 litres (2.11 US gallons),Kick,Spoked,85.0 kg (187.4 pounds),0.0682 HP/kg,,,,,,,,,,,
Velocette Mac ,1951,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),Dual seat,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,1276 mm (50.2 inches),11.00 litres (2.91 US gallons),,,161.0 kg (354.9 pounds),0.1118 HP/kg,,,,,,,,,,,
DKW RT 200,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 4200 RPM,92.0 km/h (57.2 mph),6.3:1,62.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor. Bing ,,,,Air,,Chain   (final drive),,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Telescopic ,None,3-19 ,3-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,13.00 litres (3.43 US gallons),,Spoked,116.0 kg (255.7 pounds),0.0948 HP/kg,,,,,,,,,,,
Moto Guzzi Dondolino,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, two-stroke",,177.0 km/h (110.0 mph),,,Carburettor. DellÓrto SSM,Overhead Valves (OHV),Magneto,,,,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,19.00 litres (5.02 US gallons),,Spoked,127.0 kg (280.0 pounds),,,,,,,,,,,,
Lambretta 125B,1951,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",4.3 HP (3.1  kW)) @ 4500 RPM,67.6 km/h (42.0 mph),6.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto MA 16,,Contact breaker  and  points,5%,Air,3-speed,,3 speed- hand changed,,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),Dual seat,,,,,,,,,Electric,,69.9 kg (154.0 pounds),0.0616 HP/kg,,,,,,,,,,,
BMW R51 3,1951,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",24.1 HP (17.6  kW)) @ 5800 RPM,135.0 km/h (83.9 mph),6.3:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22mm ,Overhead Valves (OHV),,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel single cradle,Cartridge,Telscopic,3.50-19.00 ,3.50-19.00 ,Expanding brake (drum brake). Duplex ,200 mm (7.9 inches),Expanding brake (drum brake). Simplex ,Solo seat with springs,190.0 kg (418.9 pounds),,985 mm (38.8 inches),2130 mm (83.9 inches),790 mm (31.1 inches),,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),Kick,,,,,,,,,355kg-600kg with sidecar,,,,,
Ariel 4G Square Four Mark I,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,144.8 km/h (90.0 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Dry sump with dual oil pump.,Air,4-speed,Chain   (final drive),,,,Tubular single loop,Oil damped telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Solo seat,,,,2083 mm (82.0 inches),,,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),Kick,Wire spoked,197.0 kg (434.3 pounds),0.1777 HP/kg,Red/chrome,Double twin cylinder arranged as a square. ,,6 Volt battery.,,,Dual two-into-one,Also called ´Squariel´. Designed by Edward Turner. ,2,,30 Watt headlamp.
Gilera Saturno Bialbero,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)),,8.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SS38,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,Spoked,125.0 kg (275.6 pounds),0.3600 HP/kg,,,,,,,,,,,
Hercules 314,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",8.5 HP (6.2  kW)) @ 4500 RPM,85.0 km/h (52.8 mph),,58.0 x 66.0 mm (2.3 x 2.6 inches),Carburettor. Bing 22mm,,,,Air,,Chain   (final drive),,,,,Telescopic,,3-19 ,3-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,,,,,13.00 litres (3.43 US gallons),Kick,Spoked,118.0 kg (260.1 pounds),0.0720 HP/kg,,,,,,,,,,,
DKW RT 175 W,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.2 ccm (7.52 cubic inches),"Single cylinder, two-stroke",,75.0 km/h (46.6 mph),,58.0 x 58.0 mm (2.3 x 2.3 inches),Carburettor. Bing ,,,,Air,3-speed,Chain   (final drive),,,,,Telescopic ,None,2.75-19 ,2.75-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,"660 mm (26.0 inches) If adjustable, lowest setting.",880 mm (34.6 inches),1959 mm (77.1 inches),660 mm (26.0 inches),,,,,Spoked,83.0 kg (183.0 pounds),,,,,,,,,,,,
Gilera Saturno San Remo,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,185.1 km/h (115.0 mph),,85.0 x 90.0 mm (3.3 x 3.5 inches),,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,Tubular,Telescopic ,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,,,Spoked,,,,,,,,,,,,,
