Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Seat,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Wheels,Dry weight,Power/weight ratio,Color options,Engine details,Oil capacity,Electrical,Driveline,Carrying capacity,Exhaust system,Comments,Valves per cylinder,Modifications compared to previous model,Light
Indian Chief,1951,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1300.0 ccm (79.33 cubic inches),"V2, four-stroke",,,,83.0 x 122.0 mm (3.3 x 4.8 inches),Carburettor. Linkert,,,,,,Chain   (final drive),,,,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,1540 mm (60.6 inches),,,,258.6 kg (570.0 pounds),,,,,,,,,,,,
Harley-Davidson FL Hydra Glide,1951,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 4800 RPM,160.9 km/h (100.0 mph),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,Steel double downtube,Hydraulic telescopic forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,1510 mm (59.4 inches),14.19 litres (3.75 US gallons),,,267.0 kg (588.6 pounds),0.2060 HP/kg,"Black, red, blue",Knucklehead V-twin engine,3.80 litres (4.02 US quarts),6 Volt battery.,,,,,,,
BSA Daytona Replica,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",31.0 HP (22.6  kW)) @ 6000 RPM,198.0 km/h (123.0 mph),,,,Overhead Valves (OHV),,,Air,,,Four speed ,,,,Telescopic fork,Rigid,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single seat,,,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Overhead Valves (OHV),,Dry sump with dual plunger pumps,Air,4-speed,Chain   (final drive),Dry,,,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Solo seat with springs,170.1 kg (375.0 pounds),,,2180 mm (85.8 inches),640 mm (25.2 inches),140 mm (5.5 inches),1422 mm (56.0 inches),13.25 litres (3.50 US gallons),Kick,Dunlop tyres.,,,Red/chrome/gold,,3.40 litres (3.59 US quarts),,Burman,,,,,,
BMW R67,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),5.6:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm,Overhead Valves (OHV),Forced feed,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Doble steel loop ,Cartridge,Twin shock-Plunger,3.5-19 ,3.5-19 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Single seat,192.0 kg (423.3 pounds),,985 mm (38.8 inches),2130 mm (83.9 inches),790 mm (31.1 inches),,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),Kick,Spoked,,,,,,,,355kg-600kg with sidecar,,,,,
Matchless G3 350,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,129.0 km/h (80.2 mph),6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,,,Dry sump,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Dual ,179.0 kg (394.6 pounds),,,,,,1436 mm (56.5 inches),19.00 litres (5.02 US gallons),Kick,Spoked,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1951,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Telescopic,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),Two single seats,,,,,,,,17.00 litres (4.49 US gallons),,Spoked,170.0 kg (374.8 pounds),0.1353 HP/kg,,,,,,,,,,,
Hercules 313 Starr,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4700 RPM,85.0 km/h (52.8 mph),,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Sachs 18mm,,,,Air,,Chain   (final drive),,,,,Telescopic,Rigid,2.75-19 ,2.75-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spring-mounted seat,,,,,,,,11.00 litres (2.91 US gallons),Kick,Spoked,90.0 kg (198.4 pounds),0.0722 HP/kg,,,,,,,,,,,
Norton International Model 30,1951,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)) @ 5500 RPM,150.0 km/h (93.2 mph),7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Overhead Cams (OHC),,,Air,,Chain   (final drive),,,,Cradle,Telescopic,Plungers,3-21 ,3.50-20 ,,,,Single spring-mounted,,,,,,,1391 mm (54.8 inches),,Kick,Spoked,176.0 kg (388.0 pounds),0.1676 HP/kg,,,,,,,,,,,
BMW R25,1951,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 5600 RPM,80.0 km/h (49.7 mph),6.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Battery,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-single cradlel,Cartridge,Pushrod,3.25-19 ,3.25-19 ,Expanding brake (drum brake),160 mm (6.3 inches),Expanding brake (drum brake),,140.0 kg (308.6 pounds),,710 mm (28.0 inches),2073 mm (81.6 inches),750 mm (29.5 inches),92 mm (3.6 inches),,12.00 litres (3.17 US gallons),Kick,,,,,,,,,,,,,,
