Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Gearbox,Transmission type,Clutch,Seat,Light,Top speed,Fuel control,Cooling system,Exhaust system,Wheels,Power,Bore x stroke,Frame type,Front tire,Rear tire,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Front suspension,Color options,Ignition,Front brakes,Rear brakes,Starter,Rear suspension,Compression,Engine details,Fuel capacity,Lubrication system,Fuel consumption,Greenhouse gases,Diameter,"Weight incl. oil, gas, etc",Carrying capacity
Zündapp Z 22,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",Carburettor,,Belt   (final drive),,Single ,,57.0 km/h (35.4 mph),,Air,,Spoked,2.3 HP (1.6  kW)) @ 2600 RPM,62.0 x 70.0 mm (2.4 x 2.8 inches),Tubular ,2.25-24 ,2.25-24 ,,,,,,,Druid  fork,,,,,,Rigid,,,6.00 litres (1.59 US gallons),,,,,,
NSU 6PS,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"Twin, four-stroke",Carburettor. Pallas,,,,Single ,,90.0 km/h (55.9 mph),,Air,,Spoked,,72.5 x 90.0 mm (2.9 x 3.5 inches),Steel,3-26 ,3-26 ,155.0 kg (341.7 pounds),,720 mm (28.3 inches),2240 mm (88.2 inches),880 mm (34.6 inches),1455 mm (57.3 inches),,,Magneto,,,Kick,,,,9.00 litres (2.38 US gallons),,,,,,
Harley-Davidson Model W Sport Twin,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,584.0 ccm (35.64 cubic inches),"Two cylinder boxer, four-stroke",Carburettor,,Shaft drive (cardan)   (final drive),,Solo seat with springs,,,,,,Spoked,,69.8 x 96.8 mm (2.7 x 3.8 inches),,3-26 ,3-26 ,113.0 kg (249.1 pounds),,,,,,,,HD Generator,,,,,5.8:1,,,,,,,,
Harley-Davidson Model FD,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),,Single spring-mounted,,,Overhead Valves (OHV),,,Spoked,,87.4 x 101.6 mm (3.4 x 4.0 inches),,3-28 ,3-28 ,166.0 kg (366.0 pounds),,,,,,,,Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,
NSU 8PS,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"Twin, four-stroke",Carburettor,3-speed,Chain   (final drive),,Single ,,100.0 km/h (62.1 mph),,Air,,Balloon tire,12.0 HP (8.8  kW)),80.0 x 99.0 mm (3.1 x 3.9 inches),Steel,3-28 ,3-28 ,,,760 mm (29.9 inches),2320 mm (91.3 inches),880 mm (34.6 inches),1490 mm (58.7 inches),,,,,,Kick,,,,12.00 litres (3.17 US gallons),,,,,,
Cleveland EL,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,268.0 ccm (16.35 cubic inches),"Single cylinder, two-stroke",Carburettor,2-speed,Chain   (final drive),,Single spring-mounted,,,,,,Spoked,,69.9 x 69.9 mm (2.8 x 2.8 inches),,3-26 ,3-26 ,90.0 kg (198.4 pounds),,,,,,,,Magneto,,,,,,,,,,,,,
Zündapp Z 249,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",Carburettor,3-speed,Belt   (final drive),,Single ,,70.0 km/h (43.5 mph),,Air,,Spoked,2.8 HP (2.0  kW)) @ 2600 RPM,68.0 x 82.5 mm (2.7 x 3.2 inches),,2.25-24 ,2.25-24 ,76.0 kg (167.6 pounds),0.0362 HP/kg,,,,,Druid  fork,,,Expanding brake (drum brake),Expanding brake (drum brake),,Rigid,,,,,,,,,
Harley-Davidson Model FDCA,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",Carburettor. Zenith 427/HF5H,3-speed,Chain   (final drive),,Single spring-mounted,,,,Air,,Spoked,12.0 HP (8.8  kW)),87.4 x 101.6 mm (3.4 x 4.0 inches),,3-28 ,3-28 ,166.0 kg (366.0 pounds),0.0723 HP/kg,,,,,Girder fork,,Magneto ,Expanding brake (drum brake),Single disc,,Rigid,,,,,,,,,
Harley-Davidson Model JD,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),,Single ,,136.8 km/h (85.0 mph),,,,Spoked,12.0 HP (8.8  kW)),87.0 x 101.6 mm (3.4 x 4.0 inches),,3-28 ,3-28 ,166.0 kg (366.0 pounds),0.0723 HP/kg,,,,,,,H.D generator,,Expanding brake (drum brake),,,,,,,,,,,
Zündapp Z 2 G,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",Carburettor,2-speed,Belt   (final drive),,Single ,,70.0 km/h (43.5 mph),,Air,,Spoked,2.8 HP (2.0  kW)) @ 2600 RPM,62.0 x 70.0 mm (2.4 x 2.8 inches),Tubular ,2.25-24 ,2.25-24 ,73.0 kg (160.9 pounds),0.0377 HP/kg,,,,,Druid  fork,,,,,,Rigid,,,6.00 litres (1.59 US gallons),,,,,,
Zündapp K 211,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",Carburettor,3-speed,Chain   (final drive),,Two seats,,65.0 km/h (40.4 mph),,Air,,Spoked,2.3 HP (1.6  kW)) @ 2600 RPM,62.0 x 70.0 mm (2.4 x 2.8 inches),Tubular ,,,75.0 kg (165.3 pounds),0.0300 HP/kg,,,,,Druid  fork,,,Expanding brake (drum brake),Expanding brake (drum brake),Kick,Rigid,,,6.50 litres (1.72 US gallons),,,,,,
Harley-Davidson Model JDCA,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",Carburettor,3-speed,Chain   (final drive),,Single spring-mounted seat,,,,Air,,Spoked,12.0 HP (8.8  kW)),87.4 x 101.6 mm (3.4 x 4.0 inches),,3.00-28 ,3.00-28 ,166.0 kg (366.0 pounds),0.0723 HP/kg,,,,,Girder fork,,HD Generator,Expanding brake (drum brake),Expanding brake (drum brake),,Rigid,,,,,,,,,
BMW R32,1924,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. 22 BMW Spezial,3-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Spring-mounted seat,,95.0 km/h (59.0 mph),Overhead Valves (OHV),Air,,,8.6 HP (6.3  kW)) @ 3200 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Steel doble cradle,2.99-26 ,2.99-26 ,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1380 mm (54.3 inches),Leading link ,,Magneto,Expanding brake (drum brake),Expanding brake (drum brake). Block brake,Kick,,5.1:1,,14.00 litres (3.70 US gallons),Wet sump ,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),122.0 kg (269.0 pounds),184kg
Indian BHEP,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1204.0 ccm (73.47 cubic inches),"V2, four-stroke",Carburettor,3-speed,Chain   (final drive),,Single ,,,,,,Spoked,,82.0 x 112.0 mm (3.2 x 4.4 inches),,3-28 ,3-28 ,193.0 kg (425.5 pounds),,,,,,,,Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,
Harley-Davidson Model F,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),,Single ,,,,,,Spoked,,84.1 x 88.9 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,163.0 kg (359.4 pounds),,,,,,,,Magneto,,,,,,,,,,,,,
Ace Standard,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1234.0 ccm (75.30 cubic inches),"Twin, four-stroke",Carburettor,,Chain   (final drive),,Single spring-mounted,,,,,,Spoked,,69.9 x 82.6 mm (2.8 x 3.3 inches),,3.5-27 ,3.5-27 ,165.0 kg (363.8 pounds),,,,,,,,Magneto,,,Kick,,,,,,,,,,
