Model,Year,Category,Rating,Displacement,Engine type,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Ignition,Gearbox,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Light,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Reserve fuel capacity,Carrying capacity,Color options,Comments,Valves per cylinder,Diameter,Engine details,Driveline,Exhaust system,Seat height
Coventry Eagle Coventry Eagle,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",,,Carburettor,Air,Chain   (final drive),,,,Open tubular,Girder fork,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,175.0 kg (385.8 pounds),85.5 HP (62.4  kW)),,,0.4886 HP/kg,,,,,,,,,6.5:1,,,,,,,,,,,,,
Scott Super Squirrel,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,,,Chain   (final drive),,,,,,,,,,,Solo seat with springs,,,,3-speed,,,,,,,,,Actylene head and tail,,,Two-speed foot shift,,,,,,,,,,,
Indian Prince,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,70.0 x 78.0 mm (2.8 x 3.1 inches),Carburettor,,Chain   (final drive),,,,,,2.5-26 ,2.5-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,106.0 kg (233.7 pounds),,Magneto,,,,,,,,,,,,Mechanical pump,,,,,,,,,,,,
DKW E 200,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",70.0 km/h (43.5 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Air,Chain   (final drive),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,None,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,75.0 kg (165.3 pounds),,Magneto,,,,,,,10.00 litres (2.64 US gallons),,,,,,,,,,,,,140 mm (5.5 inches),,,,
NSU 251 SS,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),63.0 x 80.0 mm (2.5 x 3.1 inches),Carburettor,Air,Chain   (final drive),,,,,,2.50-26 ,2.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,110.0 kg (242.5 pounds),10.0 HP (7.3  kW)) @ 4400 RPM,,3-speed,0.0909 HP/kg,,,,,,Kick,,,,,,,,,,,,,,,,
Ariel Model C,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Air,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),"Wire spoked, black rims",Single seat with springs,,5.0 HP (3.6  kW)),,3-speed,,,,,,,Kick,Overhead Valves (OHV),,,,,,,,Black,,,,Sidevalve,Sturmey Archer hand change gearbox,Fish-tail exhaust,
NSU 501 SS,1928,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",125.0 km/h (77.7 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Air,Chain   (final drive),,,,,,2.50-26 ,3.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,158.0 kg (348.3 pounds),20.0 HP (14.6  kW)) @ 4800 RPM,,,0.1266 HP/kg,,,,1390 mm (54.7 inches),11.00 litres (2.91 US gallons),Kick,,,,,,,,,,,,,,,,
Sunbeam 95L Special,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,Chain   (final drive),,,,,,,,,,Spoked,Single ,,,,,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,
Indian Chief,1928,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,Chain   (final drive),,,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,,,
AJS G6 Bigport,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Binks,,Chain   (final drive),,,,,,,,,,Spoked,Single ,,,Lucas Magneto,,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,
