Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Clutch,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Starter,Engine details,Fuel control,Transmission type,Front suspension,Rear suspension,Wheels,Wheelbase,Fuel capacity,Oil capacity,Color options,Electrical,Fuel consumption,Greenhouse gases,Carrying capacity,Diameter,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Comments,Exhaust system,Modifications compared to previous model,Valves per cylinder,Driveline,Ground clearance,Instruments
Ariel 4G Square Four 1000,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,,,Air,4-speed,,Tubular single loop,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat,,,Kick,Double twin cylinder arranged as a square,Overhead Valves (OHV),Chain   (final drive),Oil damped telescopic,Plunger-link spring,Wire spoked. ,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,,,,,,178 mm (7.0 inches),211.0 kg (465.2 pounds),,,2083 mm (82.0 inches),,Also called ´Squariel´. Designed by Edward Turner. Optional sidecar.,Dual two-into-one,,2,,,
Ariel VH 500 Red Hunter,1948,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,,Dry sump with dual plunger pumps,Air,4-speed,Dry,Semi double cradle,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,Kick,,Overhead Valves (OHV),Chain   (final drive),Grider forks,Rigid,Red/chrome rims.,1422 mm (56.0 inches),13.25 litres (3.50 US gallons),3.40 litres (3.59 US quarts),Red/chrome/gold,,,,,,170.1 kg (375.0 pounds),,,2180 mm (85.8 inches),640 mm (25.2 inches),,,,,Burman,140 mm (5.5 inches),
Gilera Saturno San Remo,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,185.0 km/h (115.0 mph),,,,,,Air,,,Tubular,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,,,,,Overhead Valves (OHV),Chain   (final drive),,,Spoked,,,,,,,,,,,,,,,,,,,,,
Hercules MF 2,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.6  kW)) @ 3500 RPM,50.0 km/h (31.1 mph),,48.0 x 52.0 mm (1.9 x 2.0 inches),Carburettor. Bing 12mm,,,,,,,2.25-26 ,2.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Single ,65.0 kg (143.3 pounds),0.0346 HP/kg,,,,Chain   (final drive),,Rigid,Spoked,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,
Sunbeam S7 500,1948,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,,Wet sump,Oil & air,,Dry singleplate,Twin cradle,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Single ,194.0 kg (427.7 pounds),0.1237 HP/kg,Kick,,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Telescopic,Plungers,Spoked,1400 mm (55.1 inches),,,"Black/ green
",,,,,200 mm (7.9 inches),,,,,,,,,,,,
Vincent HRD Series B Rapide,1948,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Feridax Dunopillo Dualseat,,,,50degree V-twin,Overhead Valves (OHV),Chain   (final drive),Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,,1410 mm (55.5 inches),,,,,,,,,206.4 kg (455.0 pounds),,,,,,,,,,,
Harley-Davidson Servi-Car GE,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,Electric,,Sidevalves,,Leading link-Springer type,,Spoked,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,,,,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,,,,,,
Triumph Speed Twin 5T,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,,Carburettor. Amal,Battery/ coil,Dry sump,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,,,Overhead Valves (OHV),Chain   (final drive),Telescopic,Swingarm with coil-over shocks,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,
Velocette KTT Mk VIII,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,,Dry sump,Air,,Wet multiplate,Single cradle,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,Overhead Valves (OHV),Chain   (final drive),,,Spoked,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model E,1948,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,6.5:1,88.9 x 84.1 mm (3.5 x 3.3 inches),Carburettor,,,Air,3-speed,,Steel double loop,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,250.0 kg (551.2 pounds),,,,Overhead Valves (OHV),Chain   (final drive),Spring forks ,Hardtail,Wire spoked. Firestome or Goodyear tyres.,1511 mm (59.5 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),,,,,,,,,,2337 mm (92.0 inches),838 mm (33.0 inches),Optional 4-speed transmission. ,,,,,,
Norton International Model 30,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)) @ 5500 RPM,150.0 km/h (93.2 mph),7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,,,Air,,,Cradle,3-21 ,3.50-20 ,,,Single spring-mounted,176.0 kg (388.0 pounds),0.1676 HP/kg,Kick,,Overhead Cams (OHC),Chain   (final drive),Telescopic,Plungers,Spoked,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,,
Nimbus 2510,1948,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,,Carburettor,,,,3-speed,,,,,,,Two single seats,,,,,Overhead Cams (OHC),,Telescopic,,,,,,,,,,,,,,,,,,,,,,,
Indian Chief,1948,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,Chain   (final drive),Telescopic,Plungertype with coil springs,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,,,,,
Harley-Davidson ES,1948,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,6.5:1,88.9 x 83.8 mm (3.5 x 3.3 inches),Carburettor,,Ciculation pressure system,Air,3-speed,"Mulitplate, dry",Steel double loop,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,250.0 kg (551.2 pounds),,Kick,Hydraulic valve lifters. Aluminium cyliner heads.,Overhead Valves (OHV),Chain   (final drive),Spring forks ,Hardtail,Wire spoked. Firestome or Goodyear tyres.,1511 mm (59.5 inches),14.19 litres (3.75 US gallons),3.50 litres (3.7 US quarts),,"22 Ah, 6 Volt battery.",,,,,,,,2337 mm (92.0 inches),,Sidecar option.,,,,,,
Ariel VB 600,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",15.6 HP (11.4  kW)) @ 4400 RPM,,5.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,,Dry sump,Air,4-speed,"Dry, multiplate",,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,Kick,Sidevalve,,Chain   (final drive),,,Wire spokes,1422 mm (56.0 inches),15.90 litres (4.20 US gallons),3.40 litres (3.59 US quarts),Black,6V battery.,,,,,166.0 kg (366.0 pounds),,,2184 mm (86.0 inches),686 mm (27.0 inches),,1-into-1,,,,127 mm (5.0 inches),Tank mounted.
