Model,Year,Category,Rating,Displacement,Engine type,Engine details,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Overall length,Wheelbase,Fuel capacity,Oil capacity,Starter,Electrical,Comments,Overall width,Power,Top speed,Diameter,Seat,Power/weight ratio,Seat height,Ignition,Color options,Modifications compared to previous model,Exhaust system,Overall height,"Weight incl. oil, gas, etc",Ground clearance,Valves per cylinder,Fuel consumption,Greenhouse gases,Carrying capacity,Driveline
Simplex Automatic,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,Overhead Valves (OHV),,,,Belt   (final drive),,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,61.2 kg (135.0 pounds),,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,4.0 HP (2.9  kW)) @ 4000 RPM,,,Solo seat with springs,0.0653 HP/kg,,Magneto,,This year has direct drive with clutch.,,,,,,,,,
Ardie NE 125,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,Chain   (final drive),Wet multiplate,,,None,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,5.0 HP (3.6  kW)) @ 5100 RPM,,,Single spring-mounted,,,,,,,,,,,,,,
Harley-Davidson S-125,1949,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,Chain   (final drive),,,Girder fork coil spring,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,90.7 kg (200.0 pounds),,,,,,,,,,,,Spring-mounted seat,,,,,,,,,,,,,,
Ariel KH 500 Red Hunter,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,7.5:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Overhead Valves (OHV),Dry sump,Air,4-speed,Chain   (final drive),Dry plate,Duplex,Telescopic forks,Rigid,3.00-20 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,177.0 kg (390.2 pounds),2184 mm (86.0 inches),1422 mm (56.0 inches),17.00 litres (4.49 US gallons),,Kick,,Ariel was bought by BSA in 1944.,,28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),,Solo seat,0.1584 HP/kg,"787 mm (31.0 inches) If adjustable, lowest setting.",Lucas,Red,,2-into-2 pipes,,,,,,,,
Triumph 500 Grand Prix,1949,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,63.0 x 80.0 mm (2.5 x 3.1 inches),,Overhead Valves (OHV),,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,142.0 kg (313.1 pounds),,,,,,,,,40.0 HP (29.2  kW)) @ 7200 RPM,,,Single ,0.2817 HP/kg,,,,,,,,,,,,,
Nimbus 2510,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,Carburettor,Overhead Cams (OHC),,,3-speed,,,,Telescopic,,,,,,,,,,,,,,,,,,,Two single seats,,,,,,,,,,,,,,
AJS Model 20 500,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,178.0 kg (392.4 pounds),2190 mm (86.2 inches),,13.50 litres (3.57 US gallons),,Kick,,,710 mm (28.0 inches),20.0 HP (14.6  kW)) @ 6800 RPM,137.0 km/h (85.1 mph),,Dual ,0.1124 HP/kg,,Magneto,,,,1050 mm (41.3 inches),,,,,,,
Rikuo RT 2,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,,Carburettor. Linkert,Sidevalves,,Air,4-speed,,Four speed ,,Telescopic,,,,,,,230.0 kg (507.1 pounds),,,,,,,,,22.0 HP (16.1  kW)) @ 4250 RPM,,,Spring-mounted seat,0.0957 HP/kg,,Generator and battery,,,,,,,,,,,
Moto Guzzi Dondolino,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, two-stroke",,,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto SSM,Overhead Valves (OHV),,,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,127.0 kg (280.0 pounds),,,19.00 litres (5.02 US gallons),,,,,,33.0 HP (24.1  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),,Single ,0.2598 HP/kg,,Magneto,,,,,,,,,,,
Norton International Model 30,1949,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Overhead Cams (OHC),,Air,,Chain   (final drive),,Cradle,Telescopic,Plungers,3-21 ,3.50-20 ,,,Spoked,176.0 kg (388.0 pounds),,1391 mm (54.8 inches),,,Kick,,,,29.5 HP (21.5  kW)) @ 5500 RPM,150.0 km/h (93.2 mph),,Single spring-mounted,0.1676 HP/kg,,,,,,,,,,,,,
Excelsior JAP Speedway,1949,Speedway,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Amal 27/013 dual-float,Overhead Valves (OHV),,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake). Dunlop alloy-rim,Spoked,,,,,,,,,,,,,Single ,,,,,,,,,,,,,,
