Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,"Weight incl. oil, gas, etc",Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Oil capacity,Color options,Starter,Electrical,Top speed,Dry weight,Power/weight ratio,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Diameter,Overall height,Carrying capacity,Exhaust system,Valves per cylinder,Light,Comments,Seat height,Torque,Modifications compared to previous model,0-100 km/h (0-62 mph),Front wheel travel,Rear wheel travel,Alternate seat height
Ariel 4G Square Four Mark I,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,Double twin cylinder arranged as a square. ,35.0 HP (25.5  kW)) @ 5500 RPM,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Dry sump with dual oil pump.,Air,4-speed,Chain   (final drive),,,Tubular single loop,Oil damped telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Solo seat,,2083 mm (82.0 inches),,,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),3.40 litres (3.59 US quarts),"Red/chrome, Black/chrome",Kick,6 Volt battery.,144.8 km/h (90.0 mph),197.0 kg (434.3 pounds),0.1777 HP/kg,Overhead Valves (OHV),,,,178 mm (7.0 inches),,,Dual two-into-one,2,30 Watt headlamp.,Also called ´Squariel´. Designed by Edward Turner. ,,,,,,,
Horex Regina 350,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",,19.0 HP (13.9  kW)) @ 6250 RPM,6.8:1,,Carburettor. Single Bing or amal,,Air,,,,,,Hydralic telescopic forks,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,2120 mm (83.5 inches),670 mm (26.4 inches),,,18.00 litres (4.76 US gallons),,,Kick,,,145.0 kg (319.7 pounds),0.1310 HP/kg,Overhead Valves (OHV),Magneto,,,,1000 mm (39.4 inches),,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,
Norton Dominator Model 7,1953,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,,6.7:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,,Air,,Chain   (final drive),Wet multiplate,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat with springs,,,,,1410 mm (55.5 inches),,,,,,,200.0 kg (440.9 pounds),,Overhead Valves (OHV),Magneto,,,,,,,,,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,
Adler M 250 S,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",,16.0 HP (11.7  kW)) @ 5590 RPM,5.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,Air,4-speed,Chain   (final drive),Wet multiplate,,Semi double cradle,,Two schock,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,,,,,,,Kick,,116.0 km/h (72.1 mph),135.0 kg (297.6 pounds),0.1185 HP/kg,,,,,180 mm (7.1 inches),,,,,,,,,,,,,
Ardie BD 175,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",,9.0 HP (6.6  kW)) @ 5600 RPM,,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor,,Air,,Chain   (final drive),,,,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,95.0 km/h (59.0 mph),108.0 kg (238.1 pounds),0.0833 HP/kg,,Magneto,,,,,,,,,,,,,,,,
Ariel 4G Square Four Mark II,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,Double twin cylinder arranged as a square. ,45.0 HP (32.8  kW)) @ 5500 RPM,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Dry sump with dual oil pump.,Air,4-speed,Chain   (final drive),,,Tubular single loop,Oil damped telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Solo seat,,2083 mm (82.0 inches),,,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),3.40 litres (3.59 US quarts),,Kick,,160.0 km/h (99.4 mph),193.0 kg (425.5 pounds),0.2332 HP/kg,Overhead Valves (OHV),,,,178 mm (7.0 inches),,,,2,30 Watt headlamp.,"Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold.",,,,,,,
Puch 250 SGS 67,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",,16.5 HP (12.0  kW)) @ 5800 RPM,6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,,4-speed,Chain   (final drive),,,,Telescopic,Swingarm,3-16 ,3.50-16 ,,,Spoked,Dual ,,,,,,13.00 litres (3.43 US gallons),,,,,110.0 km/h (68.4 mph),150.0 kg (330.7 pounds),0.1100 HP/kg,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,
Moto Guzzi Galetto,1953,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,4-speed,Chain   (final drive),Multiplate,,,Telescopic,,2.75-17 ,3-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,Kick,,,110.0 kg (242.5 pounds),,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Norton International Model 30,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,29.5 HP (21.5  kW)) @ 5500 RPM,7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,,Air,,Chain   (final drive),,,Cradle,Telescopic,Plungers,,,,,Spoked,Single spring-mounted,,,,,1391 mm (54.8 inches),,,,Kick,,150.0 km/h (93.2 mph),,,Overhead Cams (OHC),,,,,,,,,,,,,,,,,
BMW R25 2,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,12.0 HP (8.7  kW)) @ 5600 RPM,6.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,,Steel-single cradlel,Cartridge,Twin shock-Plunger,2.99-19 ,2.99-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,140.0 kg (308.6 pounds),2020 mm (79.5 inches),790 mm (31.1 inches),108 mm (4.3 inches),1335 mm (52.6 inches),12.00 litres (3.17 US gallons),,,Kick,,80.0 km/h (49.7 mph),,,Overhead Valves (OHV),Battery,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,160 mm (6.3 inches),730 mm (28.7 inches),,,,,,,,,,,,
BMW R51 3,1953,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",,24.1 HP (17.6  kW)) @ 5800 RPM,6.3:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22mm ,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,Steel single cradle,Cartridge,Telscopic,3.50-19.00 ,3.50-19.00 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,,190.0 kg (418.9 pounds),2130 mm (83.9 inches),790 mm (31.1 inches),,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),,,Kick,,135.0 km/h (83.9 mph),,,Overhead Valves (OHV),,,,200 mm (7.9 inches),985 mm (38.8 inches),,,,,,,,,,,,
Harley-Davidson FL Hydra Glide,1953,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1208.0 ccm (73.71 cubic inches),"V2, four-stroke",Knucklehead V-twin engine,55.0 HP (40.1  kW)) @ 4800 RPM,7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,,Air,4-speed,Chain   (final drive),,,Steel double downtube,Hydraulic telescopic forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat,,,,,1510 mm (59.4 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),"Black, red, blue",,6 Volt battery.,160.9 km/h (100.0 mph),267.0 kg (588.6 pounds),0.2060 HP/kg,Overhead Valves (OHV),,,,,,Soft saddlebags,,,,,,,,,,,
NSU Rennmax,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Twin, four-stroke",,39.0 HP (28.5  kW)) @ 11500 RPM,,,Carburettor,,Air,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,209.0 km/h (129.9 mph),,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,
Peugeot S157,1953,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",,6.6 HP (4.8  kW)) @ 4500 RPM,6.5:1,56.0 x 60.0 mm (2.2 x 2.4 inches),,,Air,,Chain   (final drive),,,Tubular,Traveling link,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop,Two single seats,,,,,1270 mm (50.0 inches),6.25 litres (1.65 US gallons),,,,12v flywheel generator,89.0 km/h (55.3 mph),113.4 kg (250.0 pounds),0.0582 HP/kg,,,,,,,,,,,,,,,,,,
Harley-Davidson Model KK,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"V2, four-stroke",Flathead 45 degree engine,,,70.0 x 97.0 mm (2.8 x 3.8 inches),Carburettor. Linkert,,Air,4-speed,Chain   (final drive),,,Steel single downtube,Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,,,,,1435 mm (56.5 inches),17.00 litres (4.49 US gallons),2.80 litres (2.96 US quarts),,Kick,6 Volt,129.0 km/h (80.2 mph),183.0 kg (403.4 pounds),,Sidevalves,,,,,,,2-into-1 chrome,,,,,,,,,,
Lambretta 125D Series 1,1953,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.0 HP (3.6  kW)) @ 4600 RPM,6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,5%,Air,3-speed,,3 speed- hand changed,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,Electric,,72.4 km/h (45.0 mph),69.9 kg (154.0 pounds),0.0716 HP/kg,,Contact breaker  and  points,,,,,,,,,,,,,,,,
NSU Lux,1953,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5250 RPM,6.0:1,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing,,Air,,,,,,,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,2030 mm (79.9 inches),670 mm (26.4 inches),,,11.50 litres (3.04 US gallons),,,Kick,,95.0 km/h (59.0 mph),135.0 kg (297.6 pounds),0.0815 HP/kg,,,,,,990 mm (39.0 inches),,,,,,,,,,,,
Harley-Davidson S-125,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,Chain   (final drive),,,,Girder fork coil spring,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,,,,,,,,,,,90.7 kg (200.0 pounds),,,,,,,,,,,,,,,,,,,
AJS Model 20 500,1953,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,20.0 HP (14.6  kW)) @ 6800 RPM,7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,,Air,4-speed,Chain   (final drive),Wet multiplate,,Single cradle,Telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,2190 mm (86.2 inches),710 mm (28.0 inches),,,13.50 litres (3.57 US gallons),,,Kick,,137.0 km/h (85.1 mph),178.0 kg (392.4 pounds),0.1124 HP/kg,,Magneto,,,,1050 mm (41.3 inches),,,,,,,,,,,,
NSU Konsul 1,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5500 RPM,6.3:1,79.0 x 79.0 mm (3.1 x 3.1 inches),Carburettor,,Air,,Chain   (final drive),,,,Telescopic,Hydraulic,3.50-19 ,4-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,2185 mm (86.0 inches),820 mm (32.3 inches),,,,,,,,,,,Overhead Valves (OHV),,,,,1000 mm (39.4 inches),,,,,,,,,,,,
NSU 125ZB,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.0 HP (3.6  kW)) @ 5000 RPM,6.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing,,,,Chain   (final drive),,,,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,1910 mm (75.2 inches),690 mm (27.2 inches),,,8.00 litres (2.11 US gallons),,,Kick,,75.0 km/h (46.6 mph),,,,,,,,900 mm (35.4 inches),,,,,,,,,,,,
Sparta NL200,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,59.0 x 72.0 mm (2.3 x 2.8 inches),Carburettor,,Air,,Chain   (final drive),,,,,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,,,13.00 litres (3.43 US gallons),,,,,,,,,Magneto,,,,,,,,,,,,,,,,
Hercules 313 Starr,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,6.5 HP (4.7  kW)) @ 4700 RPM,,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Sachs 18mm,,Air,,Chain   (final drive),,,,Telescopic,Rigid,2.75-19 ,2.75-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Spring-mounted seat,,,,,,11.00 litres (2.91 US gallons),,,Kick,,85.0 km/h (52.8 mph),90.0 kg (198.4 pounds),0.0722 HP/kg,,,,,,,,,,,,,,,,,,
Harley-Davidson Model K,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"V2, four-stroke",Flathead 45 degree engine,30.0 HP (21.9  kW)),6.0:1,70.0 x 97.0 mm (2.8 x 3.8 inches),Carburettor. Linkert,,Air,4-speed,Chain   (final drive),,,Steel single downtube,Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,,,,,1435 mm (56.5 inches),17.00 litres (4.49 US gallons),2.80 litres (2.96 US quarts),"Black, blue, red, bronze",Kick,6 Volt,129.0 km/h (80.2 mph),181.0 kg (399.0 pounds),0.1657 HP/kg,,,,,,,,,,,Also called Harley-Davidson Model-K and Harley-Davidson K-Model.,,,,,,,
Triumph Terrier 150,1953,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,8.3 HP (6.1  kW)) @ 6500 RPM,7.1:1,57.0 x 58.5 mm (2.2 x 2.3 inches),Carburettor. Amal,,Air,,Chain   (final drive),,,,,,3-16 ,3-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,1245 mm (49.0 inches),11.36 litres (3.00 US gallons),,,,,80.5 km/h (50.0 mph),,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Zündapp Norma Luxsus Db234,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,8.7 HP (6.4  kW)) @ 4250 RPM,,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,,,4-speed,,,,,Telescopic,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,12.00 litres (3.17 US gallons),,,,,90.0 km/h (55.9 mph),131.0 kg (288.8 pounds),0.0664 HP/kg,,,,,,,,,,,,,,,,,,
DKW RT 200H,1953,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",,,,62.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor. Bing ,,Air,3-speed,Chain   (final drive),,,,Telescopic ,None,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,,,90.0 km/h (55.9 mph),124.0 kg (273.4 pounds),,,,,,,,,,,,,,,,,,,
Gilera Saturno San Remo,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,40.0 HP (29.2  kW)) @ 6500 RPM,,85.0 x 90.0 mm (3.3 x 3.5 inches),,,Air,,,,,,Telescopic ,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,185.1 km/h (115.0 mph),,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Lambretta 125E,1953,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,3.8 HP (2.8  kW)) @ 4500 RPM,6.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto MU 14B1,5%,Air,3-speed,,3 speed- hand changed,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,Electric,,70.8 km/h (44.0 mph),58.1 kg (128.0 pounds),0.0654 HP/kg,,Contact breaker  and  points,,,,,,,,,,,,,,,,
Zündapp DB 255 Elastic 250,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",,13.0 HP (9.5  kW)) @ 5200 RPM,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,,,,Tubular,Telescopic,Two schock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,14.70 litres (3.88 US gallons),,,,,100.0 km/h (62.1 mph),147.0 kg (324.1 pounds),0.0884 HP/kg,,,,,,,,,,,,,,,,,,
Zündapp DB 203,1953,Allround," 2.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,8.7 HP (6.4  kW)) @ 4250 RPM,,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,,Air,4-speed,,,,,Telescopic,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,12.00 litres (3.17 US gallons),,,,,90.0 km/h (55.9 mph),122.0 kg (269.0 pounds),0.0713 HP/kg,,,,,,,,,,,,,,,,,,
Horex Regina 400,1953,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,16.2 HP (11.8  kW)) @ 5750 RPM,,,Carburettor,,Air,,Chain   (final drive),,,,Hydralic telescopic forks,,,,Expanding brake (drum brake). Single,Expanding brake (drum brake). Simplex ,,Single seat,,,,,,,,,Kick,,130.0 km/h (80.8 mph),150.0 kg (330.7 pounds),0.1080 HP/kg,Overhead Valves (OHV),,,,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,
Adler M 200,1953,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, two-stroke",,11.0 HP (8.0  kW)) @ 5450 RPM,5.8:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor,,Air,4-speed,Chain   (final drive),Wet multiplate,,Semi double cradle,Plunger shocks,Dual chocks,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,Kick,,,130.0 kg (286.6 pounds),0.0846 HP/kg,,,,,,,,,,,,,,,,,,
Hercules 319,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,9.0 HP (6.6  kW)) @ 5250 RPM,,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,Air,,Chain   (final drive),,,Single cradle,Telescopic,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two seats,,,,,,13.00 litres (3.43 US gallons),,,Kick,,90.0 km/h (55.9 mph),116.0 kg (255.7 pounds),0.0776 HP/kg,,,,,,,,,,,,,,,,,,
Zündapp DB 205 Elastic 200,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,9.5 HP (6.9  kW)) @ 4700 RPM,,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,,Air,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,
NSU Max ,1953,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,15.0 HP (10.9  kW)) @ 5800 RPM,,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,Kick,,115.0 km/h (71.5 mph),150.0 kg (330.7 pounds),0.1000 HP/kg,,,,,,990 mm (39.0 inches),,,,,,,,,,,,
BMW R25 3,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,13.1 HP (9.5  kW)) @ 5800 RPM,7.1:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,,Closed steel loop-welded,Cartridge,Telscopic,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,150.0 kg (330.7 pounds),2065 mm (81.3 inches),760 mm (29.9 inches),92 mm (3.6 inches),1335 mm (52.6 inches),12.00 litres (3.17 US gallons),,,Kick,,119.0 km/h (73.9 mph),,,Overhead Valves (OHV),Battery,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,160 mm (6.3 inches),710 mm (28.0 inches),320kg,,,,88Kph is the top speed with original sidecar.,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,
Ariel KH 500 Red Hunter,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,28.0 HP (20.5  kW)) @ 6500 RPM,6.8:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Dry sump,Air,4-speed,Chain   (final drive),Dry plate,,Duplex loop,Telescopic forks,Rigid,3.00-20 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Solo seat with springs,,2184 mm (86.0 inches),686 mm (27.0 inches),140 mm (5.5 inches),1422 mm (56.0 inches),17.00 litres (4.49 US gallons),,Red,Kick,,145.0 km/h (90.1 mph),177.0 kg (390.2 pounds),0.1584 HP/kg,Overhead Valves (OHV),Lucas,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,2-into-2 pipes,,,Ariel was bought by BSA in 1944.,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,
Gilera Saturno Corsa,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",,38.0 HP (27.7  kW)),7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto SSF3M,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,,,,119.0 km/h (73.9 mph),,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Ariel MK1 Square Four,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,,Chain   (final drive),,,Tubular single loop,,,3.25-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,2100 mm (82.7 inches),,,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,,,,,193.0 kg (425.5 pounds),,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",360 degree paprallel,27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,,,Chain   (final drive),,,,Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,1400 mm (55.1 inches),,,,,,,158.8 kg (350.0 pounds),0.1701 HP/kg,Overhead Valves (OHV),Lucas altrnator,,,,,,,,,,,,,,,,
