Model,Year,Category,Rating,Displacement,Engine type,Top speed,Bore x stroke,Fuel system,Gearbox,Rear suspension,Front tire,Rear tire,Wheels,Seat,Dry weight,Fuel control,Frame type,Front brakes,Rear brakes,Power,Compression,Ignition,Lubrication system,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front suspension,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Color options,Exhaust system,Power/weight ratio,Light
DKW E 206,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,206.0 ccm (12.57 cubic inches),"Single cylinder, two-stroke",70.0 km/h (43.5 mph),64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Framo-E,,None,2.85-26 ,2.85-26 ,Spoked,Single ( two single seats optional),75.0 kg (165.3 pounds),,Open tubular ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Air,Belt   (final drive),,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Bob fork,,,,,,,,,,,,,
Indian LE,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,68.0 x 90.0 mm (2.7 x 3.5 inches),Carburettor,3-speed,,2.5-26 ,2.5-26 ,,Single ,106.0 kg (233.7 pounds),,,Expanding brake (drum brake),Expanding brake (drum brake),,,Magneto,,,Chain   (final drive),,,,,,,,,,,,,,,,,
Ace Standard,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1234.0 ccm (75.30 cubic inches),"Twin, four-stroke",,69.9 x 82.6 mm (2.8 x 3.3 inches),Carburettor,,,3.5-27 ,3.5-27 ,Spoked,Single spring-mounted,165.0 kg (363.8 pounds),,,,,,,Magneto,,,Chain   (final drive),,,,,,,,,,,,,,,,,
Harley-Davidson Eight-valve racer,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",193.0 km/h (119.9 mph),,Carburettor. Schebler,1-speed,,,,Spoked,Single ,,Overhead Valves (OHV),,,,,,,,Liquid,Chain   (final drive),,,,,,,,,,,,,,,No pipes,,
Zündapp EM 250,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),62.0 x 82.5 mm (2.4 x 3.2 inches),Carburettor. Amac,3-speed,Rigid,2.85-26 ,2.85-26 ,Spoked,Single ,,,,Expanding brake (drum brake),Expanding brake (drum brake),4.5 HP (3.3  kW)) @ 3100 RPM,,,,Air,Chain   (final drive),,,,Webb  fork,,,,,,,,Kick,,,,,
Indian BGE,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"V2, four-stroke",,69.0 x 70.0 mm (2.7 x 2.8 inches),Carburettor,,,3-26 ,3-26 ,,,145.0 kg (319.7 pounds),,,Expanding brake (drum brake),Expanding brake (drum brake),,,Magneto,,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,
NSU 4PS,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",80.0 km/h (49.7 mph),63.0 x 80.0 mm (2.5 x 3.1 inches),Carburettor,,,2.5-26 ,2.5-26 ,Spoked,Single spring-mounted,120.0 kg (264.6 pounds),,Steel,,,6.5 HP (4.7  kW)) @ 3000 RPM,,,,,Belt   (final drive),,,,,,,740 mm (29.1 inches),2200 mm (86.6 inches),840 mm (33.1 inches),1415 mm (55.7 inches),,,,,,0.0542 HP/kg,
Scott Super Squirrel,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,Carburettor,3-speed,,,,,Solo seat with springs,,,,,,,,,,,Chain   (final drive),Two-speed foot shift,,,,,,,,,,,,,,,,Actylene head and tail
BMW R37,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",115.0 km/h (71.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 26mm,3-speed,Rigid,2.99-26 ,2.99-26 ,,Solo seat with springs,,Overhead Valves (OHV),Steel doble cradle,Expanding brake (drum brake),,16.0 HP (11.7  kW)) @ 4000 RPM,6.2:1,Bosh magento,Wet sump ,Air,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Leading link ,150 mm (5.9 inches),134.0 kg (295.4 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,,,,,
Zündapp K 211,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",65.0 km/h (40.4 mph),62.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,3-speed,Rigid,,,Spoked,Two seats,75.0 kg (165.3 pounds),,Tubular ,Expanding brake (drum brake),Expanding brake (drum brake),2.3 HP (1.6  kW)) @ 2600 RPM,,,,Air,Chain   (final drive),,,,Druid  fork,,,,,,,6.50 litres (1.72 US gallons),,,,,0.0300 HP/kg,
Harley-Davidson Model JDCB,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",,86.9 x 101.6 mm (3.4 x 4.0 inches),Carburettor,3-speed,,3-26 ,3-26 ,Spoked,Single spring-mounted,176.0 kg (388.0 pounds),,,,,,,Magneto ,,,Chain   (final drive),,,,,,,,,,,,,,,,,
Coventry Eagle Coventry Eagle,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",,,Carburettor,,Girder fork,,,Spoked,Single ,175.0 kg (385.8 pounds),,,Expanding brake (drum brake),Expanding brake (drum brake),85.5 HP (62.4  kW)),6.5:1,Magneto Lucas,,Air,Chain   (final drive),,,,Open tubular,,,,,,,,,,,,0.4886 HP/kg,
Harley-Davidson Model FDCB,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",,86.9 x 101.6 mm (3.4 x 4.0 inches),Carburettor,3-speed,,3-26 ,3-26 ,,,176.0 kg (388.0 pounds),,,,,,,Magneto ,,,Chain   (final drive),,,,,,,,,,,,,,,,,
Harley-Davidson Model JD,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),86.9 x 101.6 mm (3.4 x 4.0 inches),Carburettor,,,3-26 ,3-23 ,Spoked,Single ,166.0 kg (366.0 pounds),,,,Expanding brake (drum brake),12.0 HP (8.8  kW)),,H.D generator,,,Chain   (final drive),,,,,,,,,,,,,,,,0.0723 HP/kg,
Cleveland Lighweight engine no.286,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,,Carburettor,2-speed,,,,Spoked,Single spring-mounted,,,,,,,,,,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,Kick,,,,,
AJS G6 Bigport,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Binks,3-speed,,,,Spoked,Single ,,Overhead Valves (OHV),,Expanding brake (drum brake),Expanding brake (drum brake),,,Lucas Magneto,,,Chain   (final drive),,,,,,,,,,,,,,,,,
Indian Chief,1925,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,Plungertype with coil springs,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Chain   (final drive),,,,Telescopic,,,,,,1540 mm (60.6 inches),,,,,,,
