Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
Vento Proton 200,2016,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",197.5 ccm (12.05 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)),,,,,,Carburettor,,CDI,Air,5-speed,Chain   (final drive),,,Steel,,Hydraulic telescopic fork,,Dual shocks,,100/80-R18 ,100/90-R18 ,Single disc. Hydraulic,,Expanding brake (drum brake),,,"800 mm (31.5 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),830 mm (32.7 inches),,,16.00 litres (4.23 US gallons),Black/red/gold,Electric,,Sold in Asia and Australia.,,,5-spoke,111.0 kg (244.7 pounds),,,,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 200 ABS,2016,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,11.0:1,69.0 x 53.4 mm (2.7 x 2.1 inches),4,Injection,Single Overhead Cams (SOHC),CDI,Liquid,Automatic,Belt   (final drive),,CVT,,,Telescopic oil-damped forks,,"Swingarm type, coilspring, oildamped",,110/90-13 ,130/70-12 ,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,150.0 kg (330.7 pounds),,"735 mm (28.9 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),740 mm (29.1 inches),,1465 mm (57.7 inches),11.00 litres (2.91 US gallons),Brilliant White,Electric,,Wind-tunnel tested windscreen. Eco Drive Indicator.,Wet Sump,,,163.0 kg (359.4 pounds),1240 mm (48.8 inches),Under-seat storage can hold two full-face helmets.,,,,,,,,,12 month unlimited mileage limited warranty.,,Two-person seat with integral rider’s backrest,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 II Scrambler ABS,2016,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,,,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Injection. Weber-Marelli,,,Air,5-speed,Shaft drive (cardan)   (final drive),Dry single plate with flexible couplings,Compact Reactive Shaft Drive,Double cradle tubular frame in ALS steel with detachable rear subframe,,Telescopic hydraulic fork with 40 mm stanchions,130 mm (5.1 inches),Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,111 mm (4.4 inches),100/90-18 ,130/80-17 ,Single disc. ABS. Brembo caliper with 4 differentiated pistons,260 mm (10.2 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",2184 mm (86.0 inches),800 mm (31.5 inches),179 mm (7.0 inches),1449 mm (57.0 inches),22.00 litres (5.81 US gallons),"Blue, red",Electric,,Switchable ABS.,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,,Spoked polished aluminium rims,190.0 kg (418.9 pounds),1113 mm (43.8 inches),,Light alloy pushrods and rockers,,,,,,Three-way catalytic converter with double lambda probe,,Two-year manufacturer’s warranty and roadside assistance for one year,,,,,,,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,
Romet Malibu 320i,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,320.0 ccm (19.53 cubic inches),"Twin, four-stroke",29.5 HP (21.5  kW)),,90.0 km/h (55.9 mph),,,,Injection,,,Air,5-speed,Chain   (final drive),,,,,Telescopic fork,,,,,,Double disc,,Single disc,,,,2280 mm (89.8 inches),900 mm (35.4 inches),,,,"Black, dark red",Electric,,Johnny Pag model sold as Romet in Poland.,,,Wire spoked,,1180 mm (46.5 inches),,,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Arctic Cat DVX 90,2016,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, four-stroke",,,,,47.0 x 51.8 mm (1.9 x 2.0 inches),2,Carburettor,Single Overhead Cams (SOHC),,Air,Automatic,Belt   (final drive),,"2 WD. Automatic CVT with Forward, Neutral  and  Reverse.",,,Single A-Arm,71 mm (2.8 inches),Swing Arm,74 mm (2.9 inches),20/7-8 ,19/8-8 ,Expanding brake (drum brake),,Single disc. Hydraulic. ,117.9 kg (260.0 pounds),,,1468 mm (57.8 inches),876 mm (34.5 inches),184 mm (7.3 inches),975 mm (38.4 inches),5.68 litres (1.50 US gallons),White,Electric,,,,,Kenda tires.,,963 mm (37.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Skydrive 125,2016,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.3 HP (6.8  kW)) @ 7500 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 9500 RPM,,9.6:1,53.5 x 55.2 mm (2.1 x 2.2 inches),2,Carburettor. BS type,Single Overhead Cams (SOHC),CDI ,Air,Automatic,Belt   (final drive),Automatic centrifugal,,Steel tube underbone,,"Telescopic, coil spring oil damped",,"Swing arm, oil damped",,70/90-14 ,80/90-14 ,Single disc,,Expanding brake (drum brake),106.0 kg (233.7 pounds),0.0873 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1885 mm (74.2 inches),655 mm (25.8 inches),140 mm (5.5 inches),1285 mm (50.6 inches),3.90 litres (1.03 US gallons),"Black, white, red",Electric & kick,,Sold in Asia,Wet sump,26.5°,,108.0 kg (238.1 pounds),1050 mm (41.3 inches),,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 961 Cafe Racer Mk II,2016,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 6500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5200 RPM,,10.1:1,88.0 x 79.0 mm (3.5 x 3.1 inches),2,Injection,,Digital,Air,5-speed,Chain   (final drive),Wet multi-plate,525 “O” ring chain,Steel tubular with integral oil tank,90 mm (3.5 inches),"43mm Ohlins USD - Adjustable preload, compression  and    rebound   damping.",115 mm (4.5 inches),"Ohlins reservoir-style twin shocks - Adjustable ride height,   reload,   compression and rebound",110 mm (4.3 inches),120/70-17 ,180/55-17 ,"Double disc. Brembo, twin semi-floating hi  carbon stainless steel discs, Brembo 4 piston “Gold Line” axial callipers",220 mm (8.7 inches),"Single disc. Brembo, 2  piston calliper",188.0 kg (414.5 pounds),0.4255 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",,,,1420 mm (55.9 inches),17.03 litres (4.50 US gallons),"Black, Grey, White, Red, Green, Light blue,
",Electric,300 watt hi-output charging system.,,Dry sump,24.5°,Stainless steel spoked polished rim,203.5 kg (448.6 pounds),,,"Push rod, hydraulic roller lifter",,,,3.30 litres (3.49 US quarts),,Multiple 3 way catalytic converter,"Analogue speedo and tachometer. Multi-function display including mileage, trip, battery voltage  and  time.",,Euro 3 compliant with multiple 3 way catalytic  converter,,,,,,,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,
Lifan Timo,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.3 HP (1.0  kW)),,40.0 km/h (24.9 mph),,,,,,,,Automatic,Belt   (final drive),,,,,Hydraulic,,Hydraulic,,90/90-12 ,120/70-12 ,Single disc,,Single disc,68.0 kg (149.9 pounds),0.0197 HP/kg,,1880 mm (74.0 inches),688 mm (27.1 inches),,1400 mm (55.1 inches),,"Black, Blue, Red, Silver, White",Electric,,60 Volt battery. 6-8 hours charging. Range 55 km. Windscreen. Chinese made scooter.,,,,,1290 mm (50.8 inches),Top box,Brushless DC motor,,,,,,,,,,2 person seat,,,,,,,,,,,,,,,,,,,,,
Kikker 5150 Hardknock,2016,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)),,144.8 km/h (90.0 mph),,,,Carburettor,Single Overhead Cams (SOHC),,,5-speed,Chain   (final drive),,,Rigid,,Optional Springer Front,,,,,,Single disc,,Single disc,100.0 kg (220.5 pounds),0.2400 HP/kg,"635 mm (25.0 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),710 mm (28.0 inches),,,,"Black, custom color",Electric,,Customizable with engine sizes from 49 to 250 ccm. Handlebar: Ape Hangar or Drag. Shifter Knob: 8-Ball or Dice.  No plastic parts. Various engine options.,,,Wire spoked,,1000 mm (39.4 inches),,"Optional 49, 125 or 200 ccm engines.",,,,,,,,12 months,,Sole seat with springs. Optional extra wide seat w/leather cover.,,,,,,,,,,,,,,,,,,,,,
Neander Turbo-Diesel,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1340.0 ccm (81.77 cubic inches),Diesel,112.0 HP (81.8  kW)) @ 4200 RPM,214.0 Nm (21.8 kgf-m or 157.8 ft.lbs) @ 2600 RPM,220.0 km/h (136.7 mph),,105.0 x 76.0 mm (4.1 x 3.0 inches),4,Turbo. Bosch common rail injection. Turbo charger with intercooler.,Double Overhead Cams/Twin Cam (DOHC),,Oil & air,6-speed,Belt   (final drive),Wet coupling,,Tubular frame with the engine as supporting element,,"Twin slide tube fork, 41 mm",120 mm (4.7 inches),"WP shocks, adjustable",100 mm (3.9 inches),150/80-17 ,260/40-18 ,"Double disc. Bremo, 6-piston",,"Single disc. Bremo, 6-piston",295.0 kg (650.4 pounds),0.3797 HP/kg,"650 mm (25.6 inches) If adjustable, lowest setting.",2480 mm (97.6 inches),,,1920 mm (75.6 inches),14.00 litres (3.70 US gallons),"Black, white, green, ",Electric,,Exhaust-gas turbocharger and charge air cooling. Counter rotating crankshafts cancel out vibrations. Particle filter. German made diesel bike. ,Dry sump with three oil-duct system,34.0°,Cast alloy,,,,"Twin cylinder, 4 stroke, turbo diesel engine",4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,Solo seat,,,,,,,,,,,4.50 seconds,,,,,,,,,,
