Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Fuel system,Ignition,Cooling system,Gearbox,Driveline,Frame type,Comments,Bore x stroke,Transmission type,Front suspension,Rear suspension,Wheels,Seat,Dry weight,Power/weight ratio
Millet Motorcycle,1895,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,625.0 ccm (38.14 cubic inches),Radial,5-cylinder rotary engine mounted on rear wheel,1.2 HP (0.9  kW)) @ 180 RPM,35.0 km/h (21.7 mph),Carburettor. Surface carburetor,Bunsen cell/ignition coil hybrid,Air,1-speed,Direct,Steel,First motorcycle to use pneumatic tires. Pedals in addition to engine. Prototype shown in 1892.,,,,,,,,
Hildebrand-Wolfmüller Motorrad,1895,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1489.0 ccm (90.86 cubic inches),"Twin, four-stroke",,2.5 HP (1.8  kW)) @ 240 RPM,45.0 km/h (28.0 mph),Carburettor,Hot tube,Liquid,,,Tubular duplex,,90.0 x 117.0 mm (3.5 x 4.6 inches),Shaft drive (cardan)   (final drive),Front fork,None,"26 in front wheel, 22 inch rear wheel.",Single bicycle type seat,50.0 kg (110.2 pounds),0.0500 HP/kg
