Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Color options,Starter,Comments,Clutch,Seat,Light,Ignition,Fuel consumption,Greenhouse gases,Lubrication system,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Carrying capacity,Oil capacity,Seat height,Electrical
DKW Block 175,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",,,,,59.0 x 64.0 mm (2.3 x 2.5 inches),,Carburettor. Zweihebel-Framo B,,Air,4-speed,Chain   (final drive),,,Steel,,None,3-25 ,3-25 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,1255 mm (49.4 inches),12.50 litres (3.30 US gallons),,,,,Solo seat with springs,,Battery-,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,95.0 kg (209.4 pounds),,,,,,,
NSU 201TS,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.2 ccm (12.16 cubic inches),"Single cylinder, four-stroke",,4.5 HP (3.3  kW)) @ 4000 RPM,65.0 km/h (40.4 mph),,56.5 x 80.0 mm (2.2 x 3.1 inches),,Carburettor. Amac PJ 30,,Air,3-speed,Chain   (final drive),,,,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),,100.0 kg (220.5 pounds),0.0450 HP/kg,1345 mm (53.0 inches),8.50 litres (2.25 US gallons),,Kick,,,Single spring-mounted,,Magneto Bosch,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",
Ariel VH 500 Red Hunter,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),6.0:1,86.4 x 85.0 mm (3.4 x 3.3 inches),,Carburettor. Amal,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),Burman,,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked.,190.0 kg (418.9 pounds),0.1263 HP/kg,,14.80 litres (3.91 US gallons),Chrome/red/gold,Kick,Designed by Val Page.,Dry,Single seat with springs,,Flywheel,,,Dry sump with dual plunger pumps,,,,2180 mm (85.8 inches),640 mm (25.2 inches),,3.40 litres (3.59 US quarts),,6V battery.
BMW R2 Series 2 33,1933,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",,6.0 HP (4.4  kW)) @ 3500 RPM,95.0 km/h (59.0 mph),6.7:1,63.0 x 64.0 mm (2.5 x 2.5 inches),,Carburettor. Amal ,Overhead Valves (OHV),Air,3-speed,Shaft drive (cardan)   (final drive),,,Pressed steel duplex,Cartridge,Rigid,2.99-25.00 ,2.99-25.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,1320 mm (52.0 inches),11.00 litres (2.91 US gallons),,Kick,,Dry-single plate-cable operated,Solo seat with springs,,Battery,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,180 mm (7.1 inches),130.0 kg (286.6 pounds),950 mm (37.4 inches),1950 mm (76.8 inches),850 mm (33.5 inches),160kg,,,
Zündapp K 800,1933,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,791.0 ccm (48.27 cubic inches),"Four cylinder boxer, four-stroke",,20.0 HP (14.6  kW)) @ 4300 RPM,120.0 km/h (74.6 mph),,62.0 x 66.6 mm (2.4 x 2.6 inches),,Carburettor. Amal 22mm,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,Rigid,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,193.0 kg (425.5 pounds),0.1036 HP/kg,,12.50 litres (3.30 US gallons),,,,,Two single seats,,,,,,,,,,,,,,
Harley-Davidson Model BA,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,,,,,,Carburettor. Schebler,Sidevalves,,,Chain   (final drive),,,,Leading link -coil springs,Rigid-,,,,,,,,,,,,,,Spring-mounted seat,,,,,,,,,,,,,,
NSU 501 TS,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),,Carburettor. Amac,,Air,,Chain   (final drive),,,Double steel,,,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),,185.0 kg (407.9 pounds),0.0595 HP/kg,1390 mm (54.7 inches),,,Kick,,,,,Magneto Bosch,,,,,,,,,,,,
DKW Block 200,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, two-stroke",,,,,60.0 x 68.0 mm (2.4 x 2.7 inches),,Carburettor. Zweihebel-Framo B,,Air,4-speed,,,,Pressed steel ,,None,3.5-25 ,3.5-25 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,1290 mm (50.8 inches),12.50 litres (3.30 US gallons),,,,,Solo seat with springs,,Battery-,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,122.0 kg (269.0 pounds),,,,,,,
NSU 501 SS,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",,20.0 HP (14.6  kW)) @ 4800 RPM,125.0 km/h (77.7 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),,Carburettor,,Air,,Chain   (final drive),,,,,,2.50-26 ,3.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,158.0 kg (348.3 pounds),0.1266 HP/kg,,11.00 litres (2.91 US gallons),,Kick,,,Single ,,,,,,,,,,,,,,
Norton 490 CS 1,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,,128.8 km/h (80.0 mph),,,,Carburettor,Single Overhead Cams (SOHC),,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,145.0 kg (319.7 pounds),,,,,,,,Solo seat with springs,,,,,,,,,,,,,,
