Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Fuel control,Ignition,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Top speed,Cooling system,Clutch,Diameter,Fuel capacity,Oil capacity,Bore x stroke,Valves per cylinder,Lubrication system,Gearbox,Exhaust system,Front tire,Rear tire,Wheels,Overall length,Color options,Starter,Electrical,Compression,Fuel consumption,Greenhouse gases,Overall height,Overall width,Frame type,"Weight incl. oil, gas, etc",Driveline,Carrying capacity,Seat height,Comments,Modifications compared to previous model
Indian Series 441,1940,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,,,,,,,,,Single seat,,,,152.9 km/h (95.0 mph),Air,,,,,,,,,,5.00-18 ,5.00-18 ,,,,,,,,,,,,257.6 kg (568.0 pounds),,,,,
BMW R51,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",,24.1 HP (17.6  kW)) @ 5600 RPM,Carburettor. Amal ,Overhead Valves (OHV),Battery,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),,,,1400 mm (55.1 inches),140.0 km/h (87.0 mph),Air,Dry-single plate-cable operated,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,68.0 x 68.0 mm (2.7 x 2.7 inches),,Wet sump ,4-speed,,3.50-19.00 ,3.50-19.00 ,,2130 mm (83.9 inches),,Kick,,6.7:1,,,960 mm (37.8 inches),815 mm (32.1 inches),Steel single cradle,182.0 kg (401.2 pounds),,,,,
Indian 402,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,Carburettor,,,,Trailing link,Plungers,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,153.0 km/h (95.1 mph),,,,,,,,,,,,,Spoked,,,,,,,,,,Twin downtube,,,,,,
NSU 351 OSL,1940,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5020 RPM,Carburettor. Graetzin KE 25/43,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,110.0 kg (242.5 pounds),0.1636 HP/kg,1420 mm (55.9 inches),110.0 km/h (68.4 mph),Air,,,,,75.0 x 79.0 mm (3.0 x 3.1 inches),,,4-speed,,3.25-19 ,3.25-19 ,Spoked,,,,,,,,,,Open double steel,,,,,,
Indian Chief,1940,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,Carburettor. Linkert,,,Chain   (final drive),Telescopic,Plungertype with coil springs,Expanding brake (drum brake),Expanding brake (drum brake),,,,1540 mm (60.6 inches),,,,,,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,Carburettor. Amal monoblock,Overhead Valves (OHV),,Chain   (final drive),Grider forks,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,190.0 kg (418.9 pounds),0.1263 HP/kg,,,Air,Dry,,14.80 litres (3.91 US gallons),3.40 litres (3.59 US quarts),86.4 x 85.0 mm (3.4 x 3.3 inches),,Dry sump with dual plunger pumps,4-speed,,3.00-20 ,3.25-19 ,Wire spoked. ,2180 mm (85.8 inches),,Kick,6V battery.,6.0:1,,,,640 mm (25.2 inches),Semi double cradle,,Burman,,,,
BMW R12 Twin carb,1940,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",,20.0 HP (14.6  kW)) @ 4000 RPM,Carburettor. Amal,Overhead Valves (OHV),,,Cartrige,Rigid-,Expanding brake (drum brake). Single,Expanding brake (drum brake),Spring-mounted seat,,,,120.0 km/h (74.6 mph),Air,Dry multiplate-cable operated,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,78.0 x 78.0 mm (3.1 x 3.1 inches),,Wet sump ,4-speed,,3.50-19 ,3.5-19 ,Spoked,2100 mm (82.7 inches),,Kick,,5.2:1,,,940 mm (37.0 inches),900 mm (35.4 inches),Steel-doble cradle,185.0 kg (407.9 pounds),,300,,,
Velocette Mac ,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5500 RPM,Carburettor,Overhead Valves (OHV),,Chain   (final drive),Hydralic telescopic forks,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,1276 mm (50.2 inches),120.7 km/h (75.0 mph),Air,Wet multiplate,152 mm (6.0 inches),11.00 litres (2.91 US gallons),,68.0 x 96.0 mm (2.7 x 3.8 inches),,,4-speed,,3.25-19 ,3.50-19 ,,2130 mm (83.9 inches),,Kick,,6.8:1,,,990 mm (39.0 inches),700 mm (27.6 inches),Single cradle,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,
Crocker Twin,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,177.0 km/h (110.0 mph),Oil & air,,,,,,,,,,,,Spoked,,,,,,,,,,,,,,,,
Nimbus 2510,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,Overhead Cams (OHC),,,Telescopic,,,,Two single seats,,,,,,,,,,,,,3-speed,,,,,,,,,,,,,,,,,,,,
