Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Gearbox,Overall height,Overall length,Overall width,Starter,Fuel capacity,Compression,Fuel control,Ignition,Clutch,Frame type,Fuel consumption,Greenhouse gases,Lubrication system,Wheelbase,Engine details,Valves per cylinder,Exhaust system,Diameter,Color options,Electrical,Light,Comments,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Carrying capacity,Seat height,Driveline,Modifications compared to previous model
BMW R67 2,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",28.0 HP (20.4  kW)) @ 5600 RPM,140.0 km/h (87.0 mph),73.0 x 73.0 mm (2.9 x 2.9 inches),Carburettor. 24mm,Air,Shaft drive (cardan)   (final drive),,,3.5-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,Single seat,,,4-speed,985 mm (38.8 inches),2130 mm (83.9 inches),790 mm (31.1 inches),Kick,17.00 litres (4.49 US gallons),6.5:1,Overhead Valves (OHV),Forced feed,Single plate dry,Doble steel loop ,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,1400 mm (55.1 inches),,,,200 mm (7.9 inches),,,,,192.0 kg (423.3 pounds),,,355kg-600kg with sidecar,,,
Gilera Saturno San Remo,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,185.1 km/h (115.0 mph),85.0 x 90.0 mm (3.3 x 3.5 inches),,Air,,Telescopic ,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,Overhead Valves (OHV),,,Tubular,,,,,,,,,,,,,,,,,,,
NSU 101 OSB,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,85.0 km/h (52.8 mph),50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,Air,Chain   (final drive),,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,85.0 kg (187.4 pounds),0.0682 HP/kg,,,,,Kick,8.00 litres (2.11 US gallons),7.0:1,,,,Pressed steel,,,,,,,,,,,,,,,,,,,
Hercules 315,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",11.4 HP (8.3  kW)) @ 4600 RPM,105.0 km/h (65.2 mph),65.0 x 75.0 mm (2.6 x 3.0 inches),Carburettor. Bing 26mm,Air,Chain   (final drive),Telescopic,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two seats,140.0 kg (308.6 pounds),0.0814 HP/kg,4-speed,,,,Kick,13.00 litres (3.43 US gallons),,,,,Single tube ,,,,,,,,,,,,,,,,,,,
Sunbeam S7 500,1952,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Oil & air,Shaft drive (cardan)   (final drive),Telescopic,Plungers,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,194.0 kg (427.7 pounds),0.1237 HP/kg,,,,,Kick,,6.5:1,Overhead Cams (OHC),,Dry singleplate,Twin cradle,,,Wet sump,1400 mm (55.1 inches),,,,,"Black/ green
",,,,,,,,,,
Adler M 250 S,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5590 RPM,116.0 km/h (72.1 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,Chain   (final drive),,Two schock,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,135.0 kg (297.6 pounds),0.1185 HP/kg,4-speed,,,,Kick,12.00 litres (3.17 US gallons),5.8:1,,,Wet multiplate,Semi double cradle,,,,,,,,180 mm (7.1 inches),,,,,,,,,,,
Mondial 200 Constellation,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Air,Chain   (final drive),Telescopic,Two shock,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,Wet multiplate,,,,,,,,,,,,,,,,,,,,
Norton Dominator Model 7,1952,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,Air,Chain   (final drive),,,3-21 ,3-21 ,Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat with springs,200.0 kg (440.9 pounds),,,,,,,,6.7:1,Overhead Valves (OHV),Magneto,Wet multiplate,,,,,1410 mm (55.5 inches),,,,,,,,,,,,,"787 mm (31.0 inches) If adjustable, lowest setting.",,
Ariel NH 350 Red Hunter,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Air,Chain   (final drive),Telescopic fork,Plungers,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres,Dual seat,159.0 kg (350.5 pounds),0.1226 HP/kg,4-speed,,2180 mm (85.8 inches),640 mm (25.2 inches),Kick,12.00 litres (3.17 US gallons),6.2:1,Overhead Valves (OHV),Flywheel,"Dry, multiplate",Semi-double cradle,,,Dual oil pumps,,,,1-into-1 pipes,,Red/gold lines,6V system.,,,,,2.00 litres (2.11 US quarts),,,,
BMW R68,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",35.9 HP (26.2  kW)) @ 7000 RPM,115.9 km/h (72.0 mph),72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing 26mm,Air,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Plunger,,3.5-19 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Spoked,Dual seat,,,4-speed,985 mm (38.8 inches),2130 mm (83.9 inches),725 mm (28.5 inches),Kick,17.00 litres (4.49 US gallons),8.1:1,Overhead Valves (OHV),Magneto,Single plate-saucer spring-dry,Steel-doble cradle,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Forced feed,1400 mm (55.1 inches),,,,200 mm (7.9 inches),,,,,202.0 kg (445.3 pounds),,,355,,,
Harley-Davidson FL Hydra Glide,1952,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 4800 RPM,160.9 km/h (100.0 mph),87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Air,Chain   (final drive),Hydraulic telescopic forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,267.0 kg (588.6 pounds),0.2060 HP/kg,4-speed,,,,,14.19 litres (3.75 US gallons),7.0:1,Overhead Valves (OHV),,,Steel double downtube,,,,1510 mm (59.4 inches),Knucklehead V-twin engine,,,,"Black, red, blue",6 Volt battery.,,,,,3.80 litres (4.02 US quarts),Soft saddlebags,,,
Hercules 316,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4000 RPM,60.0 km/h (37.3 mph),48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,Chain   (final drive),,Rigid,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,74.0 kg (163.1 pounds),0.0405 HP/kg,,,,,Kick,11.00 litres (2.91 US gallons),6.1:1,,Magneto Bosch,,,,,,,,,,,,,,,,,,,,,
Horex Regina 400,1952,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",16.2 HP (11.8  kW)) @ 5750 RPM,130.0 km/h (80.8 mph),,Carburettor,Air,Chain   (final drive),Hydralic telescopic forks,,,,Expanding brake (drum brake). Single,Expanding brake (drum brake). Simplex ,,Single seat,150.0 kg (330.7 pounds),0.1080 HP/kg,,,,,Kick,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,
Indian Scout 440,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,440.0 ccm (26.85 cubic inches),"Twin, four-stroke",,,,,,Chain   (final drive),,,,,,,,Spring-mounted seat,,,,,,,,,,Overhead Valves (OHV),Magneto,,,,,,,,,,,,,,,,,,,,,
DKW RT 125 2,1952,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.7 HP (4.2  kW)) @ 5000 RPM,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,Air,Chain   (final drive),Telescopic fork,None,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,86.0 kg (189.6 pounds),0.0663 HP/kg,3-speed,660 mm (26.0 inches),1959 mm (77.1 inches),660 mm (26.0 inches),Kick,9.50 litres (2.51 US gallons),6.1:1,,Magneto,Wet multiplate,Single cradle,,,,,,,,140 mm (5.5 inches),,,,,,,,,,,
NSU 125ZB,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5000 RPM,75.0 km/h (46.6 mph),52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing,Air,Chain   (final drive),,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,900 mm (35.4 inches),1910 mm (75.2 inches),690 mm (27.2 inches),Kick,8.00 litres (2.11 US gallons),6.0:1,,,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Air,Chain   (final drive),Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres.,Solo seat with springs,,,4-speed,,2180 mm (85.8 inches),640 mm (25.2 inches),Kick,13.25 litres (3.50 US gallons),6.0:1,Overhead Valves (OHV),,Dry,Semi double cradle,,,Dry sump with dual plunger pumps,1422 mm (56.0 inches),,,,178 mm (7.0 inches),,,,,170.1 kg (375.0 pounds),140 mm (5.5 inches),3.40 litres (3.59 US quarts),,,Burman,
BSA Daytona Replica,1952,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",31.0 HP (22.6  kW)) @ 6000 RPM,198.0 km/h (123.0 mph),,,Air,,Telescopic fork,Rigid,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,,,,,,,Overhead Valves (OHV),,Four speed ,,,,,,,,,,,,,,,,,,,,
Nimbus 2510,1952,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,,,,,,,,,,,Two single seats,,,3-speed,,,,,,,Overhead Cams (OHC),,,,,,,,,,,,,,,,,,,,,,
