Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Linhai 90 PY,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",86.0 ccm (5.25 cubic inches),"Single cylinder, four-stroke",5.1 HP (3.7  kW)),5.5 Nm (0.6 kgf-m or 4.1 ft.lbs),47.0 x 50.0 mm (1.9 x 2.0 inches),C.D.I.,Air,4-speed,Chain   (final drive),Telescopic fork,Monoshock swing arm,Expanding brake (drum brake),Expanding brake (drum brake),61.0 kg (134.5 pounds),0.0834 HP/kg,880 mm (34.6 inches),1540 mm (60.6 inches),640 mm (25.2 inches),1055 mm (41.5 inches),4.90 litres (1.29 US gallons),Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem LX 2,2005,"Minibike, cross"," 2.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.7 mm (1.5 x 1.6 inches),,Air,Automatic,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),32.2 kg (71.0 pounds),,,,,,,,Premix,Auto centrifugal wet clutch,Steel tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 450,2005,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,97.0 x 60.8 mm (3.8 x 2.4 inches),Digital,Liquid,6-speed,Chain   (final drive),Upside-down telescopic hydraulic adjustable fork,Progressive ´soft damp´ with hydraulic adjustable single shock absorber,Single disc,Single disc,,,1290 mm (50.8 inches),2215 mm (87.2 inches),820 mm (32.3 inches),1460 mm (57.5 inches),7.70 litres (2.03 US gallons),Electric,Dry sump with two oil pump rotor and cartridge filter,"Wet, multiplate type, hydraulic",Single tube cradle with rear frame in light alloy,12.5:1,4,Carburettor.  Mikuni TMR 41,Double Overhead Cams/Twin Cam (DOHC),300 mm (11.8 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,220 mm (8.7 inches),118.0 kg (260.1 pounds),"975 mm (38.4 inches) If adjustable, lowest setting.",340 mm (13.4 inches),Yellow/blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki 250 SB,2005,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",28.2 HP (20.6  kW)),25.0 Nm (2.5 kgf-m or 18.4 ft.lbs),,,,6-speed,,,,,,119.0 kg (262.4 pounds),0.2366 HP/kg,,,,1435 mm (56.5 inches),7.50 litres (1.98 US gallons),,,,Semi-double cradle,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,Model for the Japanese marked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung KR 110,2005,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",,,,,Air,,,,,Single disc,Expanding brake (drum brake),100.0 kg (220.5 pounds),,1060 mm (41.7 inches),1890 mm (74.4 inches),685 mm (27.0 inches),1210 mm (47.6 inches),5.00 litres (1.32 US gallons),Electric & kick,,,,,3,,,,,70/100-16 40P ,80/100-16 45P ,,,,105 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli ZQ 90,2005,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,86.0 ccm (5.25 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)),,,,Air,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),82.0 kg (180.8 pounds),0.0621 HP/kg,1010 mm (39.8 inches),1800 mm (70.9 inches),750 mm (29.5 inches),1170 mm (46.1 inches),,Electric & kick,,,,,,,,,,,,,,,,Black,Model also known as Veli Motor ZQ90.,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 CS,2005,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",49.6 HP (36.2  kW)) @ 6500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 5500 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,Liquid,5-speed,Belt   (final drive),"Telescopic fork, stanchion diameter 41 mm","Die-cast aluminium single-sided swinging arm with rear wheel axle and eccentric adjustment, central spring strut action via lever system",Double disc,Single disc,169.6 kg (373.9 pounds),0.2925 HP/kg,1158 mm (45.6 inches),2142 mm (84.3 inches),915 mm (36.0 inches),1493 mm (58.8 inches),15.00 litres (3.96 US gallons),Electric,Dry sump,"Multiple-disc clutch in oil-bath, mechanically operated","Bridging frame, steel section, with integrated oil tank and bolted-on rear frame",11.5:1,4,"Injection.  Electronic intake pipe injection / BMW engine management, dual ignition",Double Overhead Cams/Twin Cam (DOHC),35 mm (1.4 inches),135 mm (5.3 inches),110/70-ZR17 ,170/60-ZR17 ,240 mm (9.4 inches),187.0 kg (412.3 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,,ABS brakes.,178.0 km/h (110.6 mph),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,27.9°,86 mm (3.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing EN 530 F e.s.,2005,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,98.0 x 70.0 mm (3.9 x 2.8 inches),Koukusan CDI electronic w/ variable advance,Liquid,5-speed,Chain   (final drive),Kayba/Paioli/Ohlins,Ohlins,Single disc,Single disc,,,,,,,,Electric & kick,Dry sump with double rotor pump.,Multiple-disk in oil-bath with hydraulic control,Cr-Mo steel. Perimetral oval section.,,4,Carburettor.  Mikuni  TDMR  41 mm.,Double Overhead Cams/Twin Cam (DOHC),,,90/90-21 ,140/80-18 ,245 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco CityCorp 125 Supermotard,2005,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,54.0 x 54.0 mm (2.1 x 2.1 inches),,Air,5-speed,Chain   (final drive),Hydraulic telescopic fork Paioli 33 Ø.,"Olle single shock absorber, adjustable in spring preload.",Single disc,Single disc,107.0 kg (235.9 pounds),,,,,1960 mm (77.2 inches),7.80 litres (2.06 US gallons),,,,Built from Chrome-molybdenum forming a single structure.,,,Carburettor,Single Overhead Cams (SOHC),,,,,240 mm (9.4 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",280 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 100,2005,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",,,52.5 x 45.8 mm (2.1 x 1.8 inches),Digital CDI,Liquid,6-speed,Chain   (final drive),36mm inverted telescopic cartridge fork,UNI-TRAK® single-shock system,Single disc,Single disc,68.0 kg (149.9 pounds),,1105 mm (43.5 inches),,734 mm (28.9 inches),1290 mm (50.8 inches),5.67 litres (1.50 US gallons),,,,High-tensile steel perimeter design with subframe member,9.6:1,,Carburettor.  Keihin PWK28,,274 mm (10.8 inches),274 mm (10.8 inches),70/90-19 ,90/90-16 ,,,"871 mm (34.3 inches) If adjustable, lowest setting.",381 mm (15.0 inches),Kawasaki Lime Green,,,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Dirt Kid 100,2005,"Minibike, cross"," 3.6  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",96.2 ccm (5.87 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 8500 RPM,,50.0 x 49.0 mm (2.0 x 1.9 inches),C.D.I.,Air,1-speed,,Hydraulic fork.,Monoshock,Single disc,Expanding brake (drum brake),,,,,590 mm (23.2 inches),995 mm (39.2 inches),2.30 litres (0.61 US gallons),Electric & kick,Oil pump,Wet housing,,11.0:1,,Carburettor.  Dell’Orto -14,,145 mm (5.7 inches),160 mm (6.3 inches),,,160 mm (6.3 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 R,2005,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1160.0 ccm (70.78 cubic inches),"In-line four, four-stroke",,,79.0 x 59.4 mm (3.1 x 2.3 inches),Digital with Kawasaki Throttle Responsive Ignition Control (K-TRIC),Liquid,5-speed,Chain   (final drive),43mm cartridge-type fork with preload adjustment and 12-way adjustable compression and rebound damping,"Braced swingarm with twin shocks, five-way adjustable preload and four-way adjustable compression and rebound damping",Double disc,Single disc,223.2 kg (492.0 pounds),,1151 mm (45.3 inches),,780 mm (30.7 inches),1466 mm (57.7 inches),20.06 litres (5.30 US gallons),Electric,,,Double-cradle tubular steel,10.1:1,4,Carburettor.  Keihin CVK36 x 4,Double Overhead Cams/Twin Cam (DOHC),,,120/70-17 ,180/55-x17 ,250 mm (9.8 inches),,"790 mm (31.1 inches) If adjustable, lowest setting.",135 mm (5.3 inches),Candy Lime Green,,,,,25.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju SMX 50,2005,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",8.5 HP (6.2  kW)),,39.0 x 40.3 mm (1.5 x 1.6 inches),,Liquid,6-speed,Chain   (final drive),Showa advantage with inverted bracket,Showa,Single disc,Single disc,,,1170 mm (46.1 inches),2050 mm (80.7 inches),800 mm (31.5 inches),1332 mm (52.4 inches),8.40 litres (2.22 US gallons),,Separated with automatic mixer,,Perimetral chassis (double beam).,12.0:1,,Carburettor. Dell´ortho HSA,,,,110/80-17 ,130/70-17 ,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 650 R,2005,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.6 mm (3.9 x 3.3 inches),Solid-state CD with electronic advance,Liquid,5-speed,Chain   (final drive),46mm leading-axle Kayaba cartridge fork with compression- and rebound-damping adjustability,"Pro-Link Kayaba single-shock with spring-preload, compression- and rebound-damping adjustability",Single disc,Single disc,125.6 kg (277.0 pounds),,,,,1481 mm (58.3 inches),9.84 litres (2.60 US gallons),,,,,10.0:1,4,Carburettor.  Keihin 40mm piston-valve,Single Overhead Cams (SOHC),284 mm (11.2 inches),307 mm (12.1 inches),80/70-21 ,110/90-18 ,240 mm (9.4 inches),,"935 mm (36.8 inches) If adjustable, lowest setting.",305 mm (12.0 inches),Red,Model ID: XR650R,,,,27.8°,111 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 450 F,2005,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),,Liquid,5-speed,Chain   (final drive),46mm Kayaba inverted telescopic fork w/adjustable compression and rebound damping,"Kayaba single shock  w/adjustable preload, compression and rebound damping  and  separate hi/lo-speed compression adjuster",Single disc,Single disc,,,1300 mm (51.2 inches),2169 mm (85.4 inches),826 mm (32.5 inches),1483 mm (58.4 inches),9.84 litres (2.60 US gallons),,,,,12.5:1,5,Carburettor,Double Overhead Cams/Twin Cam (DOHC),300 mm (11.8 inches),318 mm (12.5 inches),80/100-21 ,110/100-18 ,245 mm (9.6 inches),,"996 mm (39.2 inches) If adjustable, lowest setting.",371 mm (14.6 inches),Team Yamaha Blue/White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C90 T,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1474.9 ccm (90.00 cubic inches),"V2, four-stroke",,,96.0 x 101.0 mm (3.8 x 4.0 inches),,Oil & air,5-speed,Shaft drive (cardan)   (final drive),"Telescopic, coil spring, oil damped","Link-type, oil damped, 5-way adjustable spring preload",Double disc,Single disc,316.0 kg (696.7 pounds),,1422 mm (56.0 inches),2525 mm (99.4 inches),1020 mm (40.2 inches),1700 mm (66.9 inches),14.00 litres (3.70 US gallons),Electric,,,"Soft-tail-style frame creates a continuous flowing line from the headlight, through the fuel tank, seat and rear fender",8.5:1,3,Injection,Single Overhead Cams (SOHC),,,150/80-16 ,180/70-M15 ,,,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 50 Four Stroke,2005,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",,,41.0 x 37.4 mm (1.6 x 1.5 inches),,Air,Automatic,Belt   (final drive),Telescopic with Ø 30mm upside-down legs,Single hydraulic shock absorber pivoting on engine-transmission assembly,Single disc,Expanding brake (drum brake),,,,1905 mm (75.0 inches),,1250 mm (49.2 inches),8.00 litres (2.11 US gallons),Kick,                     with electronic oil pump,Automatic centrifugal,Split single beam double cradle in high tensile steel,10.5:1,,Injection,,80 mm (3.1 inches),82 mm (3.2 inches),80/80-16 ,90/80-16 ,40 mm (1.6 inches),,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GPR 50 Racing,2005,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,CDI,Liquid,6-speed,,Inverted fork,Monoshock,Single disc,Single disc,102.0 kg (224.9 pounds),,,1961 mm (77.2 inches),,1311 mm (51.6 inches),,Electric,,,,11.5:1,,Carburettor. Dellorto PHVA 14,,,,110/80-17 ,130/70-17 ,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha PW 80,2005,"Minibike, cross"," 3.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",,,47.0 x 45.6 mm (1.9 x 1.8 inches),,Air,3-speed,Chain   (final drive),Telescopic fork,Single shock,Expanding brake (drum brake),Expanding brake (drum brake),,,879 mm (34.6 inches),1539 mm (60.6 inches),640 mm (25.2 inches),1054 mm (41.5 inches),4.92 litres (1.30 US gallons),,,,,6.6:1,,Carburettor,Single Overhead Cams (SOHC),109 mm (4.3 inches),94 mm (3.7 inches),70/100-19 ,90/100-14 ,110 mm (4.3 inches),,"635 mm (25.0 inches) If adjustable, lowest setting.",185 mm (7.3 inches),Team Yamaha Blue/White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Sooner 100,2005,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,101.3 ccm (6.18 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)) @ 6500 RPM,8.2 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 5500 RPM,,,Air,,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),89.0 kg (196.2 pounds),0.0787 HP/kg,1030 mm (40.6 inches),1670 mm (65.7 inches),620 mm (24.4 inches),,,,,,,,,,,,,90/90-10 ,100/80-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTCI Heritage Softail Classic,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3500 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Air,5-speed,Belt   (final drive),,,Double disc,Single disc,322.0 kg (709.9 pounds),,,2391 mm (94.1 inches),,1630 mm (64.2 inches),18.90 litres (4.99 US gallons),,,Multi-plate clutch with diaphragm spring in oil bath,,8.8:1,,Injection.  Electronic Sequential Port Fuel Injection (ESPFI ),Double Overhead Cams/Twin Cam (DOHC),,,MT90-B16 ,150/80-B16 ,292 mm (11.5 inches),,"648 mm (25.5 inches) If adjustable, lowest setting.",130 mm (5.1 inches),"Vivid black, brilliant silver pearl, black cherry pearl, lava red sunglo, glacier white pearl, rich sunglo blue, two-tone rich sunglo blue and chopper blue pearl, two-tone black cherry pearl and black pearl, two-tone sierra red pearl and brilliant silver",,,,,32.0°,,Staggered shorty duals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 50 Racing,2005,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 10000 RPM,,40.3 x 39.0 mm (1.6 x 1.5 inches),"Electronic, capacitor discharge",Liquid,6-speed,Chain   (final drive),"Upside down telescopic fork, Ø 35 mm inners.","Swing-arm in box section , with anti-friction bushings, adjustable monoshock with Aprilia Progressive System action",Single disc,Single disc,98.0 kg (216.1 pounds),0.0816 HP/kg,,2060 mm (81.1 inches),,1400 mm (55.1 inches),9.50 litres (2.51 US gallons),Kick,Separate mixing with variable displacement pump,Multiple disk in oil bath,"Closed cradle split at exhaust level, in high strength steel tubes",,,Carburettor. Dell´Orto SHA 14/12 with mixture heating system in manifold,,250 mm (9.8 inches),260 mm (10.2 inches),90/90-21 ,110/80-18 ,220 mm (8.7 inches),107.0 kg (235.9 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,"Aprilia black/lemon yellow, baltic blue/sky blue, matt black/hot red",,70.0 km/h (43.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini 911 GP 3 Junior,2005,"Minibike, sport"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.7 ccm (2.42 cubic inches),"Single cylinder, two-stroke",4.2 HP (3.1  kW)),,36.0 x 39.0 mm (1.4 x 1.5 inches),Electronic,Air,,,,,Single disc,Single disc,20.5 kg (45.2 pounds),0.2049 HP/kg,,940 mm (37.0 inches),,,,,,Dry with centrifugal counter weights,Lattice tubular frame,16.5:1,,Carburettor,,,,,,,,"395 mm (15.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 SX Pro Senior LC,2005,"Minibike, cross"," 3.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,39.5 x 40.0 mm (1.6 x 1.6 inches),Seletra analogue,Liquid,,Chain   (final drive),Marzocchi,WP monoshock,Single disc,Single disc,38.8 kg (85.5 pounds),,,,,1030 mm (40.6 inches),1.80 litres (0.48 US gallons),,,Centrifugal clutch (adjustable),Central double-cradle-type frame,,,Carburettor.  Dell´Orto PHVA 19 BS,,32 mm (1.3 inches),,,,216 mm (8.5 inches),,"650 mm (25.6 inches) If adjustable, lowest setting.",255 mm (10.0 inches),,,,,,24.0°,67 mm (2.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju 125 MRX 4T,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",14.5 HP (10.6  kW)),,54.0 x 54.0 mm (2.1 x 2.1 inches),,,5-speed,,Paioli,Paioli,Single disc,Single disc,,,1170 mm (46.1 inches),2050 mm (80.7 inches),800 mm (31.5 inches),1332 mm (52.4 inches),8.40 litres (2.22 US gallons),,Mixture of gasoline and oil to 2%,,"Perimetral chassis, steel.",10.0:1,2,Carburettor. MIKUNI VM 20 SS,,,,90/90-21 ,120/80-18 ,200 mm (7.9 inches),,,,,Yamaha engine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem LX 3 Factory  Racing,2005,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.7 mm (1.5 x 1.6 inches),,Air,Automatic,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),45.8 kg (101.0 pounds),,,,,,2.99 litres (0.79 US gallons),Kick,Premix,R and D ´Dominator´ adjustable auto clutch,Steel tube,,,Carburettor. Dell´Orto PHBG 19 BS,,,,,,90 mm (3.5 inches),,"572 mm (22.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Road Star Midnight,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,83.0 x 73.0 mm (3.3 x 2.9 inches),CDI,Liquid,,Belt   (final drive),41mm Telescopic fork,Twin shocks,Single disc,Single disc,200.9 kg (443.0 pounds),,1379 mm (54.3 inches),2230 mm (87.8 inches),780 mm (30.7 inches),1565 mm (61.6 inches),3.70 litres (0.98 US gallons),Electric,,Centrifugal clutch,,10.6:1,4,,Double Overhead Cams/Twin Cam (DOHC),,,120/80-14 ,150/70-13 ,267 mm (10.5 inches),,"749 mm (29.5 inches) If adjustable, lowest setting.",,"Galaxy Blue, Charcoal Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory Bike Phantom R 14 Agua,2005,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)),,39.0 x 41.7 mm (1.5 x 1.6 inches),CDI,Liquid,Automatic,Chain   (final drive),Paioli,Monshock,Single disc,Single disc,45.0 kg (99.2 pounds),0.2444 HP/kg,,1570 mm (61.8 inches),700 mm (27.6 inches),,2.50 litres (0.66 US gallons),Kick,Mixed 2T oil 2%,Automatic,Hardened steel,13.0:1,,Carburettor. Dell´Ortho 19 mm,,,,,,184 mm (7.2 inches),,,,"Red, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung XRX 125,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8500 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 7500 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),Electronic,Oil & air,5-speed,,Upside down telescopic fork,Swingarm,Single disc,Expanding brake (drum brake),125.0 kg (275.6 pounds),0.0954 HP/kg,,,,,8.00 litres (2.11 US gallons),Electric & kick,,,Steel,9.9:1,4,Carburettor. Sung Lim PD,,250 mm (9.8 inches),200 mm (7.9 inches),,,130 mm (5.1 inches),,"850 mm (33.5 inches) If adjustable, lowest setting.",,"Yellow, red, blue",,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 R,2005,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",163.0 HP (119.0  kW)) @ 10250 RPM,127.0 Nm (12.9 kgf-m or 93.7 ft.lbs) @ 8250 RPM,,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,Double disc. EVO 4 pistons (ABS),Single disc. 2 piston,,,,,,,19.00 litres (5.02 US gallons),,,,,,4,Carburettor,,,135 mm (5.3 inches),,,265 mm (10.4 inches),237.0 kg (522.5 pounds),,,,,220.0 km/h (136.7 mph),5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ1,2005,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",146.8 HP (107.2  kW)),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs),74.0 x 58.0 mm (2.9 x 2.3 inches),Digital TCI,Liquid,6-speed,Chain   (final drive),"43mm telescopic fork w/adjustable preload, compression and rebound damping","Single shock w/piggyback reservoir and adjustable preload, compression and rebound damping",Double disc. Four-piston calipers. ,Single disc. Single-piston caliper. ,208.2 kg (459.0 pounds),0.7051 HP/kg,1191 mm (46.9 inches),2126 mm (83.7 inches),765 mm (30.1 inches),1450 mm (57.1 inches),18.00 litres (4.76 US gallons),Electric,Wet sump,Multiplate,"Aluminium die-cast, diamond shaped",11.4:1,,Carburettor. (4) 37mm Mikuni CV w/throttle position sensor (TPS),Double Overhead Cams/Twin Cam (DOHC),142 mm (5.6 inches),135 mm (5.3 inches),120/70-ZR17 ,180/55-ZR17 ,267 mm (10.5 inches),221.0 kg (487.2 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",135 mm (5.3 inches),"Team Yamaha Blue, Liquid Silver",,246.0 km/h (152.9 mph),,,26.0°,104 mm (4.1 inches),,,O-ring chain,3.00 litres (3.17 US quarts),SAE 10W-40,EMGO 10-82220,DOT 4,2.00 litres (0.53 US gallons),YT14B-BS,"NGK, CR9EK",1100  +/- 50  RPM,530,116,16/44 (front/rear),36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),43 mm (1.7 inches),,,,,,,,,,,,
