Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Aprilia RSV 1000 R,2005,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",138.7 HP (101.3  kW)) @ 9500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,97.0 x 67.5 mm (3.8 x 2.7 inches),"Digital electronic ignition, with one spark plug per cylinder and integrated injection",Oil & air,6-speed,Chain   (final drive),"43 mm Showa upside-down fork, with adjustable compression, rebound and preload.","Aluminium alloy double member swingarm. Aprilia Progressive System (APS) linkages. Sachs monoshock with adjustable compression, rebound, preload and length.",Double disc. 4-piston calipers,Single disc. 2-piston calipers,189.0 kg (416.7 pounds),0.7340 HP/kg,1145 mm (45.1 inches),2035 mm (80.1 inches),730 mm (28.7 inches),,19.00 litres (5.02 US gallons),Electric,Dry sump with separate oil tank.,Multiple disc wet clutch with patented PPC power-assisted hydraulic control and pneumatic power clutch. Braided metal clutch line. Radial pump with 15 mm piston.,Box section sloping twin-spar frame in aluminium alloy.,11.8:1,4,Injection.  Integrated electronic engine management system. Indirect multipoint electronic injection. Throttle body diameter,Double Overhead Cams/Twin Cam (DOHC),120 mm (4.7 inches),133 mm (5.2 inches),120/70-17 ,190/50-17 ,220 mm (8.7 inches),,,,"Aprilia Black, Fluo Red, Mirror Silver",,,,,,,Double silencer with three-way catalytic converter and lambda sensor (Euro 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio Skipper ST 125,2005,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 12000 RPM,,57.0 x 48.6 mm (2.2 x 1.9 inches),Electronic CDI,Air,,,Telescopic fork with Ø 30 mm upside down shafts,Single-arm with hydraulic double effect damper and spring adjustable to four positions,Single disc,Expanding brake (drum brake),108.0 kg (238.1 pounds),0.0815 HP/kg,,1855 mm (73.0 inches),,1320 mm (52.0 inches),9.40 litres (2.48 US gallons),Electric,"Wet sump with cup capacity of 1 litre, chain driven lobe pump",Automatic dry centrifuge type,"Single tube, pressed high tensile steel",,,,Single Overhead Cams (SOHC),,,120/70-12 ,130/70-12 ,140 mm (5.5 inches),,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,98.0 km/h (60.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Bet and Win 250,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",19.4 HP (14.2  kW)) @ 6750 RPM,21.8 Nm (2.2 kgf-m or 16.1 ft.lbs) @ 5500 RPM,,,Liquid,,,,,Single disc,Single disc,158.0 kg (348.3 pounds),0.1230 HP/kg,1140 mm (44.9 inches),2000 mm (78.7 inches),750 mm (29.5 inches),,,Kick,,,,,,,,,,120/70-12 ,140/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio NRG MC3 DT,2005,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.3 mm (1.6 x 1.5 inches),Electronic CDI,Air,,,Upside down telescopic hydraulic fork,Hydraulic shock absorber,Single disc,Expanding brake (drum brake),76.0 kg (167.6 pounds),,,1870 mm (73.6 inches),700 mm (27.6 inches),1300 mm (51.2 inches),6.50 litres (1.72 US gallons),Electric & kick,,“Twist and Go” automatic dry centrifugal type,"Single tube frame, pressed high strenght steel",10.3:1,,,,,,130/60-13 ,130/60-13 ,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini Scooterino SP AIR,2005,"Minibike, sport"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.7 ccm (2.42 cubic inches),"Single cylinder, two-stroke",6.2 HP (4.5  kW)),,36.0 x 39.0 mm (1.4 x 1.5 inches),Electronic,Air,,Chain   (final drive),,,Single disc,Single disc,20.0 kg (44.1 pounds),0.3100 HP/kg,,960 mm (37.8 inches),260 mm (10.2 inches),,2.60 litres (0.69 US gallons),,,Dry with centrifugal counter weights,Steel pipes,,,Carburettor. SHA 14-14,,,,,,,,"450 mm (17.7 inches) If adjustable, lowest setting.",,,Also available is 4.2 HP version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono 50,2005,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),"Electronic, capacitor discharge",Liquid,6-speed,Chain   (final drive),Aprilia Ø 35 mm central pin hydraulic telescopic fork.,"Double member swinging arm in high strength steel with hydraulic monoshock,.",Single disc. 2-piston calipers,Single disc. 1-piston calipers,,,,,,1280 mm (50.4 inches),,Electric,,Multiple disks in oil bath,Sloping twin spar in cast aluminium with thin walled structural shell and cross rib reinforcement,12.0:1,,Carburettor.  Dell’Orto PHBN 12 - HS,,110 mm (4.3 inches),120 mm (4.7 inches),,,220 mm (8.7 inches),,"810 mm (31.9 inches) If adjustable, lowest setting.",,"Racing Black, Tulip Red.",,,,,,,Catalysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 SX,2005,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),Kokusan digital 2K-1,Liquid,5-speed,Chain   (final drive),WP-USD 48 mm (1.89´),WP-PDS shock absorber,Single disc,Single disc,97.7 kg (215.4 pounds),,,,,1475 mm (58.1 inches),7.50 litres (1.98 US gallons),Kick,Mixture oil lubrication 1:60,"Wet multi-disc clutch, operated hydraulically",Chromium molybdenum,,,Carburettor.  Keihin PWK 38 S AG,,,335 mm (13.2 inches),,,260 mm (10.2 inches),,"925 mm (36.4 inches) If adjustable, lowest setting.",385 mm (15.2 inches),,,,,,27.0°,116 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Supermotard X-treme,2005,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.9 x 40.0 mm (1.6 x 1.6 inches),C.D.I.,Liquid,6-speed,Chain   (final drive),"Hydraulic fork, 36 mm",Lineal gas single absorber,Single disc,Single disc,,,1125 mm (44.3 inches),1972 mm (77.6 inches),805 mm (31.7 inches),1355 mm (53.3 inches),7.00 litres (1.85 US gallons),Kick,Oil pump,Multi-disc,,,,Carburettor.  Dell´Orto PHVA-14,,170 mm (6.7 inches),50 mm (2.0 inches),100/80-17 ,130/80-17 ,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK X-Limit Enduro,2005,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",2.1 HP (1.6  kW)) @ 5500 RPM,2.8 Nm (0.3 kgf-m or 2.1 ft.lbs) @ 5250 RPM,40.3 x 39.0 mm (1.6 x 1.5 inches),CDI,Liquid,6-speed,,Hydraulic and telescopic fork,Hydraulic swing arm,Single disc,Single disc,98.0 kg (216.1 pounds),0.0218 HP/kg,,,,1350 mm (53.1 inches),6.50 litres (1.72 US gallons),Kick,Automatic pump with variable rpm,Wet multiple disc,,12.0:1,,Carburettor. Dell´Orto - PHBN 16,,,,80/90-21 ,110/80-18 ,218 mm (8.6 inches),,"900 mm (35.4 inches) If adjustable, lowest setting.",151 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 125 L,2005,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,57.0 x 48.8 mm (2.2 x 1.9 inches),,Air,5-speed,Chain   (final drive),"Telescopic, oil-damped","Link-type, oil-damped",Single disc,Single disc,80.0 kg (176.4 pounds),,1095 mm (43.1 inches),1885 mm (74.2 inches),770 mm (30.3 inches),1270 mm (50.0 inches),6.60 litres (1.74 US gallons),Electric,,,,9.5:1,2,Carburettor,Single Overhead Cams (SOHC),,,70/90-19 ,90/90-16 ,,,"805 mm (31.7 inches) If adjustable, lowest setting.",290 mm (11.4 inches),Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Sportcity 125,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 8250 RPM,57.0 x 48.6 mm (2.2 x 1.9 inches),CDI electronic ignition with automatic advance,Liquid,Automatic,Belt   (final drive),35 mm hydraulic fork.,Engine unit acting as swinging arm. Double hydraulic shock absorber with 4 spring preload settings.,Single disc,Single disc,,,1410 mm (55.5 inches),1865 mm (73.4 inches),770 mm (30.3 inches),1365 mm (53.7 inches),9.30 litres (2.46 US gallons),Electric,Wet sump. Forced circulation with mechanical pump,Automatic centrifugal dry clutch,Double cradle in high tensile strength steel,12.5:1,4,Carburettor,Overhead Cams (OHC),100 mm (3.9 inches),80 mm (3.1 inches),120/70-15 ,130/80-15 ,220 mm (8.7 inches),,"678 mm (26.7 inches) If adjustable, lowest setting.",250 mm (9.8 inches),"Bianco Cambridge, Grigio Titanic, Nero Darkness, Silver Mirror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Lightning XB12Scg,2005,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",92.0 HP (67.2  kW)) @ 6800 RPM,113.9 Nm (11.6 kgf-m or 84.0 ft.lbs) @ 6000 RPM,88.9 x 96.8 mm (3.5 x 3.8 inches),,Oil & air,5-speed,Shaft drive (cardan)   (final drive),"Showa® inverted fork with adjustable compression damping, rebound damping and spring preload","Showa coil-over monoshock with remote, underseat reservoir and adjustable compression damping, rebound damping and spring preload","Single disc. ZTL™ type brake, 6-piston, fixed caliper, single-sided, inside out, stainless steel, floating rotor","Single disc. Stainless steel, single piston, floating caliper, fixed rotor",179.2 kg (395.0 pounds),0.5135 HP/kg,1049 mm (41.3 inches),1923 mm (75.7 inches),754 mm (29.7 inches),1321 mm (52.0 inches),14.00 litres (3.70 US gallons),Electric,Dry sump,"Wet, multi-plate, compensated",Aluminum frame with Uniplanar™ powertrain vibration isolation system - Fuel in Frame,10.0:1,2,Injection. 49 mm down draft DDFI II  ,Overhead Valves (OHV),120 mm (4.7 inches),127 mm (5.0 inches),120/70-ZR17 ,180/55-ZR17 ,240 mm (9.4 inches),,"726 mm (28.6 inches) If adjustable, lowest setting.",90 mm (3.6 inches),"Midnight Black, Racing Red, Thrust Blue",,,,,21.0°,84 mm (3.3 inches),Large diameter headers with InterActive exhaust,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Baghira Enduro,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",37.0 HP (27.0  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,,,,,Chain   (final drive),Telescopic fork,Adjustable rear monoshock,Single disc,Single disc,170.0 kg (374.8 pounds),0.2176 HP/kg,,,,1530 mm (60.2 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,90/90-21 ,120/80-18 ,,,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,160.0 km/h (99.4 mph),,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,"930 mm (36.6 inches) If adjustable, highest setting.",,,,,,,,,,
Kymco Yup 50,2005,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)) @ 7000 RPM,5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6500 RPM,,,Air,,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),97.0 kg (213.8 pounds),0.0525 HP/kg,1125 mm (44.3 inches),1927 mm (75.9 inches),700 mm (27.6 inches),,,,,,,,,,,,,120/70-12 ,130/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 400 S,2005,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"V2, four-stroke",52.3 HP (38.2  kW)),41.0 Nm (4.2 kgf-m or 30.2 ft.lbs),,,Liquid,6-speed,Chain   (final drive),,,Double disc,Single disc,168.0 kg (370.4 pounds),0.3113 HP/kg,,,,1430 mm (56.3 inches),16.00 litres (4.23 US gallons),Electric,,,Diamond,,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,Model for the Japanese marked.,,,,25.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650,2005,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",,,81.0 x 62.6 mm (3.2 x 2.5 inches),,Liquid,6-speed,Chain   (final drive),"Telescopic, coil spring, oil damped, fully adjustable preload","Link-type, 7-way adjustable spring preload",Double disc,Single disc,165.0 kg (363.8 pounds),,1085 mm (42.7 inches),2080 mm (81.9 inches),745 mm (29.3 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),,,,,11.5:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,120/60-ZR17 ,160/60-ZR17 ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",150 mm (5.9 inches),"Blue, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X9 Evolution 125,2005,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",20.1 HP (14.7  kW)) @ 10000 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8000 RPM,57.0 x 48.6 mm (2.2 x 1.9 inches),Electronic CDI,Liquid,Automatic,,"Telescopic hydraulic fork, stanchions Ø 35 mm",Twin hydraulic shock absorbers with preload adjuster,Double disc,Single disc,76.0 kg (167.6 pounds),0.2646 HP/kg,,2130 mm (83.9 inches),700 mm (27.6 inches),1500 mm (59.1 inches),15.20 litres (4.02 US gallons),Electric & kick,,“Twist and Go” automatic dry centrifugal type,"Double cradle, high strength steel tube",12.0:1,,,,90 mm (3.5 inches),,120/70-14 ,140/60-14 ,240 mm (9.4 inches),179.0 kg (394.6 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti F18 Warrior 150,2005,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",12.2 HP (8.9  kW)) @ 8250 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 5750 RPM,57.5 x 57.8 mm (2.3 x 2.3 inches),Electronic,Liquid,,Belt   (final drive),"By telescopic hydraulic fork, Ø",By swinging engine and 2 hydraulic shock absorbers,Single disc,Single disc,118.0 kg (260.1 pounds),0.1036 HP/kg,1170 mm (46.1 inches),1870 mm (73.6 inches),755 mm (29.7 inches),1320 mm (52.0 inches),8.00 litres (2.11 US gallons),Electric & kick,,Automatic centrifugal dry clutch,High resistance braced tubular steel frame,10.6:1,2,Carburettor,,33 mm (1.3 inches),,110/70-13 ,130/60-13 ,200 mm (7.9 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
