Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Top speed,Power,Diameter,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Seat height,Ground clearance,Color options,Electrical,Lubrication system,Carrying capacity,Comments,Fuel consumption,Greenhouse gases,Alternate seat height,"Weight incl. oil, gas, etc",Engine details,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Torque,Front wheel travel,Rear wheel travel,Reserve fuel capacity,Driveline,Exhaust system,Rake (fork angle)
BMW R26,1960,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Battery,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel loop-welded,Cartridge,Twin shock-Swingarm,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,15.00 litres (3.96 US gallons),Kick,128.0 km/h (79.5 mph),15.0 HP (10.9  kW)) @ 6400 RPM,160 mm (6.3 inches),,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),975 mm (38.4 inches),"730 mm (28.7 inches) If adjustable, lowest setting.",105 mm (4.1 inches),,,Wet sump ,,90Kph is the top speed with original sidecar.,,,,158.0 kg (348.3 pounds),,,,,,,,,,,
Simson 425 T,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,,Magneto,Air,,Shaft drive (cardan)   (final drive),,Steel,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,140.0 kg (308.6 pounds),,,100.0 km/h (62.1 mph),12.0 HP (8.8  kW)) @ 5500 RPM,,0.0857 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Leader,1960,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,"Backbone, steel",Trailing link oil-damped,Swingarm,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,150.0 kg (330.7 pounds),9.00 litres (2.38 US gallons),Kick,112.7 km/h (70.0 mph),17.0 HP (12.4  kW)) @ 6250 RPM,152 mm (6.0 inches),0.1133 HP/kg,,,,1295 mm (51.0 inches),"762 mm (30.0 inches) If adjustable, lowest setting.",,Black/white,,,Saddle bags,Windscreen,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,Burman gearbox,,
Triumph 3TA,1960,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,,,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,156.5 kg (345.0 pounds),,,,,,,,,,,,,,,Dry sump,,,,,,,,,,,,,,,,,
Simplex Simplex scooter 150,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,,Belt   (final drive),,,,,,,,,Disc,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Topper,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",,60.3 x 57.9 mm (2.4 x 2.3 inches),,,,,,,,,Leading Link,Swingarm Twin Shock Absorbers,4-12 ,4-12 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,6.40 litres (1.69 US gallons),,74.0 km/h (46.0 mph),9.0 HP (6.6  kW)),,,940 mm (37.0 inches),1905 mm (75.0 inches),610 mm (24.0 inches),1308 mm (51.5 inches),"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 65 Turismo,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",5.5:1,42.0 x 46.0 mm (1.7 x 1.8 inches),Carburettor,,,Air,,Chain   (final drive),,,Telescopic,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,55.0 kg (121.3 pounds),,,56.0 km/h (34.8 mph),,,,910 mm (35.8 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,
NSU Supermax,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing HD 2/26,,,Air,4-speed,Chain   (final drive),Dry multiplate,Steel,,Swingarm ,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,174.0 kg (383.6 pounds),14.00 litres (3.70 US gallons),Kick,126.0 km/h (78.3 mph),18.0 HP (13.1  kW)) @ 6500 RPM,,0.1034 HP/kg,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Cushman Eagle,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,,84.0 km/h (52.2 mph),,,,,,,,,,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
Lambretta LI 125 Series 2,1960,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,Air,,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,103.9 kg (229.0 pounds),,Kick,69.2 km/h (43.0 mph),5.2 HP (3.8  kW)) @ 5200 RPM,,0.0501 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
