Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Top speed,Power,Diameter,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Seat height,Ground clearance,Color options,Electrical,Lubrication system,Carrying capacity,Comments,Fuel consumption,Greenhouse gases,Alternate seat height,"Weight incl. oil, gas, etc",Engine details,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Torque,Front wheel travel,Rear wheel travel,Reserve fuel capacity,Driveline,Exhaust system,Rake (fork angle)
AJS Model 14 250,1960,Sport," 2.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",7.8:1,69.9 x 64.9 mm (2.8 x 2.6 inches),Carburettor,Overhead Valves (OHV),Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,Open tubular steel,Telescopic,Swingarm-two shocks,3.25-17 ,3.25-17 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,149.0 kg (328.5 pounds),12.50 litres (3.30 US gallons),Kick,,17.0 HP (12.4  kW)) @ 7250 RPM,152 mm (6.0 inches),0.1141 HP/kg,,,,1345 mm (53.0 inches),"760 mm (29.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),"Blue, black",,,,,,,,,,,,,,,,,,,
BMW R27,1960,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",8.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Battery,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Steel twin looped,Cartridge,Twin shock-Swingarm,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,15.00 litres (3.96 US gallons),Kick,130.0 km/h (80.8 mph),18.0 HP (13.1  kW)) @ 7400 RPM,160 mm (6.3 inches),,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),965 mm (38.0 inches),,105 mm (4.1 inches),,,Wet sump ,325kg-with sidecar 480kg,,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,162.0 kg (357.1 pounds),,,,,,,,,,,
NSU Prima III ,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor. Bing,,Magneto ,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,131.0 kg (288.8 pounds),12.00 litres (3.17 US gallons),Electric,84.0 km/h (52.2 mph),7.7 HP (5.6  kW)) @ 5200 RPM,,0.0588 HP/kg,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,,,,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
AJS Model 18 500 Statesman,1960,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,86.0 x 85.5 mm (3.4 x 3.4 inches),Carburettor,,Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,172.0 kg (379.2 pounds),16.00 litres (4.23 US gallons),Kick,,,,,,,,1397 mm (55.0 inches),,,,,,,,,,,,,,,,,,,,,,
BMW R50,1960,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",6.8:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble loop tubular,Cartridge,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,140.0 km/h (87.0 mph),26.0 HP (19.0  kW)) @ 5800 RPM,200 mm (7.9 inches),,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1380 mm (54.3 inches),,,,,Wet sump ,188kg,,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,195.0 kg (429.9 pounds),,,,,,,,,,,
KTM Mirabell 125,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,,,Chain   (final drive),,Double  loop ,,,3.25-12 ,3.25-12 ,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),,,80.0 km/h (49.7 mph),7.0 HP (5.1  kW)) @ 4500 RPM,,0.0560 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp Diana TS,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",,,Carburettor. Bing ,,,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,Kick,95.0 km/h (59.0 mph),10.8 HP (7.9  kW)),,,,,,,,,"Brown, black,ivory,green",,,,,,,,,,,,,,,,,,,
BMW R69,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel-doble cradle,Cartridge,Twin shock-swingarm,,3.5-18 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Spoked,,,17.00 litres (4.49 US gallons),Kick,175.0 km/h (108.7 mph),35.0 HP (25.5  kW)) @ 6800 RPM,200 mm (7.9 inches),,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),1365 mm (53.7 inches),,,,,Forced feed,360,,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,202.0 kg (445.3 pounds),,,,,,,,,,,
Norton Dominator 88,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor,Overhead Valves (OHV),,Air,,,,,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Regolarita 250,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. DellÓrto,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),Wet multiplate,,Telescopic fork,Dual chocks,2.50-18 ,3.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single Seat,,12.00 litres (3.17 US gallons),Kick,132.0 km/h (82.0 mph),17.0 HP (12.4  kW)) @ 7500 RPM,,,,,,1314 mm (51.7 inches),,,,,,,,,,,,,,,,,,,,,,
KTM Mirabell,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,54.0 x 59.0 mm (2.1 x 2.3 inches),Carburettor,,,,3-speed,Chain   (final drive),,Double  loop ,Swingarm with shock absorbers,,3.25-12 ,3.25-12 ,Expanding brake (drum brake),Expanding brake (drum brake),Alloy,Dual ,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),Electric,85.0 km/h (52.8 mph),8.0 HP (5.8  kW)) @ 5500 RPM,,0.0640 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1960,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,,193.1 km/h (120.0 mph),50.0 HP (36.5  kW)) @ 6300 RPM,,,,,,,,,,,,,,,,,205.0 kg (451.9 pounds),45-degree V-twin,,,,,,,,,,
Agrati Capri,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,80.0 ccm (4.88 cubic inches),"Single cylinder, two-stroke",6.5:1,,Carburettor. DellÓrto,,,,,Chain   (final drive),,,,Swingarm with three shoks,,,,,Spoked,Dual ,75.0 kg (165.3 pounds),,,70.0 km/h (43.5 mph),3.8 HP (2.7  kW)) @ 6500 RPM,,0.0500 HP/kg,,,,,,,,,,,,,,,,Minarelli,,,,,,,,,,
Harley-Davidson KR 750,1960,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",,,Carburettor. Single Tilloston,Sidevalves,Magneto Fairbanks-Morse,Air,4-speed,,,,Telescopic,Rigid,,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),,,177.0 km/h (110.0 mph),46.0 HP (33.6  kW)) @ 6500 RPM,,0.2817 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Catria Lusso,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. DellÓrto,Overhead Valves (OHV),Magneto ,Air,,Chain   (final drive),,,Telescopic,Two schock,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,120.7 km/h (75.0 mph),8.5 HP (6.2  kW)) @ 6800 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima V,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor. Bing,,Battery,Air,4-speed,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,138.0 kg (304.2 pounds),12.00 litres (3.17 US gallons),Electric,90.0 km/h (55.9 mph),9.5 HP (6.9  kW)) @ 5200 RPM,,0.0688 HP/kg,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),,,,,,,,,,,,,,,,,,,,,,,
Velocette Venom,1960,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",8.0:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Overhead Valves (OHV),Belt driven dynamo,Air,,Chain   (final drive),Dry-three plate,,Telescopic,Swingarm with coil-over shocks,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,177.0 kg (390.2 pounds),13.60 litres (3.59 US gallons),Kick,100.0 km/h (62.1 mph),34.0 HP (24.8  kW)) @ 6200 RPM,,0.1921 HP/kg,,,,1391 mm (54.8 inches),,,,,Wet sump ,,,,,,,,,,,,,,,,,27.0°
Ducati 125 Bronco,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.4 ccm (7.59 cubic inches),"Single cylinder, four-stroke",6.8:1,55.2 x 52.0 mm (2.2 x 2.0 inches),Carburettor. Dell´Orto ME18BS,Overhead Valves (OHV),Magneto,Air,,Chain   (final drive),,Tubular Steel,Marzocchi Telescopic Hydraulic Damped Fork,Dual shocks,2.75-16 ,2.75-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,91.0 kg (200.6 pounds),13.00 litres (3.43 US gallons),Kick,85.0 km/h (52.8 mph),6.4 HP (4.7  kW)) @ 6500 RPM,,0.0708 HP/kg,980 mm (38.6 inches),1900 mm (74.8 inches),820 mm (32.3 inches),1290 mm (50.8 inches),"790 mm (31.1 inches) If adjustable, lowest setting.",,,,Dry Sump ,,,,,,,,,,,,,,,,,
BSA Golden Flash,1960,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor,,,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,190.0 kg (418.9 pounds),19.00 litres (5.02 US gallons),,,35.0 HP (25.5  kW)) @ 4500 RPM,,0.1842 HP/kg,,2130 mm (83.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Simplex Automatic,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,Overhead Valves (OHV),,,,Belt   (final drive),Variable speed automatic,,Leading link ,Rigid,,,,Expanding brake (drum brake),,,,9.46 litres (2.50 US gallons),,,4.0 HP (2.9  kW)) @ 5000 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Allstate Cruisaire,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,76.0 km/h (47.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raleigh Supermatic RM5,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,,,Leading link,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,48.0 km/h (29.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 73,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,73.0 ccm (4.45 cubic inches),"Single cylinder, two-stroke",,,Carburettor. DellÓrto,,,Air,,Chain   (final drive),Wet multiplate,,Telescopic,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single seat,55.0 kg (121.3 pounds),,Kick,70.0 km/h (43.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
