Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
Peugeot Tweet 125 SBC,2021,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)) @ 8500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,90.0 km/h (55.9 mph),10.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Injection,Air,Belt   (final drive),2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,110/70-16 ,110/70-16 ,Single disc,226 mm (8.9 inches),Single disc,109.0 kg (240.3 pounds),0.0923 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),1330 mm (52.4 inches),5.70 litres (1.51 US gallons),"Jet Black, Antarctica White",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Tour Airbag DCT,2021,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1833.0 ccm (111.85 cubic inches),"Six cylinder boxer, four-stroke",118.0 HP (86.1  kW)) @ 5500 RPM,167.0 Nm (17.0 kgf-m or 123.2 ft.lbs) @ 4000 RPM,,10.5:1,73.0 x 73.0 mm (2.9 x 2.9 inches),Injection. Programmed Fuel Injection,Liquid,Shaft drive (cardan)   (final drive),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current California Air Resources Board (CARB) and EPA standards.,130/70-18 ,200/55-16 ,Double disc. Floating discs.  CBS three-piston calipers,316 mm (12.4 inches),Single disc. CBS three-piston calipers.,,,"744 mm (29.3 inches) If adjustable, lowest setting.",,1694 mm (66.7 inches),21.01 litres (5.55 US gallons),Candy Ardent Red,Electric,4,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,Automatic,"Seven-speed automatic DCT, plus reverse and walking mode",Aluminium   ,30.5°,109 mm (4.3 inches),Double Wishbone Type; 4.3 inches travel,109 mm (4.3 inches),Pro Arm® single-side swingarm with Pro-Link® single shock; 4.1 inches travel,104 mm (4.1 inches),Urethane. Waterproof cover.,384.2 kg (847.0 pounds),LED lights,Trunk and saddlebags with 121 liters of storage,"3 years transferable, unlimited-mileage limited warranty",Windscreen. Passenger armrest. Deluxe seat. Cruise control. Model ID: GL1800DA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada V4,2021,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1158.0 ccm (70.66 cubic inches),"V4, four-stroke",179.0 HP (130.7  kW)) @ 10500 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 8750 RPM,,14.0:1,83.0 x 53.5 mm (3.3 x 2.1 inches),Injection. 46mm eliptical throttle bodies with Ride-by -Wire system,Liquid,Chain   (final drive),5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,120/70-19 ,170/60-17 ,"Double disc. Brembo M50 Stylema monoblock 4-piston 2 pad calipers, ABS",265 mm (10.4 inches),Single disc. ABS. Brembo Two-piston calipers. ,,,"840 mm (33.1 inches) If adjustable, lowest setting.",,1567 mm (61.7 inches),22.00 litres (5.81 US gallons),Ducati Red,Electric,4,Desmodromic valve control,,6-speed,"Multiplate wet hydraulic control, self-servo action on drive, slipper action on over-run",Aluminum Monocoque ,24.5°,103 mm (4.0 inches),"50mm fully adjustable usd forks, electronic compression and rebound damping adjustment with Ducati Skyhook",170 mm (6.7 inches),"Fully adjustable monoshock , electronic adjustment with Ducati Skyhook, aluminum double-sided Swingarm",180 mm (7.1 inches),Dual seat,242.0 kg (533.5 pounds),,,2 years unlimited mileage,,V4 Granturismo,"Stainless steel muffler with catalytic converter and 4 lambda probes, alluminium tail probes",5-spoke light alloy. Pirelli Scorpion Trail II tires.,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Splendor iSmart BS6,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,113.2 ccm (6.91 cubic inches),"Single cylinder, four-stroke",,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 5500 RPM,,10.0:1,50.0 x 57.8 mm (2.0 x 2.3 inches),Injection,Air,Chain   (final drive),,,,80/100-18 ,80/100-18 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,"799 mm (31.5 inches) If adjustable, lowest setting.",2048 mm (80.6 inches),1270 mm (50.0 inches),9.50 litres (2.51 US gallons),"Blue, red,  Grey",Electric & kick,,Overhead Cams (OHC),Digital CDI,4-speed,"Wet, multiplate",Tubular Diamond,,,Telescopic hydraulic shock absorbers,,5-step Adjustable Hydraulic Shock Absorbers,,,117.0 kg (257.9 pounds),12V 35W/35W halogen headlight,,,,,,,,Constant mesh,1110 mm (43.7 inches),726 mm (28.6 inches),180 mm (7.1 inches),12V 3Ah battery,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Tricity 300,2021,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,,10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),Injection,Liquid,Belt   (final drive),3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,90/80-14 ,140/70-14 ,Single disc. Unified Brake System. ABS.,267 mm (10.5 inches),Single disc. Unified Brake System. ABS.,,,"795 mm (31.3 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),1595 mm (62.8 inches),13.00 litres (3.43 US gallons),"Nimbus Gray, Tech Kamo, Gunmetal Grey",Electric,4,Single Overhead Cams (SOHC),TCI,Automatic,,"Underbone, steel",,,Double telescopic fork,100 mm (3.9 inches),Unit Swing,84 mm (3.3 inches),,239.0 kg (526.9 pounds),LED front lights,,,Traction control. Small windscreen. Leaning twin-wheel front.,,,,,V-Belt Automatic,1470 mm (57.9 inches),815 mm (32.1 inches),130 mm (5.1 inches),,Wet sump,LCD instruments,,,,,,,,,,,,,,,,,,,,,,
Bullit V-Bob 250,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, four-stroke",18.1 HP (13.2  kW)),,,,,,Air,,,,Euro 4,120/80-16 ,140/70-16 ,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,,2230 mm (87.8 inches),1520 mm (59.8 inches),20.00 litres (5.28 US gallons),"Matte black, Matte Grey, Candy Red",Electric,,,ECU – Delphi ,,,,,,USD fork,,Double rear suspension spiral oil damping,,,179.0 kg (394.6 pounds),,,2 Years,,,,,,,1090 mm (42.9 inches),920 mm (36.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R1000R Barry Sheene 1976,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.8 ccm (61.01 cubic inches),"In-line four, four-stroke",196.0 HP (143.1  kW)) @ 11500 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 10000 RPM,,13.2:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection. Ride-by-Wire throttle bodies,Liquid,Chain   (final drive),,,,120/70-ZR17 ,190/50-ZR17 ,Double disc. Brembo 4-piston. ABS.,220 mm (8.7 inches),Single disc. Nissin-1 piston. ABS.,,,"825 mm (32.5 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),1485 mm (58.5 inches),16.00 litres (4.23 US gallons),"White, red, yellow, black ",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet, multi-plate ",Twin-spar made of five cast sections,,,"Inverted telescopic, coil spring, oil damped ",120 mm (4.7 inches),"Link type, single shock, coil spring, oil damped ",130 mm (5.1 inches),Passenger seat can exchanged with a color-matched solo tail cowl.,202.0 kg (445.3 pounds),LED headlight,,12 month unlimited mileage limited warranty.,"Legend Edition bike, sold in Europe.",Titanium valves,Akrapovich exhaust,,,"Chain, DID 525HV3, 120 links",1145 mm (45.1 inches),705 mm (27.8 inches),130 mm (5.1 inches),,Wet sump with oil cooler,"LCD multifunction instrument panel, black background.",,,,,,,,,,,,,,,,,,,,,,
Honda Monkey,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,9.3:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Injection. PGM-FI with automatic enrichment,Air,Chain   (final drive),,,,120/80-12 ,130/80-12 ,Single disc. Hydraulic. Optional ABS.,190 mm (7.5 inches),Single disc. Hydraulic. Optional ABS.,,,"777 mm (30.6 inches) If adjustable, lowest setting.",,1156 mm (45.5 inches),5.68 litres (1.50 US gallons),"Pearl Glittering Blue, Pearl Nebula Red.",Kick,2,Single Overhead Cams (SOHC),Fully transistorized,4-speed,"Wet, multiplate",,25.0°,81 mm (3.2 inches),31mm inverted fork,99 mm (3.9 inches),Twin shocks  ,104 mm (4.1 inches),,105.0 kg (231.5 pounds),,,One Year Unlimited-mileage,Model id: MONKEY125.,,,,,,,,,,,,1.89 litres (0.50 US gallons),,,,,,,,,,,,,,,,,,,,,
Husqvarna FS 450,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.9 ccm (27.45 cubic inches),"Single cylinder, four-stroke",63.0 HP (46.0  kW)),,,,95.0 x 63.4 mm (3.7 x 2.5 inches),Carburettor,Liquid,Chain   (final drive),,,,90/90-17 ,140/90-17 ,Single disc. Brembo four-piston radial fixed calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,102.8 kg (226.6 pounds),0.6128 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",2260 mm (89.0 inches),1475 mm (58.1 inches),7.00 litres (1.85 US gallons),Blue/white/yellow,Electric,,Single Overhead Cams (SOHC),Keihin EMS,5-speed,"Suter slipper clutch, Magura Hydraulics",Central double-cradle-type 25CrMo4 steel,26.1°,,"WP XACT-USD, Ø 48 mm",285 mm (11.2 inches),WP XACT Monoshock with linkage,266 mm (10.5 inches),,,,,,,,,,,5/8 x 1/4 in. chain,,,290 mm (11.4 inches),Lightweight Li-Ion 2.0 Ah battery,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR650S,2021,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor. Mikuni BST40,Oil & air,Chain   (final drive),,,,90/90-21 ,120/90-17 ,"Single disc. Floating rotor, two-piston caliper",240 mm (9.4 inches),Single disc. Two-piston caliper,,,"845 mm (33.3 inches) If adjustable, lowest setting.",2255 mm (88.8 inches),1490 mm (58.7 inches),13.00 litres (3.43 US gallons),Solid Special White/blue,Electric,4,Single Overhead Cams (SOHC),Digitally-mapped DC-CDI ignition,5-speed,"Wet multiplate, rack-and-pinion activated.",Semi-double cradle,,,"Telescopic, coil spring, oil damped",260 mm (10.2 inches),"Link type, coil spring, oil damped",260 mm (10.2 inches),,166.0 kg (366.0 pounds),60/55-watt halogen headlight,,12 month unlimited mileage limited warranty.,,,,"Aluminum rims, stainless steel spokes","885 mm (34.8 inches) If adjustable, highest setting.","O-ring chain, DID525V9, 110 links",1195 mm (47.0 inches),865 mm (34.1 inches),265 mm (10.4 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Indian Springfield,2021,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1811.0 ccm (110.51 cubic inches),"V2, four-stroke",92.0 HP (67.2  kW)),161.6 Nm (16.5 kgf-m or 119.2 ft.lbs) @ 3000 RPM,,9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),Injection. Closed Loop Sequential Port Fuel Injection,Air,Belt   (final drive),,,,130/80-B16 ,180/60-B16 ,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,362.0 kg (798.1 pounds),0.2541 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",2583 mm (101.7 inches),1701 mm (67.0 inches),20.80 litres (5.50 US gallons),"Maroon Metallic/Crimson Metallic, Thunder Black/Dirt Track Tan",Electric,,,,6-speed,Wet multi-plate,Cast Aluminum Frame with Integrated Air-Box,25.0°,133 mm (5.2 inches),Telescopic forks with air adjust,119 mm (4.7 inches),Single shock,114 mm (4.5 inches),Dual leather seat,376.0 kg (828.9 pounds),"Halogen Headlamp/Driving, LED Tail/Brake/Turn Signal",Remote-Locking Hard Saddlebags.,"2 Years, Unlimited Miles",Quick Release Windshield. Cruise Control. Selectable Ride Modes. Keyless Ignition. 12v Charging Port.,Thunder Stroke® 111 engine,Split dual exhaust with cross-over,Highlight Machine Tour wheels. Metzeler Cruisetec tires.,,,1442 mm (56.8 inches),1000 mm (39.4 inches),142 mm (5.6 inches),,,Tank Mounted Electronic Speedometer with Odometer; Dual Tripmeters; Digital Tachometer; Ambient Air Temperature; Fuel Range; Average Fuel Economy; Battery Voltage; Gear Position Display;,,,,,,,,,,,,,,,,,,,,,,
Ducati Supersport 950 ,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,937.0 ccm (57.18 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 6500 RPM,,12.6:1,94.0 x 67.5 mm (3.7 x 2.7 inches),"Injection. Electronic fuel injection system, 53 mm throttle bodies with full Ride-by-Wire",Liquid,Chain   (final drive),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,120/70-17 ,180/55-17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted Brembo.,245 mm (9.6 inches),Single disc. Bosch ABS. Two-piston calipers.,184.0 kg (405.7 pounds),0.5978 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2095 mm (82.5 inches),1478 mm (58.2 inches),16.00 litres (4.23 US gallons),Ducati Red,Electric,4,Desmodromic valve control,,6-speed,"Wet multiplate clutch hydraulic control, self-servo action on drive, slipper action on over-run",Tubular steel Trellis frame attached to the chylinders head,24.0°,91 mm (3.6 inches),Fully adjustable 43 mm usd Marzocchi fork,130 mm (5.1 inches),Progressive linkage with adjustable Sachs monoshock. Aluminium single-sided swingarm,130 mm (5.1 inches),,210.0 kg (463.0 pounds),,,24 months unlimited milage.,,Testastretta 11° L-Twin,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,,,Chain; Front sprocket 15; Rear sprocket 43. Primary drive: Straight cut gears; Ratio 1.84.,1320 mm (52.0 inches),860 mm (33.9 inches),,,,LCD display,,,,,,,,,,,,,,,,,,,,,,
Honda CBR1000RR,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",143.5 HP (104.7  kW)) @ 10500 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 8250 RPM,,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),"Injection. Programmed Dual Stage Fuel Injection (PGM-DSFI) with 48mm throttle bodies, Denso 12-hole injectors",Liquid,Chain   (final drive),6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-17 ,190/55-17 ,Double disc. Floating discs. Four-piston calipers. Radially mounted. ,256 mm (10.1 inches),Single disc. Single-piston caliper. ,,,"820 mm (32.3 inches) If adjustable, lowest setting.",2121 mm (83.5 inches),1405 mm (55.3 inches),16.30 litres (4.31 US gallons),"Matte Black Metallic, Grand Prix Red",Electric,4,Double Overhead Cams/Twin Cam (DOHC),Digital transistorized with electronic advance,6-speed,Wet multiplate,Steel mono backbone,23.3°,97 mm (3.8 inches),"43mm Big Piston Front Fork with preload, compression and rebound adjustment",109 mm (4.3 inches),Single shock,131 mm (5.2 inches),,194.1 kg (428.0 pounds),LED headlight,,12 months unlimited mileage,Model ID: CBR1000RR. Small windscreen.,,,Cast aluminium,,#530 0-ring-sealed chain,1095 mm (43.1 inches),790 mm (31.1 inches),135 mm (5.3 inches),,,,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,
KTM 690 Enduro R,2021,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",693.0 ccm (42.29 cubic inches),"Single cylinder, four-stroke",73.8 HP (53.8  kW)),73.5 Nm (7.5 kgf-m or 54.2 ft.lbs),,,105.0 x 80.0 mm (4.1 x 3.1 inches),Injection,Liquid,Chain   (final drive),4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Single disc. Brembo twin-piston floating calliper. ABS.,240 mm (9.4 inches),Single disc. Brembo single-piston floating calliper. ABS.,146.0 kg (321.9 pounds),0.5052 HP/kg,"929 mm (36.6 inches) If adjustable, lowest setting.",,1504 mm (59.2 inches),13.50 litres (3.57 US gallons),Orange/grey/white,Electric,,,"Keihin EMS with RBW, twin ignition",6-speed,"Slipper clutch, hydraulically actuated","Chrome-moly tubular space frame, powder-coated",28.0°,,WP USD Ø 48 mm,250 mm (9.8 inches),WP shock absorber with Pro-Lever linkage,250 mm (9.8 inches),,,,,,Traction control.,Balancer shaft,,Wire spoked,,5/8  x  1/4 X Ring,,,269 mm (10.6 inches),,Forced oil lubrication with 2 oil pumps,LCD,,,,,,,,,,,,,,,,,,,,,,
Peugeot Speedfight 50 Total Sport,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",4.6 HP (3.4  kW)) @ 7100 RPM,4.2 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 6700 RPM,45.0 km/h (28.0 mph),,39.9 x 39.8 mm (1.6 x 1.6 inches),Injection,Air,Belt   (final drive),,,Euro 4,130/60-19 ,130/60-13 ,Single disc. Shuricane ,190 mm (7.5 inches),Single disc,97.0 kg (213.8 pounds),0.0474 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1895 mm (74.6 inches),1296 mm (51.0 inches),8.00 litres (2.11 US gallons),Mad Grey,Electric & kick,,,,,,,,,Telescopic fork,,,,,104.0 kg (229.3 pounds),,,,,,,,,,1150 mm (45.3 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Saxxx Ecooter E2Max,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,5.6 HP (4.1  kW)),165.0 Nm (16.8 kgf-m or 121.7 ft.lbs),90.0 km/h (55.9 mph),,,,Air,Belt   (final drive),,,,100/80-12 ,100/80-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,84.0 kg (185.2 pounds),0.0670 HP/kg,,1840 mm (72.4 inches),1235 mm (48.6 inches),,"Black, grey, blue",Electric,,,,Automatic,,,,,Telescopic fork,,Twin shocks,,,,LED,,2 years,"Range 90 km, 150 km with 2 batteries. Li-Ion 64 V 42 Ah battery. 5 hour charging. Keyless. Saxxx is a brand name Sachs uses for electric bikes.",,,,,,1110 mm (43.7 inches),700 mm (27.6 inches),,,,Digital  ,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-10R,2021,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",203.0 HP (148.2  kW)) @ 13200 RPM,114.9 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 11400 RPM,,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),"Injection. DFI® with 47mm Mikuni throttle bodies (4) with oval sub-throttles, two injectors per cylinder",Liquid,Chain   (final drive),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,120/70-ZR17 ,190/55-ZR17 ,Double disc. Floating discs. Optional ABS.,220 mm (8.7 inches),Single disc. Optional ABS.,,,"835 mm (32.9 inches) If adjustable, lowest setting.",2085 mm (82.1 inches),1450 mm (57.1 inches),17.00 litres (4.49 US gallons),Lime Green/Ebony/Pearl Blizzard White/red,Electric,4,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance and Sport-Kawasaki Traction Control (S-KTRC),6-speed,"Wet multi-disc, manual",Aluminum twin-spar ,25.0°,107 mm (4.2 inches),"43mm inverted Balance Free Fork, adjustable stepless rebound and compression damping, spring preload adjustability",119 mm (4.7 inches),Horizontal Back-link with gas-charged shock and top-out spring. Compression damping,114 mm (4.5 inches),,207.0 kg (456.4 pounds),,,,"Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Sport Traction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift only), Kawasaki Corner Management Function (KCMF). Max power with RAM air 156.8 kW/213 PS at 13,200 RPM..",,Heat-resistant titanium alloy,3-spoke,,Sealed chain,1185 mm (46.7 inches),750 mm (29.5 inches),135 mm (5.3 inches),,"Forced lubrication, wet sump with oil cooler",,,,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 1050A,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1037.0 ccm (63.28 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4000 RPM,,11.3:1,100.0 x 66.0 mm (3.9 x 2.6 inches),Injection. Ride-by-wire  ,Liquid,Chain   (final drive),3.99 litres/100 km (25.1 km/l or 58.95 mpg),92.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,110/80-R19 ,150/70-R17 ,Double disc. Tokico 4-piston calipers. ABS.,260 mm (10.2 inches),"Single disc. Nissin, 2-piston. ABS.",,,"850 mm (33.5 inches) If adjustable, lowest setting.",2265 mm (89.2 inches),1555 mm (61.2 inches),20.00 litres (5.28 US gallons),Black,Electric,4,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),6-speed,Wet multiplate,,25.7°,109 mm (4.3 inches),"Inverted telescopic, coil spring, oil damped",,"Link type, single shock, coil spring, oil damped",,,247.0 kg (544.5 pounds),LED,,12 month unlimited mileage,Traction Control. Windscreen.,90-degree V-twin,Black Yoshimura Hepta Force silencer,,,"O-ring type, RK525SMOZ8, 116 links",1515 mm (59.6 inches),940 mm (37.0 inches),165 mm (6.5 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Evolet Hawk,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,120.0 km/h (74.6 mph),,,,,,,,,,,Single disc. E-ABS,,Expanding brake (drum brake). E-ABS,129.0 kg (284.4 pounds),,,1950 mm (76.8 inches),,,"Red, Blue",,,,,,,,,,Hydrauliv Telescopic,,Double shocker with dual tube technology,,,,,,"Battery Warranty	3 Year,s  Motor Warranty	18 Months","Range 100km
Charingtime 3-4hrs",BLDC,,Alloy,,,1150 mm (45.3 inches),760 mm (29.9 inches),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Skydrive Sport,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,113.0 ccm (6.90 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6000 RPM,,9.6:1,51.0 x 55.2 mm (2.0 x 2.2 inches),Injection,Air,Belt   (final drive),,,,80/90-14 ,90/90-14 ,Single disc,,Expanding brake (drum brake),,,"740 mm (29.1 inches) If adjustable, lowest setting.",1890 mm (74.4 inches),1260 mm (49.6 inches),3.60 litres (0.95 US gallons),"Green, Hyper Pink, Black, Matte Black, Matte Blue",Electric & kick,2,Single Overhead Cams (SOHC),CDI ,Automatic,Automatic centrifugal,Underbone,,,"Telescopic, coil spring oil damped",,"Swing arm, oil damped",,,93.0 kg (205.0 pounds),,,,Sold in Asia.,,,,,,1045 mm (41.1 inches),675 mm (26.6 inches),150 mm (5.9 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
KTM 500 EXC-F Six Days,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,510.9 ccm (31.18 cubic inches),"Single cylinder, four-stroke",,,,,95.0 x 72.0 mm (3.7 x 2.8 inches),Injection. 42 mm,Liquid,Chain   (final drive),3.62 litres/100 km (27.6 km/l or 64.98 mpg),84.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,Single disc,220 mm (8.7 inches),Single disc,106.0 kg (233.7 pounds),,"960 mm (37.8 inches) If adjustable, lowest setting.",,1482 mm (58.3 inches),9.20 litres (2.43 US gallons),White/green/orange/black,Electric,,Single Overhead Cams (SOHC),Keihin EMS,6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",25CrMo4 steel central-tube,26.5°,,"WP Xplor-USD, Ø 48 mm",300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,,,,,,,,,5/8 x 1/4´ chain,,,355 mm (14.0 inches),Lithium-ion battery,,,,,,,,,,,,,,,,,,,,,,,,
UM Powermax 150,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",,,80.0 km/h (49.7 mph),9.2:1,57.4 x 57.8 mm (2.3 x 2.3 inches),,Air,Belt   (final drive),,,Euro IV,90/90-12 ,3.5-10 ,Single disc,,Expanding brake (drum brake),,,"720 mm (28.3 inches) If adjustable, lowest setting.",1800 mm (70.9 inches),1280 mm (50.4 inches),6.06 litres (1.60 US gallons),"Red, Blue, Black, White",Electric & kick,,Single Overhead Cams (SOHC),C.D.I,Automatic,,,,,Hydraulic Telescopic,,Single Hydraulic Shock ,,,,,,,,,,,,,1120 mm (44.1 inches),675 mm (26.6 inches),110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,
