Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
BMW F 850 GS,2021,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",853.0 ccm (52.05 cubic inches),"Twin, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6250 RPM,201.2 km/h (125.0 mph),12.7:1,84.0 x 77.0 mm (3.3 x 3.0 inches),Injection,Liquid,Chain   (final drive),4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-4 ",90/90-21 ,150/70-R17 ,Double disc. ABS. Floating discs. Two-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,216.0 kg (476.2 pounds),0.4167 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",2305 mm (90.7 inches),1593 mm (62.7 inches),15.00 litres (3.96 US gallons),"Black Storm Metallic/yellow, Racing Red, Racing Blue Metallic",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Multi-plate wet clutch, mechanically operated","Tubular steel space frame , load bearing engine",28.0°,126 mm (5.0 inches),"Upside-down telescopic fork, Ø 43 mm  ",204 mm (8.0 inches),"Cast aluminum 2-sided swing arm, WAD strut (travel related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",219 mm (8.6 inches),,229.0 kg (504.9 pounds),LED headlamps,,,Automatic Stability Control. Riding modes Rain/Road. High Windshield.,,,Wire spoke wheels,"889 mm (35.0 inches) If adjustable, highest setting.",Endless O-ring chain with shock damping in rear wheel hub,1356 mm (53.4 inches),922 mm (36.3 inches),,"Three-phase 416 W generator. 12 V / 10 Ah, maintenance free battery.",Dry sump,,3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,
Gymotor CB200,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",13.4 HP (9.8  kW)) @ 8000 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 6000 RPM,,9.0:1,63.5 x 62.2 mm (2.5 x 2.4 inches),Carburettor. PZ30,Air,Chain   (final drive),,,,100/80-17 ,140/60-17 ,Single disc,,Expanding brake (drum brake),132.0 kg (291.0 pounds),0.1016 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),1356 mm (53.4 inches),12.00 litres (3.17 US gallons),Black/Red,Electric & kick,,Overhead Cams (OHC),CDI,,Wet Multidisc,,,,,,,,,,,,,,,,,,,1030 mm (40.6 inches),780 mm (30.7 inches),160 mm (6.3 inches),,Press-splash,,,,,,,,,,,,,,,,,,,,,,,
Keeway Zahara 50 ,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6500 RPM,,13.0:1,,Injection,Air,Belt   (final drive),,,,90/90-12 ,3.50-10 ,Single disc,,Expanding brake (drum brake),101.0 kg (222.7 pounds),,"750 mm (29.5 inches) If adjustable, lowest setting.",1840 mm (72.4 inches),1270 mm (50.0 inches),7.00 litres (1.85 US gallons),"White, Black, Red ",Electric & kick,2,,CDI,Automatic,,Rocker,,,Telescopic coil spring oil damped,85 mm (3.3 inches),Telescopic units,55 mm (2.2 inches),,,,,,,,,,,Automatic CVT,1150 mm (45.3 inches),755 mm (29.7 inches),120 mm (4.7 inches),,,Analogue,,,,,,,,,,,,,,,,,,,,,,
Sinnis Encanto 50,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",4.0 HP (2.9  kW)) @ 7500 RPM,,,,,Carburettor,Air,Belt   (final drive),,,,3.50-10 ,3.50-10 ,Single disc,,Single disc,80.0 kg (176.4 pounds),0.0503 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",1780 mm (70.1 inches),1265 mm (49.8 inches),4.70 litres (1.24 US gallons),"Matt Black, Pearl Green",Electric,,,,Automatic,,,,,Telescopic,,Single Shock,,,,,,,,,,,,,1095 mm (43.1 inches),670 mm (26.4 inches),,,,Analogue,,,,,,,,,,,,,,,,,,,,,,
Honda CMX1100 Rebel,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",46.9 HP (34.3  kW)) @ 7000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 4750 RPM,,10.1:1,91.0 x 81.5 mm (3.6 x 3.2 inches),Injection. PGM-FI with 34mm throttle bodies,Liquid,Chain   (final drive),,,,130/70-18 ,180/65-16 ,Double disc,256 mm (10.1 inches),Single disc,,,"700 mm (27.6 inches) If adjustable, lowest setting.",2240 mm (88.2 inches),1520 mm (59.8 inches),13.60 litres (3.59 US gallons),"Black Metallic, Red Metallic Bordeaux",Electric,4,Single Overhead Cams (SOHC),Computer-controlled digital transistorized with electronic advance,6-speed,Wet multiplate Hydraulic,,28.0°,110 mm (4.3 inches),43mm telescopic fork,,Showa with pro-link system,,,223.0 kg (491.6 pounds),,,,,,2-1 exhaust,,,O-ring-sealed chain,1115 mm (43.9 inches),853 mm (33.6 inches),120 mm (4.7 inches),,,Digital,,,,,,,,,,,,,,,,,,,,,,
Beta RR Racing 2T 250,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,13.2:1,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK36,Liquid,Chain   (final drive),2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,90/90-21 ,140/80-18 ,Single disc,240 mm (9.4 inches),Single disc,103.5 kg (228.2 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",2172 mm (85.5 inches),1482 mm (58.3 inches),9.50 litres (2.51 US gallons),Red/Black/White,Electric,,,AC Kokusan CDI,6-speed,Wet multi-disc,Molybdenum Stell with double cradle,,,Hydraulic Telescopic 48mm,295 mm (11.6 inches),Monoshock with progressive compound lever,290 mm (11.4 inches),,,,,,,,,,,,1270 mm (50.0 inches),815 mm (32.1 inches),320 mm (12.6 inches),,,,2.30 litres (0.61 US gallons),,,,,,,,,,,,,,,,,,,,,
Suzuki Gixxer 250,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 9000 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7500 RPM,,,76.0 x 54.9 mm (3.0 x 2.2 inches),Injection,Air,Chain   (final drive),,,,110/70-17 ,150/60-17 ,Single disc. ABS,,Single disc. ABS,155.0 kg (341.7 pounds),0.1677 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2010 mm (79.1 inches),,12.00 litres (3.17 US gallons),"Black, Blue",Electric,4,Single Overhead Cams (SOHC),CDI,6-speed,,,,,Telescopic forks,,"Swing Arm, Mono Suspension",,,,LED headlight,,,Sold in Asia.,,,Cast alloy,,,1035 mm (40.7 inches),805 mm (31.7 inches),165 mm (6.5 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Ducati Hypermotard 950 SP,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,937.0 ccm (57.18 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7250 RPM,,13.3:1,94.0 x 67.5 mm (3.7 x 2.7 inches),Injection. Throttle bodies with full Ride by Wire system,Liquid,Chain   (final drive),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,120/70-ZR17 ,175/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,,,"870 mm (34.3 inches) If adjustable, lowest setting.",,1498 mm (59.0 inches),14.50 litres (3.83 US gallons),SP Livery,Electric,4,Desmodromic valve control,,6-speed,"Slipper and self-servo wet multiplate clutch, hydraulic control",Tubular steel trellis,25.0°,104 mm (4.1 inches),Ohlins fully adjustable 48mm usd forks,170 mm (6.7 inches),Progressive linkage with fully adjustable Ohlins monoshock. Aluminium single-sided swingarm,185 mm (7.3 inches),,198.0 kg (436.5 pounds),,,2 years unlimited mileage,,Testastretta 11° L-Twin,Doubleunder-tail stainless steel muffler with catalytic converter and two lambda probes.,3-spoke forged light alloy. Pirelli Diablo Supercorsa tyres.,,"Chain, Front sprocket 15, Rear sprocket 45. Primary drive: Straight cut gears, Ratio 1.85.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 4T 350,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.1 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,,,13.2:1,89.0 x 57.4 mm (3.5 x 2.3 inches),Carburettor. Synerject dual electronic injection,Liquid,Chain   (final drive),3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,90/90-21 ,140/80-18 ,Single disc,240 mm (9.4 inches),Single disc,117.5 kg (259.0 pounds),,"940 mm (37.0 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Red/white/Black,Electric,,Double Overhead Cams/Twin Cam (DOHC),"DC-CDI without trembler with variable ignition timing, Kokusan type.",6-speed,Wet multi-disc,Molybdenum steel with double cradle split above the exhaust port,,,Hydraulic USD fork with ø458mm shaft,,Monoshock with progressive compound lever,,,,,,,,,,,,,1270 mm (50.0 inches),815 mm (32.1 inches),320 mm (12.6 inches),,2 oil pumps,,2.30 litres (0.61 US gallons),,,,,,,,,,,,,,,,,,,,,
Brixton Felsberg 250,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.4 HP (12.7  kW)) @ 7500 RPM,12.6 Nm (1.3 kgf-m or 9.3 ft.lbs) @ 7500 RPM,114.0 km/h (70.8 mph),,,Injection,Air,Chain   (final drive),3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,100/90-18 ,120/80-17 ,Single disc. ABS,220 mm (8.7 inches),Single disc. ABS,,,"750 mm (29.5 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),,14.50 litres (3.83 US gallons),"Backstage Black, Timberwolf Grey

",Electric,,,ECU,,,,,,Telescopic fork,,Dual shocks,,,155.0 kg (341.7 pounds),LED Dayligh,,,,,,,,,1120 mm (44.1 inches),850 mm (33.5 inches),,,,Digital Speedometer,,,,,,,,,,,,,,,,,,,,,,
