Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Compression,Seat,Dry weight,Power/weight ratio,Engine details,Seat height,Torque,Electrical,Max RPM,Alternate seat height,Rake (fork angle),Ground clearance,Color options,Comments,0-100 km/h (0-62 mph),Exhaust system,Front wheel travel,Rear wheel travel,Engine oil,Oil capacity,Valves per cylinder,Instruments,Light
Lambretta GP 150,1969,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.7 HP (6.4  kW)) @ 6300 RPM,101.4 km/h (63.0 mph),57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,,Air,,Chain   (final drive),,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,1011 mm (39.8 inches),1798 mm (70.8 inches),681 mm (26.8 inches),1290 mm (50.8 inches),6.74 litres (1.78 US gallons),Kick,,7.8:1,Dual ,117.9 kg (260.0 pounds),0.0738 HP/kg,,,,,,,,,,,,,,,,,,,
Kawasaki W2,1969,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,624.0 ccm (38.08 cubic inches),"In-line four, four-stroke",53.0 HP (38.7  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),,Carburettor. Two,Overhead Valves (OHV),Battery,,Air,4-speed,Chain   (final drive),,,,Duplex steel cradle,Telescopic,Swingarm ,3.25-19 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,1415 mm (55.7 inches),15.00 litres (3.96 US gallons),,,9.0:1,Dual ,,,,,,,,,,,,,,,,,,3.20 litres (3.38 US quarts),,,
Bridgestone 350 GTR,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Twin, two-stroke",49.6 HP (36.2  kW)) @ 7500 RPM,152.9 km/h (95.0 mph),61.0 x 59.0 mm (2.4 x 2.3 inches),Carburettor. Mikuni ,Rotary valves,,,Air,,Chain   (final drive),Dry multiplate,,,Steel double cradle ,Gaitered,Twin Shock Absorber,3-19 ,3-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Spoked,,,,,1374 mm (54.1 inches),15.00 litres (3.96 US gallons),Kick,,,Dual ,160.6 kg (354.1 pounds),0.3090 HP/kg,,"825 mm (32.5 inches) If adjustable, lowest setting.",,,,,,,Red,,,,,,,,,,
MV Agusta 600 Turismo,1969,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 8000 RPM,185.0 km/h (115.0 mph),58.0 x 56.0 mm (2.3 x 2.2 inches),Carburettor. Dell´Orto,Double Overhead Cams/Twin Cam (DOHC),Coil,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,Half Duplex,Telehydraulic,Swingarm with Hydraulic Dampers,3.50-18 ,4.00-18 ,Single disc,200 mm (7.9 inches),Expanding brake (drum brake),,221.0 kg (487.2 pounds),,,,1390 mm (54.7 inches),20.00 litres (5.28 US gallons),,,9.3:1,,,,,,,,,,,,Black,,,,,,,,2,,
Bultaco Lobito,1969,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,,,Carburettor,,,,Air,,Chain   (final drive),,,,Single cradle,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,Kick,,,Single Seat,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Polizia Stradale,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,703.0 ccm (42.90 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 5000 RPM,,,Carburettor,,,,Air,,Shaft drive (cardan)   (final drive),Dry multiplate,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,Single Seat,,,,,,,,,,,,,,,,,,,,,
Enfield Interceptor ,1969,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,,,,,,,,,190.0 kg (418.9 pounds),,,,,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3D,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,436.0 ccm (26.60 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),,Carburettor,Desmodromic valve control,,Wet sump forced lubrication with gear pump,Air,5-speed,Chain   (final drive),,,,Simplex open cradle tubular steel ,,,2.75-18 ,3.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,590 mm (23.2 inches),,12.90 litres (3.41 US gallons),,,9.7:1,Dual seat,135.0 kg (297.6 pounds),0.2296 HP/kg,,"735 mm (28.9 inches) If adjustable, lowest setting.",,,,,,,,Price as new 3550DM,,,120 mm (4.7 inches),70 mm (2.8 inches),,,2,,
Norton Dunstall,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, two-stroke",,,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,1410 mm (55.5 inches),,,,,Single ,,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
Velocette Thruxton,1969,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor,Overhead Valves (OHV),Magneto,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Hydralic telescopic forks,Twin shock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,9.1:1,,170.0 kg (374.8 pounds),,,,,,,,,,,,,,,,,,,,
Lambretta GP 125,1969,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.3 HP (5.3  kW)) @ 6200 RPM,86.9 km/h (54.0 mph),52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,Magneto ,,Air,,Chain   (final drive),,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,Kick,,7.8:1,Dual ,105.2 kg (232.0 pounds),0.0694 HP/kg,,,,,,,,,,,,,,,,,,,
Kawasaki A7 Avenger,1969,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",338.0 ccm (20.62 cubic inches),"Twin, two-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,,,Carburettor,Rotary valves,,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,,Dual ,158.0 kg (348.3 pounds),0.2658 HP/kg,,,,,,,,,,,,,,,,,,,
Kawasaki A1 Samurai,1969,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",31.0 HP (22.6  kW)) @ 8000 RPM,,,Carburettor,Rotary valves,,,Air,5-speed,Chain   (final drive),,,,,Telescopic,Swingarm ,3-18 ,3.25-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,,,145.0 kg (319.7 pounds),0.2138 HP/kg,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120R Roadster,1969,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6200 RPM,185.0 km/h (115.0 mph),71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal Concentric carburettor,Overhead Valves (OHV),Lucas,,Air,4-speed,Chain   (final drive),"Multi-plate, wet",,,"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",3.25-19 ,4.00-18 ,Expanding brake (drum brake). Twin Leading Shoe,178 mm (7.0 inches),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,,,1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Kick,,9.0:1,"Dual seat, black and gray",165.0 kg (363.8 pounds),0.2970 HP/kg,,"775 mm (30.5 inches) If adjustable, lowest setting.",,12-volt electrical system,,,26.0°,127 mm (5.0 inches),Olympic Flame/Silver,,,,,,,,,Smiths Magnetic gauges,
Moto Guzzi V7 Sport 750 Special,1969,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,,,,,,,,4-speed,Shaft drive (cardan)   (final drive),,,,,Telescopic,Swingarm- hydralich,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,20.00 litres (5.28 US gallons),,,,Dual ,230.0 kg (507.1 pounds),0.1957 HP/kg,,,,,,,,,,,,,,,,,,,
Harley-Davidson Captain America Chopper,1969,Custom / cruiser," 2.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6000 RPM,144.8 km/h (90.0 mph),86.4 x 101.6 mm (3.4 x 4.0 inches),Carburettor. Linkert,Overhead Valves (OHV),Battery/ coil,,Air,,,Four speed,,,,Telescopic fork extended,Rigid,,,,,Expanding brake (drum brake). Expanding shoe,,,,,,,,,,,,272.2 kg (600.0 pounds),0.2205 HP/kg,45 degree V-twin,,,,,,,,,,,,,,,,,,
BMW R 60 5,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,167.0 km/h (103.8 mph),73.5 x 70.6 mm (2.9 x 2.8 inches),Carburettor. 26mm,Overhead Valves (OHV),,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry single plate-diaphragm spring,4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Duplex loop,Cartridge,Twin shock-Swingarm,3.27-19 ,4.02-19 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,210.0 kg (463.0 pounds),1040 mm (40.9 inches),2100 mm (82.7 inches),850 mm (33.5 inches),1385 mm (54.5 inches),24.00 litres (6.34 US gallons),Kick,398kg,9.2:1,,,,,"850 mm (33.5 inches) If adjustable, lowest setting.",49.0 Nm (5.0 kgf-m or 36.1 ft.lbs) @ 5000 RPM,,,,,165 mm (6.5 inches),,Price 1969 DM 3996,8.20 seconds,,208 mm (8.2 inches),125 mm (4.9 inches),,,,,
Norton Commando ,1969,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 6700 RPM,180.0 km/h (111.8 mph),89.0 x 73.0 mm (3.5 x 2.9 inches),Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm,3.25-19 ,4.00-18 ,,,,Spoked,,,,,,,,,8.7:1,Dual ,190.0 kg (418.9 pounds),0.2895 HP/kg,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1969,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,Carburettor. Single Tilloston,Sidevalves,,,Air,,,,,,,Telescopic,Rigid,,,,,,,,,,,,,,,,,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),Electric,,,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,
Zündapp 518 KS 100,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,100.0 km/h (62.1 mph),48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing,,,,Air,,Chain   (final drive),,,,Doble cradle,,,2.50-17 ,2.75-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,,Dual ,95.0 kg (209.4 pounds),,,,,,,,,,,,,,,,,,,,
Zündapp GS 100 Scrambler,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,Air,,Chain   (final drive),,,,,Telescopic fork,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3D,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,165.0 km/h (102.5 mph),,Carburettor,Desmodromic valve control,,Wet sump forced lubrication with gear pump,Air,5-speed,Chain   (final drive),,,,Simplex open cradle tubular steel ,,,2.75-18 ,3.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,590 mm (23.2 inches),,12.90 litres (3.41 US gallons),,,,Dual seat,132.0 kg (291.0 pounds),0.1970 HP/kg,,"735 mm (28.9 inches) If adjustable, lowest setting.",,,,,,,,Price as new 3155DM,,,120 mm (4.7 inches),70 mm (2.8 inches),,,2,,
BMW R75 5,1969,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6200 RPM,175.0 km/h (108.7 mph),82.0 x 66.0 mm (3.2 x 2.6 inches),Carburettor,Overhead Valves (OHV),,Wet sump ,Air,,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,,Cartride,Twin shock-swingarm,3.27-19 ,4.02-18 ,Expanding brake (drum brake). Twin,,Expanding brake (drum brake),,,1040 mm (40.9 inches),2150 mm (84.6 inches),852 mm (33.5 inches),,24.00 litres (6.34 US gallons),Kick,,9.1:1,,,,Bing,"850 mm (33.5 inches) If adjustable, lowest setting.",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6200 RPM,,,,,165 mm (6.5 inches),,,,,,,,,,,
Honda CL 350,1969,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 9500 RPM,,64.0 x 50.6 mm (2.5 x 2.0 inches),Carburettor. Two 28 mm variable venturi,Overhead Cams (OHC),Contact breaker,Wet sump,Air,5-speed,Chain   (final drive),Wet 8 plate 140 mm,,,Pressed/tubular semi-double cradle,,,,,,,,,,,,,,,,,9.5:1,,,,Vertical parallel twin aluminum alloy,,26.4 Nm (2.7 kgf-m or 19.5 ft.lbs) @ 8000 RPM,12v 12 ah battery and coil,10500,,,,"Candy Blue/White, Candy Red/White, Daytona Orange/White",,,Upswept twin crossover,,,,,2,Speedometer and tachometer,
Bultaco TSS,1969,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,,,,,,,,,2.75-18 ,2.75-18 ,,,,Spoked,,,,,,,,,13.5:1,Single Seat,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,
Enfield 250GT Continental,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 7500 RPM,,70.0 x 64.5 mm (2.8 x 2.5 inches),Carburettor,,,,Air,,Chain   (final drive),Wet multiplate,,,Open tubular ,,,3-18 ,3-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,16.00 litres (4.23 US gallons),Kick,,9.5:1,Dual ,138.0 kg (304.2 pounds),0.1522 HP/kg,,,,,,,,,,,,,,,,,,,
BSA A65 Star,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 4500 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
BMW R69S,1969,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),,Carburettor. Bing,Overhead Valves (OHV),Magneto,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel-doble cradle,Cartridge,Twin shock-swingarm,,3.5-18 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Spoked,,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,9.5:1,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 500,1969,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,,69.0 x 65.5 mm (2.7 x 2.6 inches),Carburettor,,,,Air,,Chain   (final drive),Duplex,,,,Telescopic fork,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,9.0:1,,153.0 kg (337.3 pounds),0.2549 HP/kg,,,,,,,,,,,,,,,,,,,
Agrati Capri 50 S,1969,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.0 mm (1.6 x 1.5 inches),Carburettor. DellÓrto,,,,Air,3-speed,Chain   (final drive),,,,,,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,Garelli,,,,,,,,,,,,,,,,,,
Penton 125,1969,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",152.0 ccm (9.28 cubic inches),"Single cylinder, two-stroke",,,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Bing ,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,9.46 litres (2.50 US gallons),,,,,,,Sachs,,,,,,,,,,,,,,,,,,
Honda CB750,1969,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",68.0 HP (49.6  kW)) @ 8500 RPM,201.0 km/h (124.9 mph),61.0 x 63.0 mm (2.4 x 2.5 inches),Carburettor. Keihin,Single Overhead Cams (SOHC),,Dry sump,Air,5-speed,Chain   (final drive),"Multi-plate, wet",6.86 litres/100 km (14.6 km/l or 34.29 mpg),159.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Tubular steal duplex cradle,Telescopic,Swingarm with coil-over shocks,3.25-19 ,4.00-18 ,Single disc,178 mm (7.0 inches),Expanding brake (drum brake),Wirespoked,233.0 kg (513.7 pounds),1100 mm (43.3 inches),2200 mm (86.6 inches),890 mm (35.0 inches),1460 mm (57.5 inches),19.00 litres (5.02 US gallons),Electric & kick,,9.0:1,Dual seat,218.0 kg (480.6 pounds),0.3119 HP/kg,,"790 mm (31.1 inches) If adjustable, lowest setting.",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 7000 RPM,,,,,160 mm (6.3 inches),,,,,,,,3.30 litres (3.49 US quarts),2,,
Velocette Venom,1969,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,,86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,1391 mm (54.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3D,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),,Carburettor,Desmodromic valve control,,Wet sump forced lubrication with gear pump,Air,5-speed,Chain   (final drive),,,,Simplex open cradle tubular steel ,,,2.75-18 ,3.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,590 mm (23.2 inches),,12.90 litres (3.41 US gallons),,,9.7:1,Dual seat,131.0 kg (288.8 pounds),0.1527 HP/kg,,"735 mm (28.9 inches) If adjustable, lowest setting.",,,,,,,,Price as new 2895DM,,,120 mm (4.7 inches),70 mm (2.8 inches),,,2,,
Harley-Davidson XLH Sportster,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,Electric,,,Dual seat,,,,,,,,,,,Black/white,,,,,,,,,,Aluminum headlight
BMW R69US,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing,Overhead Valves (OHV),Magneto,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-doble cradle,Cartridge,Twin shock-swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,199.0 kg (438.7 pounds),995 mm (39.2 inches),2137 mm (84.1 inches),722 mm (28.4 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,360,9.5:1,Dual seat,,,,,,,,,,,,Weight 600 kg with sidecar.,,,,,,,,,
Triumph T100C,1969,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,168.3 kg (371.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 50 Super Combinette,1969,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,40.0 km/h (24.9 mph),,Carburettor,,,,Air,3-speed,,,,,,Telescopic,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,7.00 litres (1.85 US gallons),Kick,,,Dual ,71.0 kg (156.5 pounds),,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH Electra Glide,1969,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5200 RPM,160.0 km/h (99.4 mph),87.3 x 101.0 mm (3.4 x 4.0 inches),Carburettor. Tillotson pumber carb,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),Dry multi-disc,,,Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. 3-step adjustable.,5.00-16 ,5.00-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked. Whitewall tyres.,,,,,1549 mm (61.0 inches),16.00 litres (4.23 US gallons),Electric & kick,Hard saddlebags.,8.0:1,,325.0 kg (716.5 pounds),0.1846 HP/kg,Shovelhead V-twin,"762 mm (30.0 inches) If adjustable, lowest setting.",94.9 Nm (9.7 kgf-m or 70.0 ft.lbs) @ 4000 RPM,12 Volt battery.,,,,,"Red, black, silver, white, blue","Windscreen. Steering mounted, so-called Bat wing fairing.",,,,,,,2,,
Kawasaki 500 H1,1969,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"In-line three, two-stroke",,190.0 km/h (118.1 mph),60.0 x 50.0 mm (2.4 x 2.0 inches),Carburettor. Mikuni 28mm,,,,Air,5-speed,Chain   (final drive),,,,,,,3.25-19 ,4.-18 ,Expanding brake (drum brake),,Single disc,,,,,,,15.00 litres (3.96 US gallons),,,,,174.0 kg (383.6 pounds),,,,,,,,,,,,,,,,,,,,
BMW R50 2,1969,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,195.0 kg (429.9 pounds),980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),,Kick,,7.5:1,,,,,,,,,,,,,,,,,,,,,,
