Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Compression,Seat,Dry weight,Power/weight ratio,Engine details,Seat height,Torque,Electrical,Max RPM,Alternate seat height,Rake (fork angle),Ground clearance,Color options,Comments,0-100 km/h (0-62 mph),Exhaust system,Front wheel travel,Rear wheel travel,Engine oil,Oil capacity,Valves per cylinder,Instruments,Light
Norton Mercury 650,1969,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, two-stroke",,,68.0 x 89.0 mm (2.7 x 3.5 inches),Carburettor,,Coil,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,Kick,,9.0:1,Dual ,,,,,,,,,,,,,,,,,,,,,
Kawasaki Match III 500,1969,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",500.0 ccm (30.51 cubic inches),"In-line three, two-stroke",60.0 HP (43.8  kW)) @ 8000 RPM,167.0 km/h (103.8 mph),60.0 x 58.8 mm (2.4 x 2.3 inches),Carburettor. Mikuni ,Port control,,,Air,5-speed,Chain   (final drive),,,,Double Loop Aircraft Alloy,Inner Spring Telescopic,Threeposition Spring Preload adjustable Shock Absorber,,,Single disc,,,,174.0 kg (383.6 pounds),,,,,13.90 litres (3.67 US gallons),,,6.8:1,,,,,,,,,,,,,,,,,,,,,,
Hercules K 103 S,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,95.0 km/h (59.0 mph),48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,,,Air,,Chain   (final drive),,,,Single cradle,,Swingarm ,2.75-21 ,2.75-21 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,,Dual ,99.0 kg (218.3 pounds),0.0828 HP/kg,,,,,,,,,,,,,,,,,,,
Kawasaki W1,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",52.3 HP (38.2  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),74.0 x 76.2 mm (2.9 x 3.0 inches),Carburettor,Pushrods,,,Air,4-speed,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,15.00 litres (3.96 US gallons),,,,Dual ,181.0 kg (399.0 pounds),0.2890 HP/kg,,,,,,,,,,,,,,,,,,,
BMW R50 5,1969,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.3  kW)) @ 6400 RPM,157.0 km/h (97.6 mph),67.0 x 70.6 mm (2.6 x 2.8 inches),Carburettor. 26mm,Overhead Valves (OHV),Battery,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.27-19 ,4.02-18 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,195.0 kg (429.9 pounds),1040 mm (40.9 inches),2100 mm (82.7 inches),850 mm (33.5 inches),1385 mm (54.5 inches),24.00 litres (6.34 US gallons),Kick,398kg,8.6:1,Dual seat,,,,"850 mm (33.5 inches) If adjustable, lowest setting.",39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 5000 RPM,,,,,165 mm (6.5 inches),,,10.20 seconds,,208 mm (8.2 inches),125 mm (4.9 inches),,,,,
Honda Dream 305,1969,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, four-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,138.4 km/h (86.0 mph),60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Single Overhead Cams (SOHC),,,Air,4-speed,Chain   (final drive),,,,,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,159.0 kg (350.5 pounds),0.1447 HP/kg,,,,,,,,,,"Optional saddlebags, luggage racks, and windscreens.",,Polished stamped steel,,,Honda GN4 10W-40,,,,
BSA Firebird Scrambler,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 7000 RPM,169.0 km/h (105.0 mph),,Carburettor. NA,,,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Honda CB 160,1969,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",161.0 ccm (9.82 cubic inches),"Twin, four-stroke",16.5 HP (12.0  kW)) @ 10000 RPM,,,Carburettor,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,,,133.4 kg (294.0 pounds),0.1237 HP/kg,,,,,,,,,,,,,,,,,,,
Suzuki TC250,1969,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, two-stroke",29.0 HP (21.2  kW)) @ 7500 RPM,,,Carburettor,,,,Air,6-speed,,,,,Doble cradle,Telescopic,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,1030 mm (40.6 inches),1950 mm (76.8 inches),,1280 mm (50.4 inches),14.00 litres (3.70 US gallons),,,,,131.0 kg (288.8 pounds),0.2214 HP/kg,,,,,,,,,,,,,,,,,,,
BMW R 60 2,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.25-18.00 ,3.50-18.00 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,7.5:1,,,,,,,,,,,,,Price in 1969 for the bike was DM 3315.,,,,,,,,,
