Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Compression,Fuel control,Ignition,Lubrication system,Clutch,Exhaust system,Frame type,Diameter,Fuel capacity,Color options,Starter,Engine details,Front suspension,Rear suspension,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Gearbox,Modifications compared to previous model,Light,Carrying capacity,Valves per cylinder,Comments,Seat height,Oil capacity,Driveline,Electrical
Nimbus 2510,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,Carburettor,,,,,,,,Two single seats,,,,Overhead Cams (OHC),,,,,,,,,,,Telescopic,,,,,,,,,3-speed,,,,,,,,,
Norton 490 CS 1,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,128.8 km/h (80.0 mph),,Carburettor,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 201 OSL,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 5000 RPM,90.0 km/h (55.9 mph),58.0 x 75.0 mm (2.3 x 3.0 inches),Carburettor. Amal,Air,Chain   (final drive),3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,120.0 kg (264.6 pounds),0.0708 HP/kg,,,,,,,,,,,,,,,,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),,,4-speed,,,,,,,,,
Harley-Davidson Model U,1939,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1209.0 ccm (73.77 cubic inches),"V2, four-stroke",,,,Carburettor. Linkert,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,,,,Sidevalves,,Dry sump,,,,,,,,,Leading link -coil springs,Rigid-,,,,,,,,,Extended intake manifold to enlarge the distance between carburettor and cylinder heads.,,,,,,,,
NSU 601 TS,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 4670 RPM,,87.5 x 99.0 mm (3.4 x 3.9 inches),Carburettor,Air,Chain   (final drive),3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,165.0 kg (363.8 pounds),0.0970 HP/kg,,,Magneto Bosch,,,,Double steel,,,,Kick,,,,,,,,1390 mm (54.7 inches),,,,,,,,,,,,
DKW SB 500A,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Twin, two-stroke",,,,Carburettor. Bing,Liquid,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,Foot-operated,,,,,,Electric,Combined two 247cc cylinders on a single block,Girder fork coil spring,Rigid-,,,,,,,,,,Twin headlights,,,,,,,
BMW R23,1939,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)) @ 5400 RPM,95.0 km/h (59.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Amal ,Air,Shaft drive (cardan)   (final drive),2.99-19 ,2.99-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,6.1:1,Overhead Valves (OHV),Battery,Wet sump ,Single plate dry,,Steel-single cradlel,180 mm (7.1 inches),9.60 litres (2.54 US gallons),,Kick,,Telescopic fork,Rigid,135.0 kg (297.6 pounds),900 mm (35.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),1330 mm (52.4 inches),,,3-speed,,,200kg,,,,,,
Crocker Crocker V-Twin,1939,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",,,,Carburettor,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,Overhead Valves (OHV),,,,,,,,,,45degree,,,,,,,,,,,,,,,,,,,
Rudge Ulster 500,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Chief,1939,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,Telescopic,Plungertype with coil springs,,,,,1540 mm (60.6 inches),,,,,,,,,,,,
Rikuo RT 2,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,Air,,,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,Sidevalves,Generator and battery,,Four speed ,,,,,,,,Telescopic,,,,,,,,,4-speed,,,,,,,,,
Zündapp KS 500 Kardan Sport,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",24.0 HP (17.5  kW)) @ 5200 RPM,135.0 km/h (83.9 mph),66.0 x 66.6 mm (2.6 x 2.6 inches),Carburettor,Air,Shaft drive (cardan)   (final drive),3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,185.0 kg (407.9 pounds),0.1297 HP/kg,,,,,,,,,,,,,,Rigid,,,,,,,,,,,,,,,,,
Zündapp K 500,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",16.0 HP (11.7  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),69.0 x 66.6 mm (2.7 x 2.6 inches),Carburettor. Bing 22mm,Air,Shaft drive (cardan)   (final drive),3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Two single seats,180.0 kg (396.8 pounds),0.0889 HP/kg,,,,,,,,,,,Kick,,Telescopic,Rigid,,,,,,,,4-speed,,,,,,,,,
