Model,Year,Category,Rating,Displacement,Engine type,Fuel control,Gearbox,Front suspension,Seat,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Clutch,Frame type,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Fuel capacity,Starter,Carrying capacity,Transmission type,Oil capacity,Ignition,Fuel consumption,Greenhouse gases,Wheelbase,Exhaust system,Color options,Dry weight,Power/weight ratio,Comments,Engine details,Valves per cylinder,Electrical,Seat height,Driveline
Indian Series 441,1941,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,,Single seat,,152.9 km/h (95.0 mph),,,,,Air,,,,5.00-16 ,5.00-16.00 ,,,,,257.6 kg (568.0 pounds),,,,,,,,,,,,,,,,,,,,,,
NSU 251 OSL WH,1941,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",,,,Single ,10.5 HP (7.7  kW)) @ 5300 RPM,95.0 km/h (59.0 mph),,64.0 x 75.0 mm (2.5 x 3.0 inches),Carburettor. Amal,,Air,,Steel,,3-19 ,3-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,950 mm (37.4 inches),2040 mm (80.3 inches),780 mm (30.7 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,144.0 kg (317.5 pounds),0.0729 HP/kg,,,,,,
Harley-Davidson Model WLA,1941,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",Sidevalves,,Leading link -coil springs,,,,,,Carburettor. Linkert,,,,,Rigid-,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Chain   (final drive),,,,,,,,244.9 kg (540.0 pounds),,"This bike was produced to US Army specifications 
World War II.",,,,,
BMW R61,1941,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,600.0 ccm (36.61 cubic inches),"Two cylinder boxer, four-stroke",Overhead Valves (OHV),4-speed,Leading link ,,18.0 HP (13.1  kW)) @ 4800 RPM,115.0 km/h (71.5 mph),5.7:1,70.0 x 78.0 mm (2.8 x 3.1 inches),Carburettor. Amal ,Wet sump ,Air,Dry-single plate-cable operated,Steel-double cradle,Twin shock-Swingarm,3.50-19.00 ,3.50-19.00 ,Expanding brake (drum brake). Single,,Expanding brake (drum brake),,184.0 kg (405.7 pounds),960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),14.00 litres (3.70 US gallons),Kick,210kg,Shaft drive (cardan)   (final drive),,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,1400 mm (55.1 inches),,,,,,,,,,
Harley-Davidson Servi-Car GE,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",Sidevalves,,Leading link-Springer type,Single spring-mounted,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,,,,,,,1549 mm (61.0 inches),,,,,,,,,,
Indian Chief,1941,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,Telescopic,,,,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,,,Plungertype with coil springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Chain   (final drive),,,,,1540 mm (60.6 inches),,,,,,,,,,
NSU 601 OSL,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,,,,24.0 HP (17.5  kW)) @ 4950 RPM,,,85.0 x 99.0 mm (3.3 x 3.9 inches),Carburettor,,Air,,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,Kick,,,,,,,1420 mm (55.9 inches),,,150.0 kg (330.7 pounds),0.1600 HP/kg,,,,,,
Ariel 4G Square Four 1000,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),Square four cylinder,Overhead Valves (OHV),4-speed,Telescopic fork,,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,,Air,,Tubular single loop,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Wire spoked,211.0 kg (465.2 pounds),,2083 mm (82.0 inches),,23.00 litres (6.08 US gallons),Kick,,Chain   (final drive),,,,,1422 mm (56.0 inches),,,,,Also called ´Squariel´. Designed by Edward Turner.,Double twin cylinder arranged as a square,2,,,
BMW R71,1941,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",Overhead Valves (OHV),4-speed,Cartridge,,22.0 HP (16.1  kW)) @ 4600 RPM,125.0 km/h (77.7 mph),5.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Graetzin G24,Wet sump ,Air,Dry-single plate-cable operated,,Twin shock-swingarm,3.5-19 ,3.5-19 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Spoked,187.0 kg (412.3 pounds),960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),14.00 litres (3.70 US gallons),Kick,,Shaft drive (cardan)   (final drive),,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,1400 mm (55.1 inches),,,,,,,,,,
DKW NZ 500,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,489.0 ccm (29.84 cubic inches),"Twin, two-stroke",,,,Single spring-mounted,18.5 HP (13.5  kW)) @ 4200 RPM,115.0 km/h (71.5 mph),,64.0 x 76.0 mm (2.5 x 3.0 inches),Carburettor,,Air,,,,3.5-19 ,3.5-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,Chain   (final drive),,,,,,,,195.0 kg (429.9 pounds),0.0949 HP/kg,,,,,,
Ariel W-NG 350,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Grider fork,Spring loaded solo seat,17.0 HP (12.4  kW)) @ 5800 RPM,,,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor,Dry sump,Air,,,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Military green wire spokes and rims,,,2130 mm (83.9 inches),,11.90 litres (3.14 US gallons),Kick,Rear rack,Chain   (final drive),2.30 litres (2.43 US quarts),Coil,,,,1-into-1 pipes,Military green,169.0 kg (372.6 pounds),0.1008 HP/kg,,,2,6V battery.,,
Crocker Twin,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Overhead Valves (OHV),,,Single spring-mounted,,177.0 km/h (110.0 mph),,,Carburettor,,Oil & air,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,
Velocette Mac ,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Hydralic telescopic forks,Dual seat,18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,,Air,Wet multiplate,Single cradle,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),11.00 litres (2.91 US gallons),Kick,,Chain   (final drive),,,,,1276 mm (50.2 inches),,,161.0 kg (354.9 pounds),0.1118 HP/kg,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",
Crocker V-Twin,1941,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",Overhead Valves (OHV),,,Single spring-mounted,,,,,Carburettor,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,Chain   (final drive),,,,,,,,,,,45degree,,,,
BMW R66,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Two cylinder boxer, four-stroke",Overhead Valves (OHV),4-speed,Cartridge,,30.1 HP (21.9  kW)) @ 5300 RPM,145.0 km/h (90.1 mph),6.8:1,69.8 x 78.0 mm (2.7 x 3.1 inches),Carburettor. 26mm,Wet sump ,Air,Dry-single plate-cable operated,Doble steel loop ,Twin shock-Swingarm,3.5-19 ,3.5-19 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),Spoked,187.0 kg (412.3 pounds),960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),14.00 litres (3.70 US gallons),Kick,210kg-500kg with sidecar,Shaft drive (cardan)   (final drive),,Forced feed,,,1400 mm (55.1 inches),,,,,,,,,,
NSU 601 OSL WH,1941,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,,,Single ,24.0 HP (17.5  kW)) @ 4300 RPM,110.0 km/h (68.4 mph),,85.0 x 99.0 mm (3.3 x 3.9 inches),Carburettor,,Air,,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,970 mm (38.2 inches),2225 mm (87.6 inches),845 mm (33.3 inches),13.50 litres (3.57 US gallons),,,,,,,,1420 mm (55.9 inches),,,190.0 kg (418.9 pounds),0.1263 HP/kg,,,,,,
Moto Guzzi Alce,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,,,Two single seats,13.2 HP (9.6  kW)) @ 4000 RPM,90.0 km/h (55.9 mph),4.7:1,82.0 x 88.0 mm (3.2 x 3.5 inches),Carburettor. DellÓrto ,Wet sump ,Air,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,13.50 litres (3.57 US gallons),Kick,,Chain   (final drive),,,,,1455 mm (57.3 inches),,,179.0 kg (394.6 pounds),0.0737 HP/kg,,,,,,
Ariel VH 500 Red Hunter,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Grider forks,,24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,86.4 x 85.0 mm (3.4 x 3.3 inches),Carburettor. Amal monoblock,Dry sump with dual plunger pumps,Air,Dry,Semi double cradle,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked. ,,,2180 mm (85.8 inches),640 mm (25.2 inches),13.25 litres (3.50 US gallons),Kick,,Chain   (final drive),3.40 litres (3.59 US quarts),,,,1422 mm (56.0 inches),,,190.0 kg (418.9 pounds),0.1263 HP/kg,,,,6V battery.,,Burman
NSU 601 OSB,1941,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,,,Single ,26.0 HP (19.0  kW)) @ 4950 RPM,,,85.0 x 99.0 mm (3.3 x 3.9 inches),Carburettor. Amal,,Air,,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,Kick,,,,,,,1420 mm (55.9 inches),,,150.0 kg (330.7 pounds),0.1733 HP/kg,,,,,,
