Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power,Front tire,Rear tire,Wheelbase,Fuel capacity,Top speed,Wheels,Overall length,Overall width,Starter,Modifications compared to previous model,Power/weight ratio,Overall height,Alternate seat height,Driveline,Rake (fork angle),Diameter,Seat height,Ground clearance,Color options,Electrical,Torque,Engine details,Carrying capacity,Comments,Lubrication system,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Light,Valves per cylinder,0-100 km/h (0-62 mph),Exhaust system,Instruments
Norton Atlas,1964,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",8.9:1,73.0 x 89.0 mm (2.9 x 3.5 inches),Carburettor. Amal,,Electric,Air,,Chain   (final drive),,,Telescopic,Dual chocks,Expanding brake (drum brake). 203mm,Expanding brake (drum brake). 178mm,Dual ,,58.0 HP (42.3  kW)) @ 6800 RPM,3.25-19 ,4.25-19 ,,,,Spoked,,,Kick,,,,,,,,,,,,,,,,,,,,,185.0 kg (407.9 pounds),,2,,,
Aermacchi Ala D Oro,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto ,,,Air,4-speed,Chain   (final drive),Wet multiplate,,Hydralic telescopic forks,Swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake). Simplex ,Dual seat,110.0 kg (242.5 pounds),24.8 HP (18.1  kW)) @ 8500 RPM,2.50-18 ,2.75-18 ,,17.00 litres (4.49 US gallons),170.0 km/h (105.6 mph),Spoked,1940 mm (76.4 inches),520 mm (20.5 inches),Kick,,0.2255 HP/kg,860 mm (33.9 inches),,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,
Aermacchi H-D Wisconsin ,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,,Bobine,Air,,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Two shock,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,,115.0 kg (253.5 pounds),16.0 HP (11.7  kW)) @ 6500 RPM,2.50-17 ,3-17 ,,,130.0 km/h (80.8 mph),Spoked,1970 mm (77.6 inches),700 mm (27.6 inches),Kick,,0.1391 HP/kg,980 mm (38.6 inches),,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,18.0 HP (13.1  kW)) @ 4300 RPM,,,,17.00 litres (4.49 US gallons),135.0 km/h (83.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G-12,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,,,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,180.0 kg (396.8 pounds),35.0 HP (25.5  kW)) @ 6500 RPM,,,,,,,,,,,0.1944 HP/kg,,,,,,,,,,,,,Designer was Phil Walker,,,,,,,,,,,
Ducati 250 GT,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Cams (OHC),,Air,,Chain   (final drive),,Steel ,,,Expanding brake (drum brake),Expanding brake (drum brake),,131.0 kg (288.8 pounds),22.0 HP (16.1  kW)) @ 7200 RPM,,,,13.00 litres (3.43 US gallons),,,,,,,0.1679 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 514-320 KS 100,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",9.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor. Bing,,,Air,,Chain   (final drive),,Steel,Telescopic fork,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,90.0 kg (198.4 pounds),8.1 HP (5.9  kW)) @ 6300 RPM,2.75-16 ,2.75-16 ,,11.50 litres (3.04 US gallons),,Spoked,,,Kick,,0.0894 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Berliner 1260 Apollo,1964,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1257.0 ccm (76.70 cubic inches),"V4, four-stroke",10.0:1,84.5 x 56.0 mm (3.3 x 2.2 inches),Carburettor,Overhead Valves (OHV),,Air,,Shaft drive (cardan)   (final drive),,Open Cradle,,,,,Dual seat ,270.0 kg (595.2 pounds),100.0 HP (73.0  kW)) @ 7000 RPM,,,1554 mm (61.2 inches),,193.1 km/h (120.0 mph),,,,Electric & kick,,0.3704 HP/kg,,,,,,"749 mm (29.5 inches) If adjustable, lowest setting.",170 mm (6.7 inches),Gold,,,,,,,,,,,,,4,,,
Matchless G3 350,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,,,Air,,Chain   (final drive),Wet multiplate,,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,18.0 HP (13.1  kW)) @ 5750 RPM,,,,,,Spoked,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Jubilee,1964,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Carburettor,,,Air,,Chain   (final drive),,Single cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake). Single,,Dual seat,150.0 kg (330.7 pounds),11.7 HP (8.5  kW)) @ 7750 RPM,3.25-18 ,3.25-18 ,,,,,,,Kick,,0.0780 HP/kg,,,,,,,,,,,Norton Dominator,,,,,,,,,,,,,
BSA Bantam D7,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,3-speed,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,9.00 litres (2.38 US gallons),,Spoked,,,,,,,,,,,,,Shades red or blue-chrome highlights,WicoPacy,,,,,,,,,,,,,92.00 seconds,,
Lambretta LI 125 Series 3,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,Air,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,103.9 kg (229.0 pounds),5.2 HP (3.8  kW)) @ 5200 RPM,3.50-10 ,3.50-10 ,1290 mm (50.8 inches),,69.2 km/h (43.0 mph),,1825 mm (71.9 inches),710 mm (28.0 inches),Kick,,0.0501 HP/kg,1060 mm (41.7 inches),,,,,,,,,,,,,,,,,,,,,,,
Triumph T100C,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,152.0 kg (335.0 pounds),41.0 HP (29.9  kW)) @ 7200 RPM,,,,,,,,,,,0.2698 HP/kg,,,,,,,,,,,,,,,,,,,168.3 kg (371.0 pounds),,,,,
Triumph Tiger Cub T 20,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),Wet multiplate,,,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,113.4 kg (250.0 pounds),10.0 HP (7.3  kW)) @ 6000 RPM,,,1245 mm (49.0 inches),,106.0 km/h (65.9 mph),,,,,,0.0882 HP/kg,,,,,,,,,,,Amal monobloc carburettor,,,Dry sumpy,,,,,,,,,,
Zündapp Bella R203,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor. Bing 22mm,,,Air,4-speed,,,Tubular,,,,,Dual ,147.0 kg (324.1 pounds),10.0 HP (7.3  kW)) @ 5200 RPM,3.50-12 ,3.50-12 ,,8.50 litres (2.25 US gallons),90.0 km/h (55.9 mph),Spoked,,,,,0.0680 HP/kg,,"730 mm (28.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Ducati 160 Monza Junior,1964,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,156.0 ccm (9.52 cubic inches),"Single cylinder, four-stroke",8.2:1,61.0 x 52.0 mm (2.4 x 2.0 inches),,Overhead Cams (OHC),Six volt coil ,Air,,Chain   (final drive),Wet multiplate,Steel single cradle,Telescopic fork,Pivoted trolled by spring hydraulic adjustment,Expanding brake (drum brake),Expanding brake (drum brake),Dual seatt,121.0 kg (266.8 pounds),13.0 HP (9.5  kW)) @ 6000 RPM,2.75-16 ,3.25-16 ,1295 mm (51.0 inches),13.00 litres (3.43 US gallons),115.0 km/h (71.5 mph),,,,,,0.1074 HP/kg,,,,,136 mm (5.4 inches),,,,,,,,,Dry sump,,,,,,,2,,Dry sump,
Heinkel A2,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,Air,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Dream 305,1964,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, two-stroke",,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Overhead Cams (OHC),,Air,,Chain   (final drive),,,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,159.0 kg (350.5 pounds),23.0 HP (16.8  kW)) @ 7500 RPM,,,,,138.4 km/h (86.0 mph),Spoked,,,,,0.1447 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Norton 650SS,1964,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",8.9:1,68.0 x 89.0 mm (2.7 x 3.5 inches),Carburettor,Overhead Valves (OHV),,,,Chain   (final drive),,Duplex steel cradle,Telescopic,Dual chocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,52.0 HP (38.0  kW)) @ 6800 RPM,3.25-19 ,4.00-18 ,,13.50 litres (3.57 US gallons),185.0 km/h (115.0 mph),Spoked,,,,,,,,,,,,,,,,,,,,,,,,196.9 kg (434.0 pounds),,2,,,
NSU Prima III K,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor,,,Air,,Shaft drive (cardan)   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,7.7 HP (5.6  kW)) @ 5200 RPM,3.50-10 ,3.50-10 ,,12.00 litres (3.17 US gallons),84.0 km/h (52.2 mph),,1780 mm (70.1 inches),650 mm (25.6 inches),Kick,,,965 mm (38.0 inches),,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,,,Air,,Chain   (final drive),,Single cradle,Telescopic -Geriani,Swingarm-two shocks,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Dual ,114.0 kg (251.3 pounds),16.0 HP (11.7  kW)) @ 6500 RPM,2.50-17 ,2.50-17 ,1270 mm (50.0 inches),17.00 litres (4.49 US gallons),140.0 km/h (87.0 mph),Spoked,1938 mm (76.3 inches),762 mm (30.0 inches),Kick,,0.1404 HP/kg,910 mm (35.8 inches),,,,,,,,,,,,,,,,,,,,,,,
BMW R69S,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",9.5:1,73.0 x 73.0 mm (2.9 x 2.9 inches),Carburettor. Bing,Overhead Valves (OHV),Magneto,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel-doble cradle,Cartridge,Twin shock-swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake),Dual seat,,42.0 HP (30.7  kW)) @ 7000 RPM,,3.5-18 ,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),175.0 km/h (108.7 mph),Spoked,2125 mm (83.7 inches),722 mm (28.4 inches),Kick,,,980 mm (38.6 inches),,,,200 mm (7.9 inches),,,,,,,360,,Forced feed,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,202.0 kg (445.3 pounds),,,,,
Harley-Davidson Bobcat ,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,60.3 x 61.1 mm (2.4 x 2.4 inches),Carburettor,,,,,Chain   (final drive),,,Hydraulic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,,96.6 km/h (60.0 mph),Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Quickly S2 23,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,43.0 km/h (26.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Regolarita 250,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),Wet multiplate,,Telescopic fork,,Expanding brake (drum brake),Expanding brake (drum brake),Single Seat,,17.0 HP (12.4  kW)) @ 7500 RPM,,,1314 mm (51.7 inches),12.00 litres (3.17 US gallons),132.0 km/h (82.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panther M 120,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,209.1 kg (461.0 pounds),27.0 HP (19.7  kW)) @ 6500 RPM,3-19 ,3-19 ,1499 mm (59.0 inches),,,Spoked,,,,,0.1291 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 83,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,83.0 ccm (5.06 cubic inches),"Single cylinder, two-stroke",,,Carburettor. DellÓrto,,,Air,,Chain   (final drive),Wet multiplate,,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,2.25-20 ,2.25-20 ,,,,Spoked,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A65 Star,1964,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,54.0 HP (39.4  kW)) @ 4500 RPM,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri 50 S,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",10.3:1,40.0 x 39.0 mm (1.6 x 1.5 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),,,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,4.3 HP (3.1  kW)) @ 6500 RPM,,,,,,,,,,,,,,,,,,,,,,Garelli,,,,,,,,,,,,,
Raleigh Supermatic RM5,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,,,Leading link,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,48.0 km/h (29.8 mph),Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 250 S Trophy,1964,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,136.0 kg (299.8 pounds),14.5 HP (10.6  kW)) @ 5500 RPM,3.25-16 ,3.25-16 ,,,,,,,,,0.1066 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G2 CSR,1964,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",10.5:1,70.0 x 65.0 mm (2.8 x 2.6 inches),Carburettor,,,Air,,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Swinging arm-shocks-coil springs,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,3-19 ,3.50-19 ,1346 mm (53.0 inches),14.80 litres (3.91 US gallons),121.0 km/h (75.2 mph),Spoked,,,,,,,,,,,,,Black-Red,,,,,,Dry sump,,,,,,,,,,
Hercules K 103,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,,Air,,Chain   (final drive),,Single cradle,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,7.0 HP (5.1  kW)) @ 5750 RPM,3-16 ,3-16 ,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),,158.8 kg (350.0 pounds),27.0 HP (19.7  kW)) @ 6300 RPM,,,1400 mm (55.1 inches),,,,,,,,0.1701 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson AH Topper-Scooter,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",8.0:1,60.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,,,,,,Leading link,Swingarm with two extension springs,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,74.0 km/h (46.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB77,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",8.1:1,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Overhead Cams (OHC),Battery and Coil,Air,4-speed,Chain   (final drive),Wet Plate,Tubular Steel,Telescopic,Twin Shock,Expanding brake (drum brake),Expanding brake (drum brake),,159.0 kg (350.5 pounds),28.5 HP (20.8  kW)) @ 9000 RPM,2.75-18 ,3-18 ,1300 mm (51.2 inches),14.00 litres (3.70 US gallons),152.9 km/h (95.0 mph),,,,Electric & kick,,0.1792 HP/kg,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,Black,,,,,,,,,,,,,2,,,
Triumph Bonneville T120C Street Scrambler,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,165.0 kg (363.8 pounds),46.0 HP (33.6  kW)) @ 6500 RPM,3.25-19 ,4.00-18 ,1403 mm (55.2 inches),15.14 litres (4.00 US gallons),185.0 km/h (115.0 mph),Wire spoked,,,Kick,,0.2788 HP/kg,,,,26.0°,178 mm (7.0 inches),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Gold/White,"Lucas RM19 alternator, 6-volt electrical system",,,,Street Scrambler with high exhaust pipes.,,,,,,,,,,,
Triumph Speed Twin 5T,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,27.0 HP (19.7  kW)) @ 6300 RPM,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,Dry sump,,,,,,,,,,
NSU Prima III ,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor,,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,131.0 kg (288.8 pounds),7.7 HP (5.6  kW)) @ 5200 RPM,3.50-10 ,3.50-10 ,,12.00 litres (3.17 US gallons),84.0 km/h (52.2 mph),Spoked,1920 mm (75.6 inches),650 mm (25.6 inches),Electric,,0.0588 HP/kg,965 mm (38.0 inches),,,,,,,,,,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,
Lambretta LI 150 Special,1964,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,104.8 kg (231.0 pounds),8.3 HP (6.0  kW)) @ 5300 RPM,3.50-10 ,3.50-10 ,1290 mm (50.8 inches),,85.3 km/h (53.0 mph),Spoked,1825 mm (71.9 inches),710 mm (28.0 inches),Kick,,0.0787 HP/kg,1060 mm (41.7 inches),,,,,,,,,,,,,,,,,,,,,,,
MZ ES 250,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",8.1:1,65.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,162.0 kg (357.1 pounds),17.5 HP (12.8  kW)) @ 5300 RPM,3.25-16 ,3.50-16 ,,15.00 litres (3.96 US gallons),,Spoked,,,Kick,,0.1080 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 103 GS,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,,,Air,,Chain   (final drive),,Single cradle,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,99.0 kg (218.3 pounds),8.2 HP (6.0  kW)) @ 6000 RPM,3.50-18 ,3.50-18 ,,13.00 litres (3.43 US gallons),95.0 km/h (59.0 mph),Spoked,,,Kick,,0.0828 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta TV 175 Series 3,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",8.0:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),,,,,Single disc,Expanding brake (drum brake),Dual ,109.8 kg (242.0 pounds),8.8 HP (6.4  kW)) @ 5300 RPM,3.50-10 ,3.50-10 ,,,96.6 km/h (60.0 mph),Chromed wheel rims,,,Kick,,0.0797 HP/kg,,,,,,,,Ivory,,,,,,,,,,,,,,,,
Lambretta TV 200,1964,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",8.0:1,66.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. DellÓrto,,,Air,,Chain   (final drive),,,,,Single disc,Expanding brake (drum brake),Dual ,109.8 kg (242.0 pounds),10.8 HP (7.8  kW)) @ 5300 RPM,3.50-10 ,3.50-10 ,,,96.6 km/h (60.0 mph),,,,Kick,,0.0979 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
Vespa 180 Supersport,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,181.1 ccm (11.05 cubic inches),"Single cylinder, two-stroke",7.7:1,,Carburettor,Rotary valves,,Air,4-speed,Chain   (final drive),,Steel sheet,,,Expanding brake (drum brake),Expanding brake (drum brake),,116.0 kg (255.7 pounds),10.0 HP (7.3  kW)) @ 6250 RPM,3.50-10 ,3.50-10 ,1230 mm (48.4 inches),9.00 litres (2.38 US gallons),106.5 km/h (66.2 mph),,,,,,0.0862 HP/kg,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,
