Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel consumption,Greenhouse gases,Seat,Seat height,Fuel control,Engine details,Color options,Carrying capacity,Front suspension,Rear suspension,Light,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Reserve fuel capacity,Exhaust system,Diameter,Modifications compared to previous model
BMW R52,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,486.0 ccm (29.66 cubic inches),"Two cylinder boxer, four-stroke",12.0 HP (8.7  kW)) @ 3400 RPM,100.0 km/h (62.1 mph),,Carburettor. 22mm BMW Spezial,Magneto,Air,3-speed,Shaft drive (cardan)   (final drive),Steel doble cradle,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),,,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.50 litres (3.30 US gallons),Kick,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Overhead Valves (OHV),,,210kg,Leading link ,Rigid,,5.1:1,Wet sump ,Dry-single plate-cable operated,152.0 kg (335.1 pounds),,,200 mm (7.9 inches),
BMW R62,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,115.0 km/h (71.5 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. 22mm,,Air,,Shaft drive (cardan)   (final drive),Steel-double cradle,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake). Single,,,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.50 litres (3.30 US gallons),Kick,,,Solo seat with springs,,Overhead Valves (OHV),,,210kg,Leading link ,Rigid,,5.5:1,Wet sump ,Dry-single plate-cable operated,155.0 kg (341.7 pounds),5.00 litres (1.32 US gallons),,,
Scott Super Squirrel,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,,,,,3-speed,Chain   (final drive),,,,,,,,,,,,,,,,,Solo seat with springs,,,,,,,,Actylene head and tail,,,Two-speed foot shift,,,,,
Zündapp Z 300,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 4000 RPM,90.0 km/h (55.9 mph),68.0 x 82.5 mm (2.7 x 3.2 inches),Carburettor,,Air,,Chain   (final drive),,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,105.0 kg (231.5 pounds),0.2476 HP/kg,,,,,,,,,Single ( two single seats optional),,Overhead Valves (OHV),,,,,,,,,,,,,,
Rudge Ulster 500,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,,Air,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,,Single spring-mounted,,Overhead Valves (OHV),,,,,,,,,,,,,,
NSU 201T,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.2 ccm (12.16 cubic inches),"Single cylinder, four-stroke",4.5 HP (3.3  kW)) @ 4000 RPM,65.0 km/h (40.4 mph),56.5 x 80.0 mm (2.2 x 3.1 inches),Carburettor. Amac PJ 30,Magneto,Air,3-speed,Chain   (final drive),,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),,100.0 kg (220.5 pounds),0.0450 HP/kg,,,,1345 mm (53.0 inches),8.50 litres (2.25 US gallons),Kick,,,Single spring-mounted,,,,,,,,,,,,,,,,
Harley-Davidson Model JD,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",,136.8 km/h (85.0 mph),86.9 x 101.6 mm (3.4 x 4.0 inches),Carburettor,,,,,,3-26 ,3-23 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,190.0 kg (418.9 pounds),,,,,,,,,,Single ,,,,,,,,,,,,,,,,
NSU 201R,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",4.5 HP (3.3  kW)) @ 3500 RPM,65.0 km/h (40.4 mph),56.5 x 80.0 mm (2.2 x 3.1 inches),Carburettor,,Air,3-speed,Belt   (final drive),,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,82.0 kg (180.8 pounds),0.0549 HP/kg,,,,1345 mm (53.0 inches),6.00 litres (1.59 US gallons),,,,Single ,,,,,,,,,,,,,,,,
Coventry Eagle Coventry Eagle,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",85.5 HP (62.4  kW)),,,Carburettor,Magneto Lucas,Air,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,175.0 kg (385.8 pounds),0.4886 HP/kg,,,,,,,,,Single ,,,,,,Open tubular,Girder fork,,6.5:1,,,,,,,
BMW R11 Series 1,1929,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,95.0 km/h (59.0 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. BMW single 24mm,Magneto,Air,3-speed,Shaft drive (cardan)   (final drive),Steel-double cradlel,3.25-26.00 ,3.25-26.00 ,Expanding brake (drum brake),,,,,940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Spring-mounted seat,,Sidevalves,,,210kg,Plate springe,Rigid,,5.5:1,Forced feed,Two plates-dry,162.0 kg (357.1 pounds),,,55 mm (2.2 inches),
