Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Transmission type,Clutch,Front suspension,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Cooling system,Gearbox,Fuel consumption,Greenhouse gases,Rear suspension,Front tire,Rear tire,Diameter,Wheels,Seat,"Weight incl. oil, gas, etc",Oil capacity,Dry weight,Power/weight ratio,Starter,Engine details,Frame type,Comments,Color options,Carrying capacity,Lubrication system,Valves per cylinder,Exhaust system,Modifications compared to previous model,Torque,Alternate seat height,0-100 km/h (0-62 mph),Electrical,Rake (fork angle),Instruments,Driveline,Light,Engine oil
BMW R27,1965,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7400 RPM,Carburettor. Bing ,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,Cartridge,Expanding brake (drum brake),Expanding brake (drum brake),,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),105 mm (4.1 inches),965 mm (38.0 inches),15.00 litres (3.96 US gallons),130.0 km/h (80.8 mph),8.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Overhead Valves (OHV),Battery,Air,4-speed,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin shock-Swingarm,3.27-18 ,3.27-18 ,160 mm (6.3 inches),,,162.0 kg (357.1 pounds),,,,Kick,,Steel twin looped,,,,Wet sump ,,,,,,,,,,,,
Velocette Thruxton,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),Wet multiplate,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),,,17.00 litres (4.49 US gallons),,9.1:1,86.0 x 86.0 mm (3.4 x 3.4 inches),Overhead Valves (OHV),Magneto,Air,4-speed,,,Twin shock,3-19 ,3.25-19 ,,,,,,170.0 kg (374.8 pounds),,Kick,,,,,,,,,,,,,,,,,,
Bultaco TSS,1965,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Chain   (final drive),Wet multiplate,Telescopic,,,,,,,,,,,13.5:1,,,,,,,,,2.75-18 ,2.75-18 ,,Spoked,Single Seat,,,,,,,Tubular,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,
Panther M 120,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),,Telescopic ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1499 mm (59.0 inches),,,6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),Overhead Valves (OHV),,Air,,,,Swingarm ,3-19 ,3-19 ,,Spoked,,,,209.1 kg (461.0 pounds),0.1291 HP/kg,,,,,,,,,,,,,,,,,,,
Agrati Capri 50 S,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.3 HP (3.1  kW)) @ 6500 RPM,Carburettor. DellÓrto,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,10.3:1,40.0 x 39.0 mm (1.6 x 1.5 inches),,,Air,,,,Swingarm ,,,,,,,,,,,Garelli,,,,,,,,,,,,,,,,,
Norton ES 400 Electra,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 6800 RPM,Carburettor. Amal,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,1016 mm (40.0 inches),2032 mm (80.0 inches),686 mm (27.0 inches),,,13.25 litres (3.50 US gallons),,7.9:1,66.0 x 56.0 mm (2.6 x 2.2 inches),,,Air,4-speed,,,Two schock,,,,Spoked,Dual ,158.8 kg (350.0 pounds),,,,Electric,,,,,,,2,,,,,,,,,,,
Harley-Davidson KR 750,1965,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,Carburettor. Single Tilloston,,,Telescopic,,,,,,,,,,177.0 km/h (110.0 mph),,,Sidevalves,Magneto Fairbanks-Morse,Air,4-speed,,,Rigid,,,,Spoked,Single spring-mounted,,,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,,,,,,,,,,,,,,
Kawasaki W1,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",52.3 HP (38.2  kW)) @ 6500 RPM,Carburettor. Mikuni,Chain   (final drive),,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,15.00 litres (3.96 US gallons),140.0 km/h (87.0 mph),8.7:1,74.0 x 72.6 mm (2.9 x 2.9 inches),Pushrods,,Air,4-speed,,,Swingarm,3.25-19 ,3.50-18 ,,,Dual ,,,181.0 kg (399.0 pounds),0.2890 HP/kg,,,,,,,,,,,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5900 RPM,,,,,,,,
BSA Bantam D7,1965,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,3-speed,,,,,,,Spoked,Dual ,,,,,,,,,Shades red or blue-chrome highlights,,,,,,,,92.00 seconds,WicoPacy,,,,,
Harley-Davidson FLH Electra Glide,1965,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)),Carburettor,Chain   (final drive),,Hydraulic telescopic forks ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1500 mm (59.1 inches),16.00 litres (4.23 US gallons),160.0 km/h (99.4 mph),8.0:1,87.3 x 101.0 mm (3.4 x 4.0 inches),Overhead Valves (OHV),,Air,4-speed,,,Swingarm. Dual coil-over-shocks. 3-step adjustable.,5.10-16 ,5.10-16 ,,Wire spoked. Whitewall tyres.,,,,362.9 kg (800.0 pounds),0.1516 HP/kg,Electric & kick,Panhead V-twin,Tubular cradle,Windscreen. ,,Hard saddlebags.,,2,,,,,,12 Volt battery.,,,,,
