Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Transmission type,Clutch,Front suspension,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Cooling system,Gearbox,Fuel consumption,Greenhouse gases,Rear suspension,Front tire,Rear tire,Diameter,Wheels,Seat,"Weight incl. oil, gas, etc",Oil capacity,Dry weight,Power/weight ratio,Starter,Engine details,Frame type,Comments,Color options,Carrying capacity,Lubrication system,Valves per cylinder,Exhaust system,Modifications compared to previous model,Torque,Alternate seat height,0-100 km/h (0-62 mph),Electrical,Rake (fork angle),Instruments,Driveline,Light,Engine oil
Matchless G3 350,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,Carburettor. Amal,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),,,Air,,,,Two schock,,,,Spoked,Dual ,,,,,Kick,,,,,,,,,,,,,,,,,,
Laverda Super Sport,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, four-stroke",,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,15.00 litres (3.96 US gallons),135.0 km/h (83.9 mph),9.1:1,52.0 x 47.0 mm (2.0 x 1.9 inches),,Magneto,Air,,,,,,,,Spoked,Dual ,,,,,Kick,,,,,,,,,,,,,,,,,,
Maico Maicoletta 247,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5100 RPM,Carburettor,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,109.0 km/h (67.7 mph),,67.0 x 70.0 mm (2.6 x 2.8 inches),,,,,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350 Spectre,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Overhead Valves (OHV),Magneto,Air,,,,Twin shock,,,,,Dual ,,,171.0 kg (377.0 pounds),,,,Single cradle,,,,,,,,,,,,,,,,
Yamaha YDS 3,1965,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,,Chain   (final drive),Wet multiplate,Telescopic-Hydraulic damping,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1318 mm (51.9 inches),11.36 litres (3.00 US gallons),132.0 km/h (82.0 mph),7.5:1,50.0 x 56.0 mm (2.0 x 2.2 inches),,,Air,,,,Swingarm-two shocks,3-18 ,3-18 ,,,Dual ,,,156.0 kg (343.9 pounds),0.1538 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Vespa Allstate Cruisaire,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,76.0 km/h (47.2 mph),,,,,,,,,,,,,Spoked,Dual ,,,,,Kick,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1965,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,Carburettor,Chain   (final drive),Single speed,,Expanding brake (drum brake),,,,,,,,,323.5 km/h (201.0 mph),,,Overhead Valves (OHV),Magneto,,,,,,,,,,Single seat,,,,,,,,,Multicolored white/blue/red,,,,,,,,,,,,,,
Triumph Bonneville T120C Street Scrambler,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,Carburettor. Amal monobloc carburettor,Chain   (final drive),"Multi-plate, wet","Telescopic fork, hydraulic damping.",Expanding brake (drum brake),Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",,,,127 mm (5.0 inches),1403 mm (55.2 inches),15.14 litres (4.00 US gallons),185.0 km/h (115.0 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,,,"Swing arm, 2 Girling dampers",3.25-19 ,4.00-18 ,178 mm (7.0 inches),"Wire spoked, grey and black",Dual seat,,,165.0 kg (363.8 pounds),0.2788 HP/kg,Kick,,"Brazed lug, full-cradle, single downtube",Street Scrambler with high exhaust pipes.,Blue/silver,,,,,,,,,"Lucas RM19 alternator, 6-volt electrical system",26.0°,,,,
Ducati Elite,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,Carburettor. Dellorto UB 24,Chain   (final drive),Wet multiplate,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,140.0 km/h (87.0 mph),8.5:1,,Overhead Cams (OHC),Mageneto flywhel,Air,,,,Swinging arm suspension ,2.75-18 ,3.25-18 ,,,Dual seatt,,,118.0 kg (260.1 pounds),0.1525 HP/kg,,,,,,,Forced wet sump,,,,,,,,,,,,
Lambretta TV 175 Series 3,1965,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 5300 RPM,Carburettor. DellÓrto,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,,,,,96.6 km/h (60.0 mph),8.0:1,62.0 x 58.0 mm (2.4 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,Chromed wheel rims,Dual ,,,109.8 kg (242.0 pounds),0.0797 HP/kg,Kick,,,,Ivory,,,,,,,,,,,,,,
BMW R50 2,1965,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,Carburettor. 24mm Bing,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Cartridge,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake),,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),140.0 km/h (87.0 mph),7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Overhead Valves (OHV),Magneto,Air,4-speed,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin shock-Swingarm,3.50-18 ,3.50-18 ,200 mm (7.9 inches),,Dual seat,195.0 kg (429.9 pounds),,,,Kick,,Steel doble cradle,,,,Wet sump ,,,,,,,,,,,,
Motobi Imperiale Sport,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,Carburettor. DellÓrto,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,15.00 litres (3.96 US gallons),,6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,,,,93.0 kg (205.0 pounds),0.0624 HP/kg,,,,,,,,,,,,,,,,,,,
Vespa 180 Supersport,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,181.1 ccm (11.05 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6250 RPM,Carburettor,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1230 mm (48.4 inches),9.00 litres (2.38 US gallons),106.5 km/h (66.2 mph),7.7:1,,Rotary valves,,Air,4-speed,,,,3.50-10 ,3.50-10 ,150 mm (5.9 inches),,,,,116.0 kg (255.7 pounds),0.0862 HP/kg,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1400 mm (55.1 inches),,,,,Overhead Valves (OHV),,,,,,Rigid-optional sprung hub,,,,,,,,158.8 kg (350.0 pounds),0.1701 HP/kg,,,,,,,,,,,,,,,,,,,
Zündapp 514-320 KS 100,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",8.1 HP (5.9  kW)) @ 6300 RPM,Carburettor. Bing,Chain   (final drive),,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,11.50 litres (3.04 US gallons),,9.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,,Air,,,,Swingarm ,2.75-16 ,2.75-16 ,,Spoked,Dual ,,,90.0 kg (198.4 pounds),0.0894 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Bultaco Metralla ,1965,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,,,,,,,,,,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki W1 SS,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,Carburettor. Two,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1415 mm (55.7 inches),15.00 litres (3.96 US gallons),180.0 km/h (111.8 mph),8.7:1,74.0 x 72.6 mm (2.9 x 2.9 inches),Pushrods,Battery,Air,4-speed,,,Swingarm ,3.25-19 ,3.50-18 ,,Spoked,Dual ,,,,,,,Duplex steel cradle,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1965,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6300 RPM,Carburettor. NA,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,185.1 km/h (115.0 mph),9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,,218.0 kg (480.6 pounds),,,,,45-degree V-twin,,,,,,,,,,,,,,,,,
Motobi Picnic 125 Scooter,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),,Leading link,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Air,3-speed,,,Twin Shock,,,,,,,,,,Kick,,Pressed Steel,,,,Mixture,,,,,,,,,,,,
Triumph Bonneville TT Special,1965,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,Carburettor. Amal monobloc carburettor,Chain   (final drive),"Multi-plate, wet","Telescopic fork, hydraulic damping.",Expanding brake (drum brake),Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",,,,127 mm (5.0 inches),1403 mm (55.2 inches),15.14 litres (4.00 US gallons),185.0 km/h (115.0 mph),11.2:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),AC energy transfer (ET) ,Air,4-speed,,,"Swing arm, 2 Girling dampers",3.50-19 ,4.00-18 ,178 mm (7.0 inches),Wire spoked,Dual seat,,,165.0 kg (363.8 pounds),0.3152 HP/kg,Kick,,"Brazed lug, full-cradle, single downtube",,Blue/silver ,,,,,,,,,"Lucas RM19 alternator, 6-volt electrical system",26.0°,,"Constant-mesh, right-foot shift",,
Honda Dream 305,1965,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, four-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,"Carburettor. Keihin, 22 mm",Chain   (final drive),Wet multi-plate,Leading link enclosed coil over-shoks,Expanding brake (drum brake),Expanding brake (drum brake),,950 mm (37.4 inches),2024 mm (79.7 inches),615 mm (24.2 inches),140 mm (5.5 inches),1295 mm (51.0 inches),14.00 litres (3.70 US gallons),138.4 km/h (86.0 mph),8.2:1,60.0 x 54.0 mm (2.4 x 2.1 inches),Overhead Cams (OHC),,Air,4-speed,,,Swingarm with coil-over shocks,3.25-16 ,"3,25-17 ",,Whitewall tires.,Dual seat,,,159.0 kg (350.5 pounds),0.1447 HP/kg,Electric & kick,,Pressed-steel,,"Black, white, blue, scarlet",,,,Polished stamped steel,,,,,,,,,Square headlight,
Moto Guzzi Regolarita 250,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1314 mm (51.7 inches),12.00 litres (3.17 US gallons),,,68.0 x 68.0 mm (2.7 x 2.7 inches),Overhead Valves (OHV),,Air,,,,,,,,,Single Seat,,,,,,,,,,,,,,,,,,,,,,,
MZ RE125,1965,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),,,,,,,,,,,,193.0 km/h (119.9 mph),,,,,,,,,,,,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,
Agrati Capri Super Brianza,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Air,,,,,,,,Spoked,Dual ,,,,,,,,,,,,,,,,,,,,,,,
AJS Model 14 250,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7250 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,12.50 litres (3.30 US gallons),,7.8:1,69.9 x 64.9 mm (2.8 x 2.6 inches),Overhead Valves (OHV),,Air,,,,Swingarm-two shocks,3.25-17 ,3.25-17 ,152 mm (6.0 inches),Spoked,Dual ,,,149.0 kg (328.5 pounds),0.1141 HP/kg,Kick,,Open tubular steel,,,,,,,,,,,,,,,,
Honda CB 160,1965,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",161.0 ccm (9.82 cubic inches),"Twin, four-stroke",16.5 HP (12.0  kW)) @ 8000 RPM,Carburettor,Chain   (final drive),,Telescopic fork,Single disc,Expanding brake (drum brake),"792 mm (31.2 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2045 mm (80.5 inches),757 mm (29.8 inches),,1324 mm (52.1 inches),12.00 litres (3.17 US gallons),106.2 km/h (66.0 mph),8.5:1,50.0 x 41.0 mm (2.0 x 1.6 inches),Overhead Valves (OHV),Digital CDI,,4-speed,1.69 litres/100 km (59.2 km/l or 139.18 mpg),39.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Monoshock,80/100-17 ,110/90-17 ,,,Dual seat,,,135.0 kg (297.6 pounds),0.1222 HP/kg,Kick,,Stamped steel backbone chassis,,"Red, blue",,,,,,13.9 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 6000 RPM,,,,,,Front:,,Honda GN4 10W-40
Pannonia T 5,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,110.0 km/h (68.4 mph),,68.0 x 68.0 mm (2.7 x 2.7 inches),,Magneto,Air,4-speed,,,,,,,,Dual ,,,122.0 kg (269.0 pounds),,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 4300 RPM,Carburettor. DellÓrto,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,17.00 litres (4.49 US gallons),,,88.0 x 82.0 mm (3.5 x 3.2 inches),,,Air,4-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Picnic 125,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dellorto,Chain   (final drive),,,,,,,,,,,,,,,,,Air,4-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 103 GS,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,Carburettor. Bing 22mm,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,13.00 litres (3.43 US gallons),95.0 km/h (59.0 mph),,48.0 x 54.0 mm (1.9 x 2.1 inches),,,Air,,,,Swingarm ,3.50-18 ,3.50-18 ,,Spoked,Dual ,,,99.0 kg (218.3 pounds),0.0828 HP/kg,Kick,,Single cradle,,,,,,,,,,,,,,,,
BMW R69S,1965,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,Carburettor. Bing,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Cartridge,Expanding brake (drum brake),Expanding brake (drum brake),,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),175.0 km/h (108.7 mph),9.5:1,,Overhead Valves (OHV),Magneto,Air,4-speed,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin shock-swingarm,3.50-18 ,3.50-18 ,200 mm (7.9 inches),Spoked,Dual seat,202.0 kg (445.3 pounds),,,,Kick,,Steel-doble cradle,,,360,Forced feed,,,,,,,,,,,,
Allstate SR 250,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5800 RPM,Carburettor,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,80.0 km/h (49.7 mph),,45.0 x 78.0 mm (1.8 x 3.1 inches),,,Air,,,,,,,,Spoked,Dual ,,,140.2 kg (309.0 pounds),0.1142 HP/kg,,,,,,,,,,,,,,,,,,,
