Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Oil capacity,Color options,Starter,Electrical,Top speed,Ignition,Seat,Engine details,Valves per cylinder,Diameter,Comments,Exhaust system,Carrying capacity,Modifications compared to previous model,Seat height,Overall height,Fuel consumption,Greenhouse gases
Ariel VH 500 Red Hunter,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,6.0:1,86.4 x 85.0 mm (3.4 x 3.3 inches),Carburettor. Amal monoblock,Overhead Valves (OHV),Dry sump with dual plunger pumps,Air,4-speed,Chain   (final drive),Dry,Burman,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. ,190.0 kg (418.9 pounds),170.1 kg (375.0 pounds),0.1263 HP/kg,2180 mm (85.8 inches),640 mm (25.2 inches),140 mm (5.5 inches),1422 mm (56.0 inches),13.25 litres (3.50 US gallons),3.40 litres (3.59 US quarts),Red,Kick,6V battery.,,,,,,,,,,,,,,
Moto Guzzi Alce,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 4000 RPM,4.7:1,82.0 x 88.0 mm (3.2 x 3.5 inches),Carburettor. DellÓrto ,,,Air,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,179.0 kg (394.6 pounds),,0.0737 HP/kg,,,,1455 mm (57.3 inches),13.50 litres (3.57 US gallons),,,Kick,,90.0 km/h (55.9 mph),,,,,,,,,,,,,
Rikuo RT 2,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,Sidevalves,,Air,4-speed,,Four speed ,,,Telescopic,,,,,,,230.0 kg (507.1 pounds),,0.0957 HP/kg,,,,,,,,,,,Generator and battery,Spring-mounted seat,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,101.0 km/h (62.8 mph),,Single spring-mounted,,,,,,,,,,,
Vespa MP5 Paperino,1943,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4300 RPM,6.5:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,Air,,Chain   (final drive),,,,,,4-10 ,4-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,60.0 km/h (37.3 mph),,Single ,,,,,,,,,,,
Ariel 4G Square Four 1000,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,Tubular single loop,Telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Red and silver rims.,,211.0 kg (465.2 pounds),,2083 mm (82.0 inches),,,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),,Red/silver,Kick,,140.0 km/h (87.0 mph),,Solo seat with springs,Double twin cylinder arranged as a square,2,178 mm (7.0 inches),Also called ´Squariel´. Designed by Edward Turner.,,,,,,,
Ariel Ariel W-NG 350,1943,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5800 RPM,,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor,Overhead Valves (OHV),Dry sump,Air,4-speed,Chain   (final drive),,Burman gear-box,,Grider fork,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,169.0 kg (372.6 pounds),,0.1008 HP/kg,2130 mm (83.9 inches),,,,12.00 litres (3.17 US gallons),2.30 litres (2.43 US quarts),"Military green, Red",Kick,6V battery.,,Coil,Spring loaded solo seat,,2,,Sidecar option.,1-into-1 pipes,Rear rack,,,,,
Simplex Automatic,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,Overhead Valves (OHV),,,,Belt   (final drive),,,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,61.2 kg (135.0 pounds),,0.0653 HP/kg,,,,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,Magneto and dual spark plugs,Solo seat with springs,,,,,,,This year the transmission is direct drive and no clutch.,,,,
Velocette Mac ,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),Wet multiplate,,Single cradle,Hydralic telescopic forks,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,161.0 kg (354.9 pounds),,0.1118 HP/kg,2130 mm (83.9 inches),700 mm (27.6 inches),,1276 mm (50.2 inches),11.00 litres (2.91 US gallons),,,Kick,,120.7 km/h (75.0 mph),,Dual seat,,,152 mm (6.0 inches),,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",990 mm (39.0 inches),,
Velocette KTT,1943,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,,Carburettor,Overhead Cams (OHC),,Air,,,Four speed ,,,Webb girder forks,Swingarm,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,15.14 litres (4.00 US gallons),0.90 litres (0.95 US quarts),,,,185.1 km/h (115.0 mph),,Dual seat,,,70 mm (2.8 inches),,,,,,,,
Nimbus 2510,1943,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,,Overhead Cams (OHC),,,3-speed,,,,,Telescopic,,,,,,,,,,,,,,,,,,,,,Two single seats,,,,,,,,,,,
