Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
KTM 640 LC4 Adventure,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",54.8 HP (40.0  kW)) @ 7000 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),5-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,158.0 kg (348.3 pounds),0.3468 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",,,28.00 litres (7.40 US gallons),11.5:1,4,Carburettor,,Liquid,270 mm (10.6 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1510 mm (59.4 inches),3.50 litres (0.92 US gallons),315 mm (12.4 inches),,,WP-USD 43 MA,WP - Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 620 Sport Full-fairing (reduced effect),2003,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",32.6 HP (23.8  kW)) @ 7250 RPM,42.0 Nm (4.3 kgf-m or 31.0 ft.lbs) @ 3500 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),5-speed,Chain   (final drive),120/70-ZR17 ,160/60-ZR17 ,Double disc,Single disc,,,"815 mm (32.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.5:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),136 mm (5.4 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1405 mm (55.3 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1300 S,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 5000 RPM,123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 3000 RPM,89.0 x 104.0 mm (3.5 x 4.1 inches),5-speed,Shaft drive (cardan)   (final drive),140/80-18 ,170/80-16 ,Single disc. 2-piston calipers,Single disc,301.0 kg (663.6 pounds),0.2458 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",2575 mm (101.4 inches),960 mm (37.8 inches),18.00 litres (4.76 US gallons),9.2:1,3,Carburettor. 38mm CV,Single Overhead Cams (SOHC),Liquid,130 mm (5.1 inches),94 mm (3.7 inches),295 mm (11.6 inches),,1669 mm (65.7 inches),,,"Blue, red, black",,"Telescopic fork, 41mm",Ual shocks with five-position spring preload adjustability,,ECU,Dry sump,,Tubular steel,,Electric,,,,,,,,,,,,,,,,,,,,52-degree V-twin,,,,,,,Staggered dual exhausts,,,,,,
Suzuki GSX 600 F Katana,2003,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 10500 RPM,55.2 Nm (5.6 kgf-m or 40.7 ft.lbs) @ 9500 RPM,62.6 x 48.7 mm (2.5 x 1.9 inches),6-speed,,120/70-ZR17 ,150/70-ZR17 ,(Unspecified),(Unspecified),200.0 kg (440.9 pounds),0.4000 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,1470 mm (57.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Classic Outfit,2003,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)),27.1 Nm (2.8 kgf-m or 20.0 ft.lbs),,,,,,,,,,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),1.25 litres (0.33 US gallons),,,,,,Includes sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 125 Vanvan,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,117.0 kg (257.9 pounds),,"770 mm (30.3 inches) If adjustable, lowest setting.",,,7.50 litres (1.98 US gallons),,,,,,,,,,1385 mm (54.5 inches),,,"Green, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praga SM 610,2003,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.6 ccm (37.20 cubic inches),"Single cylinder, four-stroke",,55.3 Nm (5.6 kgf-m or 40.8 ft.lbs) @ 5600 RPM,95.0 x 86.0 mm (3.7 x 3.4 inches),,,120/70-17 ,160/60-17 ,Single disc,Single disc,118.0 kg (260.1 pounds),,"940 mm (37.0 inches) If adjustable, lowest setting.",,,8.30 litres (2.19 US gallons),,4,,Overhead Cams (OHC),,290 mm (11.4 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1495 mm (58.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 DX Virago,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.1 HP (32.2  kW)) @ 7500 RPM,46.1 Nm (4.7 kgf-m or 34.0 ft.lbs) @ 6000 RPM,,,,,,,,182.0 kg (401.2 pounds),0.2423 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,,13.50 litres (3.57 US gallons),,,,,,,,,,1520 mm (59.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Planet 125,2003,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,125.0 kg (275.6 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",,,12.50 litres (3.30 US gallons),,,,,,,,,,1395 mm (54.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 SX,2003,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),5-speed,Chain   (final drive),80/100-21 ,100/90-19 ,Single disc,Single disc,93.6 kg (206.4 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,7.50 litres (1.98 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1461 mm (57.5 inches),,390 mm (15.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
