Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Honda CB 500,2003,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",57.0 HP (41.6  kW)) @ 9500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 8000 RPM,73.0 x 59.6 mm (2.9 x 2.3 inches),6-speed,Chain   (final drive),110/80-17 ,130/80-17 ,Single disc,Single disc,173.0 kg (381.4 pounds),0.3295 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",2090 mm (82.3 inches),720 mm (28.3 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 620 Standard i.e.,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 9500 RPM,53.3 Nm (5.4 kgf-m or 39.3 ft.lbs) @ 6750 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),5-speed,Chain   (final drive),120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,177.0 kg (390.2 pounds),0.3390 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,15.00 litres (3.96 US gallons),10.5:1,2,Injection,Desmodromic valve control,Air,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),795 mm (31.3 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 1000,2003,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7200 RPM,90.8 x 66.0 mm (3.6 x 2.6 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,185.0 kg (407.9 pounds),0.6486 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),790 mm (31.1 inches),17.00 litres (4.49 US gallons),11.3:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,,,,1435 mm (56.5 inches),,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTRI Road Glide,2003,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 3500 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,332.0 kg (731.9 pounds),,"683 mm (26.9 inches) If adjustable, lowest setting.",2380 mm (93.7 inches),,18.90 litres (4.99 US gallons),8.9:1,,Injection,,Air,,,,,1613 mm (63.5 inches),,130 mm (5.1 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,2003,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 10000 RPM,67.0 x 42.5 mm (2.6 x 1.7 inches),6-speed,Chain   (final drive),120/70-17 ,80/55-17 ,Double disc,Single disc,170.0 kg (374.8 pounds),0.6471 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2065 mm (81.3 inches),685 mm (27.0 inches),18.00 litres (4.76 US gallons),,,Carburettor,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,2003,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",42.4 HP (30.9  kW)) @ 6250 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5250 RPM,,,,,,,,156.0 kg (343.9 pounds),0.2718 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",,,15.00 litres (3.96 US gallons),,,,,,,,,,1440 mm (56.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siamoto Enduro 125,2003,Enduro / offroad," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8000 RPM,,,,,,,,,120.0 kg (264.6 pounds),0.1083 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,10.00 litres (2.64 US gallons),,,,,,,,,,1460 mm (57.5 inches),,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Comet 250,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,,,,,,,,155.0 kg (341.7 pounds),,,,,17.00 litres (4.49 US gallons),,,,,,,,,,1445 mm (56.9 inches),,,"Red, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 SX Racing,2003,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.4 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),4-speed,Chain   (final drive),80/100-21 ,110/90-19 ,Single disc,Single disc,104.1 kg (229.5 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,7.00 litres (1.85 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1481 mm (58.3 inches),,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 11800 RPM,78.6 Nm (8.0 kgf-m or 58.0 ft.lbs) @ 9300 RPM,,,,,,,,203.0 kg (447.5 pounds),0.5961 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1435 mm (56.5 inches),,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss ZZ4 350 (385 hp version),2003,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",5735.0 ccm (349.95 cubic inches),"V8, four-stroke",385.0 HP (281.0  kW)),,,,,,,(Unspecified),(Unspecified),"499.0 kg (1,100.1 pounds)",0.7715 HP/kg,"686 mm (27.0 inches) If adjustable, lowest setting.",,,,,,Carburettor,,,,,,,2032 mm (80.0 inches),,178 mm (7.0 inches),,33.0°,Inverted forks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 S 750 EVO 3,2003,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 12600 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 10500 RPM,,,,,,,,191.0 kg (421.1 pounds),0.7068 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1398 mm (55.0 inches),4.00 litres (1.06 US gallons),,"Red/Silver, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng Dax 50,2003,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,3-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),74.0 kg (163.1 pounds),,"720 mm (28.3 inches) If adjustable, lowest setting.",,,2.40 litres (0.63 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangda ZS 125-II,2003,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,115.0 kg (253.5 pounds),,,,,,,,,,,,,,,,,,"Red, Gold, Yellow/Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 900,2003,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",897.0 ccm (54.73 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 7500 RPM,88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 6000 RPM,,,,,,,,190.0 kg (418.9 pounds),0.4474 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1485 mm (58.5 inches),,,"Blue, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania Furia Cross,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,6-speed,Chain   (final drive),,,Single disc,Single disc,85.0 kg (187.4 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",,,6.00 litres (1.59 US gallons),,,,,Liquid,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC Racing,2003,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",,,75.0 x 56.5 mm (3.0 x 2.2 inches),6-speed,Chain   (final drive),90/90-21 ,120/90-18 ,Single disc,Single disc,116.7 kg (257.3 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,8.50 litres (2.25 US gallons),12.0:1,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1481 mm (58.3 inches),,385 mm (15.2 inches),,,WP-USD 48 MA,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300,2003,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 8000 RPM,104.8 Nm (10.7 kgf-m or 77.3 ft.lbs) @ 6500 RPM,,,,,,,,224.0 kg (493.8 pounds),0.4732 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1510 mm (59.4 inches),,,"Yellow, Blue, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng ST 125 SM,2003,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 7500 RPM,,,5-speed,Chain   (final drive),100/80-17 ,120/80-17 ,Single disc,Single disc,123.0 kg (271.2 pounds),0.0935 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R6,2003,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 13000 RPM,68.5 Nm (7.0 kgf-m or 50.5 ft.lbs) @ 12000 RPM,,,,,,,,162.0 kg (357.1 pounds),0.7469 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1380 mm (54.3 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 570 R,2003,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.0 ccm (35.15 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,117.5 kg (259.0 pounds),,"845 mm (33.3 inches) If adjustable, lowest setting.",,,10.00 litres (2.64 US gallons),,,,,,,,,,1485 mm (58.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siamoto Supermotard 125,2003,Super motard," 2.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8000 RPM,,,,,,,,,120.0 kg (264.6 pounds),0.1083 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,10.00 litres (2.64 US gallons),,,,,,,,,,1460 mm (57.5 inches),,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BT 1100 Bulldog,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5500 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 4500 RPM,,,,,,,,229.0 kg (504.9 pounds),0.2795 HP/kg,"812 mm (32.0 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,Single Overhead Cams (SOHC),,,,,,1530 mm (60.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 800 Sport,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",802.0 ccm (48.94 cubic inches),"V2, four-stroke",74.5 HP (54.4  kW)) @ 8250 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 6250 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,170/60-ZR17 ,Double disc,Single disc,182.3 kg (401.9 pounds),0.4087 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.3:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),136 mm (5.4 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1405 mm (55.3 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 600 S Hornet-S,2003,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 12000 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 9500 RPM,65.0 x 45.2 mm (2.6 x 1.8 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,178.0 kg (392.4 pounds),0.5337 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),745 mm (29.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 2800 RPM,94.0 x 98.0 mm (3.7 x 3.9 inches),5-speed,Shaft drive (cardan)   (final drive),110/90-19 ,170/80-15 ,Single disc,Single disc,243.0 kg (535.7 pounds),0.2469 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",2330 mm (91.7 inches),885 mm (34.8 inches),13.00 litres (3.43 US gallons),9.3:1,3,Carburettor,Single Overhead Cams (SOHC),,,,,,1620 mm (63.8 inches),3.00 litres (0.79 US gallons),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 620 Sport Half-fairing,2003,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8750 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 6500 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),5-speed,Chain   (final drive),120/70-ZR17 ,160/60-ZR17 ,Double disc,Single disc,181.6 kg (400.4 pounds),0.3359 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.5:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),136 mm (5.4 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1405 mm (55.3 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Classic Outfit,2003,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)),35.3 Nm (3.6 kgf-m or 26.0 ft.lbs),,,,,,,,,,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),1.25 litres (0.33 US gallons),,,,,,Includes sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 FS,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 10500 RPM,67.0 x 42.5 mm (2.6 x 1.7 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,169.0 kg (372.6 pounds),0.6509 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),685 mm (27.0 inches),18.00 litres (4.76 US gallons),,,,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster 125,2003,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",13.4 HP (9.8  kW)) @ 9500 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 9000 RPM,,,,,,,,133.0 kg (293.2 pounds),0.1008 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1495 mm (58.9 inches),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Clubman S,2003,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)),35.3 Nm (3.6 kgf-m or 26.0 ft.lbs),,,,,,,,161.0 kg (354.9 pounds),0.1491 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),1.25 litres (0.33 US gallons),,Alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1300 Super Four,2003,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1284.0 ccm (78.35 cubic inches),"In-line four, four-stroke",114.0 HP (83.2  kW)) @ 7500 RPM,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6000 RPM,,5-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,224.0 kg (493.8 pounds),0.5089 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2220 mm (87.4 inches),770 mm (30.3 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 1500 Intruder LC,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 4800 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 2300 RPM,96.0 x 101.0 mm (3.8 x 4.0 inches),5-speed,Shaft drive (cardan)   (final drive),150/80-16 ,180/70-15 ,Double disc,Single disc,299.0 kg (659.2 pounds),0.2241 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",2525 mm (99.4 inches),965 mm (38.0 inches),15.00 litres (3.96 US gallons),8.5:1,3,Carburettor,Single Overhead Cams (SOHC),,,,,,1700 mm (66.9 inches),,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 644 Dual Sport Trail,2003,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",53.0 HP (38.7  kW)) @ 7000 RPM,52.5 Nm (5.4 kgf-m or 38.7 ft.lbs) @ 5800 RPM,,,,,,,,137.0 kg (302.0 pounds),0.3869 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",,,13.00 litres (3.43 US gallons),,,,Overhead Cams (OHC),,,,,,1525 mm (60.0 inches),,,"Silver, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDWG Dyna Wide Glide,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),5-speed,Belt   (final drive),MH90-21 ,160/70-B17 ,Single disc. Four-piston calipers. ,Single disc. Four-piston calipers. ,293.0 kg (646.0 pounds),0.2287 HP/kg,"738 mm (29.1 inches) If adjustable, lowest setting.",2381 mm (93.7 inches),,19.70 litres (5.20 US gallons),8.8:1,2,Carburettor,Overhead Valves (OHV),Air,,,292 mm (11.5 inches),,1665 mm (65.6 inches),,117 mm (4.6 inches),"2-tone sterling silver  and  vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl, red flame, blue flame",,"49 mm w/polished aluminum fork triple clamp and dual-rate springs, 127mm wheel travel","Coil-over shock , 104mm wheel travel",,"Single-fire, non-wasted, map-controlled spark ignition","Dry sump. Internally mounted, crank driven gerotor pressure and dual scavenge pump with spin on pressurized oil filter", Wet 9-plate,"Tubular frame, rectangular section backbone. Stamped, cast and forged junctions, forged fender supports.",310.0 kg (683.4 pounds),Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 SPR,2003,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",143.0 HP (104.4  kW)) @ 13000 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 11000 RPM,,,,,,,,188.0 kg (414.5 pounds),0.7606 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1398 mm (55.0 inches),4.00 litres (1.06 US gallons),,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Gear Up Outfit,2003,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"Two cylinder boxer, four-stroke",45.0 HP (32.8  kW)) @ 5400 RPM,67.8 Nm (6.9 kgf-m or 50.0 ft.lbs),,,,,,,,335.0 kg (738.5 pounds),0.1343 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1510 mm (59.4 inches),,,,,,,Includes sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda Supermotard,2003,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",8.4 HP (6.1  kW)) @ 9250 RPM,,,,,,,,,,,,,,7.00 litres (1.85 US gallons),,,,,,,,,,1355 mm (53.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 200 EXC,2003,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",,,64.0 x 60.0 mm (2.5 x 2.4 inches),6-speed,Chain   (final drive),90/90-21 ,120/90-18 ,,,102.4 kg (225.8 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),,,1461 mm (57.5 inches),,390 mm (15.4 inches),,,WP-USD 48 MA,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
