Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Kymco Spike,2007,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",120.4 ccm (7.35 cubic inches),"Single cylinder, four-stroke",9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6500 RPM,Carburettor,Air,4-speed,2.50-17 ,2.75-17 ,Single disc,Expanding brake (drum brake),120.0 kg (264.6 pounds),1140 mm (44.9 inches),2005 mm (78.9 inches),730 mm (28.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto 250 Freedom Scooter,2007,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,Carburettor,Liquid,Automatic,,,Single disc. Hand control,Expanding brake (drum brake). Foot control,162.0 kg (357.1 pounds),,2265 mm (89.2 inches),,14.3 HP (10.5  kW)) @ 7000 RPM,95.0 km/h (59.0 mph),10.0:1,2,Overhead Cams (OHC),Belt   (final drive),Steel,0.0885 HP/kg,"686 mm (27.0 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1625 mm (64.0 inches),12.11 litres (3.20 US gallons),Electric,Also called CF250T-E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL1200L Sportster Low,2007,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.6 ccm (73.20 cubic inches),"V2, four-stroke",107.3 Nm (10.9 kgf-m or 79.1 ft.lbs) @ 4000 RPM,Injection,Air,5-speed,100/90-H19 ,150/80-B16 ,Single disc. Dual-piston,Single disc. Single-piston,252.7 kg (557.0 pounds),,2263 mm (89.1 inches),,,,9.7:1,,,Belt   (final drive),,,"711 mm (28.0 inches) If adjustable, lowest setting.",112 mm (4.4 inches),1516 mm (59.7 inches),17.03 litres (4.50 US gallons),Electric,Evolution engine.,88.9 x 96.8 mm (3.5 x 3.8 inches),Multi-plate with diaphragm spring in oil bath,4.11 litres/100 km (24.3 km/l or 57.23 mpg),95.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",29.6°,263.5 kg (581.0 pounds),"Vivid black, black cherry pearl, deep cobalt pearl, yellow pearl, white gold pearl (new), two-tone suede blue pearl and vivid black (new), two-tone olive pearl and vivid black (new), two-tone white gold pearl and vivid black (new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO PMX 90,2007,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",82.0 ccm (5.00 cubic inches),"Single cylinder, two-stroke",7.9 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 6500 RPM,,Air,Automatic,120/90-10 ,130/90-10 ,Single disc. Hydraulic Disk,Expanding brake (drum brake),,,,,7.2 HP (5.3  kW)) @ 7000 RPM,,6.5:1,,,,Tubular frame,,,,,5.10 litres (1.35 US gallons),,,50.0 x 42.0 mm (2.0 x 1.7 inches),"Dry style, centrifugal type",,,,,,"Blue, Black, Silver",CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 125,2007,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Mikuni BS28,Air,5-speed,90/90-17 ,130/90-15 ,Single disc,Expanding brake (drum brake),132.0 kg (291.0 pounds),,2149 mm (84.6 inches),780 mm (30.7 inches),,,9.6:1,,,Chain   (final drive),"Double cradle, high-tensile steel",,"681 mm (26.8 inches) If adjustable, lowest setting.",,1471 mm (57.9 inches),12.86 litres (3.40 US gallons),,,55.0 x 52.4 mm (2.2 x 2.1 inches),,,,,34.0°,,Galaxy Silver,Electric CDI,119 mm (4.7 inches),33mm hydraulic telescopic fork / 5.5 in.,Twin shocks with five-way adjustable preload / 3.1 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 125,2007,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Mikuni VM20SS,Air,5-speed,70/70-17 ,90/90-14 ,Single disc,Single disc,79.0 kg (174.2 pounds),,1835 mm (72.2 inches),,,,9.5:1,,Single Overhead Cams (SOHC),Chain   (final drive),,,"775 mm (30.5 inches) If adjustable, lowest setting.",260 mm (10.2 inches),,6.60 litres (1.74 US gallons),,,57.0 x 48.8 mm (2.2 x 1.9 inches),,,,,,,"Yellow, Black",,,"Telescopic, oil-damped","Link-type, oil-damped",Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R1200S,2007,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 6800 RPM,Injection,Oil & air,6-speed,120/70-ZR17 ,180/55-ZR17 ,Single disc,Single disc,190.0 kg (418.9 pounds),,2151 mm (84.7 inches),,122.0 HP (89.1  kW)) @ 8250 RPM,,,,,Shaft drive (cardan)   (final drive),,0.6421 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,1487 mm (58.5 inches),17.00 litres (4.49 US gallons),Electric,,101.0 x 73.0 mm (4.0 x 2.9 inches),"Hydraulic, dry, single-disk ",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,Telelever ,EVO Paralever ,,265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM DTF-150,2007,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,70/100-19 ,90/100-16 ,Single disc,Single disc,77.6 kg (171.0 pounds),,1880 mm (74.0 inches),864 mm (34.0 inches),,,9.2:1,,,Chain   (final drive),,,"787 mm (31.0 inches) If adjustable, lowest setting.",,1168 mm (46.0 inches),5.60 litres (1.48 US gallons),Electric & kick,UM is an abbreviation of United Motors.,62.0 x 49.5 mm (2.4 x 1.9 inches),Manual clutch,,,,,,"Blue, Red",,,Telescopic fork,Swing arm with single shock,,190 mm (7.5 inches),1.09 litres (0.29 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE510,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  41mm Keihin FCR,Liquid,6-speed,,,Single disc,Single disc,113.8 kg (250.8 pounds),,,,,,,4,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,Electric & kick,Street legal. ,97.0 x 67.8 mm (3.8 x 2.7 inches),Wet multiplate,,,,,,Red/white,,,Marzoochi,Sachs,,,,The Brembo rear brake pump was substituted with a brand new one that includes an integrated tank. The automatic decompression system was revised to better the electric starter as well as the kick starter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TTR250,2007,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,6-speed,3.00-21 ,4.6-18 ,Single disc. Hydraulic,Single disc. Hydraulic,120.0 kg (264.6 pounds),1255 mm (49.4 inches),2195 mm (86.4 inches),835 mm (32.9 inches),,,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,Semi double cradle,,"910 mm (35.8 inches) If adjustable, lowest setting.",300 mm (11.8 inches),1410 mm (55.5 inches),9.50 litres (2.51 US gallons),Electric & kick,,73.0 x 59.6 mm (2.9 x 2.3 inches),,,,,,,,CDI,,Telescopic fork,"Swingarm (link, suspension)",Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinlun JL 125-C,2007,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,Carburettor,Air,5-speed,2.75-18 ,3.25-18 ,Single disc,Expanding brake (drum brake),119.0 kg (262.4 pounds),1120 mm (44.1 inches),2010 mm (79.1 inches),735 mm (28.9 inches),,85.0 km/h (52.8 mph),9.0:1,,,Chain   (final drive),,,,140 mm (5.5 inches),1300 mm (51.2 inches),14.00 litres (3.70 US gallons),Electric & kick,,56.5 x 49.5 mm (2.2 x 1.9 inches),"Manual Wet, Multi-Disc",2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,"Blue, Red",C.D.I,,,,Compress  and  Splash Combined Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 560 SMR,2007,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",565.5 ccm (34.51 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin MX FCR 41,Liquid,6-speed,120/75-17 ,165/55-17 ,"Single disc. Magura 4-piston, radially fixed caliper, brake disc Ø 310 mm (12.20´)","Single disc. Brembo single-piston floating caliper, brake disc Ø 220 mm",109.5 kg (241.4 pounds),,,,,,11.0:1,,Overhead Cams (OHC),Chain   (final drive),"Double ground, chrommoly-steel frame, powder-coated",,"855 mm (33.7 inches) If adjustable, lowest setting.",310 mm (12.2 inches),1481 mm (58.3 inches),7.00 litres (1.85 US gallons),Kick,,100.0 x 72.0 mm (3.9 x 2.8 inches),"Wet multi-disc clutch, operated hydraulically",,,,,,,Kokusan digital 4K-3A,,WP USD Ø 48 mm (1.89´),WP monoshock PDS,Pressure lubrication with 2 eaton pumps,220 mm (8.7 inches),,,285 mm (11.2 inches),310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Kingpin Tour,2007,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1634.0 ccm (99.71 cubic inches),"V2, four-stroke",,Injection.  Electronic Fuel Injection with 44mm throttle bodies,Air,6-speed,130/70-18 ,180/55-B18 ,Single disc. 4-piston caliper,Single disc. 2-piston caliper,297.0 kg (654.8 pounds),,2519 mm (99.2 inches),,,,9.8:1,4,Single Overhead Cams (SOHC),Belt   (final drive),,,"673 mm (26.5 inches) If adjustable, lowest setting.",148 mm (5.8 inches),1666 mm (65.6 inches),17.03 litres (4.50 US gallons),,,101.0 x 102.0 mm (4.0 x 4.0 inches),Wet multiplate,,,Staggered slash-cut dual exhaust with common volume,,,"Black, Turbo Silver with Firemist Clear, Multicolored",,,Inverted cartridge telescopic fork,"Single, mono-tube gas, forged and cast aluminum with rising rate linkage swing-arm,  preload adjustable spring",,300 mm (11.8 inches),,,130 mm (5.1 inches),100 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC250,2007,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.5 ccm (15.22 cubic inches),"Single cylinder, four-stroke",,Carburettor.  37mm Keihin FCR,Liquid,5-speed,,,Single disc,Single disc,95.3 kg (210.2 pounds),,,,,,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,,,,76.0 x 55.0 mm (3.0 x 2.2 inches),Wet / Multiplate,,,,,,,,,Marzoochi,Ohlins,,240 mm (9.4 inches),,"TC 250´s suspensions have been modified: new calibrations for the Marzocchi and Ohlins shock absorber to help smoothness and rideability of the bike. For the brake part, the rear brake mounts a new pump with tank integrated. The gear has been empowered and the clutch features a new Ergal basket. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Phantom 50 GP,2007,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,Carburettor,Liquid,,120/70-12 ,130/70-12 ,Single disc,Single disc,91.0 kg (200.6 pounds),,1800 mm (70.9 inches),680 mm (26.8 inches),,,,,,Belt   (final drive),,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1135 mm (44.7 inches),8.00 litres (2.11 US gallons),Electric & kick,Also available with air cooling.,39.7 x 40.0 mm (1.6 x 1.6 inches),,,,,,,Blue/yellow,,,,,Lubrication by automatic mixing pump with separate oil tank,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Kingpin,2007,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,Injection.  Electronic Fuel Injection with 44mm throttle bodies,Air,6-speed,130/70-18 ,180/55-18 ,Single disc,Single disc,297.0 kg (654.8 pounds),,2519 mm (99.2 inches),,,,9.8:1,4,Single Overhead Cams (SOHC),Belt   (final drive),,,"673 mm (26.5 inches) If adjustable, lowest setting.",148 mm (5.8 inches),1666 mm (65.6 inches),17.03 litres (4.50 US gallons),,,101.0 x 102.0 mm (4.0 x 4.0 inches),,,,Staggered slash-cut dual exhaust with common volume,32.8°,,"Black, Turbo Silver with Firemist Clear, Multicolored",,,"Inverted cartridge telescopic fork, 43mm fork tube.","Single, mono-tube gas, forged and cast aluminum with rising rate linkage swing-arm,  preload adjustable spring",,300 mm (11.8 inches),,,130 mm (5.1 inches),100 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Blata Blatino Scooter Small kit plus Carrier,2007,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,27.0 ccm (1.65 cubic inches),"Single cylinder, two-stroke",1.9 Nm (0.2 kgf-m or 1.4 ft.lbs),Carburettor. Walbro with membrane pump,Air,Automatic,2.8-4 ,2.8-4 ,"Single disc. disc brake - disc diameter 119 mm ( 4,7´ )","Single disc. disc brake - disc diameter 119 mm ( 4,7´ )",15.5 kg (34.2 pounds),940 mm (37.0 inches),875 mm (34.4 inches),418 mm (16.5 inches),1.9 HP (1.4  kW)),,,,,,High Tensile steel tubing (welded),0.1206 HP/kg,,,,1.30 litres (0.34 US gallons),,,,Centrifugal automatic,,,,,18.5 kg (40.8 pounds),,Contact-less,,,,,119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Joyride 150,2007,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,,,,,Single disc,Single disc,144.0 kg (317.5 pounds),1155 mm (45.5 inches),2010 mm (79.1 inches),760 mm (29.9 inches),,,,,,,,,,,1440 mm (56.7 inches),8.50 litres (2.25 US gallons),Electric,,,,,,,,,"Black, Blue, Silver, White",,,,,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Runner VX125,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Injection,,Automatic,120/70-12 ,130/70-12 ,Double disc,Single disc,119.0 kg (262.4 pounds),,1900 mm (74.8 inches),790 mm (31.1 inches),20.1 HP (14.7  kW)) @ 9700 RPM,108.0 km/h (67.1 mph),10.5:1,4,Single Overhead Cams (SOHC),Belt   (final drive),,0.1690 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1340 mm (52.8 inches),12.00 litres (3.17 US gallons),Electric & kick,,57.0 x 48.6 mm (2.2 x 1.9 inches),,,,,,,,,,Telescopic fork with Ø 35 mm,"Two dual effect hydraulic dampers, helicoidal spring adjustable to four positions",Liquid,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Ulysses XB12X,2007,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1202.9 ccm (73.40 cubic inches),"V2, four-stroke",113.9 Nm (11.6 kgf-m or 84.0 ft.lbs) @ 6000 RPM,Injection,Oil & air,5-speed,120/70-ZR17 ,180/55-ZR17 ,Single disc,Single disc,192.8 kg (425.0 pounds),,2159 mm (85.0 inches),892 mm (35.1 inches),103.0 HP (75.2  kW)) @ 6800 RPM,,10.0:1,2,Overhead Valves (OHV),Belt   (final drive),"Aluminum frame with Uniplanar™ powertrain vibration isolation system, fuel in frame",0.5343 HP/kg,,171 mm (6.8 inches),1374 mm (54.1 inches),16.65 litres (4.40 US gallons),Electric,,,,,,"Tuned, tri-pass resonance chamber with InterActive valve and mass-centralized mounting",23.5°,,Barricade Orange w/Magnesium Tone wheels,,122 mm (4.8 inches),"43 mm Showa inverted forks with adjustable compression damping, rebound damping and spring preload","Showa coil-over monoshock with remote, under-seat reservoir and adjustable compression damping, rebound damping and spring preload",Dry-sump,,,,165 mm (6.5 inches),162 mm (6.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Matrix 125,2007,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",7.8 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 6500 RPM,,,Automatic,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),105.0 kg (231.5 pounds),1180 mm (46.5 inches),1830 mm (72.0 inches),700 mm (27.6 inches),8.3 HP (6.1  kW)) @ 7500 RPM,86.0 km/h (53.4 mph),9.5:1,,,,,0.0791 HP/kg,,90 mm (3.5 inches),1270 mm (50.0 inches),5.20 litres (1.37 US gallons),Electric & kick,,52.4 x 57.8 mm (2.1 x 2.3 inches),"Dry, centrifugal CVT system",2.60 litres/100 km (38.5 km/l or 90.47 mpg),60.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,"Red, Black",CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL1000V ABS Varadero,2007,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6000 RPM,Injection. PGM-FI electronic fuel injection ,Liquid,6-speed,100/80-R19 ,150/70-R17 ,Double disc,Single disc,241.5 kg (532.4 pounds),,2295 mm (90.4 inches),,93.0 HP (67.9  kW)) @ 8000 RPM,,9.8:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,0.3851 HP/kg,"838 mm (33.0 inches) If adjustable, lowest setting.",181 mm (7.1 inches),1560 mm (61.4 inches),25.00 litres (6.61 US gallons),Electric,,98.0 x 66.0 mm (3.9 x 2.6 inches),,,,,,,,Computer-controlled digital transistorised with electronic advance and HISS ,,"43mm telescopic fork, 155mm axle travel ","Pro-link with spring preload adjustable damper, 145mm axle travel ",,256 mm (10.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Stratoliner,2007,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,Injection.  Twin-bore with throttle position sensor,Air,5-speed,130/70-18 ,190/60-17 ,Double disc,Single disc,343.8 kg (758.0 pounds),1514 mm (59.6 inches),2581 mm (101.6 inches),1100 mm (43.3 inches),,,,,,Belt   (final drive),,,"734 mm (28.9 inches) If adjustable, lowest setting.",155 mm (6.1 inches),1715 mm (67.5 inches),17.03 litres (4.50 US gallons),,,100.0 x 118.0 mm (3.9 x 4.6 inches),,,,,,,,,,46mm telescopic fork with adjustable preload,"Single shock, link-type",,320 mm (12.6 inches),,,135 mm (5.3 inches),109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB8K SantaMonica,2007,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.1 ccm (60.78 cubic inches),"V2, four-stroke",105.5 Nm (10.8 kgf-m or 77.8 ft.lbs) @ 8750 RPM,Injection. Radial injection system,Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc. Bremo,Single disc. Bremo,175.0 kg (385.8 pounds),,,,142.6 HP (104.1  kW)) @ 9750 RPM,,,2,Desmodromic valve control,,Aluminium alloy and carbon fibre,0.8149 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,1390 mm (54.7 inches),21.00 litres (5.55 US gallons),Electric,,98.0 x 66.0 mm (3.9 x 2.6 inches),Multiplate in oil bath,,,Double aluminium mufflers,23.5°,,Carbon fibre/white/red/gold,,,,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 F,2007,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,Carburettor.  Mikuni BSR34SS,Air,6-speed,110/70-17 ,130/70-17 ,Single disc,Single disc,180.0 kg (396.8 pounds),1150 mm (45.3 inches),2080 mm (81.9 inches),800 mm (31.5 inches),,,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"790 mm (31.1 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1405 mm (55.3 inches),20.00 litres (5.28 US gallons),Electric,,74.0 x 56.6 mm (2.9 x 2.2 inches),,,,,,,"Blue/White, Black/Gray",Digital/Transistorized,,"Telescopic, oil damped","Link type, 5-way adjustable preload",Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125 Travel,2007,Allround," 2.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,Carburettor,Air,5-speed,,,Single disc,Expanding brake (drum brake),95.0 kg (209.4 pounds),,,,12.6 HP (9.2  kW)) @ 8200 RPM,115.0 km/h (71.5 mph),9.0:1,,Overhead Cams (OHC),,,0.1326 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,1370 mm (53.9 inches),17.00 litres (4.49 US gallons),Electric,,56.5 x 49.5 mm (2.2 x 1.9 inches),,,,,,,Silver,,,Telescopic forks 150mm,Telescopic units 80mm,,160 mm (6.3 inches),2.80 litres (0.74 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB 303R (125 cc),2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,Air,Automatic,130/60-13 ,130/60-13 ,Single disc,Expanding brake (drum brake),110.0 kg (242.5 pounds),1145 mm (45.1 inches),1860 mm (73.2 inches),675 mm (26.6 inches),8.6 HP (6.3  kW)) @ 7500 RPM,,9.2:1,,,Belt   (final drive),,0.0782 HP/kg,,,,6.80 litres (1.80 US gallons),Electric & kick,,52.4 x 57.8 mm (2.1 x 2.3 inches),C.V.T,,,,,,"Red, Black, Blue",C.D.I,,,,Compress  and  splash combined type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania Arena 125 Enduro,2007,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor. Mikuni VM 20,Air,,90/90-21 ,120/80-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),,2010 mm (79.1 inches),845 mm (33.3 inches),,,10.0:1,,Overhead Cams (OHC),,Double steel bean,,"910 mm (35.8 inches) If adjustable, lowest setting.",,1350 mm (53.1 inches),7.80 litres (2.06 US gallons),Electric,Yamaha 125 cc engine,54.0 x 54.0 mm (2.1 x 2.1 inches),,,,,,,Blue,CDI,,,,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Elite 80,2007,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",80.0 ccm (4.88 cubic inches),"Single cylinder, four-stroke",,Carburettor.  16.0mm CV with automatic choke,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),78.0 kg (172.0 pounds),,,,,,,,,Belt   (final drive),,,"754 mm (29.7 inches) If adjustable, lowest setting.",,1171 mm (46.1 inches),4.92 litres (1.30 US gallons),,Model ID: CH80,,,,,,,,"Red, Metallic Gray",CDI,,Bottom link,Unit swingarm,,,,,76 mm (3.0 inches),79 mm (3.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR 1300 AE,2007,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",,Injection,Liquid,5-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,269.0 kg (593.0 pounds),1331 mm (52.4 inches),2240 mm (88.2 inches),744 mm (29.3 inches),,,10.8:1,,Double Overhead Cams/Twin Cam (DOHC),Shaft drive (cardan)   (final drive),,,"800 mm (31.5 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1539 mm (60.6 inches),24.98 litres (6.60 US gallons),Electric,,79.0 x 66.2 mm (3.1 x 2.6 inches),,,,,26.0°,,,Digital TCI,109 mm (4.3 inches),"48mm Soqi telescopic fork w/adjustable preload, compression and rebound damping","Single shock, link-type, w/adjustable preload and rebound damping",,282 mm (11.1 inches),,,137 mm (5.4 inches),122 mm (4.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Laser (150cc),2007,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,Oil & air,Automatic,80/80-14 ,110/80-14 ,Single disc,Expanding brake (drum brake),107.0 kg (235.9 pounds),1160 mm (45.7 inches),1880 mm (74.0 inches),715 mm (28.1 inches),10.1 HP (7.4  kW)) @ 7500 RPM,,10.8:1,,,Belt   (final drive),,0.0944 HP/kg,,,,6.80 litres (1.80 US gallons),Electric & kick,,57.4 x 58.4 mm (2.3 x 2.3 inches),C.V.T,,,,,,"Red, Black, Blue",C.D.I,,,,Compress  and  Splash Combined Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
