Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Honda ST 1300 Pan-European,2007,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",,Injection.  Programmed Fuel Injection (PGM-FI) with automatic enricher circuit,Liquid,5-speed,120/70-ZR18 ,170/60-ZR17 ,Double disc,Single disc,294.8 kg (650.0 pounds),,,,,,10.8:1,4,Double Overhead Cams/Twin Cam (DOHC),Shaft drive (cardan)   (final drive),,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),,Model ID: ST1300,78.0 x 66.0 mm (3.1 x 2.6 inches),,,,,26.0°,,Light Silver Metallic,Computer-controlled digital with three-dimensional mapping and electronic advance,98 mm (3.9 inches),45mm HMAS cartridge fork,HMAS gas-charged single shock with five-position spring-preload adjustability,,316 mm (12.4 inches),,,117 mm (4.6 inches),122 mm (4.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Viaggio 50,2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,Air,Automatic,3.5-10 ,3.5-10 ,Single disc,Expanding brake (drum brake),94.8 kg (209.0 pounds),1181 mm (46.5 inches),1753 mm (69.0 inches),699 mm (27.5 inches),,,,,,,,,"762 mm (30.0 inches) If adjustable, lowest setting.",,1219 mm (48.0 inches),3.78 litres (1.00 US gallons),Electric & kick,,,,,,,,,"Blue, Black, Champagne, Orange, Pink",,,Twin,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 900 - A,2007,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",897.0 ccm (54.73 cubic inches),"Twin, four-stroke",88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 9100 RPM,Injection.  Electronic Fuel Injection,Liquid,6-speed,120/70-ZR18 ,160/60-ZR17 ,Double disc,Single disc,192.0 kg (423.3 pounds),1290 mm (50.8 inches),2180 mm (85.8 inches),800 mm (31.5 inches),85.0 HP (62.1  kW)) @ 4750 RPM,,10.4:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Aluminium, diamond shaped",0.4428 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1485 mm (58.5 inches),20.00 litres (5.28 US gallons),Electric,,92.0 x 67.5 mm (3.6 x 2.7 inches),"Wet, multiple-disc coil spring",,,,,,,TCI,,Telescopic forks,Swingarm (link suspension),Dry sump,245 mm (9.6 inches),,,150 mm (5.9 inches),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Jetforce 50 Rally V,2007,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,Liquid,,,,Single disc,Expanding brake (drum brake),,,,,,,,,,,Perimetric beam frame,,,,,,,,,,,,,,,,,,Centrally mounted shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Rukus,2007,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,Carburettor. 15.0mm CV with automatic choke,Liquid,Automatic,120/90-10 ,130/90-10 ,,,82.1 kg (181.0 pounds),,,,,,,,,Belt   (final drive),,,"734 mm (28.9 inches) If adjustable, lowest setting.",,1265 mm (49.8 inches),4.92 litres (1.30 US gallons),,,,,,,,,,"Black, White Camo",CD,,Twin-downtube fork,Single-shock,,,,,56 mm (2.2 inches),66 mm (2.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 RR,2007,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,Injection.  Dual Stage Fuel Injection (DSFI),Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,156.5 kg (345.0 pounds),,,,,,12.2:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,18.16 litres (4.80 US gallons),,Model ID: CBR600RR,67.0 x 42.5 mm (2.6 x 1.7 inches),,,,,23.7°,,"Black, Pearl White/Silver, Red/Black, Ultra Blue Metallic/Silver",Computer-controlled digital transistorized with three-dimensional mapping,96 mm (3.8 inches),"41mm inverted HMAS cartridge fork with spring preload, rebound and compression damping adjustability","Unit Pro-Link HMAS single shock with spring preload, rebound and compression damping adjustability",,220 mm (8.7 inches),,,119 mm (4.7 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda PS125i,2007,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,Injection.  PGM-FI electronic fuel injection ,Liquid,4-speed,,,Double disc,Expanding brake (drum brake),139.9 kg (308.4 pounds),,2090 mm (82.3 inches),,13.5 HP (9.9  kW)) @ 9000 RPM,,11.0:1,,Single Overhead Cams (SOHC),Belt   (final drive),,0.0965 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1490 mm (58.7 inches),9.40 litres (2.48 US gallons),Electric,,52.4 x 57.8 mm (2.1 x 2.3 inches),,,,,,,,Digital transistorised with electronic advanced ,,TBA ,TBA ,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Gecko RM Stretch,2007,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1750.0 ccm (106.79 cubic inches),"V2, four-stroke",121.0 Nm (12.3 kgf-m or 89.2 ft.lbs) @ 4000 RPM,Carburettor. S  and  S series G,Air,5-speed,90/90-21 ,200/55-18 ,Single disc. 6-piston calipers. Semifloating rotor.,Single disc. 4-piston calipers. Polished stainless rotor.,288.0 kg (635.0 pounds),,,,112.0 HP (81.8  kW)) @ 5500 RPM,,,2,Overhead Valves (OHV),Chain   (final drive),,0.3888 HP/kg,"629 mm (24.8 inches) If adjustable, lowest setting.",,1778 mm (70.0 inches),17.41 litres (4.60 US gallons),Electric,,101.6 x 113.0 mm (4.0 x 4.5 inches),,7.46 litres/100 km (13.4 km/l or 31.53 mpg),173.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Supertrap exhaust system,34.0°,,,,,Inverted 54 mm forks with Titan billet tripple trees,Dual shocks,,292 mm (11.5 inches),4.16 litres (1.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL150PY,2007,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 5500 RPM,,Air,5-speed,70/100-19 ,90/100-16 ,Single disc,Single disc,112.0 kg (246.9 pounds),1210 mm (47.6 inches),2050 mm (80.7 inches),800 mm (31.5 inches),12.7 HP (9.3  kW)) @ 8500 RPM,,9.4:1,,,Chain   (final drive),,0.1137 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",220 mm (8.7 inches),1385 mm (54.5 inches),8.80 litres (2.32 US gallons),Electric,"Aluminium Rear Fork assy and Wheel.
Option: All Light, Meter and Rear-view mirror.",62.0 x 49.5 mm (2.4 x 1.9 inches),"5-speed,manual Clutch",,,,,,,CDI,,,,Press Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania Ryz 50 Enduro,2007,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,Carburettor. PHBN 12,Liquid,,90/90-21 ,120/80-18 ,Single disc,Single disc,95.0 kg (209.4 pounds),,2010 mm (79.1 inches),845 mm (33.3 inches),,,12.0:1,,,Chain   (final drive),Double steel bean,,,,1350 mm (53.1 inches),7.80 litres (2.06 US gallons),Kick,Minarelli AM6 engine,40.3 x 39.0 mm (1.6 x 1.5 inches),Mulitdisc in oil,,,,,,,,,Hydaulic fork,Monoshock absorber,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
