Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Fuel control,Ignition,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Light,Modifications compared to previous model,Top speed,Bore x stroke,Wheels,"Weight incl. oil, gas, etc",Cooling system,Front tire,Rear tire,Overall height,Overall length,Overall width,Fuel capacity,Starter,Compression,Valves per cylinder,Gearbox,Frame type,Diameter,Color options,Lubrication system,Clutch,Carrying capacity,Fuel consumption,Greenhouse gases,Driveline,Oil capacity,Electrical,Seat height
NSU 501 OSL,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",,22.0 HP (16.1  kW)) @ 5150 RPM,Carburettor. Graetzin KE 27/45,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,150.0 kg (330.7 pounds),0.1467 HP/kg,1420 mm (55.9 inches),,,130.0 km/h (80.8 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Spoked,,Air,3.25-19 ,3.25-19 ,1000 mm (39.4 inches),2180 mm (85.8 inches),850 mm (33.5 inches),12.30 litres (3.25 US gallons),Kick,,,,Steel,,,,,,,,,,,
Nimbus 2510,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,Carburettor,Overhead Cams (OHC),,,Telescopic,,,,Two single seats,,,,,,,,,,,,,,,,,,,,3-speed,,,,,,,,,,,,
Ardie RBU 350,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,343.0 ccm (20.93 cubic inches),"Single cylinder, four-stroke",,10.0 HP (7.3  kW)) @ 4500 RPM,Carburettor,,,Chain   (final drive),,None,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,135.0 kg (297.6 pounds),0.0741 HP/kg,,,,,72.0 x 85.0 mm (2.8 x 3.3 inches),Spoked,,Air,3.25-19 ,3.25-19 ,,,,,,,,,,,,,,,,,,,,
NSU 251 OSL,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",,10.5 HP (7.7  kW)) @ 5200 RPM,Carburettor,,Battery-Bosch,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,126.0 kg (277.8 pounds),0.0833 HP/kg,1285 mm (50.6 inches),,,100.0 km/h (62.1 mph),64.0 x 75.0 mm (2.5 x 3.0 inches),Spoked,,Air,3-19 ,3-19 ,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),11.50 litres (3.04 US gallons),Kick,,,4-speed,Open double steel,,,,,,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,
Zündapp KS 500 Kardan Sport,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",,24.0 HP (17.5  kW)) @ 5200 RPM,Carburettor. Amal,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single ,185.0 kg (407.9 pounds),0.1297 HP/kg,,,,135.0 km/h (83.9 mph),66.0 x 66.6 mm (2.6 x 2.6 inches),Spoked,,Air,3.50-19 ,3.50-19 ,,,,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,
NSU 601 TS,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",,16.0 HP (11.7  kW)) @ 4670 RPM,Carburettor. Amac,,Magneto Bosch,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,165.0 kg (363.8 pounds),0.0970 HP/kg,1390 mm (54.7 inches),,,,87.5 x 99.0 mm (3.4 x 3.9 inches),Spoked,,Air,3.50-26 ,4-27 ,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),,Kick,,,,Double steel,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,24.0 HP (17.5  kW)) @ 4400 RPM,,Sidevalves,,,Leading link-Springer type,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,1549 mm (61.0 inches),,,101.0 km/h (62.8 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),Spoked,,,5.10-16 ,5.10-16 ,,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,,,,,,,,,,,,,,,
Zündapp KKS  500 Kardan Sport,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",,24.0 HP (17.5  kW)) @ 5200 RPM,Carburettor. Amal,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single ,175.0 kg (385.8 pounds),0.1371 HP/kg,,,,140.0 km/h (87.0 mph),66.0 x 66.6 mm (2.6 x 2.6 inches),Spoked,,Air,3.50-19 ,3.50-19 ,,,,12.50 litres (3.30 US gallons),Kick,,,,,,,,,,,,,,,
Vincent HRD Series A Rapide,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",47.5 degree V-twin,45.0 HP (32.8  kW)) @ 5500 RPM,Carburettor. Amal ,Overhead Valves (OHV),,Chain   (final drive),Gilder fork with coil over shock,Cantilever,Expanding brake (drum brake),Expanding brake (drum brake),Feridax Dunopillo Dualseat,,,1410 mm (55.5 inches),,,180.0 km/h (111.8 mph),84.0 x 90.0 mm (3.3 x 3.5 inches),,206.4 kg (455.0 pounds),,,,,,,,,6.8:1,,4-speed,Brazed lug duplex tubular cradle,,,,Wet multiplate,,,,,,,
Ariel VH 500 Red Hunter,1937,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,Carburettor. Amal,Overhead Valves (OHV),,Chain   (final drive),Grider forks,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single seat with springs,190.0 kg (418.9 pounds),0.1263 HP/kg,,,,140.0 km/h (87.0 mph),86.4 x 85.0 mm (3.4 x 3.3 inches),Wire spoked. Red/chrome rims.,,Air,3.00-20 ,3.25-19 ,,2180 mm (85.8 inches),640 mm (25.2 inches),14.80 litres (3.91 US gallons),Kick,6.0:1,,4-speed,Semi double cradle,,,Dry sump with dual plunger pumps,Dry,,,,Burman,3.40 litres (3.59 US quarts),6V battery.,
