Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Wheelbase,Reserve fuel capacity,Starter,Frame type,Front suspension,Rear suspension,Color options,Electrical,Torque,Diameter,Wheels,Ground clearance,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Oil capacity,Engine details,Driveline,Exhaust system,Front wheel travel,Rear wheel travel,Seat,Instruments,Light,Carrying capacity,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear
Norton Commando 750 Roadster,1972,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",65.0 HP (47.4  kW)) @ 6500 RPM,174.0 km/h (108.1 mph),10.0:1,73.0 x 89.0 mm (2.9 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Expanding brake,203.0 kg (447.5 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK 125 L,1972,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.5 HP (9.9  kW)) @ 7000 RPM,118.0 km/h (73.3 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-17 ,2.75-17 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3 D,1972,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1972,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AS 3,1972,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 9800 RPM,127.0 km/h (78.9 mph),7.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,105.0 kg (231.5 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750S Vallelunga,1972,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,738.0 ccm (45.03 cubic inches),"In-line three, two-stroke",116.0 HP (84.7  kW)) @ 8250 RPM,192.0 km/h (119.3 mph),,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Liquid,5-speed,Chain   (final drive),,,Single disc,Single disc,,17.00 litres (4.49 US gallons),190.0 kg (418.9 pounds),0.6105 HP/kg,,,,,,,,,,,,,,,,,Telescopic,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Super Glide,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Expanding brake,Expanding brake,345.0 kg (760.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda C50,1972,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",4.8 HP (3.5  kW)) @ 10000 RPM,75.0 km/h (46.6 mph),8.8:1,39.0 x 41.4 mm (1.5 x 1.6 inches),2,Overhead Cams (OHC),Oil & air,3-speed,Chain   (final drive),2.25´-17´ ,2.25´-17´ ,Expanding brake (drum brake). Cam operated drum brake,Expanding brake (drum brake). Cam operated drumbrake,,3.30 litres (0.87 US gallons),69.0 kg (152.1 pounds),0.0696 HP/kg,,12000,Carburettor. Keihin downdraft 12.5 mm,Points ignition,Wet sump,Centrifugal wet multiplate clutch,,71 mm (2.8 inches),"760 mm (29.9 inches) If adjustable, lowest setting.",760 mm (29.9 inches),1800 mm (70.9 inches),640 mm (25.2 inches),1180 mm (46.5 inches),0.50 litres (0.13 US gallons),Kick,Pressed steel underbone,Leading link,Twin shock swingarm,"Red/white, grey/white, green/white",6V,3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 8200 RPM,110 mm (4.3 inches),Spoked steel wheels,130 mm (5.1 inches),,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.80 litres (0.85 US quarts),Horizontal 4-stroke 2-valve single cilinder,Enclosed chain drive with a 3-speed semi-automatic gearbox,Single exhaust sigar style muffler,56 mm (2.2 inches),61 mm (2.4 inches),Buddyseat 2 passengers,Indicator-light and speedometer,6-V-25/25 W,Andijk,,,,,,,,,,
Triumph TR 6 V Tiger 650,1972,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 7250 RPM,167.0 km/h (103.8 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,191.0 kg (421.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3,1972,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,130.0 km/h (80.8 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha LS 2,1972,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Twin, two-stroke",,,,,,Port control,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,"Carburettor. Twin Carbs, Yamaha 7-Port Cylinder",,Yamaha AutoLube Oil Injection System,,,,,,,,,,,,,,,,,,,,,,,,,,Twin pipes down each side,,,,,,,,,,,,,,,,
Honda CB 125 SS,1972,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,121.0 km/h (75.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha U7E,1972,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, two-stroke",4.9 HP (3.6  kW)) @ 6500 RPM,85.0 km/h (52.8 mph),6.8:1,47.0 x 42.0 mm (1.9 x 1.7 inches),,,Air,3-speed,,225-17 ,250-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,,77.0 kg (169.8 pounds),0.0636 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250,1972,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 7000 RPM,159.0 km/h (98.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,126.0 kg (277.8 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha CS5 Street,1972,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3 D,1972,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki T 500,1972,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),6.6:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Californian,1972,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",25.5 HP (18.6  kW)) @ 5250 RPM,127.0 km/h (78.9 mph),8.0:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,,Expanding brake,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA 500 SS Gold Star,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,160.0 km/h (99.4 mph),10.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,171.0 kg (377.0 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 125 Strada,1972,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8750 RPM,105.0 km/h (65.2 mph),10.0:1,59.9 x 44.0 mm (2.4 x 1.7 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 75 Rocket 3,1972,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),9.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 65 Lightning,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DS 7,1972,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),7.1:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,146.0 kg (321.9 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750 M,1972,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,Military model made at the Dnepr Kiev factory. 1963-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 750 Interstate,1972,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",65.0 HP (47.4  kW)) @ 6500 RPM,174.0 km/h (108.1 mph),10.0:1,73.0 x 89.0 mm (2.9 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Expanding brake,203.0 kg (447.5 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 GT,1972,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)) @ 7600 RPM,155.0 km/h (96.3 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 175,1972,Allround," 2.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,110.0 km/h (68.4 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodaka Wombat,1972,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",125.0 HP (91.2  kW)) @ 8400 RPM,,,,,,,,Chain   (final drive),3-21 ,3.5-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,3.00 litres (0.79 US gallons),90.0 kg (198.4 pounds),1.3889 HP/kg,The new Hodaka Wombat 125 is the realization of a new concept in on/off road motorcycles.,,Carburettor,,,Wet multi-plate,,,,,,,866 mm (34.1 inches),,,Steel Tubing,Telescopic Hodaka,Hodaka Shocks,,,,,,241 mm (9.5 inches),,,,,,,,,,,,,,,,,,,,,,,
MBK 125 LT,1972,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,122.0 km/h (75.8 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki G3SS,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",89.0 ccm (5.43 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 8000 RPM,104.6 km/h (65.0 mph),7.0:1,47.0 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,,5-speed,Chain   (final drive),2.75-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.60 litres (2.27 US gallons),83.0 kg (183.0 pounds),0.1265 HP/kg,,9000,Carburettor. Mikuni VM19SC,points,2 stroke injection,"Wet, 5-plate",24.0°,,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,1150 mm (45.3 inches),,Kick,Steel,Standard froks,2 shocks,Red,,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 7000 RPM,110 mm (4.3 inches),,160 mm (6.3 inches),,,,,,,Single chrome pipe,,,,,,,,,,,,,,,,
MV Agusta 350 S,1972,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 7900 RPM,160.0 km/h (99.4 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETS 150 Trophy Sport,1972,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6300 RPM,105.0 km/h (65.2 mph),10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-9,1972,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,210.0 kg (463.0 pounds),0.1524 HP/kg,Made in Kiev from 1971 to 1976.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado 650 S,1972,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),9.6:1,84.0 x 58.0 mm (3.3 x 2.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 50-5,1972,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 6400 RPM,151.0 km/h (93.8 mph),8.6:1,67.0 x 70.6 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL 1200 Electra Glide,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,164.0 km/h (101.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Expanding brake,Expanding brake,340.0 kg (749.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 350,1972,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 10500 RPM,165.0 km/h (102.5 mph),9.5:1,64.0 x 50.6 mm (2.5 x 2.0 inches),2,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),149.0 kg (328.5 pounds),0.2416 HP/kg,,,Carburettor,Coil and breaker points,,,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,2040 mm (80.3 inches),770 mm (30.3 inches),1300 mm (51.2 inches),,Kick,,Telescoping fork,Swinging arm,,,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs),,,,,,,3.50 litres (3.7 US quarts),,,,,,,,,,SAE 10W-40,DOT 4,YB12C-A,"NGK DR8ES, NGK DR8ES-L",1200  RPM,530,96,17/38 (front/rear),29 PSI (2 Bar or 200 kPa),32 PSI (2.2 Bar or 220 kPa)
