Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Wheelbase,Reserve fuel capacity,Starter,Frame type,Front suspension,Rear suspension,Color options,Electrical,Torque,Diameter,Wheels,Ground clearance,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Oil capacity,Engine details,Driveline,Exhaust system,Front wheel travel,Rear wheel travel,Seat,Instruments,Light,Carrying capacity,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear
Hercules K 125 Military,1972,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 850 California,1972,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,175.0 km/h (108.7 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,263.0 kg (579.8 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 175 Enduro,1972,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",169.0 ccm (10.31 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 8700 RPM,105.0 km/h (65.2 mph),11.5:1,62.0 x 56.0 mm (2.4 x 2.2 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 150 Strada,1972,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,115.0 km/h (71.5 mph),10.0:1,59.9 x 54.0 mm (2.4 x 2.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,123.0 kg (271.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 750 H 2 Mach IV,1972,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line three, two-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,203.0 km/h (126.1 mph),7.0:1,71.0 x 63.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60-5,1972,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,165.0 km/h (102.5 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 125 Enduro (6-speed),1972,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7800 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 disc,1972,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",445.0 ccm (27.15 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,171.0 km/h (106.3 mph),9.0:1,70.0 x 57.8 mm (2.8 x 2.3 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha R 5 F,1972,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",35.0 HP (25.5  kW)) @ 7800 RPM,160.0 km/h (99.4 mph),6.9:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1972,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,235.0 kg (518.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
